,Af_0min+O2-A1,Af_15min-O2-A2,Af_30min-O2-A3,Af_15min+O2-A4,Af_0min+O2-B1,Af_15min-O2-B2,Af_30min-O2-B3,Af_15min+O2-B4,Af_0min+O2-C1,Af_15min-O2-C2,Af_30min-O2-C3,Af_15min+O2-C4
CADAFUBG00000363,1,0,0,1,1,0,0,0,1,0,0,0
CADAFUBG00000364,69,3,8,22,204,14,14,259,232,34,97,168
CADAFUBG00000365,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00000366,1,0,1,0,3,0,0,2,1,0,3,1
CADAFUBG00000367,0,0,0,2,0,0,0,1,0,0,1,0
CADAFUBG00000368,0,0,0,1,0,0,0,0,0,0,0,0
CADAFUBG00000369,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00000370,0,0,1,1,0,0,0,2,1,0,1,0
CADAFUBG00000371,0,1,1,5,0,2,0,6,0,2,3,1
CADAFUBG00000372,0,2,3,0,0,0,2,0,0,0,0,0
CADAFUBG00000373,0,4,1,3,0,1,2,5,0,1,2,2
CADAFUBG00000374,0,0,0,1,0,0,0,0,0,0,0,0
CADAFUBG00000375,0,0,0,0,0,0,1,0,1,0,0,0
CADAFUBG00000376,0,0,0,0,0,0,0,0,1,0,0,0
CADAFUBG00000377,1627,1310,1752,2309,1725,1475,862,7720,427,681,616,795
CADAFUBG00000378,284,135,338,260,335,366,239,929,84,92,146,108
CADAFUBG00000379,675,158,487,750,1174,397,527,2704,438,219,577,492
CADAFUBG00000380,1510,657,1422,966,2613,1250,1264,3936,1038,1003,1215,676
CADAFUBG00000381,21283,11949,10407,21113,37059,27347,12162,60240,23161,15210,15034,14543
CADAFUBG00000382,3382,1705,3697,1956,5528,2802,3958,6746,2677,2023,3822,1537
CADAFUBG00000383,612,197,398,514,1100,559,442,1938,530,329,540,345
CADAFUBG00000384,1110,389,621,841,1907,722,840,3101,939,364,676,654
CADAFUBG00000385,629,278,766,396,1160,724,752,1419,614,308,679,342
CADAFUBG00000386,491,196,724,195,965,454,721,754,447,261,774,251
CADAFUBG00000387,498,231,673,268,809,590,749,1094,362,304,780,298
CADAFUBG00000388,516,242,734,324,949,499,752,1181,419,316,734,262
CADAFUBG00000389,1,0,3,0,2,0,0,7,1,1,1,0
CADAFUBG00000390,2,0,6,1,9,4,5,9,3,3,3,3
CADAFUBG00000391,1700,393,1528,809,2782,758,1423,3053,1014,544,1387,545
CADAFUBG00000392,2368,1169,3121,1836,4417,2255,3159,6317,2051,1487,3071,1319
CADAFUBG00000393,12821,9117,14613,9855,21842,17839,15527,33536,11520,9847,14409,7713
CADAFUBG00000394,3,2,4,8,4,6,3,18,3,5,3,3
CADAFUBG00000395,71,65,220,96,135,144,183,283,59,56,148,70
CADAFUBG00000396,676,809,903,430,1285,2860,786,1567,625,1638,842,285
CADAFUBG00000397,434,233,916,372,855,440,859,1068,531,323,962,495
CADAFUBG00000398,488,247,813,268,803,576,868,916,435,289,724,280
CADAFUBG00000399,8,4,13,4,22,8,13,28,12,8,15,17
CADAFUBG00000400,50,28,40,52,63,87,37,125,38,53,42,27
CADAFUBG00000401,683,217,716,497,1121,437,703,1870,521,298,696,357
CADAFUBG00000402,43,100,193,57,57,175,151,136,43,57,131,32
CADAFUBG00000403,1207,24974,48984,632,1900,43424,56675,1926,1984,14279,36713,416
CADAFUBG00000404,1267,335,1300,597,2285,769,1297,2632,947,354,1032,650
CADAFUBG00000405,7272,4437,8012,5812,13874,10469,8569,23887,5595,4482,6600,4282
CADAFUBG00000406,378,44,140,363,777,296,203,1395,329,108,263,214
CADAFUBG00000407,992,723,1634,517,1694,1606,1661,1984,648,1001,1625,360
CADAFUBG00000408,3242,1184,1707,1680,5755,3596,2188,6795,2289,1513,1987,1503
CADAFUBG00000409,0,0,0,0,1,3,0,0,0,0,1,1
CADAFUBG00000410,1587,879,2696,692,2718,1691,2748,2929,1268,884,2186,696
CADAFUBG00000411,67,135,751,162,125,440,808,623,91,152,526,134
CADAFUBG00000412,114,31,112,115,255,58,141,646,85,45,136,69
CADAFUBG00000413,1286,841,1496,917,2445,1896,1557,3029,1050,1172,1504,533
CADAFUBG00000414,1737,1612,6820,3317,3192,4895,5898,12650,1472,1618,4991,2929
CADAFUBG00000415,149,555,546,89,343,1849,495,323,250,1126,636,110
CADAFUBG00000416,1198,674,2140,622,2373,1566,2016,2236,1236,985,1934,753
CADAFUBG00000417,359,135,234,235,584,331,302,896,297,187,301,174
CADAFUBG00000418,1195,499,2376,954,2005,908,1920,3875,804,677,1590,644
CADAFUBG00000419,185,62,96,211,240,112,112,612,147,77,114,162
CADAFUBG00000420,170,71,109,253,310,83,118,674,127,66,120,176
CADAFUBG00000421,267,253,318,182,515,579,268,600,248,378,308,179
CADAFUBG00000422,683,2660,2492,339,1269,5178,2028,1177,463,3319,1733,218
CADAFUBG00000423,1168,518,888,582,1848,1232,1062,1721,789,501,755,422
CADAFUBG00000424,510,218,432,342,824,367,496,1253,430,241,454,246
CADAFUBG00000425,820,329,807,493,1272,687,896,1302,634,434,830,347
CADAFUBG00000426,1403,842,1776,949,2425,2552,2007,3245,1117,1227,1564,704
CADAFUBG00000427,30,9,48,21,71,7,45,101,26,9,40,18
CADAFUBG00000428,170,80,183,152,260,254,199,409,129,111,187,102
CADAFUBG00000429,318,117,337,249,471,326,353,873,228,111,271,176
CADAFUBG00000430,1271,789,2244,620,2063,1389,2043,2443,1117,993,1796,608
CADAFUBG00000431,27,9,33,32,60,21,34,81,21,19,36,17
CADAFUBG00000432,723,461,1047,407,1261,848,978,1704,595,486,749,309
CADAFUBG00000433,1185,254,779,1423,2258,970,838,4937,1124,695,1008,929
CADAFUBG00000434,825,442,1388,633,1732,674,1439,2347,610,575,1584,295
CADAFUBG00000435,1609,1522,3324,1030,2784,3448,3395,3431,1358,1669,3099,725
CADAFUBG00000436,7487,2953,6650,6417,13462,4659,7071,20624,4998,3689,8403,3375
CADAFUBG00000437,865,762,2301,255,1499,2731,2222,1053,612,842,1417,266
CADAFUBG00000438,4394,1773,3338,4278,8415,3394,3633,15929,4377,2973,4508,2864
CADAFUBG00000439,268,304,626,203,462,539,563,736,292,314,627,170
CADAFUBG00000440,423,148,456,309,608,359,502,1110,319,225,461,237
CADAFUBG00000441,1362,866,1595,864,2333,2147,1492,2601,1040,884,1284,603
CADAFUBG00000442,27320,13591,16799,18949,46512,38425,18339,57011,23618,16991,18101,12153
CADAFUBG00000443,758,155,655,713,1549,511,615,2404,643,287,758,544
CADAFUBG00000444,33445,19986,20326,24461,58321,41734,22388,76282,32528,23509,24216,20653
CADAFUBG00000445,1549,719,2150,1131,2305,1705,2279,3745,1153,828,1729,791
CADAFUBG00000446,219,254,436,109,435,517,502,482,195,186,339,125
CADAFUBG00000447,116,36,127,87,177,116,128,320,90,57,112,99
CADAFUBG00000448,233,91,352,228,455,105,365,877,191,106,348,213
CADAFUBG00000449,681,932,1191,286,1333,2343,1640,1124,578,954,1228,297
CADAFUBG00000450,78,143,388,142,143,202,370,582,47,41,93,49
CADAFUBG00000451,96,85,89,70,342,107,91,400,124,113,138,72
CADAFUBG00000452,215,196,192,83,2017,896,181,1590,496,261,158,251
CADAFUBG00000453,49,136,860,23,117,196,391,141,42,88,378,55
CADAFUBG00000454,105,42,145,79,192,145,141,311,91,42,125,49
CADAFUBG00000455,5656,958,2812,5637,11687,2246,3448,24902,4944,2104,5085,3281
CADAFUBG00000456,888,739,1462,455,1502,1126,1330,1645,723,918,1276,419
CADAFUBG00000457,463,173,577,312,832,595,639,817,399,261,559,172
CADAFUBG00000458,947,485,1334,760,1773,1197,1488,2087,919,639,1365,444
CADAFUBG00000459,1304,123,949,1320,2962,291,1123,4668,1148,275,1405,644
CADAFUBG00000460,281,124,312,218,485,175,302,512,287,206,310,181
CADAFUBG00000461,416,233,716,461,821,430,708,1478,439,274,564,454
CADAFUBG00000462,1390,1501,1941,395,1844,1808,1638,1241,677,695,1076,378
CADAFUBG00000463,1996,1046,2626,1460,3771,3097,3069,5805,1573,1280,2370,892
CADAFUBG00000464,1848,941,1889,1650,3390,2020,1988,5630,2062,1567,2194,1502
CADAFUBG00000465,17,86,42,12,32,117,38,63,15,47,20,14
CADAFUBG00000466,5,51,24,5,11,53,31,14,16,27,16,4
CADAFUBG00000467,336,566,1463,305,689,1416,1402,1081,330,396,839,218
CADAFUBG00000468,23557,10609,12562,17449,41941,31723,15199,57123,19086,12634,14498,10920
CADAFUBG00000469,185,112,294,106,334,351,272,446,130,121,202,82
CADAFUBG00000470,694,153,461,561,1308,227,533,2491,502,263,672,332
CADAFUBG00000471,96,26,65,61,194,107,107,239,84,49,100,64
CADAFUBG00000472,1230,757,1404,822,2190,1408,1543,3303,976,908,1453,533
CADAFUBG00000473,1806,125,695,2307,3962,519,880,8879,1314,437,1445,778
CADAFUBG00000474,421,523,476,354,749,1578,439,1222,485,1042,517,306
CADAFUBG00000475,386,321,1145,160,664,1185,951,602,376,512,703,237
CADAFUBG00000476,1207,561,1380,845,1975,1802,1693,2915,1008,769,1528,533
CADAFUBG00000477,759,589,1081,548,1213,1256,1053,1821,649,684,977,433
CADAFUBG00000478,100,73,112,51,122,253,130,246,72,62,105,52
CADAFUBG00000479,1338,1019,1579,1093,4491,4746,2685,5888,1064,1171,1318,805
CADAFUBG00000480,614,546,906,356,962,1512,1021,1290,416,510,724,250
CADAFUBG00000481,598,1139,1795,156,1121,1469,1714,687,589,1031,1313,215
CADAFUBG00000482,27,3,38,19,23,18,34,85,13,10,25,13
CADAFUBG00000483,868,215,379,1014,1333,632,609,3051,634,343,728,476
CADAFUBG00000484,1630,829,1650,1360,2468,2089,1835,3882,1303,1220,1874,828
CADAFUBG00000485,662,315,695,556,1250,949,624,1875,787,630,900,463
CADAFUBG00000486,842,686,2204,281,1348,1742,2196,1192,652,854,1697,352
CADAFUBG00000487,115,45,113,132,252,129,137,382,130,102,163,88
CADAFUBG00000488,996,400,1034,519,1485,826,1110,1770,666,513,930,360
CADAFUBG00000489,18163,8445,8041,14402,33256,19518,9741,46567,16614,10692,10698,9728
CADAFUBG00000490,2884,1878,5563,1923,5059,5151,5654,9368,2084,2129,4492,1339
CADAFUBG00000491,1734,649,3760,954,3382,2994,3463,4989,1234,953,2766,731
CADAFUBG00000492,2649,2169,8080,902,4728,3471,6455,4217,1744,2085,3741,955
CADAFUBG00000493,216,66,214,235,440,165,207,803,205,141,272,143
CADAFUBG00000494,221,48,243,152,480,171,295,716,413,222,624,214
CADAFUBG00000495,665,452,975,460,1239,984,932,1715,578,589,742,396
CADAFUBG00000496,574,426,913,360,1002,663,897,1517,454,460,673,269
CADAFUBG00000497,222,138,220,108,831,626,342,529,574,484,512,165
CADAFUBG00000498,420,310,572,223,703,747,601,850,444,315,531,266
CADAFUBG00000499,10040,11537,20022,5441,21536,21126,26133,21992,21187,19022,35203,12510
CADAFUBG00000500,75,58,125,39,140,135,100,158,43,46,103,23
CADAFUBG00000501,799,715,1308,837,1427,1591,1225,2894,688,748,1119,534
CADAFUBG00000502,32836,21093,17254,31045,59861,30493,19493,78717,36628,24852,22458,23022
CADAFUBG00000503,1177,569,2034,736,2095,831,1818,2821,836,609,1487,492
CADAFUBG00000504,1575,2727,2815,1527,2955,4433,2571,3915,1566,3047,2511,918
CADAFUBG00000505,731,180,452,1084,1287,566,506,3231,564,247,605,575
CADAFUBG00000506,1604,1053,2310,1046,2964,1868,2133,3776,1161,1324,1765,788
CADAFUBG00000507,563,94,436,404,1016,229,450,1588,389,143,477,283
CADAFUBG00000508,1932,398,1229,1936,3791,1333,1304,6445,1492,591,1500,1135
CADAFUBG00000509,50,23,78,69,73,49,67,228,54,20,49,56
CADAFUBG00000510,6,7,11,4,28,17,15,31,10,11,10,4
CADAFUBG00000511,123,75,105,342,354,254,135,1336,136,104,126,239
CADAFUBG00000512,756,212,590,325,1285,710,592,1493,441,265,451,250
CADAFUBG00000513,333,129,403,356,607,392,440,1287,284,153,439,266
CADAFUBG00000514,860,380,925,717,1723,981,1171,2724,836,461,1107,755
CADAFUBG00000515,1700,669,1869,1062,2950,963,1794,4826,1130,784,1707,844
CADAFUBG00000516,784,269,863,476,1308,885,982,1604,492,368,813,319
CADAFUBG00000517,405,229,653,236,710,587,642,1076,347,313,507,171
CADAFUBG00000518,2243,827,2158,1082,4000,1755,2150,3756,1739,849,1680,1039
CADAFUBG00000519,47,18,27,84,90,19,30,224,68,32,41,47
CADAFUBG00000520,1848,298,1029,2311,3419,890,1174,7190,1654,777,1731,1014
CADAFUBG00000521,1599,1038,1866,1062,2836,2578,1935,2624,1676,1352,2027,831
CADAFUBG00000522,440,381,739,398,887,610,844,1016,423,308,650,366
CADAFUBG00000523,11998,7869,5964,1605,17222,17469,7243,6174,8984,8864,5460,2416
CADAFUBG00000524,0,0,0,1,0,3,0,0,0,0,0,1
CADAFUBG00000525,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00000526,1277,406,1400,869,2339,916,1373,2657,899,544,1298,523
CADAFUBG00000527,2312,853,1712,815,3778,2245,2021,4037,1318,963,1736,565
CADAFUBG00000528,0,0,0,0,1,0,0,0,0,0,0,0
CADAFUBG00000529,3301,1305,1699,3235,5791,2992,2166,10456,3327,1847,2570,2391
CADAFUBG00000530,1185,715,1613,686,1853,876,1357,2310,787,696,1133,528
CADAFUBG00000531,257,118,170,279,388,253,250,821,237,188,216,220
CADAFUBG00000532,2839,1195,2798,1719,5758,1582,2778,6997,2158,1633,2638,1160
CADAFUBG00000533,2611,1589,3986,1970,4481,3786,3982,6903,2287,1984,3568,1448
CADAFUBG00000534,2438,709,2397,1912,4454,1388,2567,5782,2080,1238,2855,1207
CADAFUBG00000535,1460,1035,2189,886,2435,1353,2700,2983,894,982,2379,522
CADAFUBG00000536,522,946,1658,152,826,1560,1520,741,472,900,1176,187
CADAFUBG00000537,610,200,591,496,1230,345,626,1759,550,318,710,379
CADAFUBG00000538,2753,911,2041,2413,5290,1793,2320,9097,2248,1329,2380,1434
CADAFUBG00000539,695,317,1076,349,1284,1655,997,1309,399,372,728,199
CADAFUBG00000540,120,51,118,84,223,125,165,267,128,47,125,76
CADAFUBG00000541,2465,317,2400,514,4994,694,3579,3296,1862,394,3808,1286
CADAFUBG00000542,6291,1789,3047,3597,10354,3316,5097,12042,4719,1905,4862,2678
CADAFUBG00000543,409,169,445,158,590,461,453,552,306,217,422,183
CADAFUBG00000544,2198,1428,3665,1326,3792,3810,4026,5043,1730,1414,3133,983
CADAFUBG00000545,654,204,474,640,1043,685,542,2168,642,371,605,464
CADAFUBG00000546,13962,6588,5180,11045,24911,9306,6620,38345,14172,8389,8016,7682
CADAFUBG00000547,1132,440,1169,793,1924,924,1304,3286,934,611,1209,709
CADAFUBG00000548,1051,497,1063,698,2036,1236,1061,2502,660,658,982,360
CADAFUBG00000549,0,0,0,0,0,0,0,1,0,0,0,0
CADAFUBG00000550,1495,512,850,457,2531,1215,1088,2038,801,654,901,252
CADAFUBG00000551,2738,2453,3730,1571,5396,2284,3685,6104,2264,3008,3699,1402
CADAFUBG00000552,27,19,16,16,58,40,32,40,16,33,27,16
CADAFUBG00000553,815,98,601,668,1855,378,646,2197,723,267,763,371
CADAFUBG00000554,1519,256,1065,972,2933,984,1131,3284,1097,441,1299,555
CADAFUBG00000555,308,797,366,190,572,1935,342,535,241,668,312,109
CADAFUBG00000556,666,411,917,514,1422,1025,891,1463,796,398,831,451
CADAFUBG00000557,1849,1100,2587,1042,3563,2828,2717,4493,1890,1520,2609,993
CADAFUBG00000558,5109,1215,2942,4761,10324,3293,3526,22910,3946,2157,4042,2660
CADAFUBG00000559,1593,1118,2055,1315,3069,1800,1959,3790,1473,1209,2080,878
CADAFUBG00000560,719,413,1302,332,1182,1262,1266,977,489,435,943,224
CADAFUBG00000561,901,303,838,501,1879,495,858,2026,751,495,811,263
CADAFUBG00000562,1354,1194,2173,1139,3081,1183,1791,4112,1151,1273,1570,609
CADAFUBG00000563,373,268,415,506,851,596,448,1505,402,405,485,315
CADAFUBG00000564,120,97,136,127,225,370,166,451,132,154,124,120
CADAFUBG00000565,906,712,1734,794,1693,861,1581,3014,884,793,1554,683
CADAFUBG00000566,61,27,38,22,357,216,72,100,434,307,172,41
CADAFUBG00000567,967,338,684,774,1721,1047,686,2551,515,587,741,342
CADAFUBG00000568,1701,116,649,2004,3639,423,888,7952,1242,358,1444,844
CADAFUBG00000569,1582,786,650,431,2245,1647,794,1575,783,761,766,318
CADAFUBG00000570,404,91,230,246,630,226,269,773,281,149,307,151
CADAFUBG00000571,10029,5088,4647,9771,19439,12978,5905,33007,10557,7167,7051,6450
CADAFUBG00000572,65,39,150,30,112,96,189,106,48,43,144,35
CADAFUBG00000573,105,101,286,58,146,140,272,196,75,64,185,68
CADAFUBG00000574,348,720,714,98,528,1610,640,504,218,1012,487,151
CADAFUBG00000575,105,82,248,102,237,148,250,350,113,80,154,79
CADAFUBG00000576,75178,65348,66032,68109,144952,124552,83516,187789,79099,70950,84600,48777
CADAFUBG00000577,7636,5280,6253,6248,12687,8654,8707,21721,7076,6463,8531,4459
CADAFUBG00000578,1173,65,692,1060,2733,268,692,4419,862,180,1041,482
CADAFUBG00000579,863,341,1189,520,1560,536,1126,1770,762,567,1241,400
CADAFUBG00000580,182,13,75,163,400,49,77,619,169,48,152,107
CADAFUBG00000581,848,109,152,432,1433,192,304,1244,444,153,306,181
CADAFUBG00000582,643,349,988,286,1080,1264,1027,1181,498,495,940,332
CADAFUBG00000583,295,232,479,220,521,540,476,651,299,283,357,171
CADAFUBG00000584,499,371,796,285,895,923,766,816,402,424,611,264
CADAFUBG00000585,3444,1622,4043,2119,6459,3695,4322,9389,2685,2242,3902,1537
CADAFUBG00000586,24478,11573,11737,16016,40109,35234,13663,62921,20716,14445,15085,11340
CADAFUBG00000587,491,429,1012,315,837,786,960,1062,384,442,872,243
CADAFUBG00000588,778,360,1314,255,2109,926,1585,1572,667,384,1021,623
CADAFUBG00000589,361,135,475,121,605,321,447,555,304,154,392,174
CADAFUBG00000590,303,192,494,205,493,246,455,603,265,225,353,175
CADAFUBG00000591,1233,460,1475,581,3203,914,1874,3015,764,421,1200,522
CADAFUBG00000592,1513,405,1514,1398,2808,1066,1472,3847,1237,719,1544,784
CADAFUBG00000593,104,45,95,109,220,137,126,305,95,55,126,73
CADAFUBG00000594,1140,487,2260,441,1598,630,1836,1568,603,436,1122,408
CADAFUBG00000595,340,772,912,167,496,2414,616,585,315,1160,564,207
CADAFUBG00000596,1173,538,1405,714,2310,1338,1271,2396,978,723,1377,509
CADAFUBG00000597,85,34,34,47,151,44,55,126,82,36,53,46
CADAFUBG00000598,1,0,1,0,1,1,3,1,0,0,0,0
CADAFUBG00000599,1,0,0,0,0,1,0,0,1,0,0,0
CADAFUBG00000600,4569,1813,4749,2813,7686,4154,5252,9449,3780,2572,5040,2270
CADAFUBG00000601,3534,2548,4735,2070,6260,6111,4438,6656,3138,4072,4627,1653
CADAFUBG00000602,29241,11415,13191,20792,49621,29754,16990,86112,22562,14336,16066,12848
CADAFUBG00000603,1262,631,1548,746,2110,1487,1515,2466,1107,859,1431,649
CADAFUBG00000604,648,249,686,467,1104,482,797,1666,477,348,826,254
CADAFUBG00000605,670,438,799,367,1113,1259,797,1191,647,641,819,327
CADAFUBG00000606,321,114,308,170,568,377,287,857,224,196,306,111
CADAFUBG00000607,48,15,41,66,109,39,86,205,50,41,84,98
CADAFUBG00000608,185,109,334,150,403,105,291,604,172,149,266,166
CADAFUBG00000609,84,427,483,39,149,734,385,186,97,488,337,55
CADAFUBG00000610,519,107,431,263,893,436,431,1013,294,152,345,179
CADAFUBG00000611,286,96,309,200,591,234,387,816,246,98,354,130
CADAFUBG00000612,1204,1319,5944,914,2005,2626,7022,4204,1005,1999,10243,1034
CADAFUBG00000613,888,499,1528,373,1412,1061,1460,1534,715,628,1455,406
CADAFUBG00000614,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00000615,393,186,504,374,707,294,534,1399,366,254,598,233
CADAFUBG00000616,178,304,639,98,295,578,606,341,150,194,387,99
CADAFUBG00000617,214,117,333,169,389,155,335,628,215,165,337,122
CADAFUBG00000618,376,185,523,281,583,529,504,900,285,244,518,210
CADAFUBG00000619,146,82,255,133,920,758,880,1060,529,591,1342,498
CADAFUBG00000620,54,14,56,49,96,60,96,154,40,24,53,32
CADAFUBG00000621,37636,22366,39156,28619,73217,46711,38270,107369,27815,18577,29267,18518
CADAFUBG00000622,1837,1137,3566,1445,3481,2158,2938,6027,1379,1431,2365,1245
CADAFUBG00000623,982,846,1546,514,1773,1223,1532,2126,845,882,1236,468
CADAFUBG00000624,2120,1293,2973,1391,3837,3993,3245,4861,1821,1582,2665,960
CADAFUBG00000625,2329,1579,3368,1645,3803,1629,2994,5873,1705,1852,2874,1072
CADAFUBG00000626,773,317,778,565,1467,493,820,2219,702,469,838,390
CADAFUBG00000627,41,31,58,31,83,71,76,106,48,40,45,21
CADAFUBG00000628,3,10,13,7,24,16,8,33,8,12,10,11
CADAFUBG00000629,639,865,1150,320,1084,2023,1107,1053,595,814,900,272
CADAFUBG00000630,14,3,9,15,18,12,12,18,9,7,12,7
CADAFUBG00000631,16,7,5,9,17,14,7,18,11,7,14,2
CADAFUBG00000632,2502,715,1685,1305,3991,1231,2461,4940,1688,806,2045,752
CADAFUBG00000633,323,280,656,286,691,796,651,1080,328,315,529,292
CADAFUBG00000634,1069,387,1254,741,2003,1399,1314,4120,698,666,1042,549
CADAFUBG00000635,1898,885,2616,1116,3096,2044,2401,5083,1330,1267,2079,904
CADAFUBG00000636,501,109,397,228,841,635,453,946,259,166,350,135
CADAFUBG00000637,505,435,467,440,917,365,562,1582,479,431,540,391
CADAFUBG00000638,585,297,971,321,1114,706,950,1608,499,308,649,326
CADAFUBG00000639,1023,624,1396,650,1758,1044,1382,2607,986,788,1314,651
CADAFUBG00000640,164,51,196,180,565,166,281,995,228,102,296,392
CADAFUBG00000641,32099,12789,13121,22837,52731,38535,16530,83695,25683,17230,18191,14446
CADAFUBG00000642,30,125,137,42,77,610,141,132,41,305,126,20
CADAFUBG00000643,539,824,1965,309,723,843,1669,1495,544,804,1719,395
CADAFUBG00000644,2634,1032,2708,1726,4342,1651,2679,6416,2020,1466,2700,1310
CADAFUBG00000645,447,1618,1361,270,752,2510,1233,1093,345,1906,1314,355
CADAFUBG00000646,1127,1108,2201,521,1934,1865,2334,1971,1184,1329,1767,628
CADAFUBG00000647,1327,815,2305,758,2938,1191,2350,3197,1392,1188,2365,596
CADAFUBG00000648,584,554,1137,312,1056,983,1136,1166,583,616,1017,377
CADAFUBG00000649,1098,867,1904,695,1956,2539,1948,2843,786,819,1360,522
CADAFUBG00000650,1635,797,1551,1001,2801,859,1634,3952,1227,832,1559,718
CADAFUBG00000651,698,303,489,298,1115,1074,588,990,569,467,585,206
CADAFUBG00000652,1328,1428,4557,647,2101,5145,4330,3289,917,1607,2925,482
CADAFUBG00000653,6,1,10,14,9,0,8,34,10,3,7,6
CADAFUBG00000654,13,7,19,18,26,16,13,42,8,5,7,10
CADAFUBG00000655,12,6,18,11,15,14,15,20,7,2,5,9
CADAFUBG00000656,699,173,422,564,1060,425,510,1861,401,189,511,291
CADAFUBG00000657,339,97,505,292,523,164,421,1036,181,111,545,217
CADAFUBG00000658,4894,3278,6942,3093,8034,8262,7122,11406,4667,4099,6971,2761
CADAFUBG00000659,1833,610,1812,1168,3205,1919,2051,3770,1338,894,2027,881
CADAFUBG00000660,3220,388,1463,3092,6484,972,1453,8472,2893,955,2618,1850
CADAFUBG00000661,996,388,787,845,1757,1178,884,2188,802,598,839,531
CADAFUBG00000662,2917,1205,3424,1775,4940,1733,3608,5517,2702,1500,3893,1623
CADAFUBG00000663,918,56,485,1039,2080,228,535,3440,692,169,813,449
CADAFUBG00000664,1060,111,620,1087,2541,530,800,3302,851,199,983,496
CADAFUBG00000665,1819,1282,3003,887,3238,3614,2960,2902,1705,1486,2586,961
CADAFUBG00000666,912,436,1152,455,1451,912,1221,1472,739,533,1130,445
CADAFUBG00000667,280,111,324,224,465,183,348,852,207,129,337,170
CADAFUBG00000668,190,99,257,202,328,193,300,597,199,117,280,153
CADAFUBG00000669,998,353,1168,905,1908,692,1135,2577,856,524,1149,572
CADAFUBG00000670,991,170,840,1106,2327,420,898,3844,869,323,1067,633
CADAFUBG00000671,2614,2015,3789,1550,4208,5118,4069,5106,2429,2703,3869,1318
CADAFUBG00000672,1400,642,1597,925,2425,1226,1646,3232,1312,786,1589,826
CADAFUBG00000673,2401,1267,6933,1321,4206,3405,5350,4886,1966,1674,4041,1083
CADAFUBG00000674,3282,1551,2896,2703,5739,2390,3033,9947,3114,2374,3320,2044
CADAFUBG00000675,22734,11012,9072,16734,39069,23927,10914,52294,21737,13911,12574,12818
CADAFUBG00000676,1981,3478,5596,1081,3086,6854,3047,1687,965,2030,1701,225
CADAFUBG00000677,246,121,196,189,422,481,198,722,185,160,173,132
CADAFUBG00000678,859,341,873,588,1488,1044,895,1846,712,425,855,470
CADAFUBG00000679,422,194,409,340,943,729,371,859,414,270,359,208
CADAFUBG00000680,173140,79322,99225,124566,319918,175032,122326,435289,148055,96573,117158,87315
CADAFUBG00000681,2027,2436,2731,1245,3930,3292,2618,4621,1778,3048,2695,876
