,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_01423,4614,5217,752,2821,2631,2166
SAOUHSC_01424,5485,8921,944,2913,3039,2341
SAOUHSC_01425,1881,2436,870,1106,1244,838
SAOUHSC_01427,6198,7621,878,3715,2734,2682
SAOUHSC_01428,16,28,6,19,22,19
SAOUHSC_01429,11147,8722,4390,5196,5099,2611
SAOUHSC_01430,19246,17886,5288,8998,8211,4394
SAOUHSC_01431,10119,11707,1395,4652,3746,2631
SAOUHSC_00145,7490,7461,1046,20717,12208,11725
SAOUHSC_01432,20337,28663,8929,8332,8056,4156
SAOUHSC_01433,8887,10810,1751,2587,2465,1567
SAOUHSC_01434,5932,9594,620,2099,1992,1220
SAOUHSC_01435,4888,5424,1067,2481,2396,1594
SAOUHSC_01436,2091,2191,499,2987,2231,2232
SAOUHSC_01437,6723,7314,1191,7419,6078,5400
SAOUHSC_01438,1720,2006,202,1464,1039,1006
SAOUHSC_01439,1282,1812,59,1031,827,852
SAOUHSC_01440,1058,1242,54,4578,3321,4764
SAOUHSC_01441,58,33,25,361,270,223
SAOUHSC_00146,3822,3573,2000,4044,2273,3384
SAOUHSC_01442,5,1,0,19,10,7
SAOUHSC_01443,81,132,24,75,44,30
SAOUHSC_01447,15819,14757,2412,87146,62099,69462
SAOUHSC_01448,1658,1382,264,1433,912,973
SAOUHSC_01450,1705,2047,350,1458,817,1030
SAOUHSC_01451,1292,1420,423,958,515,555
SAOUHSC_01452,680,615,265,568,334,360
SAOUHSC_01454,4684,6024,1070,2259,1815,1510
SAOUHSC_01455,12978,16125,946,6327,4996,4375
SAOUHSC_01456,789,903,134,1561,1412,1070
SAOUHSC_00147,461,521,64,3101,1687,2769
SAOUHSC_01458,19,30,5,22,18,18
SAOUHSC_01459,521,610,57,606,504,497
SAOUHSC_01460,2030,1565,202,2212,2252,1695
SAOUHSC_01462,15334,19556,1502,11905,11787,8830
SAOUHSC_01463,14903,17872,1869,10113,11025,6934
SAOUHSC_01464,5557,6642,282,4486,4127,2695
SAOUHSC_01465,1,0,6,4,5,3
SAOUHSC_01466,16433,11053,1822,33092,32029,28138
SAOUHSC_01467,111430,79883,19624,210393,201430,182801
SAOUHSC_01468,1925,1878,113,2747,2130,1979
SAOUHSC_00017,5229,6491,1041,6382,5524,5655
SAOUHSC_00148,552,680,159,3671,2100,3294
SAOUHSC_01469,3490,2810,295,5588,4697,3468
SAOUHSC_01470,3237,3334,256,4168,3533,2617
SAOUHSC_01471,13733,12395,2985,8559,6605,5839
SAOUHSC_01472,6014,5968,736,7013,4301,4328
SAOUHSC_01473,2402,2774,237,1666,1220,1013
SAOUHSC_01474,2533,2340,352,2302,1499,1354
SAOUHSC_01475,3156,2669,493,3050,1965,1647
SAOUHSC_01476,876,1008,87,703,484,349
SAOUHSC_01477,98807,83162,19498,47155,45592,22475
SAOUHSC_01478,2077,2587,192,1038,930,801
SAOUHSC_00149,269,330,50,1174,631,898
SAOUHSC_01479,2610,3114,319,1849,1517,1370
SAOUHSC_01480,7372,8315,849,5663,4903,4146
SAOUHSC_01481,5847,7568,1012,3301,2739,2148
SAOUHSC_01482,2805,3280,446,1198,1025,887
SAOUHSC_01483,3905,4636,815,1125,945,761
SAOUHSC_01484,17,24,3,14,7,18
SAOUHSC_01485,6568,5860,693,3325,2894,2076
SAOUHSC_01486,4255,4626,497,2627,2420,1586
SAOUHSC_01487,3425,4107,928,1825,1614,1039
SAOUHSC_01488,1972,2493,373,598,575,412
SAOUHSC_00150,530,678,155,1975,1177,1526
SAOUHSC_01489,0,1,0,6,1,2
SAOUHSC_01490,121799,110649,62559,29123,23964,15173
SAOUHSC_01491,13874,17162,3467,8152,5949,6288
