X,dpurR.T3.R1,dpurR.T3.R2,dpurR.T5.R1,dpurR.T5.R2,WT.T3.R1,WT.T3.R2,WT.T5.R1,WT.T5.R2
SAUSA300_0046,8583,9229,3310,3345,10625,6702,5822,5471
SAUSA300_0047,613,604,214,355,680,442,448,443
SAUSA300_0048,75,71,27,49,73,45,55,56
SAUSA300_0049,143,132,67,135,109,80,119,135
SAUSA300_0050,466,528,176,299,534,278,643,630
SAUSA300_0052,1,11,5,0,2,3,11,8
SAUSA300_0053,2582,2981,1288,2984,2112,1353,3103,2511
SAUSA300_0054,0,0,1,3,2,0,1,0
SAUSA300_0055,6108,6350,1478,2503,1677,1047,2984,3222
SAUSA300_0056,11,8,5,10,17,12,16,18
SAUSA300_0057,18,20,8,12,23,20,31,20
SAUSA300_0058,0,0,1,0,0,0,0,0
SAUSA300_0059,15,11,7,9,13,9,15,18
SAUSA300_0060,62,86,42,72,83,51,172,187
SAUSA300_0061,2923,3087,2198,3816,2540,1595,1511,2197
