,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,5.5,47,5.5,33.5,4,0,1,1,1,1,1,3.5
NC_007795.1,10.5,27,4.333333333,37.33333333,3,1.5,1.333333333,0.666666667,2.166666667,0.166666667,0,1.666666667
NC_007795.1,1,3,0,9,0,0,0,0,0,0,0,0
NC_007795.1,3.5,19,6.5,29.5,1.5,0,2,0,0,0,1,0
NC_007795.1,0.5,11,0.5,6.5,0.5,0,0.5,0,0,0,0,0
NC_007795.1,1.5,25,0,10,3.5,0,0.5,0,0,0,0,0.5
NC_007795.1,2,13,3,15,1.5,0,0,0.25,0,0,0,2.5
NC_007795.1,1,4,1,12,0.5,0,0,0,0,0,1,0
NC_007795.1,25,186.5,8.666666667,147,15,3,10,5,5,5,6,6
NC_007795.1,10,38,7.285714286,33,5,1,2,1,0,1,0,1
NC_007795.1,29,123,20,94,6.75,4,6.5,5,1,0,3,2
NC_007795.1,1,12.5,0,11,0.5,0,0.5,1.5,0,0,0,0
NC_007795.1,6,24.5,3,23,4,0.333333333,0,2,2,0,0,0
NC_007795.1,8,20,9.5,13,0,0.5,2,0,1,1.166666667,1,2
NC_007795.1,0,3,1.833333333,16.16666667,0.166666667,0.666666667,0.166666667,1,0,1,0.333333333,2
NC_007795.1,0,11,0,5,1,0,1,0,3,0,0,0
NC_007795.1,11.5,33.5,7,31.78571429,1,1.5,7,2,4,3,0.5,5.142857143
NC_007795.1,0,4.666666667,2.166666667,0.5,1,1,0.5,1,0,1,0,0
NC_007795.1,2.5,9,2.5,4,0.75,0,0.5,0.5,0.75,0,0,0
NC_007795.1,4.5,7,2.5,4.5,2.5,0.5,0,0.5,0.5,0.5,0,0
NC_007795.1,47.83333333,55.83333333,61.5,69.66666667,9,5.5,5,5.333333333,1,13.66666667,2,6.5
NC_007795.1,64.83333333,28.5,48,63.5,1.5,4,4,14,2,14,5,9.5
NC_007795.1,19.5,30.5,29.5,28.5,1,5,2,3,0,4.5,1,6.5
NC_007795.1,58.30952381,39,46.41666667,57.16666667,5.333333333,8.625,0,10.83333333,1.333333333,10.66666667,2.333333333,20.5
NC_007795.1,73.5,28,52.5,29.5,4.25,12.5,1.25,8,2.5,10,2.25,19
NC_007795.1,485.5,342.5,538.7,285.5,32.25,89,19.5,91.5,32.25,68.5,20.5,91.65
NC_007795.1,56,23,59,52.5,4,5,3,9,2,2.5,1,5
NC_007795.1,54.5,114.5,30,117,17.5,20,14.5,17.5,13.5,25.5,11.5,36
NC_007795.1,20.5,69.5,24.5,86.5,16,4,8,1,16,11.5,8.333333333,13
NC_007795.1,128,243.5,120,199,27.5,8.666666667,8,19.5,9,24.5,14,36
NC_007795.1,574,436.5,492,407,36,73.5,11,98.5,61,168.5,43,207
NC_007795.1,90.5,141,114,126,9.142857143,9.5,7,12,14,27.5,8,29.14285714
NC_007795.1,40,44.5,31.5,31,1,4,2,3.5,4,5,2.5,14
NC_007795.1,175.5,117.5,119.5,111.5,14,18,7,17.5,16,32.5,10.5,43
NC_007795.1,8,19,2,30.5,1,0,3.5,1,0,0,0,5
NC_007795.1,28.9,88,33,83,5,6,3,4,4.5,4,6,6
NC_007795.1,200.5,211,150,142,11,27,13.33333333,14.33333333,16.5,48,16,66
NC_007795.1,18,39,12,18,2,3,2,4,4,3,5,5
NC_007795.1,120.1666667,216,84,171,10,17,6,17,24,36,20,63
NC_007795.1,9.2,26.5,7.5,18,2,5,0,2,2,5,1,2
NC_007795.1,19,83.5,7.5,102,6,0,4,2,4,2,5,7
NC_007795.1,59,90,71,68,10,6,2.277777778,8,8,31,5,21
NC_007795.1,43,98.5,49.66666667,64,4,1,4,3,4,14,2,8
NC_007795.1,288,359,221,262,21.33333333,38,14,33,48,82,28,116
NC_007795.1,142,141,55.5,133.5,11.2,20,12,29,34,58,11,54
NC_007795.1,265,281.5,251.5,310.6666667,36,57,20,54,18,41,24,71
NC_007795.1,46,62.5,33.66666667,54,7,5.666666667,3,7.5,2.5,10.5,2,22
NC_007795.1,40.5,48,29,48.5,12,14.5,2.5,12.5,14,24.5,10.5,38
NC_007795.1,218.8333333,220,183.5,112.5,21.5,38,11.5,55,49.5,66,42.5,137
NC_007795.1,1395,1090.5,1241,974,65,181,44,201.5,94,240.5,87,337.5
NC_007795.1,233,321.5,214,256,33,30,18,49.5,10,32.5,27,80.5
NC_007795.1,6.5,17.5,6,13,0.5,0.5,0,2,2,2,0,8
NC_007795.1,5.5,12,4,4,0.5,1.5,0.5,2,2,3,0.5,6.5
NC_007795.1,65.33333333,104.5,61.5,119,7,10,10,15.5,12.5,24,13.5,37.5
NC_007795.1,68,178.5,18,121,14,5.5,4.5,6,6,7.5,9,7
NC_007795.1,416.5,426.5,390.1666667,382,41.5,75,19.5,81,16,37,24.5,54.5
NC_007795.1,409.5,365,369.5,362.5,31,37.5,19,73.7,26,36,10.5,50
NC_007795.1,422,323.5,356.5,322.5,32.5,47.5,15.83333333,58,15.5,34,18,71.5
NC_007795.1,605,539,457,441.0833333,47,69,26,87.5,30.5,62,22,86
NC_007795.1,742.5,559,551,520.5,43,71,24.5,97.5,30,100.5,32,129.5
NC_007795.1,224,214.5,147,184.7,53,37,36.5,63.5,73,85.5,31,70.5
NC_007795.1,113,105,91,123.3333333,21,15.5,5,17,12,22,7,26
NC_007795.1,12.5,10,4.5,23,3,3,1,2,3,2.5,0,4
NC_007795.1,1180.5,661.5,1095,849.5,76.5,170.5,39.5,239,65.5,232.5,67,411
NC_007795.1,108.6428571,92.5,101,67.5,8.5,24,3.5,23,8.5,18,8,33
NC_007795.1,45,28.5,34,28.5,3.5,6.5,0,2,8.5,6,0.5,7.5
NC_007795.1,89,250,52.5,178.1666667,46,7.5,19.5,17,40.16666667,30,23.5,14.5
NC_007795.1,14.25,34.57142857,7.75,14,3.571428571,0,0.5,2,2.5,3,0,2
NC_007795.1,196.5,102.5,167.6666667,111,13,27,10,40.5,21,49,10,54.5
NC_007795.1,83.5,92.5,55.5,85,5,10,2,11.5,18,32,11,28.5
NC_007795.1,59,116.5,49,99,6.5,10,4,8.5,27.5,34.5,4.5,17
NC_007795.1,54,47.7,22.66666667,27.8,4.7,4.333333333,1,14.5,4.5,7.666666667,0.5,14
NC_007795.1,838.8333333,595.5,631.1666667,607.3333333,75,149,35,156,42,148,58,275
NC_007795.1,80,89,65,100,11,12,3,25,11,28,7,33
NC_007795.1,63,180,41.5,129.5,19,9,15,7,6,13.2,13,30
NC_007795.1,68,204,45,133.5,15.5,4,13.5,12.5,8,10,11,19
NC_007795.1,41.61111111,101.5,20,54,10,8,7.5,5,5,8,5,3
NC_007795.1,1562.7,1170.5,1201,1585.666667,196,316,93.5,365,217,392,161.5,550
NC_007795.1,1,4.5,3,13.5,1,0,1.5,0,1,2,0.5,0
NC_007795.1,1,8.5,1,9,0,0,0,0,0,0,0,1
NC_007795.1,1,3.5,0,10,0.5,0,0.5,0,0,0,0,0
NC_007795.1,0.5,11,1.5,12.5,2.5,0,2.5,0,3,4,2,0
NC_007795.1,9.075,14.825,18.16666667,21.5,0.325,0.966666667,1.125,0,1.2,0.8,0.325,1.2
NC_007795.1,10,17,1.5,9,3,0,1,0,0,1,0,0
NC_007795.1,9.333333333,68,12,62,3,1,3,1,2,0,1.5,1
NC_007795.1,239.5,184,241,148,10,28,7,28,3,17,10.5,40.5
NC_007795.1,49.5,87.5,51,70.5,1,5.2,6,4.5,2.5,10.5,2.5,13
NC_007795.1,338.5,342,325.5,326,29.5,31.5,22.5,54.5,17,38.5,20,55
NC_007795.1,64.5,44.5,47.5,65,2.5,8.5,4.5,6,4.5,10,0.5,13.5
NC_007795.1,404,257,403,279,29,79,22,86,46,142,28,138
NC_007795.1,21,25,28,57,1,4,1,0,8,2,3,9
NC_007795.1,157.1428571,275,185.1428571,198.5,35,22,20,37,31,72,32,90
NC_007795.1,1996.5,1374,1931.166667,1722,163,291,102,353.5,238,484,182,608
NC_007795.1,18.5,25.5,11,16.5,2,0,1,5,4,5,2,8
NC_007795.1,80.5,210.5,35.5,186,14,9.5,7.5,10.5,6,4.5,5.5,7
NC_007795.1,24.5,60,6,54,1,0,4,0,2,3,1,0
NC_007795.1,25.5,76,26,56,5,2,2,6,2.5,7,2,9
NC_007795.1,63.5,152.5,52,151.1428571,12,6,13,4,1.5,14,6,14
NC_007795.1,161.5,173.5,67,132.5,20,18,10,18.5,7,7,8.5,15
NC_007795.1,26.66666667,78.5,9.666666667,53.33333333,6,1.166666667,6,4.5,3,5,3.5,10
NC_007795.1,605,521.6666667,555.6666667,440.1428571,75.2,92,18,123,21,82.25396825,24,141.1111111
NC_007795.1,1692.722222,2132,827.2777778,1370.694444,529,426,412.5,556.5,540.5,861,356.5,921.8333333
NC_007795.1,155.5,140.25,121.7,111,10.5,20.5,3,22.09090909,11,42.625,12,48.5
NC_007795.1,120,76.5,109,100,11.5,9.5,6.5,19,4,20.5,4.5,27
NC_007795.1,350,384,330,498.7,34,33,9.111111111,38,23,37,20,60
NC_007795.1,195.5,257.5,167.5,190.5,17,35,17,31,15.5,25.5,12,44
NC_007795.1,233.1666667,213.5,151.8333333,229.8333333,24.5,36,20,37,19.5,48.5,10.5,54
NC_007795.1,144.2142857,123.6071429,107.6428571,93.14285714,9.5,16.25,4.5,17.28571429,3,26.5,5.642857143,32
NC_007795.1,111.5,99.5,84,97.5,6.5,9.5,6.5,24.5,6.5,19.5,5,25.5
NC_007795.1,189.5,163,128,125.5,14.5,27.5,9.5,29,15,33,15.5,52.5
NC_007795.1,372,305.7142857,280.6428571,362,44,63,16.5,93.64285714,70.5,126,34.5,186
NC_007795.1,1522,1001,1349,1009.666667,145.5,240,75,345,62,135,46,237
NC_007795.1,3938.5,2438.5,3633.5,2610.833333,241,524,118.5,695.5,109.5,356.5,130.5,529.5
NC_007795.1,75065.5,44428.5,84032.5,62168.5,3586.5,7967,2580.333333,9696.5,1995.5,3551.5,2229.5,7402
NC_007795.1,949,793,910,1042,106,190,50,229,195,357,146,491
NC_007795.1,50.5,138.5,45,100.5,9,2,2.5,7,6,5.5,4,9
NC_007795.1,78.5,163.5,70,119.5,12,13.5,2.5,8.25,4.5,10,4.5,11.5
NC_007795.1,1130.666667,750.5,1041.5,947,52.5,110.5,18,108,29,66.5,19,107
NC_007795.1,490.8333333,328,521.5,417,26.5,50,11,48,11.5,27,6.5,44.5
NC_007795.1,19986.5,12370.83333,19810,13965,722,1665,304.5,1719.5,299.5,909.5,305,1499.111111
NC_007795.1,2669,1809,2517.5,1927.5,92,191.7,52.5,214,41.5,124,38.5,176
NC_007795.1,4257,7456.833333,4429,9093.7,568.5,400,235.5,372.7,553.5,367.5,324.5,464
NC_007795.1,46,169,12.5,96,7,3,7,5,7,3,8,7
NC_007795.1,28.96345133,37.48280434,24.39157268,25.38255078,6.421485532,5.609931078,3.549242424,7.262394958,8.666374269,5.933153323,1.162337662,7.877311985
NC_007795.1,89.25,210,67.5,217.5,11.5,12,10,20,6,22,10,20
NC_007795.1,25,50,31,46,2,14,1,4,10,27,6,21
NC_007795.1,18.33333333,41,15.5,23.5,4,2,1,1,2,7,2,4
NC_007795.1,54,161,29.5,84.5,12.5,6.75,6,6.5,7.5,8,6,9
NC_007795.1,221,171,118,128.5,19,35.5,14,25.5,27.5,53,28,65
NC_007795.1,14,39,4,48,1,0,2,2,4,1,0.5,0
NC_007795.1,147,156.5,81.85714286,117.2142857,15.28571429,24.30952381,9.642857143,24.78571429,16.64285714,41.5,11.5,57
NC_007795.1,39.5,57.5,32.83333333,26.5,4,3,0.5,3,1.5,10,1.5,18
NC_007795.1,47,104.5,23.5,71.5,11,1,6,4.5,11,6,4,15.5
NC_007795.1,20,51.5,22,44.5,5,3,5,2,4,2.5,2,3.5
NC_007795.1,3.5,2.5,2,11,0,0,0,0,1,0,0,4
NC_007795.1,21.5,121.5,32,92,10,0,9,0,3,6,3,5
NC_007795.1,33.5,139.5,36.5,101.5,9,2.5,6,8.75,2,7,10.5,6
NC_007795.1,20,97.5,13.83333333,121.7857143,14.5,1.5,1,2.5,8,1,4.5,9.5
NC_007795.1,20.16666667,122.5,11,66.5,6.5,4,5,3,5,4,6,5.5
NC_007795.1,21,36,15,19,3,2,4,4,3,18,4,10
NC_007795.1,34,140.5,24,118.5,12.16666667,2,14.16666667,4,4,5,10,8.166666667
NC_007795.1,16.14285714,89,21,70.5,6,2,7,3,4,8,2,9
NC_007795.1,116.3333333,243.3333333,109.5,199,18,11,18,10,8.5,10,10,22
NC_007795.1,40.5,115,17.5,86.64285714,13.5,7,7.5,6.5,5.5,10,8,16
NC_007795.1,114.5,207.8333333,51.16666667,122,19.5,9,8.5,8.5,6,17,9.833333333,25.16666667
NC_007795.1,22,29,6.5,36.5,2.5,4,3,5,0.5,4.5,1,6.5
NC_007795.1,60,116.5,34,61,12,5,8,10,3.5,15.5,5,27
NC_007795.1,24,43,8,31,2,1,3,2,3,4,1,2
NC_007795.1,117.5,74.5,87.5,92.33333333,9,11,2,10,1,17.5,4,26.5
NC_007795.1,26.5,59.5,25.64285714,59,6,3,2,5,3,4.5,5,10.5
NC_007795.1,48,129,49.83333333,96,12,3,7.5,4,1,19.5,6,15
NC_007795.1,20.5,70.5,11.5,93.5,11,0,2,1,0,3.5,3,4.5
NC_007795.1,6.5,30.5,7.5,43.5,1,2,0,2,1,1,2,3.5
NC_007795.1,309,215.5,213,185,21,70,12,89.5,43.5,118,30.5,142.5
NC_007795.1,111.5,107.5,104,78.5,11,16,5,28.5,15,33.5,12.5,32
NC_007795.1,101.5,95,107.3333333,83,8.5,16,8,30,37.5,88.5,14,91
NC_007795.1,162.1666667,415.5,113.3611111,322.75,33.5,22,23,24,20,40,28,54.5
NC_007795.1,305.5,322.3333333,249,284.75,36,34.2,13.5,42.5,25,54.5,21.5,97.66666667
NC_007795.1,102,150,73,111.5,6.5,10,5.5,11,8,19,8.5,31
NC_007795.1,119,226,89,190.5,19,21.5,14,32,13,32,15,26.5
NC_007795.1,24,127,8.5,57,5,1,6,1,7,3,2,4
NC_007795.1,267,126.5,90,84,12.5,23,4.5,29,51.5,129,23,102
NC_007795.1,230,194.5,174,154,13.5,36,13.5,51.5,117.5,169,34,93
NC_007795.1,256,291,212.2,196.5,33,26,18,33,18,47,16.33333333,63
NC_007795.1,205.5,185.5,142,223,11,15,12,22.5,7.5,14,8,30
NC_007795.1,9.5,18.5,5,40,2,0,0,2.5,1.5,2,1,2
NC_007795.1,72.16666667,330.5,42.5,166.5,19.5,7,11,6,6,5,11,11.5
NC_007795.1,26,138,20.5,98.5,13.5,0,6.333333333,3,7,3,7,1.5
NC_007795.1,61.5,110.6190476,79.5,84,7.5,9,6,11,10,22,6.5,27
NC_007795.1,46.5,33,29,35.5,4.5,5,2,6.5,10,10.5,2.5,17.5
NC_007795.1,132,307,72.5,215.25,28,25,13,30.5,27,63.5,22,78.5
NC_007795.1,32.66666667,126.8333333,34.5,81.5,12,2.416666667,7.333333333,1.5,1.5,4.666666667,4,6.25
NC_007795.1,28.64285714,91,9.25,94.14285714,10,5,6,1,3.5,7.5,5,2
NC_007795.1,123.3333333,471.3333333,84.5,320.3333333,41,9.166666667,29,16,22,21,20,23
NC_007795.1,146.5,112.5,82,91.5,8.5,23,4.5,15,19,31,7,59.5
NC_007795.1,136,194.5,73.6,193,15.5,11,4.5,17,29,25,14,32
NC_007795.1,52.5,129,15.16666667,90.5,7,1.142857143,9,5,10,0,3,9.5
NC_007795.1,63.5,132,62.5,123,12,9,5.5,9.5,8.5,11,9.5,21.5
NC_007795.1,25,58.5,27,61.5,5,1,7,3.5,6.5,5,4,12
NC_007795.1,49,54,41,33.5,8.5,7,1,5.5,2,12.5,3.5,16
NC_007795.1,138.5,312.5,113,271,23.5,9,9.5,17.5,9,19.5,15,32.5
NC_007795.1,1470,942,1394,985.5,82,192.5,32,263.5,119.5,261.5,73.5,372.5
NC_007795.1,88,147,89.5,131.5,7,14,6,10,10.5,24,8.5,25
NC_007795.1,46,63,48.5,35.14285714,4,4.5,6,6.5,4,5.5,3,14.5
NC_007795.1,64.5,106,44,71,8,11,7,5,5,7,7.5,8.5
NC_007795.1,85.5,104,69,91,20.25,7,5,16,8,10,6.5,15.5
NC_007795.1,91,55.5,110.5,55,14,21.5,6.5,29,3.5,13,2,16
NC_007795.1,426,340.5,368,299,59,79.5,22.5,120,52.5,82,26,93
NC_007795.1,813,672.3333333,797,803.2222222,191,435,142,423,78,194,46,190
NC_007795.1,117.5,178.25,141.5,163,5,17,7.25,10,8,9,13,27.5
NC_007795.1,18.5,101,35.5,75.5,5,7.5,4,4,5,4.5,5,7.5
NC_007795.1,62,81,47,51.5,7,5.5,11,12,24,20.5,7,23
NC_007795.1,9.5,7,4,9,2,1,0,1,1,1,1,2
NC_007795.1,52,173,55.5,167.5,22.125,8,6,9.5,9,9,5,21
NC_007795.1,115.8333333,360.5,66.58333333,311.5,30,13,17,12.5,17,24.5,13,30
NC_007795.1,78,90,68,77,7,13,3,14,12,44.5,8,31
NC_007795.1,184.5,168,142,115.5,11,20,16,28.5,12.5,12,7,32
NC_007795.1,31,42,14,51,4.5,2,4,6,9.5,7,7,4
NC_007795.1,142.8333333,345,110,245,28.5,8.833333333,14,11,1,22.16666667,11.25,33
NC_007795.1,82,223,82.59090909,162,10,2,5,5,5,11.5,9.5,12
NC_007795.1,25,73.5,20,55.5,8,2.5,2,4,4.5,8.5,1,14.5
NC_007795.1,82.66666667,173,58.66666667,84.83333333,15.5,4.5,5.5,10,13.5,13,4,32
NC_007795.1,130,181.5,83,164.5,37.5,37.5,25,43.5,62.5,81.5,37.5,97.5
NC_007795.1,332.5,500,240,506.5,42,80.5,34.5,74.5,162.5,208.5,63.5,201
NC_007795.1,18,60,7.5,18,5,2,2,8,2,3,3,5
NC_007795.1,195,216,183,146,18,25,6,29,22,62,10,75
NC_007795.1,151.3333333,139.5,165.5,175.5,10,21,9,17,10,36.5,2,26
NC_007795.1,3,8,3.5,17,0,0,0,0,0,3,0,2
NC_007795.1,35,38.5,19.5,26,2,6.5,1,3,1,6.5,0.5,7.5
NC_007795.1,18,102,18.5,74,8,3.5,6,5,8,7,6.5,3.5
NC_007795.1,0,4.5,0,2,0,1,0,0,0,0,0,0
NC_007795.1,15,14,19.5,17.5,1,0.5,0,1.5,1,6.5,2.5,6.5
NC_007795.1,8.5,19,14.5,27,1,1.5,0,1.5,3,4,2.5,8
NC_007795.1,12.5,28,23.5,46.5,1,5,1,3,2,1.5,0,8
NC_007795.1,140.3333333,695,79.11111111,437.6777778,55,3,32,20,6,15,17,30
NC_007795.1,320.2857143,390.5,300.7142857,389.1428571,28,38,16,37.33333333,22,62,26,74
NC_007795.1,813.5,431,834,496,61,158,25,179,200,676.5,103,584.5
NC_007795.1,79.33333333,98,79.66666667,130.5,12,16,5.5,15,5.5,16,9,41.5
NC_007795.1,65,86.5,59.5,51.66666667,8,11,1.5,12,5.5,20.6,4.5,30
NC_007795.1,37.5,50.5,29.5,89,3.5,7,1,10.5,31,27,11.5,18
NC_007795.1,3945.666667,3586,3324,3242,386,790,244,943,860,1393,579,1912
NC_007795.1,160,241.2142857,108.2857143,174,17.5,26.5,16.14285714,20,15.16666667,18.92857143,14.5,36.5
NC_007795.1,72.5,215.5,88,158,12.5,14.5,8,16.5,22.5,14.5,13,35
NC_007795.1,296.8333333,305,283,321.1666667,21,59,26,58.5,28.5,103,35.5,131.5
NC_007795.1,98.2,277,83.125,163,20,11.25,16,12,3.5,15,9,14
NC_007795.1,407.8333333,412.5,310,324,42,52.5,21,71.5,42,79,22.5,128
NC_007795.1,126.5,278.5,107.5,160,11,17.7,14,22.5,41,54,22.5,38
NC_007795.1,3512,2682,3220.5,2789,171.5,324.75,96.5,384.5,132.5,316.5,157.5,619
NC_007795.1,1448,1027.25,1344,1071,48,106.5,26.5,119.5,51.5,128.5,64.5,193.75
NC_007795.1,125.1666667,351,90.16666667,252.1666667,21,14,15,19,62.5,51,38,56
NC_007795.1,615,652,510.5,553.5,52,92.5,27,95,32,82,53,171
NC_007795.1,1648,1306,1338.5,1617.5,163,259.5,86,384,140,294,114,419
NC_007795.1,75,273.5,44,185.5,17,7.5,11,4,3,5,14,14
NC_007795.1,53.33333333,137,60,121.5,12,3.5,12,6,1,6,5,9
NC_007795.1,109.5,224,105.5,148.1666667,11,6,8,11,20,23.25,7,25.33333333
NC_007795.1,365.5,481.5,245.25,336,47.5,56.16666667,15,50,21.5,60.5,31.5,78.5
NC_007795.1,129.7857143,271.5,100.3333333,168.5,25.5,20,5,21,7.5,28.16666667,7.5,46.66666667
NC_007795.1,432.1666667,466.3333333,329.1666667,428.5,48,64,31.58333333,99.16666667,54,98,40,159
NC_007795.1,1919.5,1265,1964,1226,110,244,47,283,95,247,86,343
NC_007795.1,383,359,341.1666667,370,24,56,17,59,48,90,20,79
NC_007795.1,133.7,128,100,124.5,12,20,2,20,21,36,8,67.5
NC_007795.1,89.5,54,104,37,4,19,9,26,9,22,13,35
NC_007795.1,1280,1067,1167.5,1030,94,161,67,206,114,235,109,327
NC_007795.1,9284,8071,7971.833333,7320,878,1359,517,1866,1250,1875,664,2241
NC_007795.1,252,304.5,221.5,263,29.5,26,20,37,35,93.25,21,92
NC_007795.1,46,146,24,103,12.5,3,5,4,8,17,3,20.5
NC_007795.1,453,330,254.1666667,274.3333333,18,48,16,76,46,80,30,110
NC_007795.1,63.5,286,21.5,245.7,18,7.5,21,8,4,5.166666667,10.5,11
NC_007795.1,38.11111111,152,36.5,108.5,20,3.5,9,4.5,4,3,5,4
NC_007795.1,16.5,102,9,76,2,2,5,0.5,1,0,3,1
NC_007795.1,2,0,1,3,0,1,1,0,1,0,0,0
NC_007795.1,420.7857143,335.8571429,447.5,408.8809524,41.70238095,71.42857143,24.5,52.5,67.25,200.75,39.14285714,168
NC_007795.1,20.16666667,97,16.66666667,33,9,1.5,6,1,3.333333333,7,1,7.166666667
NC_007795.1,92,110,98.16666667,55,5,3,4,3,3,2,0,6
NC_007795.1,83,146.5,26,117,11,12,2,13,3,7,3,16
NC_007795.1,131,126,85.16666667,121,10,18,4,21,32,30,13,34
NC_007795.1,42,161.5,25,108.5,12,2,8.5,1,3,3,3,6
NC_007795.1,35,159.5,15,72.83333333,15,2,11.5,6,4,3,5,12
NC_007795.1,0.5,8.5,1,3.5,0,0,0.5,0,1,0,0,0
NC_007795.1,73.14285714,169.7142857,70.57142857,124.952381,14,8.166666667,7,11.5,11,17.5,5.5,17.66666667
NC_007795.1,117.25,465,69,294,40,6,15,11,2,6,10,20
NC_007795.1,15,56.66666667,14,39.16666667,4.5,1.166666667,1.166666667,3.166666667,6.5,8,2,6
NC_007795.1,775.3611111,827,644.1666667,699.5,89,93,59.5,117,138.1666667,128,89,184
NC_007795.1,36,138.5,24,114,13,2,10,3,4,2,10,2
NC_007795.1,206.1666667,151.5,138.5,150,24.5,39,9,38,40.5,114,21.5,104.5
NC_007795.1,8.5,18.5,9.315018315,19.28571429,2,0.5,1.166666667,1,0,0,1,2.142857143
NC_007795.1,19,116,33,114,13,3,13,4,1,3,4,1
NC_007795.1,1,11.5,0,2,0,0,0,0,0,0,0,0
NC_007795.1,772,788,761,747,65,72,35,94,83,192,46,194
NC_007795.1,1014,850,840,687.5,110,225,62,251,112,283,68,388
NC_007795.1,52.5,97.5,72,59,7,1,2,5,37,35,9,46.5
NC_007795.1,74.64285714,195,47.28571429,127.5,11,15,9,18,12,23.2,11,33.5
NC_007795.1,274,243.6666667,210,248.5,18,29,12,40,23,53,13.14285714,66
NC_007795.1,2,11.5,3,4.5,0,0,2,0,0,2,0,0
NC_007795.1,123,138.7619048,118,123,13,20,7,24,8,40,8,37
NC_007795.1,1,18,0,2,4,0,0,1,0,1,1,0
NC_007795.1,265.5,180.5,220,130.5,17,39,15.5,33,45,96,38,77.5
NC_007795.1,848,800.5,530,606.5,118,164,63.5,196,436,643,125.5,393.5
NC_007795.1,120.0833333,221.25,85.25,160.5,18,16,11.5,21.5,12.5,44.5,16,35.5
NC_007795.1,297.3333333,349.5,238,242.125,35,32.5,30,43.5,24.5,82.75,30.5,108
NC_007795.1,69.5,129.5,32,150,9,5,6,4.5,3.5,17,3,19
NC_007795.1,81.5,77.5,61.33333333,56.5,10,12,4,18.5,11.5,25,16,30.5
NC_007795.1,438.5,354.5,393,387.5,37,57,12,48,16.5,44,17.5,72
NC_007795.1,820.5,558.5,825,567.5,36,103,32,152,42.5,103,29.5,128
NC_007795.1,256,160,128,107,28,46,19,52,33,102,29,131
NC_007795.1,42,82,52,71,11,14,8,13,1,19,5,24
NC_007795.1,119,80.5,75.5,78.5,13,24.5,6,18,19,39,13,69.5
NC_007795.1,55,82,34.5,55.5,9,5.5,0,3.2,9,12,3,14.5
NC_007795.1,84.5,131.5,87,113,13,11.5,3,13.5,16,32,18.5,37
NC_007795.1,140.5,216.5,127,307.8333333,35.66666667,10.83333333,11.33333333,26.5,30,54,16.5,53
NC_007795.1,97,76.5,84.16666667,72.5,5,22.5,2,21,13,40.5,8.5,68
NC_007795.1,43.5,67.5,34,68.33333333,13,6.5,9.5,7,22,36,5.5,16
NC_007795.1,51.5,175,41.5,165.5,15,5,14.5,7,11,9.5,6,16.5
NC_007795.1,48,171,35,128,20,6,11,10,8,8,5,8
NC_007795.1,46.33333333,192,24.25,195,14,4,8.5,7,9,2.166666667,8,15
NC_007795.1,179.5,169,193,136,18.5,43,17,43,26,49,14,54
NC_007795.1,76.5,236.5,44.83333333,211,15.5,7,12,5,4,8.25,10,14
NC_007795.1,81,394,28,261,26,4,14,13,20,10,16.5,11
NC_007795.1,42,118,20,113,10,2,10,2,2,0,4,8
NC_007795.1,5,13,4,0,0,0,1,1,0,3,1,1
NC_007795.1,350,260,310,228,37,71,10,115,15,36,7,56
NC_007795.1,446.5,402.5,375.5,394.5,55.5,80.5,25.5,112,82.5,167.5,46.5,197
NC_007795.1,147,136,136.5,128,16.5,24.5,7.5,30,31.5,49.5,11,55
NC_007795.1,752.4333333,673.05,664.4,593.3333333,89.83333333,112,61.66666667,161.8333333,126.6666667,231.3333333,67.83333333,258.3333333
NC_007795.1,20.4,70.5,7,52.2,7,0,3,3,2,1,4,4
NC_007795.1,31.75396825,114,24.83333333,100.7222222,11.16666667,2,7,5,2,0,5,0
NC_007795.1,15.5,104.5,6.5,85,9.5,1.5,4,2,3,1,4,2
NC_007795.1,53,172,33.91666667,106,14.5,1.5,5,5,8,0,11,5
NC_007795.1,23,135,23.33333333,140.6666667,11.5,3.166666667,5,2,13,20,7,14.33333333
NC_007795.1,8.666666667,25.16666667,4.333333333,28,3,0,2.5,0,0,3,2,0
NC_007795.1,42,127.5,13.66666667,59.16666667,9.166666667,3.166666667,6.5,1,1,1,3,6.5
NC_007795.1,4,44.9,9,45,3,1,2,1,0,4,2,0.5
NC_007795.1,32,49,29,39,0,6,5,5,3,18,3,11
NC_007795.1,97,48,74,69,14,11,14,26,18,41,8,40
NC_007795.1,7,23,9,9,4,2,0,0,1,2,0,1
NC_007795.1,13,6,10,2,2,4,2,1,0,1,0,3
NC_007795.1,5.5,31,5,19,4.5,0,0,1,1,4.5,2,0
NC_007795.1,49,109,26.18181818,70,6,2,11,5,3,3,1,7
NC_007795.1,284,224,205,209,13,14,4,23,43,32,9,31
NC_007795.1,20,57,18,40,4,3,3,1,9,4,1,3
NC_007795.1,14,71.33333333,11.5,38,2,1.5,6.5,4,0.5,0,2.5,1
