gene_ID,C1_81,C1_82,C1_83,D1_81,D1_82,D1_83,E1_81,E1_82,E1_83
SKAG_01992,13406,15422,12811,4625,6454,6909,7623,8201,3907
SKAG_01993,12362,13138,11887,8030,9217,11294,8850,9647,5986
SKAG_00135,8034,7496,9454,4098,5932,7156,5677,8062,6838
SKAG_00134,12101,11841,10076,7139,9297,11414,10063,13297,9950
SKAG_00137,83377,85498,81486,34280,41914,45341,40748,50612,34666
SKAG_00136,984,899,1100,601,697,864,717,896,767
SKAG_00131,254298,257674,237989,125118,134564,163166,134535,154930,110230
SKAG_00130,56762,64124,57026,24742,25212,31644,27547,30878,19181
SKAG_00133,29297,29479,29773,14164,19736,23090,18675,27619,19832
SKAG_00132,1354,1732,743,140,404,412,559,727,146
SKAG_00139,34540,37959,38091,9722,10860,12800,11252,15554,10087
SKAG_00138,17127,19090,20382,4789,6344,7141,6491,9147,5838
SKAG_01848,772,698,754,496,686,828,700,1090,706
SKAG_01849,1133,1044,1004,679,967,1295,877,1444,1124
SKAG_01846,7696,7426,7749,4878,5656,7006,5285,6124,5301
SKAG_01847,7206,7112,7917,5504,6372,8249,6024,6233,5200
SKAG_01844,5613,5807,5759,3797,4817,5881,4558,5018,3420
SKAG_01845,7049,6281,6173,3733,4506,5891,4480,5518,3985
SKAG_01842,54872,55394,51121,18657,21782,23666,21286,28914,18919
SKAG_01843,20294,21433,22449,9195,10479,12059,9802,11193,8409
SKAG_01840,8610,8732,8049,3115,3480,4403,3118,4426,3004
SKAG_01841,51183,54768,52085,17308,20177,24105,19462,28924,19613
SKAG_00823,13965,13868,13823,4621,5397,6644,5780,7211,4711
SKAG_00822,10531,10601,9880,4185,5181,5655,5327,6148,4407
SKAG_00821,14622,13873,13528,5643,6665,7792,6489,8473,6076
SKAG_00820,299750,258695,275794,77928,108563,123486,122142,196506,115029
SKAG_00827,80049,75933,72189,39918,45216,51529,44322,63887,42170
SKAG_00826,291945,276656,265947,129648,155795,173480,159361,232131,145356
SKAG_00825,81989,77730,81097,41296,49725,55786,49061,75265,48219
SKAG_00824,11557,11623,12679,4514,5190,6081,4834,6348,4432
SKAG_01536,39642,41171,40481,18260,22686,26208,20376,27969,20335
SKAG_02692,0,0,0,0,0,0,0,0,0
SKAG_00829,54111,58420,55779,21882,33564,33079,33368,44330,25406
SKAG_00828,153027,140572,153529,67942,83101,89314,75632,110579,82260
SKAG_01532,71403,77133,78392,33563,36416,42028,37091,50412,34846
SKAG_01533,23416,28092,30457,4446,6014,6810,7013,14098,6665
SKAG_01531,105655,111589,110462,52659,61863,70226,57250,83860,59937
SKAG_01666,2325,2803,3328,649,917,1255,945,1245,800
SKAG_01667,390,353,410,160,218,355,162,263,180
SKAG_01196,736,726,740,300,450,476,323,457,345
SKAG_01665,19608,20453,22169,9678,12051,13839,10481,13733,9639
SKAG_01662,9470,9500,8051,2507,3089,4010,3871,5289,2838
SKAG_01663,9124,9103,8664,2652,3127,3898,3763,5206,3046
SKAG_01660,670,887,378,141,288,202,268,332,88
SKAG_01661,0,0,0,0,0,0,0,0,0
SKAG_01198,959,856,929,317,409,602,397,652,400
SKAG_01199,620,525,588,241,399,568,327,580,395
