,mRNA.6008.2h.TEM,mRNA.6008.2h.Cefto,mRNA.6008.2h.Linezo,mRNA.6008.2h.Tige,mRNA.6008.2h.Vanco,mRNA.6008.6h.TEM,mRNA.6008.6h.Cefto,mRNA.6008.6h.Linezo,mRNA.6008.6h.Tige,mRNA.6008.6h.Vanco,mRNA.6009.2h.TEM,mRNA.6009.2h.Cefto,mRNA.6009.2h.Linezo,mRNA.6009.2h.Tige,mRNA.6009.2h.Vanco,mRNA.6009.6h.TEM,mRNA.6009.6h.Cefto,mRNA.6009.6h.Linezo,mRNA.6009.6h.Tige,mRNA.6009.6h.Vanco,sRNA.6008.2h.TEM,sRNA.6008.2h.Cefto,sRNA.6008.2h.Linezo,sRNA.6008.2h.Tige,sRNA.6008.2h.Vanco,sRNA.6008.6h.TEM,sRNA.6008.6h.Cefto,sRNA.6008.6h.Linezo,sRNA.6008.6h.Tige,sRNA.6008.6h.Vanco,sRNA.6009.2h.TEM,sRNA.6009.2h.Cefto,sRNA.6009.2h.Linezo,sRNA.6009.2h.Tige,sRNA.6009.2h.Vanco,sRNA.6009.6h.TEM,sRNA.6009.6h.Cefto,sRNA.6009.6h.Linezo,sRNA.6009.6h.Tige,sRNA.6009.6h.Vanco
SAA6008_00150,5,0,4,2,1,216,364,435,575,254,0,9,18,39,3,60,130,299,339,63,2,11,4,12,5,12,12,74,60,32,19,99,133,665,74,10,23,48,78,42
SAA6008_00151,3,4,1,1,2,280,343,344,517,211,2,5,15,20,4,78,107,247,269,59,1,0,3,2,0,2,2,2,1,3,5,2,8,23,3,0,0,2,7,3
SAA6008_00152,20,25,25,21,14,266,497,430,647,370,6,11,29,53,15,73,221,314,361,121,0,3,3,4,0,0,6,17,5,3,4,4,10,19,1,0,2,2,1,2
SAA6008_00153,53,106,122,75,80,72,160,121,148,78,13,37,66,96,26,22,73,103,96,30,1,1,2,1,1,0,0,2,1,2,0,3,1,6,2,0,0,2,3,0
SAA6008_00154,9,27,17,11,18,8,9,12,20,6,5,6,9,34,10,6,6,22,6,7,1,6,8,11,1,11,19,105,21,19,13,28,60,33,28,9,21,60,27,16
SAA6008_00155,19,15,6,15,8,10,14,18,23,2,4,14,17,40,5,16,38,86,43,19,3,6,2,0,4,1,1,6,3,1,0,4,6,6,3,0,14,5,2,3
SAA6008_00155/2,25,39,55,33,18,33,73,78,77,32,43,46,70,144,22,62,237,399,196,86,1,1,2,0,0,4,5,28,6,3,0,4,16,17,1,3,1,16,3,1
SAA6008_00157,161,203,310,170,120,392,653,976,671,350,421,605,1616,2883,813,825,2616,5308,2445,890,6,29,15,1,13,1,22,84,44,3,2,25,22,41,61,5,169,39,37,29
SAA6008_00158,23,28,33,16,9,29,48,82,43,35,38,42,107,208,49,62,194,370,151,46,2,17,15,0,15,4,24,57,47,2,0,20,2,50,60,3,136,15,49,33
SAA6008_00159,19,24,41,26,13,83,152,159,172,91,74,98,161,225,84,72,186,170,112,68,0,11,2,0,0,0,6,0,0,0,0,0,0,1,2,0,4,0,1,1
SAA6008_00160,1,4,4,0,0,3,3,9,3,1,2,3,4,3,3,1,3,4,1,1,1,2,34,1,1,0,2,176,6,1,0,0,83,0,2,0,10,211,1,5
SAA6008_00161,1,4,2,1,1,1,7,4,1,0,2,2,4,4,0,1,7,5,0,0,8,29,38,1,20,2,26,76,47,1,1,38,10,47,63,2,297,12,43,48
SAA6008_00162,0,0,3,0,1,2,4,3,2,1,0,1,5,4,4,1,5,3,0,1,10,101,47,102,9,128,622,371,131,406,0,11,13,17,14,132,703,450,243,171
SAA6008_00163,1,0,4,0,2,1,3,0,13,0,0,3,2,1,4,1,2,0,1,1,112,534,205,104,142,33,84,142,79,57,71,133,169,307,260,49,30,218,48,43
SAA6008_00164,5,12,17,15,9,38,83,27,39,35,31,56,31,28,44,18,80,31,19,11,5,7,167,0,7,0,2,77,6,1,48,3,267,19,9,2,11,43,4,3
SAA6008_00165,88,102,133,107,78,250,191,87,282,125,109,108,104,155,136,115,155,94,300,90,20,43,63,4,34,10,47,232,135,3,10,75,97,113,115,22,378,98,114,72
SAA6008_00166,20,58,76,42,31,170,436,72,368,165,79,130,73,112,97,88,355,122,362,134,32,1279,412,1057,98,473,1536,1638,541,1813,672,2531,1899,795,1383,351,1974,1194,1020,952
SAA6008_00168,63,139,154,56,60,123,323,1366,155,126,498,908,1372,1352,627,160,319,1382,158,95,2,28,2,0,4,1,11,11,13,0,3,6,2,8,3,3,62,3,10,6
SAA6008_00169,6,2,3,3,3,536,963,172,765,473,10,28,26,69,18,440,1411,179,1020,544,3,2,4,9,3,4,2,1,6,3,1,1,0,1,8,4,5,0,2,2
SAA6008_00170,2,3,8,5,5,729,906,222,851,558,4,11,24,83,10,528,1243,305,1432,658,19,67,74,2,16,43,102,162,133,47,17,48,66,195,74,22,39,158,61,69
SAA6008_00171,20,8,16,7,11,639,958,326,902,440,12,16,26,51,6,532,1421,390,1367,563,2,26,12,10,1,5,4,1,0,5,1,8,6,11,15,3,4,1,5,1
SAA6008_00172,7,7,10,8,6,343,608,302,629,303,13,7,24,35,10,362,1043,398,993,475,0,0,0,1,1,0,3,3,8,14,0,1,1,2,1,2,6,3,16,13
SAA6008_00173,19,16,15,19,15,209,322,294,324,192,73,124,107,215,106,112,311,244,264,135,3,57,54,27,3,9,29,44,9,40,6,19,30,15,46,4,29,13,5,10
SAA6008_00174,37,109,139,73,59,58,93,210,147,41,102,129,386,1069,56,62,116,254,226,52,3,4,7,2,0,4,6,25,6,10,0,3,8,11,18,2,1,23,3,2
SAA6008_00175,9,12,12,8,6,73,103,318,120,61,8,20,62,109,11,31,64,197,52,28,1,1,0,0,0,0,0,0,1,3,1,2,0,17,3,0,1,1,4,0
SAA6008_00176,1,1,0,0,0,0,7,5,5,2,0,0,0,1,0,0,2,0,0,3,3,23,4,2,1,7,17,7,15,14,0,6,4,2,32,1,3,10,1,9
SAA6008_00177,0,1,1,0,0,3,4,4,11,2,0,0,1,5,0,0,10,11,2,1,5,10,8,0,14,4,15,15,32,3,0,14,2,24,43,3,102,1,22,29
SAA6008_00178,4,5,7,1,0,14,35,27,12,13,4,11,11,20,6,11,16,21,9,6,5,13,11,1,17,10,15,83,64,2,11,42,3,69,92,13,212,6,91,62
SAA6008_00179,9,8,18,7,6,12,28,48,35,19,11,18,39,37,13,6,14,30,12,9,1,6,5,3,4,9,20,16,7,12,1,2,12,13,30,5,14,11,8,6
SAA6008_00180,14,25,41,25,14,2,5,13,2,2,2,1,8,9,3,3,4,8,1,1,29,27,56,7,56,16,32,183,447,6,0,51,40,555,220,34,284,46,471,156
SAA6008_00181,465,677,833,685,477,2,3,2,5,1,9,7,8,18,6,3,3,5,3,1,4,19,27,0,30,4,27,98,69,3,0,42,13,66,87,13,259,10,78,56
SAA6008_00182,2,2,0,0,1,13,29,8,20,10,3,57,30,63,25,7,22,7,17,12,2,15,5,0,11,1,17,51,47,6,1,34,6,44,86,3,197,7,39,66
SAA6008_00183,2,1,2,1,1,11,42,5,30,24,8,10,10,25,3,11,59,7,24,13,36,9,9,0,17,374,11,59,35,241,267,15,15,37,328,143,63,29,15,636
SAA6008_00184,2,2,1,1,5,23,42,5,32,32,11,6,10,21,7,16,55,11,41,21,28,617,200,150,36,268,318,782,706,357,129,232,557,1956,1000,306,300,1829,886,232
SAA6008_00185,1,4,7,4,5,9,29,6,21,3,3,1,3,5,5,9,18,8,13,13,3,12,3,0,8,0,12,38,32,0,0,14,3,34,35,5,82,26,23,35
SAA6008_00186,6,13,17,9,9,39,88,41,54,39,3,7,22,32,11,31,105,31,69,36,1,14,9,0,14,2,7,25,9,78,0,9,3,3,131,2,62,2,6,170
SAA6008_00187,7,1,13,3,4,23,45,12,26,23,3,1,18,11,4,19,59,12,35,18,10,47,19,11,4,18,32,19,11,20,1,2,8,7,24,7,10,11,11,11
SAA6008_00188,9,15,24,21,17,31,76,28,31,16,3,11,11,12,20,21,56,29,51,24,5,21,16,1,15,3,13,102,45,2,0,17,12,26,55,7,108,17,26,26
SAA6008_00189,0,3,0,0,0,2,25,21,9,3,18,53,97,225,4,4,20,20,8,4,4,16,19,0,27,2,14,35,41,1,4,15,3,38,42,7,104,7,74,43
SAA6008_00190,8,5,10,4,4,49,83,38,88,45,3,10,13,35,8,24,57,38,71,24,0,2,2,9,0,2,3,7,7,6,3,7,6,2,4,1,4,5,1,5
SAA6008_00191,6,8,7,4,2,5,27,25,16,8,12,41,19,29,20,12,32,33,24,16,13,18,47,4,4,74,46,92,141,39,9,6,37,79,143,62,31,78,97,37
SAA6008_00192,3,9,10,3,6,8,22,15,11,11,17,25,17,10,12,5,21,18,10,3,2,6,7,0,1,29,30,85,46,8,5,16,28,41,17,20,16,110,37,15
SAA6008_00193,2,5,4,2,0,2,13,7,5,6,2,13,8,12,5,4,18,10,6,0,1,17,4,0,7,0,9,41,12,0,0,11,3,24,44,1,88,6,23,21
SAA6008_00194,71,81,106,85,65,1429,2740,4023,3291,1677,2316,3295,2967,7507,600,1285,2316,4413,3539,1201,13,9,25,1,15,6,18,59,100,7,1,16,8,76,85,5,124,25,101,118
SAA6008_00195,16,26,35,18,13,114,346,509,214,116,147,344,225,392,18,110,246,581,183,95,14,57,97,4,21,13,55,188,133,6,3,90,42,106,109,27,339,124,147,75
SAA6008_00196,0,0,0,0,0,0,2,4,0,2,2,4,2,9,1,0,0,2,0,0,3,3,13,0,8,1,6,28,21,1,1,12,3,21,25,2,74,9,16,19
SAA6008_00197,3,11,12,8,2,37,86,84,69,30,52,92,127,131,75,27,58,74,35,23,1,4,3,6,2,5,15,58,15,26,4,9,23,23,6,1,6,12,16,4
SAA6008_00198,1,4,8,5,2,3,8,13,2,4,4,9,89,119,7,1,7,7,6,3,0,2,201,0,1,1,0,391,7,0,0,1,252,16,5,4,8,312,8,2
SAA6008_00199,12,28,30,15,7,20,68,54,38,29,258,520,2254,1533,162,65,164,149,114,40,0,0,1,3,0,0,0,2,2,0,1,4,9,5,0,1,0,6,3,0
SAA6008_00200,19,33,43,25,16,21,36,17,40,22,4,2,7,27,6,9,13,9,41,10,3,12,1,3,6,0,14,37,83,1,1,18,0,169,26,3,81,4,50,19
SAA6008_00201,18,43,49,38,29,32,63,12,56,30,0,0,8,18,2,20,38,13,34,18,19,47,45,21,2,33,63,162,56,51,51,59,110,155,19,25,61,151,105,49
SAA6008_00202,17,30,32,20,16,10,25,1,26,16,0,0,0,4,1,5,15,4,14,4,4,15,13,1,2,3,17,55,35,1,0,18,5,30,14,5,155,13,45,10
SAA6008_00203,24,42,43,19,18,13,27,5,12,2,2,4,2,4,1,3,16,4,28,9,2,21,18,1,13,4,33,61,105,4,0,45,6,128,56,5,248,20,110,37
SAA6008_00204,45,56,73,39,34,30,108,32,76,40,7,5,13,13,11,21,60,26,64,31,0,19,7,16,1,10,33,34,29,48,12,37,34,60,34,7,18,24,27,15
SAA6008_00205,2,3,4,4,6,7,10,12,8,3,8,11,8,14,3,6,20,12,4,6,3,3,0,5,0,21,35,33,18,75,14,32,47,26,18,7,18,30,31,15
SAA6008_00206,1,6,3,6,4,32,34,27,18,16,19,45,32,33,25,12,18,21,21,17,0,0,0,0,1,1,7,19,10,23,1,4,8,13,8,19,49,42,89,41
SAA6008_00207,52,79,101,47,32,44,78,150,62,34,50,64,118,219,27,37,100,194,74,30,2,19,39,2,4,3,7,47,19,6,6,15,52,197,7,3,4,64,16,10
SAA6008_00208,5,4,3,5,1,8,11,22,11,2,1,2,1,1,1,1,3,16,3,4,1,3,2,2,3,2,1,5,2,3,0,1,2,5,4,0,1,2,3,3
SAA6008_00209,1,8,8,1,2,2,10,6,0,2,3,9,2,2,0,1,2,7,4,2,11,4,7,1,0,18,17,59,48,18,24,19,25,43,31,36,35,53,29,27
SAA6008_00210,72,103,113,64,64,66,202,142,182,72,133,256,45,66,40,40,105,100,66,38,1,3,5,1,1,5,16,20,9,6,2,7,24,46,7,1,17,18,9,1
SAA6008_00211,89,181,296,143,99,1665,2811,5618,2848,1852,3115,3311,4231,7734,1199,1377,2624,6487,3097,1445,63,509,446,17,30,181,661,2499,728,570,285,881,3425,3699,204,167,635,2323,660,625
SAA6008_00212,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,42,38,8,2,17,229,475,65,42,16,124,156,56,34,16,87,302,24,17
SAA6008_00214,2,2,2,2,1,1,3,4,3,2,0,3,3,7,2,1,0,11,2,1,7,28,32,19,8,48,88,1149,1899,108,32,63,646,8600,24,18,64,700,833,81
SAA6008_00214/2,3,7,7,8,3,0,4,6,7,1,3,6,8,18,2,1,1,4,7,5,5,35,24,1,10,3,378,53,25,4,1,260,13,41,57,4,381,17,30,53
SAA6008_00215,16,11,30,15,16,19,27,16,18,17,33,45,44,106,19,13,23,26,20,17,7,8,8,4,6,13,4,15,13,42,17,9,8,35,41,1,4,5,5,22
SAA6008_00216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,1,10,125,1,2,1,3,54,1,0,0,39,95,1,3
SAA6008_00217,4,7,8,5,5,14,47,51,41,28,8,37,25,57,7,9,25,49,26,17,4,20,30,39,37,8,14,282,61,68,13,30,294,348,73,5,10,233,219,35
SAA6008_00218,1,2,2,1,0,4,8,6,5,1,3,4,1,7,0,0,8,7,2,2,5,1178,18,0,11,0,416,102,25,0,0,606,77,19,22,2,442,81,15,20
SAA6008_00219,2,1,4,4,3,5,6,6,12,8,3,3,1,11,5,0,1,4,22,1,11,7,2,1,27,6,13,26,36,1,4,9,2,14,23,6,92,4,25,28
SAA6008_00220,0,1,4,6,7,10,23,12,14,9,9,8,14,13,5,4,11,16,8,6,0,2,47,3,0,2,4,23,1,5,3,2,36,32,10,0,5,28,8,2
SAA6008_00221,5,7,16,8,7,15,13,25,20,10,11,15,28,36,14,7,11,29,18,8,2,45,10,6,0,91,584,103,342,70,6,210,24,80,86,105,220,38,59,48
SAA6008_00222,0,1,2,1,2,0,1,1,0,2,1,2,2,7,1,0,2,9,5,1,21,186,92,75,41,176,415,811,417,548,5,107,39,45,194,58,174,248,91,160
SAA6008_00223,4,10,14,5,6,5,16,24,5,8,4,10,12,16,7,4,12,22,9,8,0,14,57,4,5,23,57,170,57,48,0,3,80,18,63,34,40,257,38,88
SAA6008_00224,25,29,52,34,22,42,60,27,65,37,32,41,35,55,40,17,37,31,34,10,0,4,1,0,2,1,2,2,1,1,0,9,1,4,3,1,28,3,6,0
SAA6008_00225,14,17,20,10,6,10,30,13,22,18,17,28,29,30,11,10,20,19,11,5,3,5,0,7,1,19,14,17,61,129,8,11,6,71,30,11,1,12,55,16
SAA6008_00226,26,30,29,22,17,33,70,70,51,35,47,80,86,88,49,20,70,77,29,23,0,3,7,2,0,0,0,21,0,0,0,1,8,1,0,0,0,16,0,0
SAA6008_00227,0,0,0,2,0,0,0,1,1,1,0,1,0,2,2,0,2,1,0,0,0,0,0,0,0,2,2,1,8,7,0,1,1,0,1,2,5,0,9,14
SAA6008_00228,146,250,288,172,113,68,151,138,120,66,49,96,63,82,41,29,77,98,41,25,3,29,15,0,8,79,143,495,133,458,319,379,541,437,576,201,127,324,135,867
SAA6008_00229,155,200,270,150,133,140,251,258,174,132,134,147,148,194,100,87,162,195,84,62,4,60,25,10,0,23,17,12,13,28,1,2,12,14,24,9,14,9,18,18
SAA6008_00230,226,389,431,204,169,203,435,454,242,196,179,257,309,239,173,133,413,380,157,139,5,10,106,0,9,27,4,370,9,6,41,5,201,10,13,30,46,302,6,21
SAA6008_00231,394,568,747,361,284,449,938,1081,539,347,574,750,814,770,374,290,757,1003,364,244,6,26,15,32,7,5,10,43,22,24,5,6,23,45,16,7,8,19,7,7
SAA6008_00232,563,684,970,547,474,579,1024,1397,783,496,793,984,1196,1454,567,382,903,1452,607,346,0,4,13,0,0,3,2,4,1,1,0,0,2,5,14,0,0,0,0,0
SAA6008_00233,42,59,70,46,34,196,286,509,467,173,147,185,212,352,54,150,243,523,386,135,8,48,42,36,15,5,21,18,15,17,17,38,33,22,13,2,8,7,6,5
SAA6008_00234,4,12,14,8,3,49,113,139,70,39,64,78,108,207,69,28,73,104,60,37,1,8,22,4,5,0,9,36,11,0,0,6,2,11,10,1,51,12,7,8
SAA6008_00235,0,8,2,1,2,10,38,24,26,12,13,35,36,52,5,7,40,30,18,9,4,36,34,50,19,7,24,10,30,69,0,0,6,23,144,3,2,1,7,14
SAA6008_00236,1,1,2,0,2,3,6,13,5,5,0,7,7,5,1,4,24,5,16,6,23,100,47,0,44,11,96,118,93,3,0,97,21,73,77,17,557,26,97,71
SAA6008_00237,1,9,8,5,9,10,11,13,19,4,8,5,7,28,11,29,79,15,74,29,0,1,1,0,0,3,2,0,1,1,0,0,0,1,1,0,0,1,0,0
SAA6008_00238,0,5,6,2,3,4,19,32,19,4,0,1,3,12,1,5,6,24,9,2,2,5,5,3,5,7,22,19,6,15,4,2,10,10,32,9,17,11,7,3
SAA6008_00239,15,27,28,12,12,16,25,35,13,13,18,63,69,142,15,15,26,52,11,12,6,42,72,0,16,5,36,269,46,1,1,31,21,48,54,6,211,52,39,47
SAA6008_00240,15,14,28,12,8,7,10,21,5,4,22,37,62,102,24,2,4,17,3,1,5,6,3,12,3,9,6,17,49,43,4,23,30,135,89,0,5,14,24,10
SAA6008_00241,15,25,38,27,22,30,33,58,41,16,81,67,126,186,77,26,27,60,38,21,296,1,47,0,3,314,2,182,0,2,207,0,140,2,6,534,8,85,1,16
SAA6008_00242,1,1,1,0,0,1,5,2,3,2,0,1,1,3,1,0,4,0,4,1,881,6549,4258,4256,939,3187,5994,6573,4698,7447,4437,6044,7502,4418,5031,4089,5561,4850,3927,3444
SAA6008_00243,4,18,13,17,8,10,34,20,28,13,15,30,23,29,11,10,28,22,18,6,414,3,6,0,1,194,9,8,3,3,208,5,3,5,5,111,10,3,0,5
SAA6008_00244,2,1,2,3,2,3,10,4,6,3,5,4,8,10,7,3,1,3,6,2,4,50,125,11,1,12,18,280,64,12,16,29,82,147,11,20,32,300,52,12
SAA6008_00245,5,6,6,12,6,14,11,6,12,15,12,10,18,22,24,9,15,12,12,4,32,304,121,205,67,154,400,638,458,829,247,292,601,964,1007,105,167,354,372,327
SAA6008_00246,23,41,64,56,38,18,38,46,43,20,29,26,41,112,26,15,35,48,43,13,45,19,22,0,11,16,22,51,63,2,2,16,5,39,29,29,88,8,36,20
SAA6008_00247,6,3,10,4,5,12,29,27,29,9,10,11,15,18,12,8,22,31,17,8,3,14,11,0,25,5,16,72,48,2,1,30,0,42,44,6,152,5,30,37
SAA6008_00248,5,7,2,1,0,4,5,12,2,1,6,6,16,23,1,2,9,15,8,4,0,0,8,0,1,0,2,30,1,4,0,0,10,6,4,1,5,15,1,0
SAA6008_00249,9,19,12,15,10,8,26,21,27,11,9,5,26,60,7,2,10,25,24,3,2,6,8,12,4,30,32,5,20,52,7,19,14,3,39,26,16,3,21,15
SAA6008_00250,113,179,263,91,86,89,157,608,113,84,23,34,63,105,56,31,78,397,69,32,13,196,73,52,52,24,67,128,80,623,57,158,113,172,858,7,38,99,61,477
SAA6008_00251,6,8,9,3,2,31,42,35,32,21,2,2,6,5,4,2,22,22,9,5,0,0,0,4,1,1,1,1,2,0,0,0,0,0,2,0,1,1,0,0
SAA6008_00252,1,5,8,1,2,29,65,43,42,27,4,6,6,9,13,4,23,19,11,11,1,2,9,2,0,18,25,96,36,22,10,22,56,47,11,10,9,48,37,22
SAA6008_00253,0,3,5,1,1,14,40,31,36,14,1,8,3,5,4,3,23,12,9,4,4,14,18,0,14,2,12,39,37,2,0,8,3,30,26,3,75,13,38,26
SAA6008_00254,23,52,49,20,10,156,508,430,197,118,27,59,66,29,30,30,185,211,49,33,0,1,4,2,1,0,7,7,0,17,2,1,4,1,23,1,4,1,1,1
SAA6008_00255,3,4,4,2,2,34,126,160,69,45,1,6,5,7,20,11,59,44,22,24,10,25,15,0,18,2,31,53,39,1,0,33,8,45,46,5,214,6,50,46
SAA6008_00256,89,237,296,131,85,524,1651,1553,1026,674,25,66,99,89,188,182,939,909,469,360,8086,47907,40071,42569,7974,5922,12520,11516,86960,5159,1954,4321,4860,25323,7694,5775,22705,8716,64670,14673
SAA6008_00257,6,22,21,15,19,225,559,565,569,240,25,30,108,108,44,94,452,432,284,120,406,3896,3130,731,1122,442,1299,3886,3941,2149,224,650,1009,2928,1119,387,606,3339,1951,1802
SAA6008_00258,4,3,7,8,4,95,116,179,198,94,11,22,33,47,14,40,76,127,125,53,1,4,0,13,3,2,20,29,23,19,10,18,123,164,63,10,20,35,35,12
SAA6008_00259,0,0,1,0,1,4,21,14,12,8,0,0,0,2,3,0,8,6,5,4,1,29,6,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,2,0
SAA6008_00260,2,9,8,8,4,81,135,101,175,89,4,8,12,10,21,27,95,68,76,27,46,236,200,623,138,2,8,13,11,21,1,7,5,20,18,1,3,7,4,2
SAA6008_00261,20,30,34,26,29,408,783,569,592,413,32,51,65,55,107,138,463,371,320,157,1,10,4,6,3,10,21,60,18,31,5,13,32,62,18,0,6,40,20,8
SAA6008_00262,0,2,4,3,1,13,64,49,31,24,3,3,6,5,7,7,20,26,21,5,6,32,16,54,14,27,69,199,264,87,31,98,180,620,42,11,39,125,191,24
SAA6008_00263,5,4,8,6,10,66,103,107,95,91,15,22,22,99,38,17,63,65,89,31,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
SAA6008_00264,33,36,55,33,37,175,284,481,281,167,71,80,265,406,90,63,164,402,228,83,0,5,0,7,6,19,24,58,132,189,14,63,46,57,316,11,21,9,46,30
SAA6008_00265,43,41,57,27,29,116,148,255,179,81,62,75,191,287,58,62,112,218,111,50,3,517,119,12,7,123,1271,734,271,194,38,507,210,373,104,36,327,512,102,41
SAA6008_00266,34,36,59,39,30,113,149,239,181,99,54,82,175,281,41,79,128,253,139,67,3,17,11,0,6,2,18,35,12,1,1,12,1,23,13,4,75,6,23,24
SAA6008_00267,25,30,37,41,33,82,140,182,187,118,28,56,120,218,62,70,129,181,134,69,0,1,2,1,0,0,6,6,2,6,2,4,6,11,11,0,1,6,1,2
SAA6008_00268,21,35,36,19,14,52,117,140,60,33,25,44,121,113,21,45,130,148,67,32,20,72,39,235,43,71,56,56,58,245,26,24,31,65,98,25,26,30,16,26
SAA6008_00269,4,19,15,9,7,14,22,35,25,15,9,24,35,68,8,6,26,44,36,11,3,25,27,0,9,2,26,166,42,3,1,52,8,24,43,5,232,17,48,36
SAA6008_00270,3,5,3,7,1,3,6,17,6,5,3,4,9,27,5,0,2,8,5,4,0,7,3,180,4,21,34,14,46,71,5,3,4,4,11,16,20,4,28,28
SAA6008_00271,2,4,10,4,4,6,7,18,15,6,4,9,16,28,3,4,6,11,7,5,0,0,1,0,0,0,3,4,3,10,0,2,0,0,0,2,4,0,4,2
SAA6008_00272,1,2,2,1,2,0,1,4,0,0,0,0,5,3,1,1,0,3,0,2,5,10,12,12,3,14,30,8,17,4,1,2,4,9,26,3,13,7,2,6
SAA6008_00273,2,4,10,0,2,2,0,9,1,0,1,2,11,2,1,1,3,8,0,0,0,7,7,1,5,8,16,20,8,16,1,4,11,15,36,8,12,11,3,5
SAA6008_00274,13,12,13,5,3,2,4,2,2,1,2,3,5,7,0,1,6,4,1,0,33,49,49,68,43,130,66,211,330,498,496,199,509,1377,967,237,61,302,387,535
SAA6008_00275,4,11,14,8,1,1,5,6,7,3,1,4,6,11,1,1,6,9,2,0,84,397,396,553,91,46,93,169,109,126,80,157,310,398,231,23,54,137,129,34
SAA6008_00276,1,1,4,2,2,0,3,5,5,5,3,7,5,14,3,0,2,2,8,2,183,394,364,65,82,377,392,900,1042,434,267,223,397,837,279,266,226,545,720,382
SAA6008_00277,4,0,4,3,3,3,2,2,5,0,8,8,3,20,6,5,1,5,9,1,4,17,8,28,3,17,6,28,23,35,12,7,12,53,16,7,6,8,29,7
SAA6008_00278,0,5,4,0,0,1,2,1,1,3,0,1,2,3,0,0,0,5,3,1,7,68,43,393,12,26,30,94,47,74,39,18,92,118,43,10,15,59,55,31
SAA6008_00278/2,0,5,5,2,3,8,16,20,10,5,3,8,14,18,2,4,9,14,7,0,0,1,0,2,3,2,4,29,13,13,2,2,13,10,5,2,6,26,12,8
SAA6008_00280,3,8,9,3,10,10,31,14,23,12,11,9,19,29,11,5,27,19,23,11,0,11,11,4,9,3,5,34,13,2,2,11,5,7,13,1,62,7,10,12
SAA6008_00281,7,8,18,17,22,45,90,116,69,126,138,115,132,261,277,35,65,99,58,85,1,4,2,2,0,1,7,11,7,3,1,4,8,20,6,2,5,8,21,4
SAA6008_00282,74,165,164,80,67,22,70,25,27,18,28,60,30,12,40,15,44,28,11,16,1,23,6,19,5,23,41,62,106,101,23,34,33,107,75,9,20,14,63,42
SAA6008_00283,22,49,72,18,21,52,170,183,137,63,13,32,46,71,47,21,146,95,123,24,30,65,88,7,59,28,89,332,584,11,1,112,29,636,247,35,565,65,537,163
SAA6008_00284,230,440,544,278,293,40,124,90,63,45,52,83,76,146,85,27,60,106,48,31,0,5,4,10,2,2,0,16,5,6,1,4,16,23,9,0,3,10,2,2
SAA6008_00285,350,520,591,432,300,46,99,109,66,38,48,71,59,226,74,41,68,107,58,27,5,89,19,20,27,5,55,25,26,20,2,45,20,16,34,3,62,5,14,46
SAA6008_00286,28,44,55,26,26,44,91,129,76,61,46,45,85,59,38,13,43,65,26,11,0,3,0,0,1,2,2,4,1,1,1,2,0,3,9,3,1,2,0,2
SAA6008_00287,3,3,1,0,1,9,25,35,16,8,0,6,3,4,0,4,5,8,10,4,0,0,0,1,0,3,6,3,4,9,0,0,2,4,12,0,2,1,1,6
SAA6008_00288,1,4,2,1,0,8,18,21,13,7,0,4,10,7,0,2,9,13,14,3,1,2,2,11,2,4,1,20,10,28,11,8,18,15,31,3,6,11,13,3
SAA6008_00289,3,4,6,2,1,2,15,21,12,4,1,3,4,5,2,5,11,8,3,2,10,84,58,15,10,25,78,239,171,38,14,67,80,300,24,17,50,164,71,18
SAA6008_00290,1,3,3,0,0,22,49,13,52,10,0,3,3,18,0,13,52,18,60,18,1,11,7,0,21,2,5,28,24,3,0,7,0,18,44,4,71,5,30,26
SAA6008_00291,0,2,1,0,3,17,39,7,21,10,0,1,3,12,1,7,43,11,19,14,1,2,0,3,1,2,7,2,2,6,0,1,1,1,5,1,1,0,3,4
SAA6008_00292,0,6,2,0,3,40,62,5,68,43,1,7,6,7,3,17,44,6,53,22,8,256,100,304,9,118,426,401,128,401,151,398,457,231,220,56,297,259,155,113
SAA6008_00293,12,39,48,15,20,5,14,12,11,7,10,27,17,27,11,5,20,16,9,4,2,3,1,5,2,5,14,7,4,11,1,5,2,11,14,1,10,5,14,4
SAA6008_00294,7,8,13,7,4,34,47,37,49,21,11,14,22,37,5,13,39,31,43,18,0,1,1,2,0,1,5,7,2,1,0,0,6,0,6,0,0,4,0,2
SAA6008_00295,22,21,24,32,21,30,43,14,74,27,8,9,22,125,7,7,21,15,41,16,48,260,303,67,76,46,100,306,252,101,36,108,290,466,211,63,88,517,208,84
SAA6008_00296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,1,10,14,32,13,6,1,13,11,11,7,7,19,29,12,6
SAA6008_00297,48,68,115,70,48,101,172,235,161,99,27,49,84,175,81,71,153,292,226,72,12,25,27,0,41,0,40,78,66,64,0,60,10,55,174,6,307,13,56,269
SAA6008_00298,18,22,30,16,11,12,36,35,27,24,19,26,27,25,18,10,24,28,7,6,0,4,13,24,11,8,22,12,24,73,11,26,21,22,235,4,3,5,11,25
