,YAbR10-OD1-MTB-1.bam.sorted.bam,YAbR18-OD1-PACS2-3.bam.sorted.bam,YAbR24-OD3-C3719-3.bam.sorted.bam,YAbR32-OD3-PA14-2.bam.sorted.bam,YAbR4-OD1-C3719-1.bam.sorted.bam,YAbR11-OD1-MTB-2.bam.sorted.bam,YAbR1-OD1-B133-1.bam.sorted.bam,YAbR25-OD3-CF5-1.bam.sorted.bam,YAbR33-OD3-PA14-3.bam.sorted.bam,YAbR5r-OD1-C3719-.bam.sorted.bam,YAbR13-OD1-PA14-.bam.sorted.bam,YAbR20r-OD3-B133-2.bam.sorted.bam,YAbR27-OD3-CF5-.bam.sorted.bam,YAbR34r-OD3-PACS2-.bam.sorted.bam,YAbR8-OD1-CF5-2.bam.sorted.bam,YAbR14-OD1-PA14-.bam.sorted.bam,YAbR21-OD3-B133-3.bam.sorted.bam,YAbR28r-OD3-MTB-1.bam.sorted.bam,YAbR36-OD3-PACS2-3.bam.sorted.bam,YAbR9-OD1-CF5-3.bam.sorted.bam,YAbR17-OD1-PACS2-2.bam.sorted.bam,YAbR22-OD3-C3719-1.bam.sorted.bam,YAbR30-OD3-MTB-3.bam.sorted.bam,YAbR3-OD1-B133-3.bam.sorted.bam
PA14_RS03925,32,10,4,22,7,15,11,43,7,72,11,4,57,39,16,13,0,37,12,34,18,23,7,14
PA14_RS03930,7,2,5,10,4,1,0,12,9,41,3,0,3,0,1,4,0,1,6,3,3,18,1,6
PA14_RS03935,46,7,1,26,9,11,5,36,31,66,4,4,25,13,18,9,3,25,42,7,15,52,12,8
PA14_RS03940,255,51,13,168,56,95,80,231,174,491,18,29,269,105,95,75,2,118,270,148,92,240,52,175
PA14_RS03945,136,27,6,35,36,43,50,70,47,206,7,4,100,86,37,42,1,33,56,32,42,41,24,38
PA14_RS03950,72,23,3,44,23,22,35,77,10,173,14,13,106,39,61,35,2,32,56,62,17,74,20,79
PA14_RS03955,66,16,0,15,10,22,39,60,30,142,6,8,40,22,17,28,4,18,20,41,15,31,1,44
PA14_RS03960,62,27,3,19,16,21,35,75,46,212,7,15,68,24,20,21,5,8,45,61,25,57,15,59
PA14_RS03965,9,7,0,2,2,1,14,17,6,70,4,2,12,6,8,2,0,2,8,9,5,13,2,7
PA14_RS30090,2,0,0,0,0,0,2,1,4,4,0,3,1,1,0,1,0,0,0,2,0,1,0,1
PA14_RS03970,313,176,96,230,139,153,130,366,337,924,42,56,481,199,266,144,18,191,384,424,149,597,131,169
PA14_RS03975,154,48,4,61,29,46,30,134,58,228,8,21,126,76,56,32,0,50,47,29,56,99,42,69
PA14_RS03980,42,12,0,40,7,23,13,33,30,36,4,4,35,17,22,22,0,8,74,36,7,34,5,11
PA14_RS03985,3,0,0,4,0,1,1,4,9,7,2,0,3,1,1,2,0,4,0,1,1,0,1,4
PA14_RS03990,96,182,1,176,21,33,35,23,447,249,32,72,16,390,4,242,15,47,1151,10,179,34,21,74
PA14_RS03995,276,65,18,756,110,63,103,102,861,469,36,394,106,111,80,102,94,510,127,92,88,470,430,152
PA14_RS04000,133,24,14,80,20,63,31,34,77,142,5,9,71,23,19,32,0,86,56,69,19,71,51,79
PA14_RS04005,3,9,0,9,0,1,2,3,0,10,1,0,5,2,0,0,0,5,10,1,3,5,0,1
xth,7,2,1,14,4,8,1,7,25,36,11,2,5,6,5,1,0,18,8,2,2,11,28,6
PA14_RS04015,30,13,0,42,13,11,3,11,61,48,3,16,10,10,3,5,2,25,19,10,14,27,17,3
PA14_RS04020,148,15,6,19,23,25,14,47,11,214,8,12,47,52,13,8,3,20,83,40,24,61,11,40
PA14_RS04025,22,8,5,13,3,6,6,14,7,41,7,3,9,14,9,10,2,7,31,22,12,45,3,25
PA14_RS04030,147,106,43,195,39,64,34,190,175,264,29,44,332,148,190,46,0,128,326,247,121,690,53,55
PA14_RS04035,9,2,3,5,5,8,2,7,8,23,0,9,20,2,3,9,0,4,5,10,4,16,2,11
PA14_RS04040,12,7,1,40,7,8,3,8,31,35,4,1,11,5,3,4,2,11,5,6,3,10,11,6
PA14_RS04045,178,19,7,34,8,33,58,49,38,213,11,11,40,21,13,25,6,23,24,58,22,35,2,79
PA14_RS04050,103,37,7,18,10,27,32,53,26,187,12,18,52,21,33,26,0,16,27,50,33,44,13,86
PA14_RS04055,470,143,32,57,48,103,109,269,103,740,52,43,216,100,104,114,28,51,209,294,139,187,34,293
PA14_RS04060,1,0,0,6,1,0,1,2,2,4,2,0,2,1,0,3,0,0,0,2,0,1,1,1
PA14_RS04065,0,1,0,6,0,0,1,0,2,7,4,0,1,3,2,2,0,4,3,1,0,3,4,4
PA14_RS04070,0,0,0,9,0,0,0,0,4,7,2,0,3,0,0,2,0,0,0,0,0,1,0,1
PA14_RS04075,0,0,0,111,1,1,1,1,156,13,16,0,1,0,0,43,0,0,1,0,0,2,1,1
PA14_RS04080,3,1,0,13,0,5,1,0,8,9,3,0,0,0,2,6,0,0,3,0,0,7,1,1
PA14_RS04085,1,0,0,23,3,1,1,0,35,8,10,0,1,2,2,27,0,4,1,2,1,1,1,0
PA14_RS04090,1,16,1,21,5,1,1,66,21,85,5,0,34,20,6,8,0,1,21,15,6,28,1,0
PA14_RS04095,15,2,3,0,9,1,0,29,3,51,2,0,11,12,2,0,0,1,7,24,6,33,0,19
PA14_RS04100,9,0,0,0,5,2,4,2,1,24,2,1,0,0,1,0,0,2,8,2,1,5,1,3
PA14_RS04105,3,6,4,2,10,1,3,8,7,38,4,0,8,7,4,5,0,0,12,13,2,33,3,2
fecE,45,1,1,6,12,5,5,5,9,69,1,1,19,20,1,12,0,6,18,18,5,77,5,9
PA14_RS04115,90,24,12,4,9,11,23,44,24,210,11,15,38,26,25,25,10,11,40,45,22,65,9,57
PA14_RS04120,31,11,9,47,9,13,18,36,30,92,7,20,34,37,25,30,1,26,49,22,16,114,19,47
PA14_RS04125,19,10,2,11,6,5,5,16,22,76,1,2,16,12,12,7,0,6,42,29,7,66,10,3
PA14_RS04130,47,15,9,8,10,6,11,10,10,92,8,4,9,37,3,5,1,12,6,10,14,13,7,23
PA14_RS04135,19,15,0,17,2,10,9,28,6,43,1,4,24,41,10,1,1,29,65,21,29,20,12,10
PA14_RS04140,17,11,4,14,4,1,2,24,13,75,6,6,14,54,4,6,0,7,59,19,14,21,2,21
PA14_RS04145,25,7,2,6,10,3,11,28,17,62,5,1,23,61,10,4,1,9,42,21,11,15,6,10
PA14_RS04150,19,16,35,9,4,1,10,65,9,132,5,8,102,87,23,2,0,35,162,26,14,54,11,3
PA14_RS04155,28,9,28,3,5,0,1,27,6,83,2,2,26,18,9,0,1,5,20,12,6,13,2,2
PA14_RS04160,4,8,3,2,3,1,5,12,6,23,2,1,15,54,3,0,0,3,25,11,4,19,2,4
PA14_RS04165,165,71,135,126,81,70,87,665,168,606,46,47,531,873,73,113,4,133,1489,113,109,447,87,82
PA14_RS04170,39,4,11,4,4,8,7,64,15,66,8,8,55,60,13,6,0,2,93,45,14,45,6,6
PA14_RS04175,119,40,10,54,33,43,63,157,47,284,5,9,143,35,83,32,1,18,69,109,37,105,20,39
PA14_RS04180,9,18,3,16,4,7,7,15,35,56,3,8,7,37,7,4,1,13,39,25,35,8,5,11
PA14_RS04185,37,17,4,80,9,18,41,33,106,84,9,30,32,59,14,23,9,70,89,38,18,50,34,28
PA14_RS04190,66,6,2,692,7,16,36,36,456,95,12,46,32,12,17,32,19,222,23,15,16,58,85,51
PA14_RS04195,221,10,1,10105,13,89,263,13,12597,386,39,2411,6,19,3,156,151,5152,34,10,10,59,3327,762
PA14_RS04200,69,5,2,98,20,15,17,20,116,134,11,15,53,22,8,23,2,52,35,30,12,114,19,20
PA14_RS04205,47,15,0,224,11,22,72,8,401,138,9,51,14,23,11,32,0,88,17,5,21,267,78,57
PA14_RS30095,13,3,0,5,3,5,4,12,4,17,4,2,6,5,8,4,0,5,10,6,6,3,1,8
PA14_RS04210,75,80,10,10,17,28,15,389,23,269,5,27,324,20,25,24,1,5,46,45,37,111,1,36
PA14_RS04215,32,14,2,23,8,10,8,141,29,85,5,12,128,34,13,19,1,20,44,21,23,31,16,30
PA14_RS04220,131,55,23,20,9,57,33,90,35,260,3,14,87,32,12,29,4,54,41,72,24,49,51,28
hpaR,47,7,4,69,1,9,28,15,94,71,11,34,7,13,8,17,6,23,6,3,4,4,20,36
PA14_RS04230,54,5,14,188,4,10,168,10,469,131,6,193,7,32,1,31,287,223,66,1,5,27,151,255
ccoN,4630,2871,88,4108,1063,2015,4316,1776,5514,6694,524,1078,3297,2214,1091,3286,159,2488,2786,1534,5215,1980,1657,2555
PA14_RS04240,499,124,27,3520,53,123,1316,230,4796,965,124,1978,386,579,97,679,144,2365,1930,160,126,647,1382,2552
ccoG,1020,711,41,3172,129,453,1536,499,3688,1756,198,1111,735,1010,458,846,99,1931,2398,969,1370,583,1119,1944
PA14_RS04250,303,30,36,3071,19,108,763,66,3484,538,95,1090,85,313,17,449,249,1966,659,49,26,374,1210,1014
PA14_RS04255,28,7,6,709,3,7,97,6,1089,152,37,250,7,84,1,100,0,210,201,5,6,55,69,271
hpaI,8,1,5,112,0,4,33,24,186,71,5,47,9,23,4,20,30,52,26,7,2,8,10,63
hpaH,29,20,4,254,4,10,25,13,319,66,5,56,26,48,12,21,17,120,66,14,9,46,64,77
PA14_RS04270,17,16,1,91,13,10,18,23,116,71,7,28,30,42,6,10,2,55,61,23,19,68,40,32
PA14_RS04275,65,15,6,19,15,10,13,90,19,112,6,3,69,35,8,13,0,21,161,39,11,72,7,14
hpaD,24,13,5,25,6,5,17,48,48,101,11,9,36,36,22,14,2,30,100,24,22,72,22,25
hpaE,68,20,24,69,14,23,18,52,38,112,13,15,70,67,28,21,1,37,65,34,22,33,19,26
PA14_RS04290,22,4,0,6,3,6,4,11,12,64,1,3,7,34,5,5,1,7,40,10,8,10,0,4
PA14_RS04295,11,3,3,9,2,3,8,9,8,22,2,1,8,25,8,4,0,4,34,2,7,13,6,0
hpaA,35,7,0,35,11,16,19,25,39,47,6,8,48,33,11,21,3,25,119,14,11,62,18,19
PA14_RS04305,30,12,3,19,10,3,26,19,27,74,4,3,33,8,9,14,1,2,57,30,11,37,0,38
PA14_RS04310,101,19,1,71,19,52,34,104,102,203,15,17,120,62,50,53,0,44,121,54,30,99,9,66
PA14_RS04315,1181,87,149,1335,160,426,361,136,1257,1413,97,247,253,160,112,384,90,872,194,178,124,849,498,468
PA14_RS04320,159,13,56,55,18,41,30,12,69,230,7,20,21,29,18,36,67,45,73,37,22,186,20,64
PA14_RS04325,863,88,15,266,43,415,120,109,270,798,94,33,167,90,126,282,13,479,111,236,172,129,200,162
PA14_RS04330,168,15,2,19,17,41,38,56,30,201,6,24,74,33,33,16,2,17,53,51,29,55,26,40
PA14_RS04335,65,22,10,11,19,23,27,39,34,105,5,4,27,19,19,19,0,10,16,25,19,33,8,29
PA14_RS04340,249,64,25,989,31,68,115,228,1194,610,36,211,230,821,45,85,86,941,1393,108,90,129,461,204
PA14_RS04345,54,18,12,54,9,5,7,63,90,109,8,13,50,48,35,5,4,49,154,50,11,31,20,12
PA14_RS04350,44,10,5,22,9,6,15,206,26,218,9,15,281,28,110,15,10,20,26,145,15,31,1,42
PA14_RS04355,187,17,4,36,29,37,24,47,34,208,10,11,56,90,23,40,0,20,81,66,14,48,5,46
PA14_RS30100,73,9,0,99,10,29,14,40,78,105,7,20,64,72,28,32,1,59,110,18,31,40,42,27
PA14_RS04360,408,61,1,506,15,171,120,36,418,301,66,48,43,51,33,147,7,407,140,75,51,62,150,86
PA14_RS04365,190,1,0,228,2,174,76,2,204,63,35,23,4,1,1,95,6,171,4,1,0,2,58,80
PA14_RS04370,232,46,0,86,24,98,51,12,91,44,33,61,9,16,31,62,6,135,23,37,25,20,69,140
PA14_RS04375,163,5,12,30,180,38,22,33,37,1505,10,12,27,15,9,23,2,28,21,36,8,191,9,32
PA14_RS04380,28,6,6,25,29,13,5,17,30,127,8,2,37,11,16,18,0,13,20,19,12,39,8,17
PA14_RS04385,41,3,5,7,5,7,2,22,10,46,4,7,24,33,5,8,4,12,39,15,7,21,2,38
PA14_RS04390,3,2,1,1,0,2,2,0,5,20,1,2,5,6,0,0,0,1,11,5,2,1,1,4
PA14_RS04395,3,1,1,5,1,3,1,1,3,18,5,1,5,4,2,1,1,6,5,4,2,7,4,4
PA14_RS04400,5,0,0,3,2,0,3,6,2,14,2,3,8,4,1,2,0,6,16,4,3,7,2,0
PA14_RS04405,218,68,12,106,21,86,53,157,107,278,5,13,222,124,97,68,5,55,318,107,59,163,40,78
PA14_RS04410,18,1,13,10,7,3,13,28,1,70,1,1,6,4,5,1,0,4,12,8,5,18,2,11
PA14_RS04415,28,18,0,17,1,11,0,28,18,33,7,1,22,30,10,6,0,25,90,11,13,1,11,1
PA14_RS04420,26,26,0,20,0,10,2,8,40,23,0,0,24,9,10,10,0,27,30,21,26,3,13,0
PA14_RS04425,33,13,0,25,2,6,0,32,9,34,4,0,30,21,18,8,0,4,25,28,7,2,6,1
hpaC,20,1,8,1,4,1,2,10,10,38,2,0,9,11,9,3,0,1,8,6,6,6,0,2
hpaB,49,13,2,36,15,14,15,37,27,113,9,9,40,61,33,17,0,15,97,29,22,57,8,53
PA14_RS04440,16,8,1,13,11,4,6,10,9,54,5,7,17,11,3,4,1,7,31,17,7,10,9,0
PA14_RS04445,12,5,0,9,1,3,3,9,13,29,0,4,9,14,6,0,0,6,21,12,2,7,6,12
PA14_RS04450,11,1,0,7,0,2,2,5,16,31,1,1,3,7,2,3,1,5,3,2,0,6,0,13
PA14_RS04455,3,3,0,7,2,3,0,1,3,19,3,0,6,2,1,1,1,1,7,8,0,1,1,5
PA14_RS04460,12,3,1,49,16,10,21,13,21,54,4,6,20,12,7,16,3,24,10,7,31,47,24,23
PA14_RS04465,13,2,0,31,22,5,4,5,24,42,3,30,14,29,29,6,0,37,15,8,9,42,50,17
PA14_RS04470,22,22,3,156,2,10,22,40,124,77,20,21,49,100,20,15,1,68,199,20,27,69,12,10
PA14_RS04475,1,0,0,0,3,1,1,10,3,20,2,1,4,5,1,1,0,0,0,2,1,2,0,1
PA14_RS04480,63,20,2,41,11,16,21,36,70,110,16,8,51,28,13,21,4,25,66,25,34,59,17,26
PA14_RS04485,84,14,7,32,18,23,20,43,54,95,3,12,41,22,25,16,13,38,39,34,12,28,10,55
PA14_RS04490,176,19,2,194,10,105,69,37,147,126,16,18,34,36,12,72,1,189,56,7,32,65,80,55
PA14_RS04495,215,13,0,173,17,90,66,51,181,241,27,102,27,28,13,46,72,88,42,42,24,44,28,78
PA14_RS04500,130,24,33,2426,21,45,61,51,1808,201,14,771,68,87,13,41,342,607,94,26,14,85,378,91
PA14_RS04505,8,3,0,2,3,4,8,6,8,10,2,1,1,0,3,4,0,2,4,1,3,5,2,9
PA14_RS04510,8,4,0,0,1,2,2,2,4,32,1,2,1,3,0,4,0,1,2,0,3,12,0,8
PA14_RS04515,80,21,3,13,12,16,19,7,55,173,4,24,6,84,6,13,0,16,144,6,15,69,14,64
PA14_RS04520,23,7,12,18,15,9,19,23,37,74,7,2,21,21,2,6,0,10,11,25,1,56,5,13
PA14_RS04525,20,10,0,40,5,10,25,58,19,97,2,6,51,7,30,8,0,20,14,17,9,57,8,19
PA14_RS04530,20,10,6,14,16,1,5,39,14,98,8,3,35,21,8,7,0,11,8,14,8,13,17,5
PA14_RS04535,5,0,0,4,2,2,0,5,2,21,3,0,6,3,1,0,3,5,3,1,0,2,2,2
PA14_RS04540,90,19,25,131,17,51,15,112,36,149,5,19,178,117,24,20,18,77,195,32,43,77,31,8
PA14_RS04545,519,89,26,90,51,165,135,210,137,792,64,37,163,219,151,113,4,107,244,257,135,199,50,200
PA14_RS04550,607,265,23,173,175,167,202,109,221,976,76,38,193,132,162,305,7,107,196,253,343,421,81,412
PA14_RS04555,92,21,2,24,4,9,19,12,10,154,21,7,18,9,2,14,2,6,17,16,26,16,7,32
PA14_RS04560,6617,3725,219,12331,1947,5378,8713,2938,7952,13473,899,664,8367,5228,1784,7374,216,6227,4314,1655,14693,5291,2934,1463
PA14_RS04565,40,12,2,25,2,24,21,177,13,144,10,7,304,17,293,16,0,13,21,262,9,15,32,18
PA14_RS04570,124,34,5,58,23,54,52,998,72,612,16,11,1197,70,774,50,3,32,100,1056,74,85,8,74
PA14_RS04575,21,3,3,6,1,4,4,61,10,111,1,1,62,6,58,5,0,4,5,178,9,8,6,12
PA14_RS04580,91,11,0,4,29,34,29,1980,18,1416,7,2,2581,9,604,14,0,21,15,1166,6,15,12,4
PA14_RS04585,94,2,3,8,15,35,24,32,12,127,7,8,24,23,13,10,0,23,17,24,4,14,39,49
trxA,2560,188,10,466,188,793,507,466,528,1788,96,150,597,229,478,376,7,276,331,1117,326,479,96,582
PA14_RS04595,85,41,6,23,22,17,25,84,76,191,11,27,81,96,82,27,0,35,162,180,39,109,14,92
PA14_RS04600,19,2,0,2,3,4,3,8,8,56,1,1,12,10,5,4,1,4,1,7,3,11,0,10
PA14_RS30105,5,1,0,2,0,1,2,2,0,8,0,0,0,2,0,0,0,4,1,2,0,0,0,0
nrdR,88,24,7,7,26,21,48,71,15,268,8,8,83,30,48,43,0,12,43,61,29,65,3,98
ribD,456,206,21,105,53,118,195,228,232,796,53,26,166,112,65,92,4,66,101,99,208,204,35,602
PA14_RS04615,265,49,24,51,82,65,131,600,46,665,46,42,475,110,80,157,19,117,145,212,86,209,26,123
ribB,677,134,19,68,118,201,297,994,83,1490,86,114,778,141,181,357,14,201,229,268,236,407,86,464
PA14_RS04625,914,157,4,101,94,308,237,325,201,751,42,48,424,194,299,313,6,89,503,479,156,720,49,481
PA14_RS04630,769,145,6,39,64,223,91,169,54,546,49,27,185,144,103,131,1,139,73,169,137,113,36,204
thiL,111,16,4,6,8,27,36,21,17,206,17,6,29,10,13,36,0,1,19,16,21,24,2,114
PA14_RS04640,322,83,4,20,52,29,35,38,33,175,16,15,47,30,37,38,0,17,45,114,24,92,6,172
PA14_RS04645,132,30,10,102,11,37,93,67,125,292,15,14,63,32,8,68,0,75,91,60,28,50,37,59
PA14_RS04650,166,29,0,77,26,36,49,23,81,154,16,26,31,81,17,46,13,35,149,50,29,35,36,104
ribA,589,201,12,165,86,272,263,116,211,499,69,22,149,136,162,268,2,119,226,245,253,211,25,283
PA14_RS04660,120,18,0,3,12,21,19,81,19,152,3,1,125,12,34,44,0,13,1,54,27,35,5,20
PA14_RS04665,177,21,1,20,11,34,41,15,34,257,6,5,26,5,24,30,0,9,15,49,25,59,1,83
PA14_RS04670,1776,311,60,273,230,449,437,390,390,2212,144,79,596,289,439,509,7,213,444,918,359,731,89,485
PA14_RS04675,152,15,16,25,19,25,40,49,31,312,16,12,30,21,28,27,1,10,5,53,10,31,6,53
PA14_RS04680,65,27,0,8,10,27,19,41,23,123,5,2,53,21,59,26,0,4,39,54,30,39,9,52
PA14_RS04685,45,19,4,97,6,6,13,29,140,48,10,51,24,96,7,6,5,44,105,20,16,20,21,42
PA14_RS04690,37,5,0,84,7,10,20,23,114,72,5,23,29,68,14,12,0,69,163,13,20,41,36,24
PA14_RS04695,44,10,2,474,13,24,75,25,315,97,49,77,41,18,12,81,11,38,22,26,17,24,19,156
PA14_RS04700,16,1,0,7,1,3,8,2,3,29,0,1,13,5,2,1,0,16,6,4,8,13,0,16
PA14_RS04705,20,5,2,53,8,8,15,141,33,91,13,9,149,36,116,5,0,29,59,175,9,17,16,17
PA14_RS04710,214,62,23,358,51,43,72,80,251,565,27,40,95,67,114,42,4,201,97,153,97,259,77,86
PA14_RS04715,264,61,88,52,42,57,68,184,96,610,17,20,192,102,79,75,7,18,131,158,62,136,40,124
PA14_RS04720,29,16,1,16,2,15,15,14,35,57,6,9,22,13,9,15,1,27,39,13,12,33,9,2
PA14_RS04725,8,4,12,4,0,4,6,4,6,15,1,1,2,1,3,0,0,2,5,3,9,9,1,1
PA14_RS04730,299,124,12,162,55,171,83,293,197,488,25,45,314,232,154,110,4,90,259,229,158,208,28,111
PA14_RS04735,1979,216,11,68,156,534,598,340,146,2435,127,59,529,138,348,492,9,70,155,474,508,428,63,388
PA14_RS04740,97,30,5,19,6,16,36,28,21,166,8,6,24,21,25,20,2,13,20,35,37,54,0,79
PA14_RS04745,110,40,10,41,7,67,58,14,31,148,5,4,55,31,25,42,1,11,38,60,77,71,7,47
PA14_RS04750,24,11,0,9,11,6,10,32,34,54,10,6,19,28,3,12,0,12,26,19,17,10,14,9
PA14_RS04755,28,29,4,101,13,17,14,67,122,149,9,27,77,108,30,18,20,104,149,39,39,52,49,24
PA14_RS04760,172,133,3,105,32,73,154,180,114,404,20,20,290,232,60,85,5,94,294,146,105,125,69,109
PA14_RS04765,79,17,252,48,15,8,30,253,90,648,17,32,174,36,25,22,23,163,81,79,9,211,95,60
PA14_RS04770,181,89,683,139,94,64,113,767,158,1014,43,49,931,123,139,156,28,555,272,244,77,950,402,98
eat,145,79,169,37,91,29,112,851,121,1357,28,40,1017,133,162,88,5,310,261,256,47,911,279,159
PA14_RS04780,315,99,29,558,145,109,349,2144,1124,2522,125,112,2040,290,229,379,14,2098,636,338,87,1715,1898,180
PA14_RS04785,706,200,26,225,205,162,173,816,242,1602,71,59,953,499,276,159,4,198,1078,608,185,616,171,325
mpl,673,163,20,158,87,177,203,349,198,998,70,69,420,167,129,215,7,132,271,227,178,199,50,246
PA14_RS04795,254,79,15,155,64,72,82,363,209,632,23,46,584,140,261,93,4,181,336,367,140,354,100,194
PA14_RS04800,28,0,2,8,3,2,12,9,14,53,1,3,5,6,12,0,15,6,14,18,2,12,5,39
PA14_RS04805,155,42,34,305,37,37,98,100,344,391,21,86,166,99,49,55,37,312,318,81,73,103,146,83
PA14_RS04810,266,126,407,111,69,96,100,140,185,650,32,22,184,89,136,86,52,75,172,223,109,357,82,217
PA14_RS04815,126,55,3,292,39,93,76,222,293,385,43,120,260,174,57,75,1,401,147,72,110,138,180,59
PA14_RS04820,38,15,2,9,3,6,8,21,11,72,5,19,30,19,8,11,3,13,43,17,11,42,14,47
PA14_RS04825,96,28,10,27,20,31,55,69,19,234,9,14,53,19,30,37,1,28,40,59,26,121,20,52
PA14_RS04830,278,64,32,104,43,78,54,319,105,562,20,47,282,142,141,84,6,118,144,200,38,124,80,116
PA14_RS04835,456,52,67,54,54,115,162,204,141,675,45,40,232,63,121,113,27,64,173,220,65,380,44,395
PA14_RS04840,333,35,11,40,37,129,112,97,40,590,31,38,155,61,58,82,3,90,106,104,61,272,44,115
PA14_RS04845,74,20,1,60,9,41,35,56,54,166,8,5,90,20,29,17,3,31,23,61,37,75,33,32
PA14_RS04850,45,6,3,43,16,12,6,58,92,112,5,13,87,14,15,12,5,39,46,37,10,35,23,42
PA14_RS04855,1020,349,56,391,160,385,319,397,524,1134,83,95,368,224,237,484,3,89,441,334,483,1116,93,396
PA14_RS04860,834,415,7,214,155,151,245,377,416,837,54,124,279,199,225,272,3,102,273,465,455,575,101,553
rsfS,517,71,20,244,38,233,191,154,243,553,31,35,223,41,57,220,30,222,152,98,303,211,76,116
PA14_RS04870,434,83,0,47,23,45,74,133,80,495,28,10,83,37,75,55,0,40,60,246,69,124,15,97
mrdA,856,181,16,141,110,282,311,117,133,1087,57,37,95,58,206,351,5,99,79,244,235,213,35,346
PA14_RS04880,744,168,13,152,96,263,336,161,139,871,50,32,249,74,281,214,13,104,143,405,212,332,55,421
mltB,884,328,29,338,132,458,370,189,322,1226,81,57,287,173,317,389,5,210,227,541,370,392,135,544
PA14_RS04890,2181,642,55,380,388,522,737,1303,545,3091,104,94,1675,430,963,560,198,297,687,1269,520,1139,174,2197
PA14_RS04895,9599,1916,124,2015,1020,2683,2120,1445,2817,7780,301,411,3012,1179,1777,1703,110,1721,2361,2623,2605,3098,916,4520
PA14_RS04900,368,283,20,452,128,208,175,128,345,567,36,51,220,194,233,208,2,293,248,346,383,303,176,323
PA14_RS04905,632,159,182,172,114,146,222,122,236,1046,72,32,137,167,258,221,10,230,172,310,512,175,101,314
lipA,1584,912,48,1871,496,823,1032,980,1943,3158,188,255,1239,750,881,1224,33,1308,2243,1091,1314,1504,602,1078
PA14_RS04915,82,40,6,138,19,21,37,46,123,195,12,15,67,73,20,57,13,54,106,31,32,38,20,18
PA14_RS04920,50,4,0,11,7,8,15,5,3,48,2,0,7,9,0,1,1,14,13,1,4,19,7,25
PA14_RS31135,0,0,0,2,0,0,3,1,2,15,5,0,1,0,0,1,0,0,0,0,2,1,0,2
PA14_RS04925,302,43,12,82,51,77,108,83,131,515,47,15,91,85,57,94,6,79,77,122,65,100,31,132
PA14_RS04930,4,1,0,7,0,1,2,5,2,8,2,0,6,1,0,6,4,1,0,7,6,13,1,6
PA14_RS04940,22,4,3,7,2,9,16,6,13,48,1,0,2,2,5,14,0,1,4,0,7,21,0,4
PA14_RS04945,969,247,34,131,157,241,263,270,150,1344,59,81,416,170,336,200,28,104,142,441,221,464,57,444
PA14_RS04950,892,363,203,278,342,342,488,565,355,1573,97,61,667,208,474,429,22,294,299,641,450,587,179,323
PA14_RS04955,6388,1254,181,931,985,2386,1987,2161,1527,7633,439,391,2705,956,1755,1930,46,1023,1220,2336,1635,2894,854,2107
PA14_RS04960,133,18,1,272,17,31,40,41,264,213,29,140,55,239,36,28,11,350,241,39,25,89,194,106
PA14_RS04965,80,13,3,18,14,16,15,28,34,201,9,14,12,13,4,18,2,11,32,25,25,33,14,28
PA14_RS04970,822,119,26,145,186,314,207,389,347,1430,48,67,587,131,321,302,4,110,282,460,152,868,90,502
PA14_RS04975,828,425,32,925,234,528,459,58,800,1192,58,43,122,282,454,452,29,433,255,497,534,483,164,417
PA14_RS04980,289,133,19,118,66,99,72,17,132,432,46,23,28,68,113,82,5,115,78,271,187,54,54,150
PA14_RS04985,1296,355,26,547,201,642,632,202,482,1800,98,44,385,180,406,514,24,448,203,638,620,442,205,311
PA14_RS04990,739,237,18,209,124,282,293,299,241,835,59,39,294,238,235,456,2,117,278,328,337,419,57,322
PA14_RS04995,136,76,2,47,11,97,44,60,67,170,12,8,52,69,76,63,2,55,122,61,86,108,16,103
PA14_RS05000,560,263,13,479,111,230,273,330,462,900,67,52,782,217,361,296,15,313,263,460,385,431,167,157
hemL,1419,313,11,177,296,390,467,506,314,2506,96,74,709,280,448,354,11,249,625,591,346,1100,107,815
PA14_RS05010,185,6,4,23,19,22,49,53,25,429,6,7,60,18,33,32,0,10,25,46,15,59,5,60
PA14_RS05015,172,29,10,8,38,28,70,117,19,425,25,9,68,52,35,43,3,6,48,93,26,65,10,106
PA14_RS05020,623,113,54,1783,81,258,269,431,2325,1042,230,136,450,279,315,981,13,347,566,363,223,550,238,424
PA14_RS05025,217,155,19,32,11,32,123,66,37,354,54,9,119,24,60,88,32,37,33,122,172,52,8,262
PA14_RS05030,426,419,27,189,52,100,110,350,292,770,100,40,475,148,209,135,19,422,258,506,466,251,100,236
PA14_RS05035,23,10,9,8,3,7,8,32,8,83,13,0,25,6,11,3,5,13,16,15,9,11,3,20
amn,633,93,121,172,98,167,204,259,197,1093,63,34,411,155,165,178,42,189,220,329,125,379,87,238
PA14_RS05045,52,14,2,11,2,6,3,25,1,79,4,2,21,14,11,6,1,3,22,12,9,7,1,14
PA14_RS05050,145,138,15,55,53,70,62,68,79,419,15,8,93,137,44,46,7,54,297,71,167,140,31,45
PA14_RS05055,70,13,6,4,10,6,17,51,13,141,5,13,20,22,18,11,0,4,24,50,7,16,2,65
PA14_RS05060,107,19,0,24,85,46,21,6,25,171,12,2,5,12,7,31,0,13,26,24,37,124,3,31
PA14_RS05065,195,38,1,66,25,201,58,47,25,241,12,7,84,36,74,94,0,63,41,64,92,52,28,37
