,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
PA14_27410,11,19,11,21,11,18
PA14_27420,3,11,6,19,17,19
PA14_27430,12,16,13,33,33,19
PA14_27440,137,125,133,245,177,226
PA14_27450,11,11,16,7,18,6
tpm,66,56,70,82,73,63
PA14_27470,277,317,350,376,384,367
htpX,1270,1743,1425,1297,1496,1374
PA14_27490,41,40,40,65,40,40
PA14_27500,390,404,448,490,405,455
PA14_27510,190,191,239,188,191,194
PA14_27520,7437,8000,10458,8268,10511,11921
PA14_27530,3901,4053,4788,3656,5341,5328
PA14_27550,2878,2947,3510,3655,4897,4789
PA14_27560,215,216,229,302,243,256
PA14_27570,181,203,186,231,216,177
PA14_27580,371,427,469,516,593,425
PA14_27590,407,398,513,495,406,337
PA14_27600,0,0,0,0,0,1
PA14_27610,0,1,0,0,0,0
PA14_27620,0,0,0,0,0,0
PA14_27630,33,38,51,38,30,27
PA14_27640,36,36,39,38,31,25
PA14_27650,25,26,25,49,28,20
PA14_27660,6,6,2,6,2,4
PA14_27675,50,82,66,124,92,80
PA14_27680,8,6,7,10,8,5
PA14_27690,27,23,24,35,34,25
PA14_27700,148,159,200,241,229,226
PA14_27710,164,170,177,275,238,257
PA14_27720,44,47,41,67,61,51
fadE,1734,1942,1912,2019,2132,2007
PA14_27740,90,101,93,179,193,142
PA14_27755,330,327,355,367,481,387
PA14_27770,354,397,452,691,568,574
PA14_27780,223,243,262,404,375,329
PA14_27800,141,131,139,209,213,174
PA14_27810,74,106,100,116,127,139
PA14_27830,14,11,17,16,21,20
PA14_27840,15,30,19,33,22,20
queF,156,191,194,259,261,280
PA14_27870,293,290,308,351,267,334
PA14_27880,15,18,22,30,28,29
PA14_27890,21,29,32,38,36,36
PA14_27900,103,112,111,149,167,151
PA14_27910,46,59,61,97,99,102
PA14_27920,1054,1130,1326,1802,1756,1567
PA14_27930,86,121,93,134,141,104
PA14_27940,1036,1050,1131,1824,1854,1713
PA14_27950,606,624,748,1188,1169,1054
tal,752,904,905,682,667,598
PA14_27980,159,164,155,252,227,199
PA14_27990,174,154,194,319,172,252
PA14_28000,276,378,438,433,362,353
PA14_28010,132,123,127,358,235,209
PA14_28020,78,98,111,406,276,185
PA14_28030,669,626,776,2601,1907,1432
PA14_28040,41,42,41,50,62,45
PA14_28050,2129,2783,2771,1669,2105,1914
cpg2,586,688,730,1012,1179,868
PA14_28070,35,32,54,104,73,71
PA14_28080,6,5,9,11,4,4
PA14_28090,14,14,18,33,19,13
PA14_28100,40,37,45,43,30,38
PA14_28110,26,14,23,52,44,37
PA14_28120,43,37,60,70,81,71
PA14_28130,94,66,94,149,148,137
PA14_28140,61,66,70,112,111,79
PA14_28150,52,60,50,104,144,72
PA14_28170,74,101,84,152,129,101
PA14_28180,312,407,416,248,231,181
PA14_28190,0,0,0,0,0,0
PA14_28200,74,73,94,105,86,88
PA14_28210,78,124,130,157,101,119
PA14_28220,68,83,88,149,135,123
PA14_28230,13,14,18,36,21,25
PA14_28240,52,57,59,57,57,64
PA14_28250,458,537,630,573,459,510
PA14_28260,110,91,101,187,136,170
PA14_28280,213,224,245,389,263,325
PA14_28290,74,78,88,140,142,83
PA14_28300,25,20,39,58,33,56
PA14_28310,13,31,29,35,36,35
PA14_28320,44,54,47,59,85,62
PA14_28330,5,3,9,3,4,10
PA14_28340,301,324,398,357,361,342
PA14_28350,162,165,201,188,176,178
PA14_28360,305,407,472,323,238,292
PA14_28370,73,103,108,120,72,99
PA14_28380,108,142,147,152,115,129
PA14_28390,37,52,51,81,60,66
PA14_28400,4590,4482,5981,5611,4399,5586
PA14_28410,80,109,107,66,64,54
PA14_28420,58,64,69,91,86,61
PA14_28430,12,20,19,43,20,27
PA14_28440,365,358,466,449,395,400
eco,453,601,502,462,433,452
PA14_28460,109,115,120,187,188,182
PA14_28470,29,46,52,51,38,32
PA14_28490,210,293,269,128,125,105
PA14_28500,41,60,67,26,35,31
PA14_28510,7,11,15,16,4,12
PA14_28520,56,65,38,43,49,40
PA14_28530,183,213,172,230,243,198
PA14_28540,7,8,10,11,11,10
PA14_28560,37,47,45,44,50,38
endA,36,53,44,74,66,59
PA14_28580,64,72,80,88,81,85
PA14_28590,193,189,254,319,248,245
PA14_28600,596,702,774,449,623,588
PA14_28610,217,210,232,204,199,201
PA14_28620,328,336,401,601,559,475
PA14_28630,128,132,126,212,187,138
thrS,4668,4975,5655,5686,4954,4962
infC,6371,6255,8019,9021,5862,7464
rpmI,2605,2312,3258,4060,1697,3105
rplT,4918,4642,5839,6227,4921,4751
pheS,1136,1146,1348,1436,1138,1103
pheT,1848,1842,2102,2001,1941,1655
ihfA,2160,2258,2435,1935,1943,1714
PA14_28730,1445,1596,1691,1368,1434,1244
PA14_28740,1,0,0,0,1,1
PA14_28750,373,319,411,696,469,597
PA14_28760,104,109,131,296,197,184
PA14_28770,579,539,653,1166,671,928
PA14_28780,17,22,21,104,13,33
PA14_28790,15,17,9,23,15,10
PA14_28800,467,494,523,954,553,687
PA14_28810,1408,1255,1625,2705,1683,1826
PA14_28820,1413,1371,1750,1650,1087,1211
PA14_28830,599,559,692,824,504,580
PA14_28840,775,790,943,1322,757,912
PA14_28850,39,48,39,62,45,47
PA14_28870,31,41,35,48,34,25
PA14_28880,51,55,53,75,50,54
PA14_28895,375,383,422,458,409,352
PA14_28910,60,67,76,72,81,54
PA14_28920,348,399,417,443,394,364
PA14_28930,25,25,22,49,45,45
PA14_28940,18,33,33,68,58,38
PA14_28950,50,51,63,136,162,127
PA14_28960,105,122,131,249,294,248
PA14_28970,7,12,8,3,8,10
PA14_28980,5,8,2,7,11,3
PA14_28990,57,73,61,115,118,76
PA14_29000,35,49,45,77,77,71
PA14_29010,57,91,93,63,79,54
cpo,214,230,306,362,368,307
PA14_29030,192,177,202,307,376,261
PA14_29040,21,12,17,30,34,32
PA14_29050,64,55,52,111,82,72
PA14_29060,65,106,89,96,119,83
PA14_29070,74,67,72,91,89,79
PA14_29090,74,105,107,144,99,94
PA14_29100,92,91,97,80,86,70
cysK,765,828,976,651,741,612
PA14_29120,62,56,63,67,80,62
PA14_29130,1105,1218,1463,1062,963,1104
PA14_29150,170,186,208,191,162,145
PA14_29160,609,652,710,914,873,746
PA14_29180,121,128,124,175,158,113
PA14_29190,85,121,137,173,124,127
PA14_29200,123,152,167,176,148,164
PA14_29210,27,14,15,49,43,31
PA14_29220,24,25,30,44,57,38
PA14_29230,115,146,148,157,172,139
PA14_29240,88,114,136,95,130,134
PA14_29250,2,4,4,5,9,6
PA14_29260,70,90,73,59,51,52
PA14_29270,116,150,137,172,148,166
PA14_29280,28,43,51,56,49,61
PA14_29290,31,27,29,47,51,41
PA14_29300,32,58,58,45,45,56
PA14_29320,86,85,75,165,190,129
PA14_29330,339,402,449,846,694,668
PA14_29340,8,15,9,15,13,9
pfeA,56,60,68,74,83,58
pfeS,52,89,62,60,75,78
PA14_29375,30,41,26,19,35,31
PA14_29390,610,772,718,897,897,878
PA14_29400,352,381,349,537,598,477
PA14_29410,196,156,201,265,346,245
PA14_29420,521,352,389,665,755,750
PA14_29440,35,45,37,52,56,39
PA14_29460,29,36,46,37,47,43
PA14_29470,142,157,154,98,111,82
PA14_29480,48,62,72,96,80,88
PA14_29490,65,55,66,116,99,75
PA14_29500,19,20,20,33,23,17
PA14_29510,13,23,20,39,28,30
PA14_29520,9,6,11,11,12,5
PA14_29530,9,9,5,6,7,7
PA14_29540,12,10,15,20,23,22
PA14_29550,26,29,24,48,38,38
PA14_29560,39,36,30,47,34,50
PA14_29570,29,20,22,40,20,34
PA14_29575,26,35,34,54,31,38
PA14_29590,897,983,1149,793,722,824
PA14_29600,130,124,152,183,128,161
PA14_29620,296,422,312,122,144,138
fhp,52,66,50,108,121,91
PA14_29650,7,8,6,23,8,14
PA14_29660,43,47,37,82,74,56
PA14_29680,54,57,74,144,137,112
PA14_29690,129,126,124,181,150,160
PA14_29710,330,765,607,574,434,484
PA14_29720,314,653,515,543,536,519
PA14_29730,316,525,436,575,551,471
PA14_29740,248,288,251,424,398,341
PA14_29750,58,71,64,114,86,71
PA14_29760,1147,1319,1214,1397,1502,1251
PA14_29770,94,108,130,144,147,149
PA14_29800,1542,1746,1808,1528,1507,1555
PA14_29820,462,558,517,583,549,556
PA14_29830,71,87,77,116,79,92
nuoN,326,294,314,367,273,294
nuoM,394,418,467,569,446,432
nuoL,524,576,576,679,546,535
nuoK,79,106,126,151,130,107
nuoJ,177,171,188,224,187,181
nuoI,194,215,209,281,184,225
nuoH,343,326,349,454,380,358
nuoG,1111,1175,1287,1709,1613,1522
nuoF,501,551,584,688,813,635
nuoE,198,187,203,261,265,234
nuoD,758,740,866,889,839,878
nuoB,663,797,841,816,703,668
nuoA,500,527,577,587,516,458
PA14_30030,38,59,52,91,68,61
PA14_30040,623,516,665,798,544,633
PA14_30050,34845,32865,38405,37901,24717,33830
PA14_30070,441,425,511,707,796,628
PA14_30080,164,162,177,204,176,178
PA14_30090,497,513,593,500,515,518
PA14_30100,469,487,537,502,525,631
purB,586,627,694,753,711,802
PA14_30130,125,138,151,200,159,143
PA14_30140,153,145,163,190,176,191
mnmA,568,727,699,775,797,789
PA14_30160,110,133,127,169,176,109
idh,3401,3997,4164,5188,4457,4228
icd,9723,11840,12676,10840,12810,11669
cspD,1461,1370,1896,2675,1793,2111
clpS,1378,1243,1594,2093,1219,1726
clpA,5099,5306,5843,8195,7603,6561
infA,274,286,349,513,408,524
PA14_30260,241,252,268,476,389,313
aat,150,151,149,214,164,173
trxB1,551,585,610,560,478,536
ftsK,1566,1528,1680,1951,1811,1546
lolA,391,418,430,568,551,508
PA14_30320,456,447,488,719,694,648
serS,636,710,794,1021,1071,912
cysG,469,476,526,715,734,511
PA14_30350,313,381,430,507,492,417
PA14_30360,421,481,427,820,920,745
PA14_30370,156,191,200,360,375,323
PA14_30380,68,87,84,123,138,107
PA14_30390,43,72,76,75,104,78
PA14_30400,139,137,121,179,220,140
PA14_30410,2109,3034,2495,2014,1995,2059
PA14_30420,2,0,1,1,4,2
PA14_30430,310,352,325,478,505,506
PA14_30440,60,67,74,112,76,75
PA14_30450,59,76,61,96,61,61
PA14_30460,39,31,26,35,33,30
PA14_30470,39,42,55,73,57,56
PA14_30490,43,46,53,69,67,65
PA14_30500,33,34,32,55,58,50
PA14_30520,38,37,39,77,57,44
PA14_30540,69,66,94,175,132,120
PA14_30550,178,173,214,350,272,223
PA14_30560,173,183,207,273,192,234
PA14_30570,2226,2753,3128,3059,2436,2896
PA14_30580,738,875,1025,965,1016,911
PA14_30590,104,132,122,208,230,186
PA14_30600,17,34,21,23,37,28
PA14_30620,74,121,156,106,110,83
pqsH,117,213,194,132,219,130
gacA,484,490,478,660,454,531
uvrC,306,346,374,635,537,435
pgsA,192,176,192,273,274,196
PA14_30680,1,0,1,0,0,0
PA14_30690,259,314,384,630,466,479
PA14_30700,427,435,486,838,740,698
PA14_30710,906,990,1101,1064,945,957
PA14_30720,0,0,0,1,1,0
PA14_30730,357,438,504,468,399,429
PA14_30740,17,22,35,47,31,33
PA14_30750,240,271,329,372,346,350
PA14_30760,95,126,119,207,211,180
PA14_30770,133,172,180,214,244,196
PA14_30790,52,41,46,61,60,41
PA14_30800,612,1157,1374,407,391,379
alkB1,91,99,98,232,194,165
PA14_30820,426,481,490,1052,995,736
PA14_30830,672,681,685,1544,1610,1214
PA14_30840,826,777,906,2082,2083,1570
PA14_30850,45,42,47,114,97,80
PA14_30860,10,9,20,18,12,16
PA14_30870,27,33,41,106,116,49
PA14_30880,19,15,14,44,33,24
PA14_30890,2,1,0,3,4,0
PA14_30900,5,4,8,10,12,5
PA14_30910,25,22,25,37,44,29
PA14_30930,1,0,1,0,2,2
PA14_30940,3,5,5,7,5,3
PA14_30950,9,10,17,9,11,10
PA14_30960,100,106,105,206,217,173
PA14_30970,145,166,175,320,208,215
PA14_30980,328,260,412,444,278,315
PA14_30990,322,366,437,534,368,428
PA14_31000,189,182,228,363,257,287
PA14_31010,371,416,413,819,671,681
PA14_31030,86,113,126,134,134,160
PA14_31040,107,142,162,176,154,160
PA14_31050,306,401,408,428,406,393
PA14_31060,333,348,446,426,400,378
PA14_31070,13,13,17,18,25,16
PA14_31080,2,0,1,6,2,2
PA14_31090,4,6,4,5,6,9
PA14_31100,1,3,2,4,3,3
PA14_31110,8,5,10,11,12,3
PA14_31130,4,1,9,10,16,6
PA14_31150,77,79,111,116,135,95
PA14_31160,35,47,52,86,60,52
PA14_31170,11,8,15,24,16,16
PA14_31180,52,85,61,180,156,111
PA14_31190,22,16,17,27,34,25
PA14_31200,6,9,10,14,7,14
PA14_31220,6,11,18,23,14,15
PA14_31230,8,7,15,23,17,22
PA14_31240,131,168,161,184,137,147
PA14_31250,3,5,3,10,5,3
PA14_31260,1,4,2,8,6,8
PA14_31270,40,50,38,74,89,76
PA14_31280,74,70,92,121,140,111
pa1L,355,435,556,193,151,205
PA14_31300,54,50,35,49,25,37
PA14_31310,83,85,77,121,129,90
PA14_31330,118,155,160,301,235,213
PA14_31340,7,22,24,34,26,27
PA14_31350,286,367,415,552,589,556
PA14_31360,101,109,102,122,114,106
PA14_31370,133,208,192,189,233,153
PA14_31380,167,227,272,332,405,321
PA14_31390,143,154,149,333,279,252
PA14_31400,195,195,198,298,251,280
PA14_31420,254,309,342,382,306,382
PA14_31430,90,117,110,141,103,95
PA14_31440,462,607,659,704,664,554
PA14_31450,51,61,74,61,83,65
PA14_31460,78,86,90,150,149,115
PA14_31470,127,90,117,187,177,135
PA14_31480,106,84,83,122,145,114
PA14_31500,114,128,153,179,213,135
PA14_31510,75,100,67,190,314,151
PA14_31530,280,420,335,637,1232,916
PA14_31540,402,551,473,913,1492,1261
PA14_31560,673,683,885,705,675,663
PA14_31580,3741,3624,4483,2595,2733,1489
PA14_31610,560,564,638,1277,954,617
PA14_31620,59,46,47,304,176,96
PA14_31630,57,73,51,150,92,59
PA14_31640,56,66,61,91,70,66
xthA,245,256,302,312,289,312
PA14_31660,309,313,308,380,466,327
PA14_31680,227,193,207,314,303,244
PA14_31690,158,138,136,204,183,131
PA14_31700,453,579,604,624,609,484
PA14_31720,648,879,864,1048,917,755
PA14_31730,135,157,161,192,187,135
PA14_31740,36,36,36,53,59,42
PA14_31750,173,169,200,275,164,159
PA14_31760,251,218,275,343,247,217
PA14_31770,93,81,84,181,122,109
PA14_31780,28,27,29,42,27,28
PA14_31800,702,720,899,828,741,855
tpx,745,871,885,658,846,766
PA14_31820,153,185,174,205,193,183
PA14_31840,116,127,129,125,112,101
PA14_31850,167,168,182,149,134,142
PA14_31870,218,213,222,243,195,195
PA14_31890,196,200,221,234,230,181
PA14_31900,177,188,177,194,188,145
PA14_31920,113,124,110,151,152,97
PA14_31930,21,22,13,28,20,20
PA14_31950,178,207,176,174,180,168
PA14_31960,222,236,208,158,125,149
czcC,10,13,6,10,11,9
czcB,9,12,20,14,18,10
PA14_32015,29,26,21,48,56,39
PA14_32025,78,58,62,217,234,158
xylS,85,48,57,135,138,96
xylX,40,39,32,130,133,114
xylY,6,5,12,33,41,39
xylZ,14,14,11,97,147,117
benD,57,27,37,157,267,203
antC,91,41,43,195,368,318
antB,100,30,36,162,327,274
antA,354,150,123,665,1090,1101
PA14_32190,510,333,381,877,995,720
catR,70,70,62,160,180,114
catB,101,47,63,228,201,145
catC,39,24,36,128,113,61
catA,106,56,70,228,289,201
PA14_32250,21,16,26,33,46,39
PA14_32270,47,59,66,89,92,99
PA14_32280,216,220,267,553,595,425
PA14_32290,258,288,271,422,422,314
PA14_32300,86,101,84,123,121,103
PA14_32310,32,22,24,36,54,30
PA14_32330,128,125,152,174,191,138
PA14_32340,7,7,11,12,16,12
PA14_32350,4,7,10,11,16,4
PA14_32360,31,46,37,15,28,36
PA14_32370,41,37,46,36,40,39
oprN,37,53,48,71,83,59
mexF,198,223,213,301,306,246
mexE,61,92,49,73,96,59
mexT,218,244,301,251,249,243
PA14_32420,525,718,672,400,357,334
PA14_32440,27,29,44,39,17,28
PA14_32450,60,66,68,69,62,51
PA14_32460,27,26,19,24,30,26
PA14_32470,30,37,20,16,24,9
PA14_32480,110,133,121,47,38,33
PA14_32490,110,120,83,56,39,36
PA14_32500,169,187,173,175,219,158
PA14_32520,267,419,372,286,332,255
PA14_32530,282,315,280,299,295,259
PA14_32540,203,237,212,278,242,224
PA14_32570,87,71,84,114,105,87
PA14_32580,30,34,25,37,43,38
PA14_32590,52,56,59,124,131,109
PA14_32600,47,40,44,65,82,71
dsbG,77,71,80,139,169,135
PA14_32630,192,236,225,466,604,400
PA14_32640,27,39,30,116,129,77
PA14_32650,9,6,12,32,27,15
PA14_32660,15,18,13,54,54,33
PA14_32670,17,10,13,26,13,15
gtdA,14,18,15,16,16,13
PA14_32700,47,37,37,37,30,26
PA14_32710,21,25,26,17,22,13
PA14_32720,22,23,22,23,28,18
PA14_32740,75,97,76,93,80,85
PA14_32750,9,6,6,20,19,12
PA14_32770,185,226,216,167,193,152
PA14_32780,60,108,96,96,72,76
PA14_32790,862,888,919,1767,1358,1192
PA14_32810,2,0,0,2,3,2
PA14_32820,37,22,33,45,30,27
PA14_32830,268,288,328,645,512,554
PA14_32840,49,63,77,155,67,126
PA14_32850,174,182,228,239,164,209
PA14_32860,67,82,102,107,106,87
PA14_32880,74,61,67,128,81,86
PA14_32890,13,17,23,24,7,19
PA14_32905,30,22,19,63,68,82
PA14_32930,68,96,95,110,159,109
PA14_32940,138,115,133,143,141,122
PA14_32950,119,141,161,113,165,114
PA14_32970,37,47,62,41,55,56
gcvH2,15,9,9,15,19,11
gcvP2,144,109,122,140,170,117
glyA2,87,90,61,144,137,103
sdaA,277,293,246,522,584,296
gcvT2,266,233,219,375,377,218
PA14_33050,272,291,264,278,221,171
PA14_33060,289,264,286,173,190,160
PA14_33070,74,73,82,102,89,59
PA14_33080,39,47,52,52,78,55
PA14_33110,24,38,36,34,61,41
PA14_33120,68,63,75,97,107,105
PA14_33130,186,218,198,280,369,289
PA14_33150,96,93,99,137,157,140
PA14_33160,148,198,152,150,127,115
PA14_33170,49,57,50,73,85,65
PA14_33190,56,63,64,127,157,107
PA14_33200,4,5,5,11,19,3
PA14_33220,48,42,45,103,108,73
PA14_33230,9,10,12,25,24,16
PA14_33240,57,74,99,100,102,103
PA14_33250,31,26,23,75,105,110
pvdS,42,48,29,101,146,140
pvdG,26,18,20,50,83,86
pvdL,2822,1526,1987,5571,7047,5643
PA14_33290,144,148,141,335,318,241
PA14_33300,372,441,459,326,318,275
PA14_33310,748,900,968,710,546,553
PA14_33320,292,313,346,304,184,219
PA14_33330,316,390,416,426,278,303
PA14_33340,521,572,604,708,521,522
PA14_33350,362,381,461,509,384,448
PA14_33360,52,38,43,76,64,93
PA14_33370,3,1,7,5,1,4
PA14_33380,28,22,43,72,44,44
PA14_33410,39,26,54,52,47,51
PA14_33420,25,30,28,29,39,19
PA14_33430,31,27,24,22,23,29
PA14_33440,90,120,96,106,79,77
treA,37,54,46,59,60,55
PA14_33460,6,7,12,16,16,11
sndH,35,68,49,44,69,63
pvdH,86,69,76,271,465,434
PA14_33510,102,46,79,269,382,423
PA14_33520,171,146,134,446,641,651
PA14_33530,571,546,584,1012,1306,1217
PA14_33540,179,212,201,304,475,416
PA14_33550,163,190,199,233,493,395
PA14_33560,323,279,298,436,788,857
PA14_33570,150,133,140,140,337,319
PA14_33580,130,93,94,120,249,246
PA14_33590,188,173,172,167,416,411
PA14_33600,412,360,316,442,789,788
PA14_33610,3117,1595,2108,9432,10118,9507
pvdJ,2451,1214,1627,7511,6226,6272
pvdD,2140,1149,1534,6669,5667,5585
fpvA,665,702,744,1488,1436,1817
pvdE,244,234,264,637,620,801
pvdF,318,159,312,781,675,840
pvdO,154,106,146,399,496,559
pvdN,133,93,104,323,451,596
PA14_33730,145,73,102,383,549,684
pvdP,102,75,102,345,410,434
PA14_33750,63,50,59,160,232,232
PA14_33760,149,109,128,392,413,404
PA14_33770,109,99,95,303,334,284
PA14_33780,373,485,526,589,586,595
PA14_33800,37,36,40,34,39,35
pvdA,181,78,158,297,688,772
pvdQ,209,134,213,516,1066,970
PA14_33830,74,66,73,193,304,252
PA14_33840,65,97,81,166,199,146
lldA,127,188,156,171,167,133
PA14_33870,121,195,183,129,65,98
PA14_33880,112,113,170,154,118,120
PA14_33890,97,118,107,129,99,96
PA14_33900,291,354,280,371,314,255
PA14_33910,20,42,19,39,37,43
PA14_33920,30,38,37,50,42,36
PA14_33930,55,76,76,146,124,115
PA14_33940,36,46,43,85,73,61
PA14_33960,75,88,85,125,115,81
PA14_33970,90,107,97,150,96,93
PA14_33980,76,71,95,165,74,65
PA14_33990,176,197,210,374,203,131
PA14_34000,31,43,44,80,53,27
PA14_34010,174,137,164,459,397,229
PA14_34020,34,27,40,88,85,78
PA14_34030,328,295,413,1045,663,860
PA14_34050,1304,1433,1799,4053,3027,3439
PA14_34070,556,639,717,1522,1086,1226
PA14_34080,79,95,128,186,203,177
PA14_34100,292,334,367,715,721,598
PA14_34110,70,85,80,198,152,144
PA14_34130,268,266,291,613,506,371
PA14_34140,94,103,94,178,127,77
PA14_34150,51,69,67,96,82,63
PA14_34170,15,47,22,24,17,10
msuE,2,13,5,9,6,2
msuD,5,9,11,13,22,12
PA14_34200,12,15,12,25,16,11
PA14_34210,27,10,18,21,25,19
PA14_34230,90,99,100,87,95,79
PA14_34250,73,79,90,114,88,99
PA14_34260,19,14,21,33,22,28
PA14_34270,8,12,9,17,15,10
PA14_34280,12,15,8,16,10,10
PA14_34290,16,16,11,13,21,13
PA14_34300,18,17,12,21,16,15
PA14_34320,12,17,10,12,21,15
PA14_34330,225,320,281,377,444,388
mtlZ,77,83,80,103,117,99
mtlY,27,25,22,45,39,37
mtlD,56,36,36,48,50,39
PA14_34370,27,39,37,55,53,41
PA14_34390,41,27,50,59,36,36
PA14_34410,40,54,42,50,48,47
PA14_34420,146,154,159,144,130,108
mtlR,77,83,71,87,85,80
PA14_34450,71,76,80,63,72,72
PA14_34460,1162,1546,1739,617,669,626
PA14_34490,991,1242,1285,468,543,423
PA14_34500,636,703,820,345,347,296
PA14_34510,812,902,955,472,505,402
PA14_34520,288,260,282,209,206,165
PA14_34540,311,339,314,308,356,252
PA14_34550,44,65,61,68,54,38
PA14_34580,10,11,11,18,17,15
PA14_34600,64,64,86,75,106,68
PA14_34610,3,3,1,3,1,2
gnuT,63,59,78,59,54,73
PA14_34640,68,55,64,29,43,48
gntR,182,172,200,87,122,69
PA14_34670,41,56,48,50,61,35
PA14_34680,139,143,134,169,160,146
PA14_34690,47,54,54,48,60,40
PA14_34700,4,8,8,10,9,3
PA14_34710,16,7,4,12,10,11
PA14_34720,112,94,120,87,82,80
PA14_34730,30,29,42,41,38,43
PA14_34740,6,6,5,9,14,15
PA14_34750,11,14,15,35,35,26
PA14_34770,24,19,11,21,27,25
PA14_34780,14,16,12,26,26,25
PA14_34790,14,19,17,20,16,17
PA14_34800,93,83,101,156,135,120
PA14_34810,308,360,379,347,440,334
PA14_34820,110,186,159,189,280,226
PA14_34830,130,193,212,268,347,314
PA14_34840,1555,2153,2239,2356,3144,2211
PA14_34850,80,102,109,98,127,109
chiC,6701,9114,10600,4629,6273,5767
PA14_34880,106,130,155,111,149,134
PA14_34900,88,163,195,138,215,155
PA14_34920,7,10,11,6,14,14
PA14_34930,11,16,13,24,24,25
PA14_34940,3,2,4,9,6,10
PA14_34960,454,324,415,1382,1814,1271
gcd,1103,968,984,2917,3597,2246
PA14_34990,188,159,164,785,704,529
PA14_35000,67,60,57,86,82,55
PA14_35010,74,78,55,103,75,55
PA14_35020,67,55,74,107,100,67
PA14_35030,12,6,6,20,10,7
PA14_35040,22,17,21,26,23,20
PA14_35050,19,18,12,36,30,27
PA14_35060,20,17,14,16,12,18
PA14_35070,161,180,199,234,221,224
PA14_35080,89,112,104,123,132,117
arsC,29,33,43,35,46,25
arsB,43,75,62,46,35,44
arsR,25,30,34,13,16,24
PA14_35140,68,55,68,50,69,68
PA14_35150,118,157,136,121,177,128
PA14_35160,54,107,122,37,65,62
PA14_35170,62,61,47,34,37,25
pbpC,171,200,183,224,199,154
PA14_35200,25,39,28,30,27,25
PA14_35210,54,53,49,54,62,47
PA14_35230,67,51,55,37,37,19
PA14_35240,189,161,142,28,21,22
PA14_35250,68,78,66,70,81,52
PA14_35270,101,106,104,191,137,124
gnd,197,252,218,401,378,292
PA14_35300,110,107,107,159,163,134
PA14_35320,19,19,23,31,26,14
PA14_35330,26,34,42,46,45,47
PA14_35340,25,28,37,50,39,27
PA14_35360,22,17,16,27,24,21
ptxS,156,178,193,210,183,170
ptxR,27,24,27,34,33,27
pvcD,7,2,9,5,8,5
pvcC,27,30,23,32,42,31
pvcB,16,19,11,17,23,18
