,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA3282,27,33,38,22,38,24
PA0120,252,347,340,212,254,284
PA0349,123,124,76,136,126,176
PA2977,747,654,738,834,701,672
PA1050,1395,1213,1143,2039,1516,1655
PA1905,1,-,-,-,-,1
PA4429,15046,12248,12814,17016,14624,14696
PA1648,170,149,162,163,191,182
PA3063,241,233,216,217,216,290
PA2093,71,65,69,52,73,65
PA2238,1161,1103,1180,1216,1039,1144
PA4274,4383,4004,4851,4980,3767,2999
PA2926,74,53,47,59,82,60
PA2094,150,165,168,129,125,107
PA2404,5,15,13,11,52,25
PA0329,4003,3790,3951,3778,4182,3999
PA0034,39,51,58,46,71,55
PA2367,53,55,40,40,41,51
PA3656,7384,6245,8898,6539,4621,4111
PA5092,1050,1133,1034,1041,1021,1074
PA4578,1161,1197,911,1376,1410,1327
PA4830,187,221,129,193,142,152
PA4984,411,456,503,459,547,630
PA3081,634,566,595,708,486,485
PA0754,220,184,313,160,180,177
PA2812,1142,1101,830,1655,1794,1640
PA0174,89,56,57,50,84,80
PA4818,82,125,107,86,95,80
PA0545,7437,6737,6847,7855,5734,6705
PA4595,2106,1763,1761,3227,3384,3010
PA4920,398,390,366,366,463,415
PA0121,206,296,238,220,218,216
PA1691,64,44,43,82,40,48
PA5220,781,818,619,660,855,907
PA1385,389,312,352,269,293,304
PA1978,75,71,52,92,110,82
PA4041,375,398,333,258,250,289
PA5121,526,530,556,525,592,505
PA1169,254,231,304,283,256,298
PA5055,443,374,296,339,279,330
PA3146,1138,1099,1053,1028,1088,999
PA1281,73,80,114,92,97,101
PA5056,795,799,595,655,850,816
PA4883,17,10,21,16,24,19
PA3481,573,525,550,776,890,843
PA1310,65,78,57,89,97,104
PA1158,398,373,384,429,400,371
PA1372,2485,2364,2823,2529,2665,2486
PA0519,1458,1045,995,1336,1364,1226
PA1248,2947,3344,2698,2280,2788,2833
PA0322,139,143,141,161,140,143
PA3156,3568,3543,4440,2665,2597,2596
PA3678,2310,2257,1517,3500,3369,3650
PA1547,949,880,980,969,765,732
PA4447,1055,845,996,1238,1164,1224
PA1234,210,232,213,227,307,324
PA2708,604,595,626,473,587,678
PA2327,781,790,590,481,756,866
PA5236,570,588,563,689,912,834
PA2425,19,18,17,15,26,22
PA4171,160,175,149,163,193,241
PA4587,5321,4851,3947,5460,4721,4309
PA1286,72,53,47,66,83,67
PA3903,809,740,785,848,964,841
PA5447,1124,1112,1123,988,1164,1070
PA1853,1040,1058,1206,1287,1003,970
PA3276,71,113,149,123,107,84
PA0277,242,199,233,139,128,119
PA0628,376,392,433,250,374,414
PA5539,43,49,40,38,45,38
PA2455,361,369,337,208,241,284
PA2492,577,617,479,724,811,788
PA0233,186,180,127,138,209,172
PA0688,224,239,260,185,201,187
PA2454,329,347,374,301,298,319
PA5246,263,204,244,339,314,357
PA5269,363,350,301,421,428,431
PA0193,26,21,31,30,26,31
PA1749,2170,2187,1983,2257,2715,2333
PA3011,4052,3732,3836,3408,3849,3542
PA4314,1583,1380,1514,1297,1263,1239
PA1132,249,222,228,169,209,172
PA3929,2127,2067,2147,1670,2188,2084
PA2054,440,475,526,462,443,499
PA0789,718,693,787,1229,1063,1194
PA5063,1732,1690,1667,1535,1313,1236
PA1681,1672,1667,1823,1820,1733,1607
PA4197,786,793,886,703,598,726
PA0409,4577,4270,4429,4410,3194,3107
PA1702,90,59,54,82,56,55
PA2703,4,3,6,17,4,11
PA2506,11,5,8,19,8,16
PA2187,85,75,55,50,69,70
PA1765,285,222,180,199,242,266
PA1551,8665,7679,7413,8159,7416,6824
PA4156,159,139,102,116,135,115
PA3201,1436,1473,1778,1522,1385,1316
PA4126,192,170,152,159,208,189
PA3299,2475,2234,2457,3418,3205,2985
PA3110,589,581,559,738,769,688
PA0087,89,43,43,76,39,49
PA4503,859,697,570,916,928,952
PA2544,976,1118,891,1091,1499,1506
PA4570,35,41,43,40,64,35
PA2573,2441,2190,1672,1246,1718,1651
PA2701,415,408,382,368,366,418
PA3384,76,66,86,64,65,91
PA1793,2241,2039,2044,2481,2499,2115
PA2467,81,92,81,103,128,161
PA1411,275,281,266,246,225,265
PA4694,3128,2818,2952,3551,3478,3020
PA0722,157,166,166,167,178,136
PA4208,730,852,583,242,257,329
PA1327,1298,1202,1006,915,1139,1189
PA2087,31,12,27,24,33,32
PA3998,484,427,399,500,546,645
PA0272,259,272,217,186,274,247
PA3515,339,355,249,279,307,267
PA1716,645,516,737,876,609,527
PA0520,838,759,689,634,736,849
PA1460,1687,1482,1507,1402,1210,1311
PA0591,259,226,217,315,336,307
PA3388,262,226,285,262,173,180
PA4108a,54,31,46,40,54,34
PA4186,831,767,761,841,629,628
PA4406,11005,10855,13597,11304,9233,8362
PA1247,2466,2699,2071,1741,2524,2454
PA2306,432,387,367,319,366,320
PA3374,299,278,247,257,257,314
PA4917,2384,2104,1416,1154,1312,1571
PA1775,3093,3336,3432,2142,1942,2185
PA0857,200,232,213,253,213,243
PA1666,52,58,66,54,66,40
PA4470,558,523,488,586,604,589
PA5174,1656,1822,1767,1379,1530,1571
PA0643,559,512,490,461,494,521
PA2649,1964,1621,1613,2186,2125,2176
PA3190,123,124,125,543,629,689
PA4111,476,426,400,406,407,372
PA4670,5068,4221,5388,4793,3552,2887
PA0761,3409,3071,3411,3446,3385,3366
PA2609,773,708,711,663,618,585
PA3091,5622,4079,4582,4744,3399,3374
PA2725,400,409,388,435,462,364
PA1951,814,865,696,557,841,985
PA1443,1331,1202,1318,1328,1471,1273
PA3103,2025,2122,1609,2105,1972,2154
PA2191,92,90,102,112,162,113
PA2311,15,13,9,9,7,15
PA0766,4186,4386,5276,6149,6051,5676
PA3524,3813,3512,3609,3890,3817,3302
PA3263,355,352,393,302,424,286
PA4099,92,82,85,105,79,104
PA1636,722,681,748,700,656,777
PA3232,446,559,500,672,627,829
PA2486,719,557,373,610,714,678
PA4957,850,777,785,934,854,847
PA2592,1189,1243,1098,1256,1896,1565
PA4763,620,705,725,682,629,595
PA3372,189,213,220,189,184,263
PA0486,450,520,495,582,496,514
PA4622,161,112,147,136,141,119
PA4723,2736,2921,3900,2973,2249,2099
PA1303,121,88,88,106,117,132
PA4290,650,870,955,2149,1864,2399
PA2177,766,723,660,513,557,620
PA3227,456,484,482,430,438,527
PA5526,1178,1203,1471,1248,1089,1049
PA1870,357,464,273,291,263,400
PA0285,699,631,704,819,804,751
PA0280,229,191,208,193,206,180
PA5459,257,249,203,249,309,259
PA3133,46,41,53,39,40,55
PA3551,163,153,132,145,178,195
PA0374,1044,991,912,1413,1466,1440
PA3446,59,83,78,71,76,83
PA3045,165,145,112,203,160,161
PA0610,367,278,293,347,294,337
PA2803,76,87,91,77,69,92
PA4160,70,73,74,55,37,85
PA5070,633,603,643,838,791,682
PA2634,3043,2322,2125,4880,4182,4255
PA3661,18,5,12,7,12,6
PA5189,310,257,258,235,280,291
PA2816,652,739,550,613,737,782
PA3064,199,198,237,216,191,173
PA0916,897,706,826,568,578,455
PA4096,24,26,27,18,17,27
PA2550,281,299,298,311,299,289
PA2743,11411,10778,12114,11552,10871,9629
PA3311,1266,1091,1022,713,983,1028
PA4271,3696,3369,3908,4450,3751,3538
PA3431,529,401,628,188,128,133
PA3548,101,96,72,132,105,140
PA1943,585,618,486,412,505,548
PA0011,1135,1185,1199,1409,1233,1062
PA1317,132,114,106,120,114,105
PA0994,734,610,611,618,629,612
PA1915,1313,1138,1022,870,1063,1071
PA4897,366,292,307,327,339,380
PA1338,1420,1493,1345,1147,1256,1185
PA1826,800,646,529,635,649,673
PA4477,1441,1441,1714,1447,1724,1541
PA1785,82,114,85,82,76,88
PA3006,37665,33348,33241,24351,25296,27652
PA3790,7944,7184,6192,8544,8072,7794
PA0417,340,329,369,313,269,291
PA0880,16,6,6,13,8,9
PA0662,1040,930,1071,1046,976,1013
PA1254,59,37,49,40,54,37
PA1404,151,212,165,189,236,222
PA2341,108,111,89,103,122,157
PA3313,224,215,206,285,320,258
PA3829,203,242,190,231,238,247
PA4912,62,74,59,32,76,59
PA5333,854,911,905,1048,1038,836
PA0462,3205,3291,3165,3552,3109,3055
PA5262,3964,3667,3047,3092,3468,3424
PA2676,67,70,81,101,99,90
PA2720,272,320,264,253,292,253
PA4168,571,601,508,545,640,611
PA4137,149,111,116,122,109,119
PA3731,384,467,453,424,375,426
PA3215,1378,1298,1208,1535,1724,1746
PA0839,84,66,70,75,54,66
PA4602,1776,1875,2071,1775,1667,1385
PA4022,516,430,736,569,801,851
PA2693,107,78,114,157,110,101
PA1189,110,59,75,78,109,86
PA4488,1173,1225,990,1141,977,1129
PA4005,1645,1748,1741,2018,2150,2027
PA3824,992,896,1294,899,675,614
PA3545,750,685,579,575,644,679
PA5035,1242,1155,1314,1368,1442,1513
PA0187,95,84,78,63,70,73
PA1063,80,86,69,84,123,106
PA5168,511,455,484,513,372,398
PA3355,869,911,844,994,1107,1159
PA5017,3686,3485,3384,2735,2979,2931
PA2861,48,62,57,92,74,99
PA0926,168,141,173,184,153,136
PA1625,382,318,297,310,285,318
PA2072,1240,1103,911,662,916,956
PA0746,1805,1955,1395,1408,1897,1911
PA3054,292,335,254,340,319,396
PA4032,1283,1157,943,1207,1213,1179
PA1179,963,982,1048,823,906,972
PA0654,965,816,932,1058,820,665
PA0074,213,254,252,229,196,181
PA4859,30,37,43,26,42,32
PA1987,258,223,243,406,334,375
PA4395,3534,3031,2622,3308,3489,2851
PA3335,284,289,297,262,306,287
PA2613,2147,2060,2324,2275,1985,1863
PA0113,200,207,112,208,225,254
PA4420,3307,3152,3373,2315,2837,2513
PA5207,1413,1469,1273,1011,775,653
PA4384,112,145,91,93,146,106
PA3705,440,499,439,487,508,528
PA2863,85,91,107,152,178,225
PA2525,255,270,212,221,188,232
PA1755,285,306,365,421,364,321
PA1392,355,298,314,269,361,309
PA5483,1449,1520,1141,1088,962,980
PA2537,81,96,60,58,61,43
PA2080,219,246,212,262,319,353
PA4981,100,109,93,111,143,111
PA0048,218,103,197,157,124,142
PA1206,268,241,174,199,222,220
PA0429,3048,2483,2124,2770,2992,2353
PA3182,201,219,217,253,169,227
PA4993,333,293,256,398,367,462
PA2204,50,48,44,69,53,52
PA2241,477,581,545,580,508,545
PA4366,9140,8586,7072,9367,10769,10708
PA5450,850,953,945,1263,1346,1219
PA3992,1184,1259,1311,1367,1269,1353
PA1679,1542,1136,1180,927,744,801
PA5437,467,474,594,405,280,221
PA4728,383,294,328,453,332,371
PA2373,733,722,673,622,705,702
PA4248,3089,2772,3606,3330,3259,2555
PA0215,221,239,216,238,329,350
PA3858,3876,3868,2931,2271,2573,3022
PA4937,7495,7737,7300,7137,7466,7821
PA0505,1312,1484,1411,1399,1586,1646
PA4810,1022,976,1066,882,936,1078
PA3345,590,528,621,556,530,488
PA5428,992,820,849,884,765,761
PA1002,1057,1049,879,427,451,436
PA5110,2526,2512,2726,2475,2146,1862
PA4496,1169,1188,938,1302,1658,1621
PA1997,1001,1103,815,908,1175,1190
PA1114,585,514,551,477,493,492
PA4465,2819,2988,3773,2198,2374,2120
PA1056,1051,903,1052,1037,861,942
PA2416,234,230,258,230,214,290
PA4437,182,177,191,219,196,205
PA4355,284,322,228,396,374,360
PA0691,12,24,21,19,26,14
PA0830,1061,823,549,495,439,416
PA4295,27,31,38,49,54,30
PA3059,89,85,90,73,93,78
PA0704,783,628,610,602,506,668
PA5221,1818,1796,1904,2056,1846,2043
PA2473,24,19,23,26,21,19
PA0252,26,24,24,22,26,22
PA2739,2863,2798,2679,3368,2991,3031
PA0259,2323,2248,2108,2402,2251,2076
PA3899,15,4,16,12,14,19
PA2045,128,137,122,114,90,106
PA2618,1821,1468,713,1100,1382,1440
PA1491,230,325,293,317,402,318
PA2536,59,91,85,69,96,45
PA2937,813,550,340,341,570,613
PA5502,1303,1196,1429,1538,1124,1173
PA3430,376,250,202,166,184,220
PA5143,1089,1028,1068,1133,998,980
PA1153,97,89,110,113,86,99
PA0158,2055,1760,1804,1715,1816,1794
PA2145,129,111,111,106,136,155
PA2386,99,99,103,143,177,147
PA2829,54,91,106,128,72,95
PA4086,81,68,79,73,76,46
PA1072,414,379,406,428,572,576
PA2901,636,674,805,721,687,589
PA1023,72,89,41,82,107,109
PA2143,125,120,110,128,126,167
PA5494,3217,2890,2235,4177,4252,3823
PA0365,94,82,81,742,780,756
PA3879,1068,963,675,884,607,687
PA4902,93,85,95,81,92,121
PA4283,1426,1261,1372,1284,1204,1407
PA3625,573,542,539,758,744,538
PA2875,1105,1127,1029,1014,868,850
PA0094,64,81,74,82,60,49
PA4992,289,266,265,393,431,416
PA3875,338,316,331,364,333,324
PA5042,1616,1504,2272,1744,1113,797
PA4495,2911,2953,2131,2353,3102,2919
PA0962,2546,2190,1452,2537,2318,2287
PA3216,113,100,87,83,87,74
PA0436,1238,1235,938,793,912,783
PA3763,5222,5042,4773,5769,6202,6085
PA4820,15,15,3,16,31,28
PA3149,3806,3684,4080,3270,3259,3019
PA2640,1173,1054,962,1336,1323,1382
PA4104,10,23,8,13,14,18
PA4789,46,30,22,28,26,27
PA2062,85,116,80,86,94,103
PA4551,508,568,523,447,454,394
PA2279,26,21,28,40,38,45
PA4711,372,310,422,564,409,496
PA2040,759,774,838,1386,1668,1509
PA2118a,587,496,405,359,342,365
PA1344,1342,1234,1111,1145,1289,1372
PA1980,34,54,42,36,55,68
PA0944,655,595,624,875,785,830
PA5469,113,97,106,130,139,67
PA4796,154,180,138,152,147,207
PA1223,398,422,360,399,326,388
PA2563,965,902,710,706,825,852
PA4016,855,883,773,814,842,851
PA1996,146,99,104,130,156,102
PA1270,199,151,155,163,126,178
PA4851,1202,1178,1373,1257,1145,1056
PA0162,311,254,336,273,302,244
PA1734,184,163,239,228,203,195
PA4540,146,128,125,137,147,108
PA4082,95,115,86,125,135,134
PA1747,472,542,636,333,306,253
PA3727,34,37,61,42,55,41
PA5512,295,388,489,428,375,299
PA3536,481,417,400,529,490,506
PA0949,615,478,559,778,716,619
PA4630,424,307,305,496,430,380
PA3230,3428,2885,2248,3244,3897,3851
PA2225,177,144,152,106,89,86
PA3747,769,803,887,874,734,650
PA2600,65,63,46,60,55,51
PA4734,804,767,713,787,822,860
PA3614,2582,2325,1548,2124,1853,2104
PA2024,931,680,364,556,644,738
PA3070,2696,2183,1849,1931,1519,1488
PA0759,511,504,475,663,572,680
PA0196,1159,1010,1112,726,728,624
PA3309,69461,63927,57923,48747,43671,47061
PA4203,178,159,185,176,151,192
PA4780,938,1024,1081,675,621,672
PA5518,1125,1001,1032,747,687,631
PA4715,1635,1263,1350,1410,1385,1322
PA5212,668,613,502,494,500,607
PA2178,144,129,93,61,90,150
PA1083,493,471,569,617,583,512
PA0815,1006,966,690,749,807,901
PA3175,203,223,224,213,175,208
PA3120,378,328,322,318,330,356
PA5335,714,700,678,645,580,535
PA2589,161,194,101,127,127,151
PA1501,248,271,176,261,316,311
PA2118,1538,507,1365,1750,631,822
PA0607,746,602,622,453,404,346
PA5107,1438,1364,1416,1095,907,896
PA0351,216,242,199,226,232,251
PA0560,430,361,321,361,355,323
PA1946,4700,4569,4008,4289,5197,5186
PA0442,-,-,-,-,-,2
PA4619,499,500,730,746,479,499
PA5418,281,269,221,260,276,309
PA4623,1079,978,665,1100,1180,1133
PA0842,210,183,222,212,171,238
PA1618,450,601,496,723,1058,1085
PA4800,96,52,73,67,61,70
PA5154,247,292,213,245,279,215
PA4043,337,401,426,533,476,496
PA2756,742,820,823,835,841,790
PA2071,2747,2565,2119,1512,1822,1827
PA3367,48,74,63,92,78,71
PA4940,426,358,494,339,294,292
PA1752,1079,1083,1023,1200,1196,1222
PA3573,4066,3670,2334,3168,2151,2658
PA1627,250,227,306,253,167,213
PA4636,642,659,809,851,766,679
PA2441,201,232,246,212,247,239
PA5229,729,665,665,730,599,575
PA2522,48,69,48,37,29,32
PA0821,963,886,840,751,889,840
PA3831,1638,1462,1285,1774,1848,1683
PA2508,8,6,7,15,18,27
PA3830,641,608,520,530,452,448
PA4267,3544,3044,3584,4242,3805,3122
PA2891,357,397,377,5229,5659,6503
PA4446,1652,1356,1691,1755,1362,1439
PA2633,1023,954,991,554,526,573
PA4689,2202,1972,2121,2547,2457,2192
PA1468,74,78,66,92,99,64
PA0151,132,159,157,170,165,132
PA2163,321,322,241,290,305,395
PA1146,218,254,171,252,238,290
PA5193,445,439,485,541,511,455
PA2774,89,88,90,76,105,109
PA0898,1115,1032,804,334,445,551
PA3813,371,356,325,501,438,426
PA3864,223,263,220,237,248,296
PA3647,1439,1278,1281,1366,1349,1309
PA2833,171,171,185,148,145,167
PA4672,379,353,359,429,341,271
PA2942,654,705,785,959,840,809
PA3972,1963,1727,1669,2780,2624,2773
PA1813,591,548,589,636,614,565
PA5182,2869,2733,3524,3072,2190,2491
PA5408,289,305,274,240,250,265
PA0180,1020,851,678,593,588,624
PA0024,557,491,465,533,419,397
PA5250,669,649,635,634,541,664
PA1698,270,232,360,379,229,243
PA2653,551,487,580,519,346,319
PA4772,2819,3168,2870,413,382,342
PA4708,285,297,265,296,380,361
PA3125,300,219,201,246,228,235
PA0307,816,784,995,683,701,628
PA4566,1676,1570,1828,1707,1694,1530
PA1168,155,201,193,289,179,141
PA5484,1303,1369,1322,1393,1203,1202
PA5303,2213,1905,1627,3224,1836,2147
PA4184,201,211,172,189,214,255
PA1645,395,340,304,414,424,479
PA3700,775,803,819,1090,1003,1013
PA3834,1757,1778,1668,1810,1966,1721
PA3204,624,681,569,671,636,639
PA1867,53,46,74,24,31,36
PA1920,200,144,128,203,164,183
PA0636,883,962,944,756,911,928
PA5363,2201,2119,2350,2206,1671,1626
PA1797a,295,320,416,314,177,182
PA4923,319,286,303,262,246,248
PA3953,31,51,48,50,26,50
PA4476,2490,2526,2607,2541,2418,2534
PA1267,39,54,37,47,53,86
PA2623,14385,13524,12660,25777,21429,20042
PA2855,225,223,207,227,154,171
PA1300,21,53,33,43,38,33
PA4580,342,348,321,303,338,354
PA3062,47,37,24,40,35,27
PA4661,23325,23551,25734,33943,27897,28714
PA1958,335,320,488,397,345,303
PA4154,512,391,543,329,207,190
PA2006,397,436,362,410,549,496
PA2921,131,152,137,175,143,142
PA0544,567,546,474,499,467,493
PA3352,4873,4196,3502,3618,3187,3759
PA1556,3970,3475,3078,3960,2946,3107
PA2686,156,167,129,140,230,213
PA1568,44,28,42,22,20,27
PA5347,1038,1123,1090,1043,947,875
PA4217,514,662,426,290,355,377
PA0795,1210,1239,957,1595,2746,2589
PA5081,151,114,110,149,123,149
PA1454,3403,3028,2764,3583,3726,3451
PA1131,1616,1621,1281,1238,1433,1352
PA1961,340,196,290,258,190,237
PA0107,80,48,70,70,70,64
PA3567,233,276,249,318,498,424
PA2510,151,188,157,231,156,148
PA3256,1486,1525,1435,1688,1746,2019
PA1524,473,409,341,286,296,264
PA5541,633,665,615,626,619,645
PA1510,778,718,728,678,776,601
PA2468,36,30,19,48,51,32
PA5136,415,325,338,407,461,462
PA4136,478,536,478,470,469,599
PA0388,2679,2366,1555,2206,1780,2017
PA5155,67,79,111,68,101,124
PA0836,3226,2869,2067,1893,1454,1596
PA4453,1899,1643,1581,1801,2010,1839
PA0352,540,515,661,524,384,404
PA4987,139,116,134,153,111,131
PA5128,1233,1055,1142,1582,1409,1132
PA0858,931,878,713,830,916,772
PA5102,214,171,208,95,134,121
PA3177,707,512,773,733,614,623
PA0788,3130,2821,2238,1361,1463,1699
PA2180,55,74,49,74,60,84
PA1205,233,320,271,352,328,378
PA2332,470,422,354,404,390,496
PA3808,712,754,806,601,714,662
PA0868,373,373,441,372,414,383
PA3774,37,29,35,30,40,38
PA3940,2539,2007,2148,2568,1757,1483
PA1440,2098,1833,1766,1900,1908,1699
PA3452,703,650,776,479,436,377
PA5083,36,14,36,37,28,38
PA0867,2578,2436,2239,2524,2964,2765
PA1049,1234,1166,1157,1752,1384,1407
PA5353,76,112,81,84,103,83
PA2783,134,133,108,172,144,141
PA3326,1542,1532,1404,1693,2165,1925
PA5441,1168,1196,1057,1467,1333,1316
PA1410,129,116,110,64,72,85
PA1593,232,237,235,221,232,173
PA3713,446,360,345,361,349,431
PA3781,79,73,78,100,105,72
PA1274,131,142,179,192,154,133
PA2190,660,727,613,693,902,1045
PA2179,165,152,94,108,60,80
PA4356,1517,1726,833,1958,2139,2055
PA1126,145,144,100,177,183,175
PA1591,182,114,181,150,125,128
PA0240,335,314,245,245,308,271
PA2426,21,40,14,29,30,35
PA1605,219,241,228,245,255,231
PA5446,8383,5699,4127,5119,3483,3829
PA0054,268,263,311,298,203,208
PA4965,605,626,469,561,666,720
PA1461,1312,1136,1313,1201,1044,1203
PA3547,74,35,31,35,45,47
PA1013,1262,1108,1040,1226,1397,1185
PA0514,69,58,35,81,43,39
PA3417,1876,2060,2037,816,881,1152
PA0296,1727,1919,1807,2688,3220,3089
PA0131,59,56,58,96,60,69
PA5272,2349,2061,1965,1879,1706,1661
PA0006,802,748,778,784,652,503
PA3695,1016,942,963,924,926,946
PA0667,7150,7039,7546,8063,7783,6413
PA0317,1279,1236,1443,1255,1546,1317
PA1633,285,237,302,305,346,355
PA1398,220,254,338,325,359,324
PA1838,539,475,520,498,417,400
PA1498,50,106,67,95,102,105
PA2242,275,286,275,317,343,351
PA4365,882,701,1608,278,189,168
PA0586,4521,4634,4715,3685,4230,3983
PA2718,778,730,628,856,811,791
PA3516,135,112,106,143,151,116
PA2436,1378,1093,1439,1261,816,871
PA1586,3672,3032,3362,5551,4203,4174
PA4309,4359,3782,3315,2340,2187,2358
PA3023,874,989,814,763,813,997
PA1094,11711,11123,10854,10684,11800,11119
PA0956,2413,2348,2467,2578,2560,2076
PA0099,192,150,126,106,189,128
PA1914,86,69,71,76,77,96
PA3032,240,212,207,204,277,263
PA2256,46,64,49,62,92,104
PA4998,1020,837,900,986,692,617
PA2130,350,329,288,305,353,300
PA1774,835,951,848,712,692,667
PA3920,696,733,688,491,515,673
PA0681,48,38,35,50,36,52
PA3987,4194,4139,4476,5493,5426,5330
PA2215,52,65,45,56,67,60
PA0383,500,456,415,450,483,413
PA2318,618,514,505,429,536,586
PA1889,1164,1284,1286,1202,1010,985
PA2132,41,51,47,67,44,50
PA1292,261,250,208,345,351,361
PA4547,1027,823,733,1124,1029,960
PA3302,625,583,526,587,582,579
PA0268,277,228,244,191,212,219
PA4877,1027,1079,881,934,1076,1225
PA0878,57,63,58,54,79,54
PA0976,993,884,899,916,836,704
PA2280,100,78,79,91,139,101
PA1800,8489,8191,8337,8834,9333,7650
PA4896,18,23,20,19,16,9
PA3468,215,256,260,346,444,422
PA3369,155,237,252,297,444,482
PA3024,393,410,410,394,461,496
PA4531,140,127,113,179,173,147
PA5478,657,654,715,750,668,612
PA5291,1055,1075,1061,1102,1199,1071
PA4525,44381,51992,64929,45412,36104,30435
PA0337,5811,5414,4566,5940,6693,6324
PA1219,47,36,52,33,30,38
PA5385,10,3,4,11,17,28
PA5295,3526,3221,3827,3530,2684,2698
PA0567,313,366,296,343,497,465
PA3887,379,381,384,333,341,333
PA2713,382,410,447,528,440,394
PA2961,982,1003,1276,1168,1038,956
PA2826,165,156,148,98,78,81
PA1036,1361,1148,1270,1627,1054,1264
PA5195,50,66,41,50,58,79
PA1020,99,91,76,85,106,124
PA4004,550,664,714,631,570,603
PA4079,940,1172,1188,1212,1242,1156
