,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
sdhB,118,113,156,125,123,166,199,143,181,184,110,47,60
sdhA,161,185,235,142,162,199,284,235,189,293,149,74,91
sdhD,40,45,56,46,47,46,56,42,46,59,45,25,16
sdhC,131,136,165,157,151,158,141,183,175,199,120,97,95
gltA,186,291,414,443,502,182,254,266,298,329,182,120,151
PA14_44080,155,185,261,252,237,278,301,255,240,220,267,98,110
PA14_44090,8,1,4,6,4,7,1,3,9,10,9,1,8
PA14_44100,13,2,7,9,4,5,11,9,2,14,2,3,6
PA14_44110,1,1,0,7,3,4,4,5,10,16,2,4,1
PA14_44120,17,14,18,17,26,25,26,34,29,34,10,11,9
PA14_44130,11,20,21,21,27,13,27,27,40,25,33,28,48
PA14_44140,14,11,29,27,33,26,20,21,24,25,18,21,24
PA14_44150,6,5,12,12,16,9,20,17,17,14,12,6,7
PA14_44160,22,22,34,24,34,20,30,18,19,20,12,14,11
PA14_44170,26,19,36,35,38,24,21,28,20,16,24,28,23
PA14_44180,7,2,4,5,4,7,4,9,4,8,4,3,0
PA14_44190,3,4,1,2,5,1,2,2,3,0,1,1,3
PA14_44200,0,0,1,1,2,0,1,5,2,0,0,0,1
PA14_44210,8,12,13,9,11,12,10,14,10,12,7,6,8
PA14_44230,3,3,2,3,0,6,4,1,3,7,3,1,1
PA14_44240,2,3,4,2,3,4,6,0,2,3,5,2,2
PA14_44260,5,5,3,7,9,6,9,4,9,4,8,5,7
PA14_44270,4,4,7,13,8,8,13,11,4,10,9,13,14
PA14_44280,14,13,18,26,21,14,26,23,22,30,16,21,18
acnA,281,322,297,278,231,202,233,179,201,174,182,138,112
aer,135,110,118,113,121,158,169,182,194,177,189,170,187
PA14_44311,37,37,29,22,21,14,40,20,19,23,31,26,25
PA14_44320,4,2,2,11,2,5,2,5,1,5,2,1,4
PA14_44340,29,84,100,59,63,32,43,36,39,57,17,18,20
PA14_44350,8,20,42,17,14,14,8,8,13,7,9,17,14
PA14_44360,13,16,31,18,24,9,14,18,16,16,25,22,27
PA14_44370,50,81,112,105,138,78,96,88,105,144,67,38,61
PA14_44380,21,35,68,53,52,53,68,45,58,83,39,18,21
PA14_44390,6,8,18,13,11,15,22,18,20,23,10,7,9
PA14_44400,57,56,107,81,104,99,104,108,107,122,32,28,23
PA14_44420,65,67,54,45,37,65,74,53,63,64,93,84,107
PA14_44430,19,11,9,15,9,16,15,16,15,18,26,35,33
PA14_44440,15,6,11,1,4,16,13,13,12,8,18,14,18
PA14_44450,2,4,2,3,2,4,5,4,4,1,5,7,4
PA14_44460,5,3,1,3,7,3,6,7,2,4,5,2,1
hemN,132,231,302,277,223,247,319,286,250,279,160,110,120
PA14_44480,44,53,71,85,102,59,73,49,95,55,144,94,92
anr,91,128,168,134,144,119,170,142,130,145,165,87,98
apt,15,19,16,12,13,21,28,27,24,29,21,11,11
PA14_44510,4,4,7,12,12,7,15,10,17,13,26,22,27
PA14_44520,1,0,1,0,2,1,2,2,4,0,3,3,6
PA14_44530,1,0,0,1,3,2,2,1,2,0,1,3,2
PA14_44540,7,11,12,6,14,10,7,11,13,6,10,14,10
PA14_44560,10,4,14,18,5,5,7,5,7,11,4,2,8
PA14_44570,11,17,16,12,23,7,9,8,3,6,4,5,5
PA14_44580,33,47,74,69,64,30,35,12,18,14,3,3,8
PA14_44590,97,174,315,299,234,84,81,47,81,49,6,1,2
recR,6,3,7,2,9,18,17,25,13,14,16,5,3
PA14_44620,36,48,47,48,36,59,63,83,64,64,79,57,63
dnaX,48,42,53,37,39,64,72,79,62,49,35,47,36
PA14_44640,9,14,10,4,17,22,23,19,27,22,36,13,15
PA14_44650,23,20,20,23,28,45,37,41,42,35,34,32,27
ligA,66,51,79,58,43,78,131,87,108,102,58,42,69
zipA,110,102,114,120,97,124,161,140,128,150,216,165,171
PA14_44680,100,72,71,62,55,160,161,154,147,128,153,136,165
PA14_44690,26,19,11,17,11,27,38,40,25,26,45,31,39
alkB2,9,4,13,16,15,12,8,7,12,9,7,9,10
xdhA,26,34,38,28,32,13,23,39,19,20,38,21,28
xdhB,81,77,97,57,73,30,42,31,24,28,30,34,44
PA14_44760,16,16,29,23,23,9,11,11,9,8,15,15,10
PA14_44770,40,30,25,25,27,11,15,18,31,18,16,11,10
PA14_44780,40,32,44,39,39,58,45,64,47,61,41,39,41
PA14_44800,7,17,23,21,19,10,14,8,15,10,11,7,5
PA14_44820,18,17,10,20,22,14,14,13,19,18,22,5,18
PA14_44830,22,20,23,37,27,14,20,23,16,19,21,14,14
PA14_44840,8,14,12,8,10,9,8,10,5,4,8,2,1
alc,20,24,32,31,20,22,27,25,12,13,13,10,9
PA14_44860,17,22,10,22,13,12,13,14,14,15,6,9,7
PA14_44880,32,34,40,38,37,24,37,21,31,23,16,13,19
hcpA,3,6,3,3,2,1,9,2,8,13,0,5,4
PA14_44900,15,9,6,5,19,5,22,19,12,10,17,15,19
PA14_44910,34,29,47,54,44,46,52,50,47,32,89,73,67
PA14_44920,31,51,57,74,45,49,49,73,49,44,137,125,132
PA14_44930,2,3,2,3,10,4,9,3,4,2,11,8,6
PA14_44950,34,33,54,56,61,18,27,18,24,22,12,5,5
PA14_44960,7,2,1,3,4,2,1,0,2,1,2,1,4
moaA2,86,93,97,84,64,76,89,82,63,62,56,26,28
PA14_44980,9,13,10,5,6,9,14,11,11,9,7,2,5
PA14_44990,0,1,1,1,1,2,1,1,3,2,1,0,1
gcl,2,8,6,6,5,7,5,12,8,2,7,6,9
PA14_45010,5,7,13,8,10,5,11,5,4,5,5,13,6
PA14_45020,1,3,1,4,5,0,1,5,0,4,1,0,2
PA14_45030,1,2,2,3,1,2,0,2,2,2,3,5,2
pykF,5,1,3,1,2,3,2,3,1,0,1,0,1
PA14_45060,0,0,1,0,0,0,0,0,0,1,0,0,1
PA14_45070,2,7,2,6,6,4,13,11,5,4,6,4,3
PA14_45090,2,2,2,2,3,1,7,1,9,1,2,2,1
PA14_45100,20,21,23,23,11,20,32,20,50,25,19,11,8
cysP,82,61,91,48,60,126,119,98,104,101,111,59,64
PA14_45120,7,4,9,6,3,4,4,6,6,6,7,2,7
PA14_45130,7,16,18,17,11,17,8,17,17,11,16,13,13
PA14_45150,9,6,15,10,2,8,10,9,4,7,3,1,4
PA14_45170,3,5,5,7,6,5,7,6,2,6,6,2,3
PA14_45180,6,1,7,3,4,3,4,5,2,4,0,1,0
PA14_45190,3,5,8,5,10,5,9,7,2,2,2,4,3
PA14_45210,3,4,4,3,2,2,1,3,3,2,1,1,3
PA14_45240,4,4,4,2,3,2,1,3,0,1,1,1,2
PA14_45250,1,6,7,4,7,2,8,5,12,2,5,6,6
PA14_45260,5,8,8,7,3,4,15,6,7,6,8,7,5
cycH,16,10,14,7,9,22,18,13,21,14,13,4,12
ccmH,5,3,9,10,3,11,6,11,7,9,4,6,8
ccmG,5,9,8,5,5,15,13,13,12,9,8,7,6
ccmF,15,20,18,12,15,31,33,31,20,42,22,13,17
ccmE,8,5,9,7,5,9,15,19,22,17,12,14,9
PA14_45340,2,2,0,0,0,1,3,5,1,3,0,1,3
ccmC,13,15,13,17,17,15,27,27,23,25,12,11,17
ccmB,4,2,4,2,6,2,5,8,7,9,3,3,5
ccmA,7,9,9,15,10,8,16,19,14,13,5,3,4
PA14_45400,36,30,41,42,57,43,46,53,55,46,42,32,29
PA14_45410,5,2,5,5,1,1,7,4,8,7,4,12,8
PA14_45430,3,12,9,3,4,7,11,9,9,6,7,8,6
PA14_45440,8,1,9,6,5,10,12,5,4,2,3,2,4
PA14_45450,0,0,1,0,5,2,4,1,0,4,2,2,1
PA14_45460,4,2,1,5,7,3,8,9,8,5,4,5,8
PA14_45470,7,3,5,4,7,10,11,5,8,9,5,4,4
PA14_45480,24,21,31,32,21,25,37,39,30,42,13,7,15
PA14_45500,62,46,90,78,70,112,100,92,87,93,107,54,62
PA14_45510,38,49,99,69,69,65,69,77,63,78,66,45,50
PA14_45520,47,44,100,86,91,81,93,97,76,92,83,40,61
motD,36,25,29,16,26,70,61,62,62,54,43,46,43
motC,25,16,23,13,20,42,55,39,47,49,32,21,20
PA14_45580,46,52,53,49,49,76,100,80,91,87,55,40,45
PA14_45590,163,203,276,291,312,278,317,251,296,259,283,228,235
cheZ,74,73,71,73,63,120,116,107,114,129,155,93,111
cheY,42,44,74,64,62,64,64,76,63,70,97,81,89
fliA,91,104,145,106,111,139,146,178,130,132,156,121,157
fleN,66,69,124,71,70,71,81,76,87,83,78,47,50
flhF,99,111,208,170,153,131,129,158,118,132,101,85,87
flhA,87,76,185,142,110,118,133,197,113,130,164,117,151
PA14_45700,3,8,10,15,5,8,13,11,12,5,7,5,3
PA14_45710,7,10,8,4,10,7,19,13,9,12,6,5,4
flhB,8,5,10,4,3,10,15,19,11,12,12,12,18
fliR,1,6,7,2,5,3,13,6,7,8,9,3,10
fliQ,2,6,3,0,1,6,11,6,7,7,12,5,2
fliP,11,10,12,13,6,15,16,22,15,18,20,19,17
fliO,5,15,17,10,3,6,15,16,14,15,13,4,9
fliN,22,20,45,24,20,33,41,49,33,41,37,26,35
fliM,70,58,130,93,93,106,90,117,117,108,146,97,116
fliL,39,55,106,75,92,72,89,99,74,79,84,66,98
PA14_45830,21,18,41,32,38,43,32,46,33,39,30,28,32
PA14_45840,60,66,65,63,66,78,98,101,81,94,89,45,52
PA14_45850,6,8,4,5,7,7,9,9,9,15,9,8,8
PA14_45870,7,10,13,11,5,10,12,13,11,11,9,7,7
PA14_45880,5,5,6,9,2,3,4,13,8,5,6,8,6
PA14_45890,8,7,11,18,6,10,8,10,5,7,9,12,6
PA14_45910,3,2,5,5,4,1,3,0,3,2,0,3,1
PA14_45920,3,4,6,10,11,6,7,8,9,2,3,9,5
PA14_45930,37,68,69,55,35,16,17,20,18,15,16,9,6
lasI,268,373,483,401,361,48,38,70,52,56,46,34,46
rsaL,175,163,190,157,136,193,174,244,213,188,275,322,357
lasR,402,404,483,484,457,472,414,490,452,472,540,494,555
PA14_45970,8,16,27,21,26,16,14,17,19,14,19,17,29
PA14_45980,5,6,7,3,7,15,10,8,5,15,8,5,9
PA14_46000,0,0,2,0,1,3,0,1,1,1,0,0,0
PA14_46010,7,2,6,7,6,4,7,9,5,3,9,2,6
PA14_46020,6,4,3,3,4,6,2,3,2,2,2,0,3
PA14_46030,36,51,74,82,82,38,56,41,62,56,89,78,62
gbuR,15,14,18,20,12,12,17,12,32,23,21,9,13
gbuA,12,19,10,7,3,8,6,10,9,9,11,9,7
PA14_46080,3,3,6,1,3,0,3,3,4,1,6,1,8
PA14_46100,8,8,6,8,6,1,7,3,3,1,5,7,8
PA14_46110,17,11,14,15,5,2,5,2,4,6,5,2,3
PA14_46120,5,7,6,8,5,4,1,4,5,3,2,1,3
PA14_46140,4,9,9,8,8,8,10,10,8,13,12,12,17
PA14_46150,35,58,74,72,77,59,67,64,63,54,121,109,65
PA14_46160,97,153,155,178,169,117,105,197,139,113,156,171,260
PA14_46170,3,3,7,1,8,4,8,1,6,6,2,6,4
PA14_46180,0,2,2,2,1,1,1,0,0,2,0,1,0
PA14_46200,8,5,2,6,1,0,6,4,5,1,3,3,1
PA14_46220,8,10,3,6,3,10,5,6,3,4,5,1,6
aphA,11,6,6,6,10,5,7,4,6,7,0,1,4
PA14_46240,24,25,29,14,25,25,34,25,23,21,31,26,20
PA14_46250,2,3,1,1,1,0,9,8,7,5,5,3,4
PA14_46260,4,2,4,1,0,6,7,4,6,5,7,7,8
PA14_46270,2,1,2,1,5,1,4,5,2,1,4,4,9
PA14_46280,23,21,16,13,6,17,8,14,20,10,14,23,18
PA14_46290,1,7,3,2,6,10,7,4,8,1,4,0,5
PA14_46300,12,6,3,4,6,4,6,8,3,6,6,3,3
PA14_46310,3,4,3,5,5,3,7,3,4,3,4,2,0
PA14_46320,5,4,5,6,8,3,15,8,8,5,3,5,4
PA14_46330,3,3,6,5,4,4,4,7,6,2,4,1,2
PA14_46340,4,5,5,8,8,0,4,2,7,2,1,4,5
PA14_46360,7,5,6,4,7,4,13,4,7,5,11,2,2
PA14_46370,3,9,13,11,12,13,10,10,10,7,9,7,6
PA14_46380,0,3,5,1,3,5,3,3,2,0,3,2,0
PA14_46390,1,1,2,2,4,0,2,0,0,1,1,2,0
PA14_46400,2,3,0,3,2,4,2,2,2,2,2,2,0
PA14_46420,4,3,4,2,2,3,5,2,6,2,2,3,1
PA14_46430,2,4,4,4,7,3,6,9,3,4,3,5,2
PA14_46440,9,5,11,8,12,5,14,7,10,7,8,2,10
aceK,45,47,76,50,33,68,81,65,74,65,112,82,99
PA14_46460,65,52,48,67,44,95,96,112,108,73,246,392,436
pdxB,14,19,16,10,16,21,25,37,29,26,40,21,41
PA14_46480,1,0,0,3,1,1,1,1,2,1,2,2,3
fabF2,8,9,8,10,12,6,6,5,8,7,9,1,9
PA14_46510,38,34,57,66,54,63,71,83,44,74,114,97,100
PA14_46520,52,42,58,60,66,57,67,55,69,53,63,60,66
PA14_46530,16,39,33,29,36,29,26,29,25,20,39,32,33
PA14_46540,101,118,165,189,154,149,146,185,189,178,350,306,311
PA14_46550,44,57,51,92,64,82,63,90,95,82,166,165,178
PA14_46560,2,2,1,6,1,3,5,7,8,4,4,5,1
PA14_46570,7,15,12,9,11,12,17,19,16,21,25,23,13
PA14_46580,2,2,1,0,2,1,1,2,0,2,1,1,1
PA14_46590,7,7,10,9,9,17,8,9,10,5,11,8,8
PA14_46600,7,5,9,11,12,10,15,8,10,8,18,15,18
PA14_46610,4,9,4,16,4,7,4,8,8,6,7,6,5
PA14_46620,12,12,21,33,24,11,20,15,13,21,21,22,31
PA14_46630,2,2,2,2,4,1,5,2,3,2,1,0,4
PA14_46640,4,2,10,6,7,12,17,8,11,12,5,7,7
PA14_46650,1,2,4,2,7,4,7,6,7,4,1,1,2
PA14_46660,3,2,6,2,1,6,8,6,6,5,3,3,6
PA14_46670,2,0,1,0,6,1,2,1,1,1,1,2,2
PA14_46680,11,4,10,16,4,15,18,22,10,10,9,2,7
PA14_46700,2,12,3,3,5,5,2,11,6,8,3,0,4
PA14_46710,4,5,6,3,7,4,6,2,3,10,5,8,2
PA14_46720,6,13,10,22,23,14,10,12,15,8,15,10,21
PA14_46740,4,8,14,10,13,5,10,12,5,8,9,2,5
PA14_46750,10,5,13,10,12,4,10,5,7,3,5,8,7
PA14_46760,1,1,3,3,1,3,1,3,3,2,0,1,1
PA14_46770,7,9,20,21,29,14,17,19,13,15,4,2,8
PA14_46780,4,11,18,19,23,15,9,11,8,11,4,7,0
PA14_46800,0,0,1,1,2,1,0,3,0,0,0,2,0
PA14_46810,3,6,9,5,6,5,6,6,11,6,5,2,2
PA14_46820,9,8,24,21,23,11,8,8,12,7,11,11,8
PA14_46830,5,11,20,25,29,6,9,11,7,15,3,6,7
PA14_46840,5,11,13,10,13,7,3,10,10,8,20,14,27
PA14_46850,4,10,9,9,6,6,2,8,5,2,5,3,5
PA14_46860,4,1,5,1,3,2,2,3,0,0,2,0,0
PA14_46880,3,5,5,10,11,11,12,6,8,5,4,3,5
PA14_46890,13,31,49,54,59,20,19,31,28,31,22,12,13
PA14_46900,0,1,0,0,0,3,1,1,0,0,0,0,0
PA14_46910,184,246,281,227,268,136,145,135,139,180,235,134,128
PA14_46920,21,39,27,17,19,5,13,8,11,15,12,4,9
PA14_46930,24,37,32,16,20,13,11,12,12,23,13,12,14
PA14_46950,61,54,78,38,55,35,42,39,46,50,34,19,14
ggt,52,48,54,31,54,34,35,35,27,36,17,11,10
ansB,49,66,102,82,98,32,49,43,57,60,43,21,24
PA14_46980,7,16,9,3,2,7,9,10,4,14,9,5,2
PA14_46990,8,3,2,3,0,7,4,4,5,12,6,3,3
PA14_47000,3,3,0,1,1,1,2,2,3,4,3,0,6
PA14_47010,3,0,4,2,1,0,3,9,0,3,5,1,5
PA14_47030,15,2,8,8,6,7,9,11,17,10,13,11,12
PA14_47040,8,6,3,5,4,20,14,14,12,30,15,9,5
PA14_47060,1,0,2,1,2,2,5,2,5,4,4,0,1
PA14_47070,0,0,0,0,1,0,0,0,1,0,0,0,0
PA14_47080,6,5,5,7,11,6,4,7,6,7,11,4,7
PA14_47090,27,41,72,87,89,23,45,26,40,38,53,30,39
ilvA2,6,12,23,22,21,4,6,7,3,2,4,3,3
PA14_47110,11,9,17,9,18,9,7,15,5,6,12,7,7
PA14_47120,298,341,276,205,209,254,321,247,232,241,208,109,69
PA14_47130,200,225,169,167,132,220,186,199,152,141,147,109,92
PA14_47140,2,8,5,7,10,5,11,9,5,5,7,3,10
cyoE,10,13,17,9,12,8,14,8,9,13,4,3,5
cyoD,5,4,9,0,0,2,1,0,1,0,1,0,4
cyoC,8,13,12,6,2,4,9,8,9,3,4,1,3
cyoB,39,42,48,37,25,25,28,25,24,21,20,10,14
cyoA,32,32,23,22,20,14,23,13,18,25,18,6,7
PA14_47230,4,5,6,1,2,7,12,6,5,8,11,5,6
PA14_47240,5,0,1,9,8,8,7,8,2,11,9,4,11
PA14_47250,1,3,4,4,3,1,2,3,3,2,4,2,6
PA14_47260,0,0,0,0,2,2,0,1,1,1,1,0,0
PA14_47270,4,0,4,0,1,1,3,5,0,0,0,0,1
phnX,2,3,1,3,2,3,8,3,1,1,3,2,3
phnW,1,3,5,1,1,1,3,1,1,0,0,0,0
PA14_47310,3,5,6,6,3,2,5,11,8,7,8,3,8
PA14_47320,6,9,4,5,6,12,15,7,11,10,8,10,18
PA14_47330,14,10,15,14,9,21,18,16,36,18,27,19,20
PA14_47340,7,12,7,6,2,10,14,15,10,10,8,7,8
PA14_47350,7,18,11,12,18,10,32,28,22,16,7,10,13
PA14_47360,14,21,14,8,13,13,18,20,13,14,12,5,4
PA14_47370,0,2,2,1,2,5,3,1,5,3,0,2,1
PA14_47380,5,6,10,6,7,10,9,11,14,11,13,6,9
PA14_47390,2,2,1,2,3,11,23,8,11,6,13,11,9
PA14_47400,1,2,1,1,3,4,16,7,12,7,7,9,20
PA14_47410,7,6,5,7,10,5,13,7,8,12,6,2,3
PA14_47420,7,13,8,10,7,5,3,8,5,4,3,1,1
PA14_47430,12,12,13,7,8,3,10,11,10,9,0,2,2
PA14_47440,35,29,41,32,20,19,27,21,26,32,11,13,13
PA14_47450,4,3,2,3,2,4,5,4,4,5,2,4,7
rnd,36,23,19,36,19,32,41,35,21,29,22,17,20
PA14_47490,11,20,28,24,26,25,26,26,29,28,16,15,11
sseA,11,19,30,16,24,10,21,20,19,19,13,4,8
PA14_47510,2,8,5,7,8,7,7,4,4,12,3,3,4
PA14_47520,3,18,7,8,11,7,5,11,18,11,17,18,23
PA14_47530,8,11,23,13,14,8,9,11,17,19,11,6,5
PA14_47540,256,318,378,288,290,366,414,388,372,465,264,142,208
PA14_47550,27,41,58,64,52,36,34,51,48,45,30,26,33
PA14_47560,1,1,6,3,2,1,2,0,3,1,5,0,1
PA14_47580,7,1,8,5,11,3,7,11,7,7,3,2,8
PA14_47600,4,4,7,6,8,8,10,13,19,7,12,6,13
PA14_47610,4,3,7,2,9,12,18,10,26,7,23,36,41
PA14_47640,2,1,0,2,2,1,2,1,5,6,5,3,6
cobS,1,0,3,2,2,1,0,0,1,0,1,1,3
PA14_47660,1,3,1,2,0,1,0,0,1,1,1,0,1
cobT,2,2,5,2,3,2,0,2,3,2,0,0,0
cobU,2,0,1,0,2,0,1,0,1,0,0,1,1
cobQ,3,4,2,2,3,3,9,4,0,1,1,2,6
cobC,2,0,0,1,2,1,1,1,1,0,4,1,0
cobD,1,0,0,1,0,1,2,0,0,4,1,1,1
PA14_47750,0,1,3,0,1,4,3,1,4,3,0,1,1
cobB,3,4,2,3,3,4,11,5,8,7,3,1,1
cobO,5,6,14,8,10,6,8,3,6,7,2,4,3
PA14_47800,7,12,12,13,10,13,10,7,20,16,8,1,13
PA14_47810,1,2,3,0,1,2,1,0,1,4,0,2,2
PA14_47820,11,5,11,12,9,24,27,32,14,24,35,24,25
PA14_47840,1,1,4,3,7,3,2,1,4,1,3,2,4
PA14_47850,1,2,7,5,2,3,1,3,4,0,6,1,2
PA14_47860,1,3,1,6,3,0,2,2,0,1,2,3,1
PA14_47870,1,0,0,0,3,0,1,0,1,0,2,0,0
PA14_47880,0,6,4,1,2,2,4,2,1,1,3,0,2
PA14_47890,1,3,7,4,4,3,2,9,3,3,0,1,3
PA14_47900,1,0,1,2,1,1,2,0,2,3,1,2,0
PA14_47910,2,3,2,1,5,3,4,3,2,2,4,1,1
PA14_47920,3,5,6,2,9,1,0,5,3,1,1,0,2
PA14_47930,1,5,3,3,1,3,2,1,4,0,3,0,0
PA14_47940,0,0,1,1,1,0,0,1,0,1,0,0,0
PA14_47950,3,2,2,2,0,0,0,2,1,2,0,0,2
PA14_47960,1,2,4,4,8,1,3,2,3,1,4,0,3
PA14_47970,5,4,6,6,7,0,3,5,0,2,2,2,4
PA14_48000,2,5,5,2,3,1,3,4,4,1,0,1,1
PA14_48010,3,7,5,7,8,1,9,4,2,3,6,4,6
PA14_48020,3,8,13,19,21,5,6,7,10,5,11,9,2
PA14_48030,13,23,34,29,20,22,26,29,13,24,12,4,12
aprI,24,42,44,55,72,24,35,26,42,26,18,16,24
aprA,674,937,1095,1288,1596,992,1254,569,940,744,662,606,591
aprF,16,27,25,33,18,25,31,11,26,21,20,26,16
aprE,15,27,32,31,39,22,25,8,19,12,12,13,15
aprD,17,29,35,27,37,9,11,5,16,12,8,5,4
PA14_48140,34,92,122,162,172,93,79,50,84,72,19,19,17
PA14_48150,2,2,5,4,5,6,4,6,2,3,2,3,5
PA14_48160,76,50,39,29,25,90,78,63,47,52,57,41,40
PA14_48170,38,23,19,21,10,33,27,22,22,29,15,12,18
PA14_48190,6,3,5,4,8,6,7,7,6,5,2,3,2
PA14_48200,1,1,1,2,1,1,2,2,1,0,1,0,1
PA14_48210,0,3,1,2,1,2,1,2,0,1,3,2,1
PA14_48230,0,0,0,0,0,0,0,0,0,0,0,0,0
PA14_48240,2,4,6,5,6,3,3,3,5,1,12,9,6
PA14_48280,1,0,0,2,1,1,1,3,0,1,0,1,2
PA14_48300,1,1,0,1,2,2,1,0,2,0,1,2,2
PA14_48310,2,1,3,7,4,5,4,3,4,1,0,2,1
PA14_48320,4,9,8,6,9,5,9,7,2,4,1,4,3
PA14_48330,1,1,4,1,4,0,4,1,0,1,1,0,1
PA14_48340,2,3,0,2,4,2,4,2,3,1,2,1,0
PA14_48350,1,0,0,0,0,0,0,0,0,0,0,0,0
PA14_48380,0,0,0,0,0,0,0,1,0,0,0,0,0
PA14_48390,0,1,2,1,0,2,3,0,3,1,2,5,1
PA14_48400,0,0,0,0,0,1,1,0,0,3,0,0,1
PA14_48410,1,4,3,3,2,5,7,2,3,3,2,2,1
PA14_48420,4,0,4,5,3,2,3,4,5,2,1,3,3
PA14_48440,2,0,1,1,0,2,0,2,0,2,1,0,1
PA14_48450,6,4,7,0,9,5,3,4,4,6,5,1,4
PA14_48460,1,1,2,2,5,2,0,2,3,0,0,2,1
PA14_48470,0,0,0,0,0,0,0,3,0,1,0,0,0
PA14_48490,3,1,1,8,3,6,2,4,6,6,3,3,4
PA14_48500,1,0,0,3,5,4,7,2,5,8,1,0,2
PA14_48510,3,1,0,3,4,1,1,3,1,0,1,2,1
PA14_48520,9,10,9,6,5,13,11,13,19,15,11,6,6
PA14_48530,53,58,67,58,46,14,5,13,18,6,21,23,22
PA14_48540,19,38,42,21,22,8,8,6,5,4,7,1,3
PA14_48550,15,11,27,15,5,3,3,1,1,4,0,0,0
PA14_48560,44,51,41,26,23,18,12,14,8,9,4,4,3
PA14_48570,52,56,61,40,32,15,21,14,18,22,10,8,11
PA14_48590,25,36,42,18,17,5,3,4,8,6,3,2,0
PA14_48600,10,22,19,12,11,7,5,5,11,8,2,2,2
PA14_48610,7,8,10,11,6,3,1,3,2,2,2,2,0
PA14_48620,0,5,6,1,3,4,2,4,2,4,1,0,3
PA14_48630,3,3,4,4,5,2,4,3,1,2,0,2,4
PA14_48640,3,4,3,1,0,2,3,0,5,5,1,0,1
PA14_48650,5,2,4,0,4,6,4,2,6,2,1,1,2
PA14_48660,2,7,11,3,5,1,1,3,5,8,1,2,2
PA14_48680,8,17,21,25,15,12,19,7,16,17,15,15,26
kefB,15,16,29,16,32,24,29,31,29,25,20,23,20
PA14_48710,9,6,13,8,13,8,10,11,14,11,20,6,6
PA14_48730,9,16,27,18,13,13,7,7,8,8,7,2,3
PA14_48740,6,14,18,9,16,8,4,4,10,6,3,13,8
PA14_48750,5,3,9,3,9,3,3,4,3,3,0,1,1
PA14_48760,17,25,58,53,67,12,15,18,31,32,35,24,22
PA14_48770,9,12,11,10,8,10,12,11,14,5,5,7,7
PA14_48780,7,4,7,14,8,10,12,17,10,9,2,1,2
PA14_48790,19,22,30,23,16,21,29,32,18,21,11,6,16
PA14_48800,21,33,60,47,32,43,57,103,54,68,23,19,28
PA14_48810,7,19,24,23,15,12,16,18,17,15,7,2,4
PA14_48830,2,5,14,13,13,12,13,17,12,6,2,8,6
PA14_48840,1,1,7,10,11,6,2,1,4,4,14,3,19
PA14_48850,2,4,4,4,1,7,5,13,10,9,7,4,5
PA14_48860,15,7,6,6,2,30,31,19,20,22,20,15,11
PA14_48870,37,27,23,23,20,60,52,34,62,66,50,28,49
PA14_48880,8,6,6,9,6,12,7,14,11,11,12,23,14
PA14_48890,7,5,3,4,9,4,13,2,9,5,15,14,12
PA14_48900,0,0,1,0,0,1,0,0,0,1,1,0,0
PA14_48910,1,8,3,6,8,7,6,0,6,4,7,7,3
PA14_48920,1,1,0,0,1,2,0,0,1,0,0,0,3
PA14_48930,4,4,2,1,2,1,7,4,4,7,4,7,7
coaB,13,8,11,5,5,10,7,9,7,6,6,13,2
PA14_48950,3,0,1,1,0,0,2,1,0,1,0,1,1
PA14_48960,0,1,0,0,0,0,0,0,0,0,1,0,0
PA14_48970,2,4,0,1,2,3,0,1,2,2,2,3,0
PA14_48980,0,1,1,4,2,0,1,2,2,1,1,0,1
PA14_48990,0,1,1,0,3,0,1,1,0,0,0,1,0
PA14_49000,0,0,0,0,0,0,0,3,0,2,0,0,0
PA14_49010,0,0,2,0,2,0,0,0,0,1,1,1,0
PA14_49020,21,12,13,19,14,23,17,23,14,14,33,32,50
PA14_49030,154,118,113,102,103,202,152,274,210,199,256,288,308
PA14_49040,5,3,4,6,2,10,16,12,11,16,16,12,10
PA14_49050,28,41,116,134,155,57,78,76,76,83,91,96,112
PA14_49060,3,5,6,7,7,5,8,7,7,4,5,2,0
PA14_49070,4,7,12,15,11,11,10,7,6,10,3,5,7
PA14_49080,6,10,14,19,14,9,11,5,11,7,1,3,3
PA14_49090,2,1,0,1,3,4,1,1,3,3,0,0,0
PA14_49100,1,1,4,0,0,2,1,1,1,1,1,1,0
PA14_49110,3,1,2,2,5,9,4,14,11,7,6,4,2
dctA,236,271,349,399,439,165,78,39,81,98,18,7,15
PA14_49150,4,4,7,4,5,12,15,9,8,11,12,6,10
PA14_49160,63,42,62,51,51,75,82,80,83,85,92,63,79
phoQ,11,8,11,7,11,15,9,9,11,9,6,5,5
phoP,16,20,22,25,24,21,15,14,13,22,13,11,9
oprH,8,6,5,4,8,9,5,7,9,16,12,15,10
napE,10,10,17,17,20,14,15,14,20,14,13,23,36
napF,14,22,25,26,33,22,25,20,32,25,31,21,21
