,Neg1,Neg2,Neg3,Neg4,5min1,5min2,5min3,15min1,15min2,15min3,25min1,25min2,25min3
metH,813,555,1025,1127,955,967,1130,248,208,384,74,88,77
PA1844,34,51,51,71,57,46,74,15,8,24,8,3,6
PA1845,14,24,30,49,22,24,41,5,9,11,3,4,2
cti,455,366,535,751,517,527,962,161,168,288,59,43,75
PA1847,382,322,492,550,268,425,592,53,145,228,18,51,59
PA1848,15,9,14,33,34,29,39,20,9,13,13,1,2
PA1849,0,1,3,1,2,0,3,2,0,1,3,1,0
PA1850,25,29,48,39,67,50,82,17,12,28,17,1,2
PA1851,22,30,27,23,39,43,92,11,15,25,10,7,6
PA1852,191,146,259,247,191,522,1129,40,173,318,11,38,45
PA1853,237,141,218,304,272,167,340,87,45,77,31,11,12
PA1854,0,4,10,5,7,69,91,1,17,37,18,11,7
PA1855,3,1,1,1,1,3,3,1,1,2,1,0,0
PA1856,14,11,32,27,26,94,84,9,22,32,18,13,15
PA1857,97,98,162,194,96,136,220,17,53,85,9,8,13
str,22,16,22,38,32,46,68,12,2,8,14,2,3
PA1859,10,12,25,28,14,37,40,5,4,6,9,2,3
PA1860,7,9,15,15,11,76,65,6,14,29,3,14,10
modC,23,18,24,57,32,79,96,14,11,36,15,14,6
modB,63,49,77,83,39,46,83,11,17,19,11,6,11
modA,31,32,55,73,43,87,148,18,33,47,7,10,15
PA1864,5,2,4,6,5,5,15,2,3,3,7,1,5
PA1865,60,52,71,65,90,130,161,30,27,62,23,10,18
PA1866,104,81,124,141,155,300,391,61,71,125,47,29,24
xphA,2,4,4,7,5,3,7,2,0,1,1,0,0
xqhA,17,13,19,36,31,30,59,18,11,18,20,4,4
PA1869,25,20,49,43,48,42,50,11,7,18,5,1,5
PA1870,1,2,2,1,8,9,8,2,2,7,0,2,1
lasA,17,13,36,23,16,105,127,2,40,60,13,18,25
PA1872,58,39,70,59,49,81,110,13,16,46,10,7,8
PA1873,1,1,1,2,1,15,15,2,4,7,10,2,2
PA1874,72,53,66,88,103,616,924,45,182,248,99,84,60
PA1875,41,35,39,58,71,52,78,41,14,31,12,11,5
PA1876,19,16,23,45,44,49,71,25,15,27,16,9,8
PA1877,5,4,12,6,14,17,19,3,4,3,12,2,3
PA1878,1,3,10,9,7,25,31,2,7,11,2,3,3
PA1879,6,7,5,6,11,14,41,2,12,15,4,2,0
PA1880,32,26,28,40,51,106,104,15,40,40,25,16,18
PA1881,2,3,2,2,3,12,9,1,5,7,5,2,2
PA1882,31,29,45,39,27,13,20,10,10,3,3,3,5
PA1883,8,0,10,3,13,26,28,3,5,6,7,3,1
PA1884,18,11,33,34,21,38,62,5,9,11,2,2,4
PA1885,39,29,47,63,74,48,72,21,6,12,9,2,3
polB,97,63,108,156,213,180,353,83,50,73,34,16,13
PA1887,1,3,5,4,3,43,71,0,14,38,7,5,9
PA1888,10,6,15,18,10,157,127,8,31,74,18,27,31
PA1889,30,36,43,77,130,180,424,15,67,155,20,24,25
PA1890,68,52,97,96,76,90,227,13,39,88,15,15,16
PA1891,0,0,1,1,6,9,18,0,3,5,1,1,3
PA1892,7,1,5,1,12,18,32,7,7,18,11,12,5
PA1893,9,6,7,8,12,64,78,4,25,31,22,23,29
PA1894,4,0,7,7,4,14,8,1,11,5,12,2,3
PA1895,0,3,5,1,3,41,39,0,18,20,10,11,10
PA1896,5,2,8,3,9,32,29,6,4,14,6,8,7
PA1897,3,6,7,4,1,19,19,0,9,8,12,7,1
qscR,14,6,35,9,15,26,33,3,5,11,10,7,7
phzA2,2,0,1,0,0,4,2,0,1,2,3,0,0
phzB2,3,2,1,1,3,8,1,0,0,2,2,2,1
phzC2,66,93,110,249,444,92,177,104,13,39,27,8,8
phzD2,2,1,1,3,6,2,7,1,2,1,8,0,0
phzE2,5,4,15,6,17,30,35,2,10,8,10,3,4
phzF2,1,6,7,4,5,13,21,4,3,7,8,4,3
phzG2,0,2,4,3,5,13,24,1,3,4,8,1,2
PA1906,18,14,9,14,15,21,35,2,8,16,3,3,2
PA1907,2,0,9,7,10,12,30,3,6,7,15,6,3
PA1908,3,3,7,16,11,8,24,8,1,6,24,1,1
PA1909,8,6,12,9,13,9,22,6,4,8,23,3,3
femA,4,3,8,13,12,44,44,2,11,21,21,10,8
femR,8,8,14,18,33,9,26,5,1,4,7,0,0
femI,12,13,7,31,19,8,17,4,4,15,10,2,1
PA1913,84,44,96,169,74,26,52,15,7,10,11,9,2
PA1914,2,2,2,0,2,15,22,1,6,4,14,10,5
PA1915,54,50,68,68,60,101,139,34,25,43,18,14,12
PA1916,1,1,4,1,8,14,18,2,2,5,14,3,3
PA1917,0,0,2,1,2,1,5,0,3,3,2,1,1
PA1918,8,4,5,12,8,13,16,6,5,5,14,3,4
nrdG,3,0,1,2,3,24,64,0,2,6,3,0,3
nrdD,3,4,4,2,8,21,72,3,5,14,12,7,7
PA1921,1,0,1,4,4,9,17,0,3,3,4,1,0
PA1922,2,1,1,5,6,16,17,1,3,9,17,1,2
PA1923,8,13,30,19,45,28,53,11,10,16,51,7,4
PA1924,3,0,0,0,0,4,5,0,1,1,4,0,0
PA1925,1,1,2,0,0,4,4,1,2,2,2,1,0
PA1926,220,168,213,347,357,327,584,126,125,225,26,23,47
metE,45,26,64,72,107,96,169,46,29,50,36,10,16
rimJ,16,19,16,14,22,17,28,7,10,10,15,3,1
PA1929,18,11,9,19,13,15,25,7,2,3,2,3,1
PA1930,6,5,8,13,2,89,61,2,34,45,17,15,17
PA1931,9,6,6,10,20,17,29,9,7,3,9,3,2
PA1932,4,4,8,5,14,75,73,6,19,18,6,3,3
PA1933,39,24,42,37,61,601,1074,26,161,219,31,51,51
PA1934,38,39,56,46,32,25,75,7,10,19,4,5,1
PA1935,15,11,18,18,12,16,31,3,5,15,10,2,4
PA1936,0,0,4,0,0,3,2,0,3,1,1,0,0
PA1937,3,0,5,3,5,8,14,3,1,7,4,1,1
PA1938,14,15,18,22,48,43,38,11,14,31,12,7,5
PA1939,288,262,489,408,270,554,747,64,105,203,39,33,57
PA1940,44,30,54,36,50,84,109,29,31,35,15,5,11
PA1941,95,101,151,168,128,143,180,18,41,86,18,10,21
PA1942,0,1,0,0,2,3,4,0,1,3,1,0,0
PA1943,16,10,27,19,31,52,105,11,18,29,6,4,3
PA1944,36,25,38,25,43,77,80,6,29,42,15,13,12
PA1945,13,19,13,27,49,41,35,12,16,19,9,7,6
rbsB,182,73,227,140,417,335,369,233,169,157,136,61,103
rbsA,70,28,64,53,280,137,183,236,53,55,106,26,33
rbsC,67,34,44,68,84,82,111,53,48,47,47,12,22
rbsR,136,62,110,121,272,150,332,200,45,67,88,20,31
rbsK,208,159,205,273,482,273,619,246,73,120,115,27,26
PA1951,2,0,6,6,3,83,143,2,29,33,11,16,18
PA1952,0,2,1,1,2,14,23,2,4,5,14,0,0
PA1953,0,0,1,0,3,10,19,0,10,8,5,1,1
PA1954,3,4,9,7,14,13,9,6,11,8,12,4,2
PA1955,0,2,0,0,1,7,5,0,3,2,4,1,1
PA1956,3,3,1,2,5,5,5,2,1,5,6,2,0
PA1957,18,18,19,53,33,25,64,7,10,19,5,2,3
PA1958,114,94,169,190,144,133,268,47,39,68,19,7,12
bacA,179,140,203,247,354,289,562,76,220,401,58,84,80
PA1960,55,47,44,98,122,64,162,39,45,56,17,10,15
PA1961,21,28,31,33,36,61,112,8,36,49,21,4,17
azoR2,7,7,7,16,13,18,21,4,4,8,8,1,0
PA1963,76,44,77,59,56,87,156,11,14,19,4,3,8
PA1964,307,217,340,632,366,350,798,102,135,270,39,30,49
PA1965,47,47,89,83,52,99,143,15,14,20,4,3,5
PA1966,64,63,77,148,79,65,126,16,12,44,8,3,5
PA1967,59,26,40,38,48,61,118,6,13,27,7,6,7
PA1968,8,7,22,26,38,38,56,8,10,14,1,3,4
PA1969,140,126,163,364,282,83,208,37,10,48,9,7,1
PA1970,3,3,8,14,3,30,50,0,8,15,3,2,3
braZ,42,75,88,173,53,121,274,7,20,37,10,7,6
PA1972,2,1,12,12,7,19,40,2,3,7,6,1,3
pqqF,60,62,74,114,165,93,149,56,17,46,41,5,8
PA1974,3,0,5,1,2,6,10,0,1,4,6,2,2
PA1975,11,6,4,9,14,16,30,7,5,9,8,4,1
ercS',20,7,18,12,22,38,54,8,7,13,36,9,5
PA1977,5,2,3,5,8,16,43,4,5,7,8,0,1
erbR,7,5,12,6,5,15,39,0,7,8,3,4,2
eraS,1,0,0,2,4,2,7,3,2,2,4,0,0
eraR,2,0,2,2,4,6,13,1,3,0,1,1,1
PA1981,0,0,0,0,1,2,1,0,0,0,4,2,2
exaA,17,8,15,17,33,17,39,10,12,9,31,9,5
exaB,0,0,0,0,0,0,2,1,0,1,1,2,0
exaC,4,7,2,5,0,16,16,0,0,4,30,1,0
pqqA,3,2,9,12,2,1,5,1,1,0,0,0,0
pqqB,9,5,14,8,15,22,34,1,6,15,7,3,5
pqqC,14,12,14,14,24,19,50,7,8,16,8,4,3
pqqD,12,3,9,11,4,22,18,2,4,5,0,1,1
pqqE,23,21,24,28,33,68,89,9,17,19,8,6,3
pqqH,34,21,28,40,67,31,90,31,7,28,15,5,7
PA1991,91,60,110,96,80,119,224,43,22,36,17,6,16
ercS,49,10,34,29,50,66,140,25,25,51,21,13,12
PA1993,91,68,132,170,145,160,215,51,36,70,21,10,13
PA1994,43,37,41,73,62,34,64,19,8,33,9,5,3
PA1995,36,21,40,50,38,40,76,4,9,21,5,3,3
ppiC1,24,23,28,35,26,21,46,1,11,10,2,0,5
PA1997,40,36,67,86,77,94,121,17,36,35,19,8,8
dhcR,30,28,29,35,23,59,72,8,16,27,14,5,5
dhcA,22,13,32,28,21,39,69,9,7,39,13,9,8
dhcB,8,6,6,14,3,25,30,4,7,22,10,2,3
atoB,44,35,42,75,69,77,90,23,25,65,14,10,19
PA2002,8,12,10,11,8,19,32,1,4,12,11,0,1
bdhA,15,9,29,20,22,62,75,10,15,30,10,7,9
PA2004,4,4,10,9,7,25,23,2,5,12,17,6,3
PA2005,71,63,94,134,109,83,129,20,31,50,15,10,6
PA2006,6,0,10,4,19,14,38,1,6,15,17,1,1
maiA,13,9,16,25,56,58,84,21,17,70,14,14,22
fahA,9,13,7,17,48,100,117,9,37,121,12,22,30
hmgA,15,7,18,17,38,110,137,9,38,102,18,15,41
PA2010,73,59,99,101,141,84,134,63,27,52,22,11,6
liuE,141,75,144,124,132,100,400,75,44,129,23,13,15
liuD,66,22,65,44,119,109,359,60,55,127,30,20,15
liuC,22,7,20,11,27,28,107,13,13,50,4,6,8
liuB,55,22,49,22,64,96,284,32,52,102,23,18,24
liuA,109,41,138,51,150,231,501,48,80,215,25,43,44
liuR,20,8,29,6,18,84,179,9,36,66,7,16,12
PA2017,17,16,23,24,17,39,74,6,21,16,9,1,7
PA2018,242,176,253,409,462,436,707,198,181,372,134,95,139
PA2019,70,81,92,171,186,106,254,47,48,108,67,22,33
PA2020,738,551,865,956,496,406,883,130,102,145,52,31,26
PA2021,1,0,0,3,2,14,28,2,4,4,3,2,0
PA2022,11,6,16,15,25,51,84,12,4,14,9,5,8
galU,1314,1020,1649,1849,846,856,1468,141,226,551,37,78,77
PA2024,4,1,7,4,3,19,44,2,6,15,1,2,3
gor,442,264,374,541,382,337,651,122,122,208,42,48,42
PA2026,36,38,79,79,48,287,441,17,64,107,11,25,19
PA2027,3,2,6,6,1,2,12,1,1,1,7,1,2
PA2028,8,9,20,21,3,14,25,1,5,5,5,1,1
PA2029,18,11,20,11,7,18,23,11,8,4,6,2,2
PA2030,39,13,48,29,26,22,23,9,3,8,10,5,1
PA2031,7,9,5,7,4,8,8,1,0,4,1,1,2
PA2032,137,65,170,157,173,155,165,34,49,59,15,14,27
PA2033,21,12,31,23,16,18,27,7,4,5,10,1,0
PA2034,14,7,4,20,14,18,16,6,1,6,6,0,2
PA2035,5,11,18,6,9,27,27,5,5,4,17,5,2
PA2036,2,2,9,6,5,8,2,2,1,3,4,1,1
PA2037,65,31,99,33,56,151,171,21,89,38,84,50,37
PA2038,7,17,11,20,11,37,47,5,6,9,2,6,7
PA2039,21,13,25,33,27,29,101,2,6,34,7,8,12
PA2040,356,157,333,230,247,346,620,23,84,170,22,26,22
PA2041,108,53,79,61,98,98,223,17,20,40,20,9,10
PA2042,392,523,666,1238,399,526,804,89,231,441,26,54,56
PA2043,107,77,90,208,166,128,351,52,24,78,12,5,11
PA2044,236,156,279,404,270,271,385,58,78,140,24,25,30
PA2045,14,20,21,23,24,18,23,3,7,18,2,1,1
PA2046,3,1,2,2,3,6,10,4,0,4,0,0,0
PA2047,8,11,26,22,18,35,49,4,8,10,7,4,3
PA2048,8,2,5,6,11,16,21,2,3,6,1,0,0
PA2049,86,69,131,143,134,118,256,33,37,76,15,12,11
PA2050,8,3,0,1,1,2,1,2,1,2,0,0,0
PA2051,11,3,7,3,8,3,8,1,1,4,8,0,0
cynS,3,3,4,10,7,11,13,0,4,2,1,0,1
cynT,4,1,6,6,4,8,6,0,2,3,6,3,3
cynR,66,35,68,81,91,61,92,38,21,15,39,3,5
PA2055,2,3,3,4,8,12,30,3,6,2,13,2,1
PA2056,37,38,41,65,42,69,73,21,9,10,11,7,2
PA2057,8,9,28,10,19,42,46,3,6,9,21,5,4
PA2058,10,4,14,6,9,26,36,3,9,4,15,4,2
PA2059,6,2,2,5,3,7,20,2,3,7,13,1,1
PA2060,0,4,5,1,2,6,15,1,5,3,14,1,1
PA2061,13,8,22,27,48,52,78,15,10,9,19,5,3
PA2062,52,11,30,32,34,252,276,15,64,53,3,12,9
PA2063,55,56,106,167,369,3444,5468,127,955,1582,37,228,233
pcoB,3242,2301,3238,4671,4972,3995,7174,1863,1326,3226,354,289,313
pcoA,7911,5319,6996,10907,9136,8346,13553,2376,2703,6961,447,652,601
PA2066,1,1,7,4,5,16,22,4,5,7,10,1,2
PA2067,3,3,9,8,4,9,10,0,0,3,4,1,4
PA2068,0,3,5,5,8,6,9,2,1,5,7,1,6
PA2069,5,3,8,12,11,17,31,5,3,6,7,2,2
PA2070,8,7,17,26,13,95,124,5,31,41,27,10,8
fusA2,90,36,97,80,139,149,246,37,67,121,33,27,43
PA2072,16,9,22,21,15,39,50,5,17,19,24,4,2
PA2073,17,5,13,22,8,23,74,2,9,37,10,6,4
PA2074,13,5,9,11,12,6,76,5,4,24,12,2,2
PA2075,17,7,16,10,6,18,57,1,4,14,11,6,4
PA2076,49,34,49,87,56,37,94,12,9,20,15,5,4
PA2077,1,0,1,4,14,42,71,1,12,15,19,4,4
PA2078,1,0,4,6,6,30,51,2,12,15,12,6,5
PA2079,22,19,32,44,31,53,80,12,14,35,15,4,7
kynU,45,45,39,77,84,77,88,37,25,68,17,10,10
kynB,51,54,74,96,73,82,113,17,23,33,10,10,9
PA2082,39,25,46,48,25,54,104,4,8,33,7,3,4
PA2083,40,30,31,53,34,33,73,9,9,8,12,3,3
PA2084,64,49,45,81,77,63,118,38,12,20,22,3,7
PA2085,2,0,2,1,1,4,2,1,0,0,5,0,1
PA2086,0,2,3,2,1,6,16,1,0,4,8,0,3
PA2087,0,4,4,2,2,8,15,1,2,3,7,0,0
PA2088,2,6,2,6,6,11,25,2,6,4,7,4,3
PA2089,11,12,12,24,16,75,140,8,26,37,21,14,15
PA2090,5,2,3,4,5,4,14,4,3,2,7,0,1
PA2091,2,2,4,6,12,13,15,7,1,7,12,2,1
PA2092,3,2,9,14,24,11,20,9,4,4,11,3,2
PA2093,5,5,6,3,5,6,14,1,1,2,1,2,3
PA2094,5,2,13,5,13,12,27,5,4,8,4,1,2
PA2095,8,8,13,17,9,20,30,5,9,6,5,2,4
PA2096,12,5,7,20,17,27,30,4,7,6,5,7,3
PA2097,16,12,16,22,7,14,33,2,8,5,11,5,3
PA2098,4,3,7,6,8,5,16,5,1,1,5,0,0
PA2099,2,1,4,3,8,7,19,3,4,2,1,2,2
PA2100,66,35,69,60,46,65,82,7,25,31,19,25,17
PA2101,4,4,17,9,4,12,29,2,8,10,8,1,1
PA2102,2,3,8,12,4,15,17,2,3,8,6,0,0
PA2103,18,15,27,13,19,45,65,8,15,19,12,7,5
PA2104,47,14,53,44,53,50,94,13,29,40,6,12,12
PA2105,29,11,44,32,30,34,56,5,13,30,6,6,5
PA2106,45,33,61,45,77,81,98,22,26,36,4,11,17
PA2107,0,0,0,2,1,3,12,0,0,0,0,0,1
PA2108,17,11,33,30,56,41,82,17,6,24,20,9,7
PA2109,22,15,8,31,16,7,25,13,2,9,4,2,3
PA2110,167,67,46,182,116,15,88,126,13,39,43,5,13
PA2111,613,305,99,767,628,65,194,486,25,75,198,9,12
PA2112,82,34,20,127,64,22,53,43,3,27,24,3,5
opdO,110,84,38,152,49,26,54,36,11,27,17,2,7
PA2114,226,247,138,373,123,73,150,44,43,110,21,15,19
PA2115,44,33,37,52,38,28,62,5,18,15,15,1,5
PA2116,72,60,39,129,54,61,64,18,14,33,7,8,3
PA2117,60,32,92,66,44,100,137,9,36,59,7,14,7
ada,60,46,59,95,151,61,114,68,21,25,24,1,8
PA2119,21,21,31,90,81,89,201,6,19,52,5,16,9
PA2120,0,1,2,2,3,4,9,0,3,3,5,0,1
PA2121,7,7,5,13,15,5,21,5,4,8,14,5,1
PA2122,2,3,6,11,6,16,19,3,5,1,1,5,3
PA2123,24,29,43,44,47,36,59,11,7,21,8,5,4
PA2124,6,9,9,13,30,16,36,14,5,9,17,1,4
PA2125,8,6,7,8,16,23,109,12,7,8,15,3,0
PA2126,3,5,8,25,20,14,119,5,2,13,6,1,3
PA2127,32,25,36,94,143,74,466,45,13,48,20,9,12
cupA1,29,20,32,28,21,37,63,7,5,8,8,1,3
cupA2,5,1,1,4,6,7,10,1,4,5,7,2,0
cupA3,5,4,6,3,5,27,54,3,4,11,30,5,3
cupA4,5,0,6,1,1,8,11,0,2,3,11,1,0
cupA5,1,4,0,1,2,2,2,1,0,3,8,1,1
PA2133,1,0,4,1,3,6,5,2,1,3,5,3,0
PA2134,0,2,1,5,8,9,12,0,1,4,6,1,6
PA2135,3,4,5,5,8,12,29,2,3,4,5,2,1
PA2136,2,0,0,0,0,1,2,3,1,2,5,1,2
PA2137,1,2,2,4,1,2,3,0,1,2,5,0,0
PA2138,3,2,9,9,14,9,16,1,2,6,22,1,0
PA2139,0,0,0,0,0,0,0,0,0,0,0,0,0
PA2140,0,0,0,0,0,2,1,0,0,0,0,0,0
PA2141,0,0,1,1,0,0,4,0,2,0,2,1,0
PA2142,0,1,2,2,2,11,9,0,4,3,5,3,2
PA2143,0,0,3,0,7,7,10,6,1,3,1,1,2
glgP,1,1,7,5,13,57,78,3,18,38,15,12,6
PA2145,2,3,2,4,4,10,16,2,8,7,3,5,5
PA2146,2,1,1,0,1,1,5,0,3,3,0,0,0
katE,2,3,7,1,2,32,54,3,9,19,11,4,2
PA2148,1,3,0,5,7,8,14,3,1,4,8,1,1
PA2149,0,0,0,1,0,3,2,0,0,1,1,0,0
PA2150,2,3,6,1,1,1,3,0,1,1,12,0,1
PA2151,7,4,15,9,7,17,41,1,4,10,15,2,2
PA2152,15,4,10,24,25,48,121,4,12,23,38,4,3
glgB,2,4,4,4,7,13,34,0,4,4,20,2,3
PA2154,0,1,0,1,2,4,6,1,2,1,4,1,0
PA2155,0,0,6,2,8,10,10,0,6,4,8,0,2
PA2156,0,0,1,1,4,6,12,1,1,5,5,1,2
PA2157,1,1,3,2,9,19,34,0,7,9,7,6,2
PA2158,3,5,13,12,14,16,30,9,6,11,12,3,0
PA2159,1,0,1,3,1,5,9,0,0,3,1,4,0
PA2160,4,1,6,10,7,25,31,6,9,19,25,4,1
PA2161,0,0,0,0,0,1,0,0,0,0,1,0,0
PA2162,5,1,10,11,11,14,33,7,1,8,20,3,3
PA2163,4,0,4,1,7,7,12,5,3,3,11,1,1
PA2164,7,0,5,5,15,21,22,11,2,4,19,2,4
PA2165,11,12,18,14,26,26,30,6,11,12,12,4,5
PA2166,14,12,26,17,21,27,29,4,5,3,4,4,1
PA2167,2,1,9,5,5,9,24,1,10,12,3,3,3
PA2168,2,0,4,0,1,2,4,1,0,0,7,0,0
PA2169,3,1,1,0,2,5,6,0,1,1,1,1,2
PA2170,3,3,2,4,1,1,3,0,2,0,0,0,0
PA2171,1,3,14,4,6,9,7,4,3,3,4,2,1
PA2172,10,10,11,11,22,26,34,4,9,15,15,10,6
PA2173,6,2,4,3,4,5,1,0,1,4,4,2,0
PA2174,0,0,4,3,1,1,5,0,3,1,4,0,0
PA2175,0,0,1,5,0,6,12,0,2,1,3,1,1
PA2176,3,2,3,4,7,11,13,2,4,4,5,3,3
PA2177,10,14,9,15,23,42,58,7,12,17,24,8,5
PA2178,0,0,3,2,0,5,7,0,1,2,6,0,2
PA2179,0,0,1,2,1,6,15,0,0,2,9,0,1
PA2180,2,1,3,0,6,1,5,1,3,2,19,0,1
PA2181,2,2,9,4,7,9,21,2,5,1,2,2,3
PA2182,2,1,8,1,0,1,5,1,1,0,4,2,1
PA2183,5,3,6,5,7,5,11,5,0,5,0,1,0
PA2184,6,2,6,2,4,1,5,0,1,6,7,3,1
katN,4,2,10,8,6,10,13,2,1,6,6,0,0
PA2186,0,1,0,3,0,1,3,0,1,2,0,0,0
PA2187,0,3,0,0,1,8,9,1,1,0,9,0,1
PA2188,3,0,2,4,8,7,12,3,0,1,21,3,1
PA2189,6,1,0,4,0,13,13,0,5,3,9,0,2
PA2190,4,3,1,5,11,6,16,3,4,9,0,3,0
exoY,34,16,15,28,25,34,44,11,8,18,12,3,0
PA2192,0,1,0,1,2,1,2,0,4,0,6,0,1
hcnA,4,3,6,14,15,2,26,2,1,4,2,0,1
hcnB,9,6,12,63,67,24,91,16,4,7,10,3,5
hcnC,23,15,29,69,173,45,197,72,13,21,30,4,4
PA2196,56,41,87,95,60,56,91,11,13,19,7,6,1
PA2197,41,24,40,88,65,73,81,18,19,24,10,13,5
PA2198,14,8,15,19,16,17,32,5,3,4,3,0,2
PA2199,159,100,109,147,177,103,215,46,25,50,16,15,11
PA2200,130,60,96,123,178,134,194,50,22,36,29,8,8
PA2201,49,32,52,58,66,62,61,19,20,22,12,6,6
PA2202,12,1,3,6,2,21,25,1,1,11,9,2,3
PA2203,18,2,5,4,3,18,9,1,4,6,8,0,0
PA2204,305,26,34,43,18,53,99,5,24,26,4,11,19
PA2205,12,12,15,20,14,28,29,3,13,15,4,4,1
PA2206,14,6,12,17,17,40,65,1,9,18,5,2,6
PA2207,1,5,5,2,2,6,19,0,2,3,20,5,4
PA2208,1,0,1,1,1,2,2,0,0,2,3,0,0
PA2209,1,3,1,3,5,12,8,0,4,2,12,0,1
PA2210,5,3,7,5,9,14,13,0,6,4,9,3,2
PA2211,4,0,6,5,3,5,6,2,1,1,7,1,3
PA2212,2,2,3,2,2,7,14,2,2,5,9,2,2
PA2213,6,2,3,6,3,3,9,0,0,2,17,2,0
PA2214,1,1,2,1,3,15,11,3,2,3,5,2,2
PA2215,7,4,11,13,12,9,15,1,4,4,16,1,0
PA2216,8,5,10,6,14,8,20,5,2,3,9,1,0
PA2217,4,7,7,5,9,18,20,1,4,14,9,2,0
PA2218,9,7,25,12,9,24,49,2,5,7,9,6,7
opdE,8,12,16,20,13,28,32,7,2,14,14,6,2
PA2220,47,32,59,39,34,79,86,6,20,27,26,7,7
PA2221,19,9,27,23,13,56,56,4,17,13,24,5,13
PA2222,12,12,44,15,10,52,98,0,27,22,6,7,7
PA2223,20,23,51,22,14,43,54,5,16,18,13,13,14
PA2224,14,7,21,21,4,25,31,3,12,9,11,5,4
PA2225,4,2,17,8,3,8,8,1,2,2,4,2,0
PA2226,38,18,71,29,10,42,46,5,23,23,7,6,9
vqsM,102,54,170,107,39,100,159,16,44,31,38,18,16
PA2228,19,21,53,18,14,42,47,6,21,8,28,17,18
PA2229,73,41,48,88,82,92,138,19,12,34,23,15,11
PA2230,45,48,65,53,57,61,118,10,38,59,10,2,11
pslA,151,180,255,475,350,303,458,72,162,302,40,53,61
pslB,185,133,213,407,514,353,480,265,170,295,68,59,66
pslC,63,53,75,170,209,164,218,101,63,133,16,18,29
pslD,50,65,85,214,192,157,157,59,71,160,16,16,26
pslE,203,144,240,464,523,458,461,190,314,603,64,94,135
pslF,42,44,53,152,159,131,114,67,50,119,26,23,30
pslG,60,93,106,199,234,169,195,123,141,215,44,32,48
pslH,107,83,117,263,379,251,313,214,118,186,69,47,45
pslI,33,46,46,124,120,99,125,46,70,124,33,16,36
pslJ,93,62,133,221,135,150,213,94,106,224,64,58,63
pslK,82,76,88,198,201,142,211,137,71,134,49,21,35
pslL,37,81,130,237,103,164,222,41,90,189,40,25,36
pslM,7,9,19,31,31,19,31,15,5,11,15,3,4
pslN,4,4,8,9,21,74,75,3,9,16,4,7,2
pslO,0,2,5,0,16,37,27,4,6,4,1,5,0
bkdR,51,36,79,72,35,57,84,18,20,26,13,6,4
bkdA1,75,56,91,37,204,503,343,107,308,469,28,104,139
bkdA2,80,45,69,38,181,245,147,184,229,352,43,61,89
bkdB,100,53,115,55,302,297,299,392,300,446,145,57,108
lpdV,213,116,170,134,456,341,488,753,368,726,257,92,145
PA2251,42,39,75,73,53,68,70,13,19,20,15,13,9
PA2252,1307,1529,2250,3266,676,989,1505,131,244,622,27,61,73
ansA,386,405,474,884,719,334,474,232,63,106,61,10,15
pvcA,6,6,8,12,4,15,24,3,6,8,4,5,0
pvcB,0,8,10,6,10,9,23,2,2,2,7,1,4
pvcC,8,3,14,16,6,27,26,1,4,4,18,5,4
pvcD,0,2,4,6,6,8,19,1,3,5,4,0,1
ptxR,21,12,18,28,15,27,75,3,14,17,11,8,7
ptxS,36,32,33,62,41,86,60,11,24,46,5,9,18
PA2260,3,3,7,12,9,25,41,4,10,27,8,7,8
PA2261,6,6,5,12,12,46,52,6,7,9,11,9,3
PA2262,7,3,10,7,5,19,24,1,5,16,20,10,10
PA2263,2,1,6,4,5,16,10,2,6,6,9,1,2
PA2264,61,38,53,83,106,136,162,23,71,90,10,22,16
PA2265,65,42,76,104,71,166,207,21,81,100,19,30,34
PA2266,73,53,78,134,175,216,264,49,70,132,19,23,25
PA2267,64,52,68,89,74,92,124,22,17,36,13,6,5
PA2268,3,1,3,5,9,67,80,1,5,16,5,5,0
PA2269,106,64,101,143,135,145,175,27,26,30,17,9,7
PA2270,127,117,158,270,235,152,184,49,17,20,11,5,6
PA2271,28,18,42,59,39,22,56,4,1,17,3,0,0
pbpC,80,74,126,142,91,192,219,26,27,58,24,20,9
soxR,64,64,73,108,72,63,119,27,13,21,16,5,3
PA2274,2,2,3,2,2,9,11,0,7,2,3,2,3
PA2275,8,2,9,3,5,28,26,3,7,6,9,5,6
PA2276,11,1,10,12,9,25,21,3,8,9,7,6,4
arsR,18,15,35,25,15,49,47,3,6,16,2,6,1
arsB,26,37,68,60,62,111,142,17,23,33,22,9,4
arsC,4,8,14,12,13,31,21,0,5,8,1,1,3
PA2280,9,10,18,15,20,51,88,1,23,25,3,5,9
PA2281,65,47,71,92,115,87,180,32,25,72,15,9,11
PA2282,10,11,20,16,56,34,26,5,3,8,2,3,4
PA2283,9,15,12,26,52,46,35,4,13,8,24,14,6
PA2284,4,5,3,6,14,23,16,4,7,7,7,10,5
PA2285,3,6,6,20,33,25,20,3,7,5,7,11,13
PA2286,10,14,6,21,92,79,76,33,23,34,15,31,28
PA2287,0,6,4,8,12,54,98,6,13,39,8,15,34
PA2288,57,31,66,75,76,58,104,27,17,31,39,13,29
PA2289,197,160,235,279,272,276,367,47,45,105,25,17,13
gcd,626,566,858,1394,1041,1002,1096,275,221,374,94,75,51
PA2291,425,241,469,489,385,292,412,81,88,109,34,27,24
PA2292,0,0,0,1,1,3,10,0,0,0,4,0,0
PA2293,4,6,11,13,25,13,19,8,2,4,3,0,0
