,PAO1-1,PAO1-2,DKT-2-1,DKT-2-2,DKT-1-1,DKT-1-2
PA2375,681,683,456,576,574,441
PA2376,153,132,113,137,159,123
PA2377,212,202,177,208,185,153
PA2378,3776,2630,3396,4200,8383,6262
PA2379,382,313,397,700,1056,865
PA2380,186,170,163,229,239,228
PA2381,2975,4547,2413,5600,3474,4146
lldA,466,570,451,738,488,419
PA2383,513,528,348,366,670,539
PA2384,71,117,36,43,54,48
pvdQ,156,156,89,96,157,135
pvdA,105,188,74,110,87,64
fpvI,155,271,122,235,202,185
fpvR,1516,2049,1151,1437,1452,1208
pvdR,184,225,127,211,185,198
pvdT,225,223,160,244,215,206
opmQ,122,157,147,162,153,169
pvdP,88,127,100,85,127,80
PA2393,57,79,48,60,58,58
pvdN,52,83,45,64,106,53
pvdO,60,52,38,42,76,51
pvdF,166,169,171,148,156,151
pvdE,482,497,396,403,520,415
fpvA,426,700,393,472,566,479
pvdD,1272,1301,1099,1155,1599,1353
pvdJ,977,1016,956,1015,1266,1036
PA2402,1297,1432,1089,1187,1567,1276
PA2403,153,299,168,198,212,183
PA2404,47,86,48,75,63,48
PA2405,130,194,145,170,154,85
PA2406,96,121,89,99,116,91
PA2407,133,166,137,166,129,82
PA1339,9229,13181,6392,8872,21434,18442
PA2409,71,65,49,74,58,48
PA2410,260,238,237,298,258,234
PA2411,196,268,125,161,168,110
PA2412,60,68,50,58,56,48
pvdH,495,391,310,311,407,302
PA2414,2143,1358,1300,1433,1973,1433
PA2415,505,361,326,327,421,330
treA,1437,958,652,766,1177,934
PA2417,1203,1050,781,910,1330,1011
PA2418,63,80,70,119,150,153
PA2419,352,311,247,334,397,336
PA2420,59,78,56,56,79,67
PA2421,74,94,49,56,98,54
PA2422,47,59,62,118,101,105
PA2423,664,630,431,629,624,560
pvdL,674,738,575,702,724,627
pvdG,16,39,12,19,12,17
pvdS,73,555,46,116,58,74
PA2427,22,89,17,36,17,22
PA2428,98,112,63,115,119,130
PA2429,222,251,172,213,188,177
PA2430,1006,910,718,813,780,596
PA2431,1046,1182,715,729,995,829
bexR,142,98,100,128,173,168
PA2433,3019,1976,1595,2506,2882,2104
PA2434,574,481,351,416,643,556
PA1386,82,77,99,206,103,87
PA2436,370,437,373,547,503,448
PA2437,157,200,125,139,200,133
PA2438,198,252,170,179,237,213
PA2439,278,338,166,185,254,208
PA2440,234,199,261,295,296,203
PA2441,3091,1557,3233,3534,2060,1404
gcvT2,12096,5901,11928,12840,7241,5049
sdaA,9873,4884,9408,12227,6067,4516
glyA2,10204,3580,11168,16414,6292,4493
gcvP2,56526,26393,61193,81842,47639,34305
gcvH2,9348,5689,6924,8153,6694,4995
PA2447,207,181,133,134,250,184
PA2448,1396,1120,753,1046,755,563
PA2449,786,746,642,728,928,812
PA2450,310,345,257,315,349,289
PA2453,307,335,344,436,479,430
PA2454,295,326,265,363,330,255
PA2455,254,261,272,321,274,219
PA2457,134,129,133,221,161,158
PA2458,1030,1278,903,741,1215,884
PA2459,115,86,124,153,140,124
PA2460,30,46,33,57,57,45
PA2461,57,79,94,158,102,93
PA2462,5892,9027,5754,6868,6548,5655
PA2463,543,655,495,675,748,741
PA2464,448,503,311,311,507,467
PA2465,50,69,40,24,39,36
foxA,291,471,244,318,300,271
foxR,212,814,181,228,308,300
foxI,449,1672,271,326,588,498
PA2469,275,278,227,300,422,290
gtdA,200,120,129,176,368,264
PA2471,318,255,252,322,483,440
PA2472,97,77,70,68,118,86
PA2473,37,50,21,49,33,33
PA2474,140,214,139,167,148,108
PA2475,823,863,630,640,688,577
dsbG,443,391,492,579,441,374
PA2477,180,172,144,201,168,131
PA2478,317,329,242,291,298,210
PA2479,723,652,515,540,795,656
PA2480,2263,1974,1566,1691,2801,2212
PA2481,3028,2245,2215,2971,3647,2945
PA2482,3653,2575,2470,3379,4773,4169
PA2483,3283,3787,2181,2483,18924,15377
PA2484,679,702,511,650,1382,1074
PA2485,320,281,257,481,910,816
PA2486,611,566,414,780,1304,1086
PA2487,371,307,212,358,629,523
PA2488,397,279,202,272,390,350
PA2489,332,399,255,308,487,416
PA2490,219,200,145,192,219,171
PA2491,2926,2662,2310,2488,5911,4579
mexT,1499,1404,1202,1471,2139,1881
mexE,88,116,77,88,2819,2712
mexF,229,253,200,253,3100,2947
oprN,157,194,126,169,1313,1146
PA2496,104,75,97,108,112,105
PA2497,511,422,439,370,566,398
PA2498,116,89,81,113,135,124
PA2499,112,68,99,150,113,89
PA2500,1637,914,1580,2454,1480,1481
PA2501,1389,611,1345,2611,1361,1477
PA2502,179,181,185,205,248,169
PA2503,2181,1877,1382,1555,1637,1206
PA2504,2802,2291,1940,2588,2336,1922
opdT,60,63,58,69,133,108
PA2506,25,22,16,15,17,25
catA,240,184,239,283,295,270
catC,70,53,58,72,81,69
catB,89,59,74,79,100,76
catR,294,258,221,216,311,249
PA2511,351,314,269,345,366,390
antA,188,151,137,178,164,121
antB,97,68,67,56,88,54
antC,118,114,111,114,167,108
xylL,70,43,65,82,96,42
xylZ,71,53,61,62,74,56
xylY,22,12,24,46,41,23
xylX,68,43,51,99,84,63
xylS,315,221,177,184,334,259
czcA,302,285,319,287,349,272
czcB,61,64,52,64,91,80
czcC,42,35,35,35,60,37
PA2523,275,200,302,446,689,577
PA2524,546,542,540,668,1018,859
PA2525,785,877,863,1076,1188,929
PA2526,961,940,847,1012,1285,953
PA2527,1224,1117,1176,1380,1475,1264
PA2528,668,694,659,812,824,726
PA2529,707,632,629,924,894,842
PA2530,1280,1209,1426,1583,1680,1322
PA2531,97,144,90,115,183,152
tpx,1398,2404,1288,1935,3758,3152
PA2533,562,609,714,998,835,761
PA2534,377,407,344,437,559,438
PA2535,437,453,486,683,965,864
PA2536,1127,1187,828,948,724,580
PA2537,329,422,328,521,301,293
PA2538,231,231,155,194,170,150
PA2539,858,943,531,523,654,461
PA2540,942,923,747,945,880,665
PA2541,475,539,358,439,501,486
PA2542,1330,1212,1134,1396,1861,1499
PA2543,679,661,586,733,1084,838
PA2544,1602,1363,1047,1117,1096,1026
xthA,554,506,647,838,834,690
PA2546,359,295,290,309,399,339
PA2547,158,170,148,190,204,155
PA2548,87,109,77,113,140,145
PA2549,488,488,500,576,538,510
PA2550,2051,1946,1497,1880,2813,2047
PA2551,3185,2563,2255,3137,4042,2943
PA2552,45394,33060,26393,34663,46449,32155
PA2553,89778,67739,44278,49967,88279,58311
PA2554,29393,27745,11324,13656,33235,23685
PA2555,27653,25941,9640,12880,37339,28617
PA2556,2372,2141,1490,1686,3542,2564
PA2557,6614,5656,3909,4923,9290,6944
PA2558,202,224,145,252,271,209
PA2559,1882,1959,1625,1829,2327,1879
PA2559a,244,273,223,309,332,299
PA2560,232,275,193,293,366,363
PA2561,1594,1471,1144,1263,1466,1146
PA2562,4165,2968,2708,3226,3360,2847
PA2563,684,729,385,452,443,386
PA2564,1473,1678,601,660,736,623
PA2565,512,768,260,280,373,268
PA2566,1575,1109,794,1009,682,663
PA2567,5065,3347,4480,7090,6207,6003
PA2568,842,925,692,950,1079,925
PA2569,196,205,173,215,262,235
lecA,260,213,74,115,68,53
PA2570.1,383,320,266,256,327,318
PA2571,2230,2234,1415,1349,1810,1415
PA2572,4903,4439,3035,4091,3975,3440
PA2573,6866,5703,4074,4757,5033,4053
alkB1,470,469,395,448,576,427
PA2575,4937,5938,3546,4864,39157,32383
PA2576,226,246,216,248,360,329
PA2577,362,277,376,627,556,389
PA2578,591,455,564,662,728,654
kynA,917,794,1017,1438,1036,1054
PA2580,168,200,140,181,245,225
PA2581,539,513,582,899,680,571
PA2581.1,9,6,17,20,16,21
PA2582,3125,2880,2398,2700,4330,3795
PA2583,1593,1587,1229,1434,1952,1583
PA2583.1,7,7,5,10,7,8
pgsA,731,842,745,910,1043,902
uvrC,1815,1653,1548,1995,2250,2221
gacA,4327,3953,2916,3531,4327,3880
pqsH,3948,3784,3192,3410,4240,3362
PA2588,1634,1467,869,1062,951,849
PA2589,245,222,205,226,239,183
PA2590,189,187,229,234,289,244
PA2591,979,1079,1015,1165,1020,805
PA2592,1691,1881,1594,2352,1371,1548
qteE,272,351,249,341,219,207
PA2594,576,554,418,531,579,515
PA2595,398,276,226,258,280,230
PA2596,437,237,183,202,262,233
PA2597,961,759,412,393,739,615
PA2598,922,648,354,460,764,652
PA2599,530,479,255,385,623,564
PA2600,395,333,278,313,528,432
PA2601,889,862,544,568,763,679
PA2602,99,84,62,94,128,99
PA2603,477,487,391,553,640,574
PA2603.1,9,13,10,22,22,10
PA2604,7089,5306,5464,10324,6907,6226
PA2605,2653,2693,1450,1453,2610,1987
PA2606,1144,1141,802,1037,1318,1047
PA2607,778,791,620,754,971,852
PA2608,678,760,576,842,912,800
PA2609,1972,1850,1496,2056,2253,2127
PA2610,583,537,598,713,2228,1850
cysG,3402,3250,3397,3710,4326,3654
serS,4502,3992,4514,5944,5677,5199
PA2613,2097,2008,2083,2470,2723,2474
lolA,1308,1073,1409,2080,1601,1401
ftsK,5185,4633,4588,5728,6371,5444
trxB1,4289,3383,3591,5200,6285,5444
aat,305,301,280,400,533,506
PA2618,1598,1415,1186,1989,1609,1473
infA,184,122,195,385,157,157
PA1425,418,426,436,528,575,540
PA1429,15066,2367,18060,20572,16757,14794
cspD,1772,1354,2303,4769,1440,1401
icd,72141,74241,50559,74215,102610,88152
idh,8176,12733,6257,9059,34018,30667
PA2625,255,338,188,245,640,552
trmU,1249,1273,1172,1439,1874,1718
PA2627,731,769,641,899,973,859
PA2628,213,212,180,249,273,244
purB,677,518,933,1397,678,681
PA2630,1163,457,1466,1715,1575,1424
PA2631,2467,1731,1820,2287,2664,2326
PA2632,1230,1083,892,1329,1241,1042
PA2633,1758,1734,1315,1936,1510,1373
aceA,14266,10975,11539,16725,32922,25192
PA2635,377,403,314,337,402,385
PA2636,97,82,65,98,113,98
nuoA,783,677,783,1356,1226,1151
nuoB,2720,2534,2628,4246,3939,3747
nuoD,5104,4157,5345,8018,7463,6913
nuoE,2104,1826,2274,3586,3367,3149
nuoF,8940,8252,7992,10344,13049,11190
nuoG,17654,19290,14820,19119,22713,19739
nuoH,2289,2812,2405,4000,3910,3476
nuoI,2467,2723,2253,3127,3631,3069
nuoJ,1942,2345,1647,2345,2837,2471
nuoK,1354,1375,1144,1261,1730,1317
nuoL,5652,6474,5209,6752,7777,7017
nuoM,4156,4288,3732,5359,5695,4950
nuoN,3965,4582,3490,4490,5611,4931
PA2650,259,251,253,271,312,243
PA2651,1455,1265,1044,1506,2017,1819
PA2652,2695,2756,2565,3518,3115,2875
PA2653,291,286,241,281,377,324
PA2654,5839,6102,4937,6350,6753,5776
PA2655,329,351,294,510,383,423
PA2656,833,876,707,657,910,810
PA2657,1528,1415,1246,1297,1656,1378
PA2658,698,732,666,842,827,768
PA2659,2571,2306,2028,3110,2769,2400
PA2660,342,399,372,438,635,526
PA2661,363,1052,410,523,581,496
PA2662,4881,16740,4229,4964,5428,3736
ppyR,1447,5093,1468,2174,1724,1148
fhp,7618,20412,7285,10737,7488,4600
