,Emp_20_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy.EDGE-pro.rpkm_0,Emp20_monohydroxy_2.EDGE-pro.rpkm_0,Emp20_monohydroxy.EDGE-pro.rpkm_0,Emp20_Oleic_acid_2.EDGE-pro.rpkm_0,Emp20_Oleic_acid.EDGE-pro.rpkm_0,Emp_20.EDGE-pro.rpkm_0
PA0608,371,512,724,349,684,102,572,657
PA0609,1003,579,1095,891,984,301,718,1190
PA0610,950,769,2978,1412,1679,922,1127,949
PA0611,417,360,1086,650,707,289,465,691
PA0612,23,1,0,11,57,0,14,41
PA0613,6,52,19,5,12,58,1,50
PA0614,4,2,4,0,7,8,0,7
PA0615,33,13,40,14,83,9,1,72
PA0616,23,17,28,20,19,0,7,70
PA0617,9,16,24,13,35,2,5,39
PA0618,62,81,37,67,108,36,25,61
PA0619,317,275,426,390,456,181,262,306
PA0620,1661,1295,1872,2289,2632,1158,1425,1668
PA0621,592,264,163,904,557,276,616,358
PA0622,1555,963,1086,2181,2119,678,1136,1330
PA0623,2050,1526,2275,3399,3791,1262,2066,1646
PA0624,190,140,285,271,221,46,80,285
PA0625,79,156,58,124,289,23,42,204
PA0626,144,210,93,58,249,58,113,150
PA0627,45,72,48,118,77,6,9,49
PA0628,153,131,89,168,158,86,47,77
PA0629,21,18,15,6,47,12,11,34
PA0630,0,0,0,12,3,0,7,3
PA0631,0,0,0,2,2,0,0,8
PA0633,528,286,700,874,876,318,573,461
PA0634,126,100,102,156,316,36,222,124
PA0635,11,18,3,2,12,0,0,31
PA0636,124,198,255,317,412,153,254,119
PA0637,31,29,12,9,55,2,9,31
PA0638,161,226,220,189,446,56,136,223
PA0639,36,20,9,11,31,8,18,63
PA0640,61,157,165,160,84,56,1,16
PA0641,402,405,638,295,834,151,345,783
PA0643,660,522,1275,919,836,619,549,556
PA0644,563,876,861,962,656,583,1135,533
PA0645,92,64,207,248,53,25,201,144
PA0646,1010,768,1320,1843,946,911,1351,1083
PA0647,88,42,235,73,71,95,52,94
PA0648,93,93,52,60,175,141,231,111
PA0649,260,179,645,757,461,268,438,519
PA0650,323,188,416,331,521,110,252,627
PA0651,716,397,1012,531,695,286,478,778
PA0652,10771,9440,14411,10806,10212,7354,10509,10974
PA0653,71,116,212,71,42,55,35,37
PA0654,4473,4685,8586,11518,8166,7160,11008,8749
PA0655,1000,1801,1706,762,1441,384,1215,1354
PA0656,1336,1156,1428,970,1562,353,612,1312
PA0657,358,356,313,290,309,103,211,455
PA0658,33,246,64,77,129,64,44,79
PA0659,928,1032,1084,644,957,464,1015,1521
PA0660,486,690,544,323,730,232,483,889
PA0661,473,528,617,316,332,196,346,487
PA0662,250,236,173,96,277,62,156,256
PA0663,106,183,64,60,57,13,42,51
PA0664,188,83,176,93,262,119,27,101
PA0665,1690,1295,3156,1931,2011,2295,1988,2069
PA0666,802,1015,1459,542,1228,271,678,1285
PA0667,8624,5564,11086,8974,5917,5888,8698,7206
PA0668,7070,8085,11568,8222,9711,8153,9668,8561
PA0668.1,2016,26423,11443,15335,18385,61827,22252,3166
PA0668.2,101,59,96,176,79,133,122,78
PA0668.3,158,49,199,295,128,138,219,132
PA0668.4,6756,65684,41417,32718,41630,108536,50758,13846
PA0668.5,352,436,539,399,429,487,526,525
PA0669,109,87,154,111,113,63,98,87
PA0670,15,24,19,2,5,4,20,10
PA0671,10,36,17,3,2,9,24,12
PA0672,493,1490,1689,670,1149,1708,2137,1511
PA0673,9,18,143,8,54,6,18,32
PA0674,3,0,42,0,0,4,2,14
PA0675,0,0,0,0,5,0,26,0
PA0676,1,8,22,5,12,0,31,30
PA0677,0,7,8,2,12,0,4,4
PA0678,0,1,0,1,0,1,0,0
PA0679,0,14,10,7,0,1,0,2
PA0680,0,0,0,0,0,1,0,0
PA0681,2,0,0,1,0,0,0,4
PA0682,0,0,0,18,1,4,9,0
PA0683,0,0,0,0,0,0,0,0
PA0684,0,0,0,0,0,0,0,0
PA0685,31,31,62,21,19,0,7,21
PA0686,1,8,0,0,12,6,7,11
PA0687,6,1,9,24,9,7,0,24
PA0688,78,138,20,56,94,83,21,85
PA0689,1955,1661,2487,2873,2027,1550,3078,1822
PA0690,618,843,624,417,736,432,854,898
PA0691,53,2,0,4,13,6,0,3
PA0692,0,48,28,14,18,16,3,56
PA0693,11,10,25,2,5,0,12,17
PA0694,0,0,0,0,7,0,0,1
PA0695,0,0,0,0,0,0,0,0
PA0696,18,45,32,9,6,2,19,97
PA0697,1,45,0,3,1,0,1,2
PA0698,9,0,0,17,15,4,10,4
PA0699,0,14,0,0,5,11,0,4
PA0700,0,1,0,0,0,0,0,0
PA0701,2,2,1,12,43,0,0,6
PA0701a,0,11,0,0,3,0,0,4
PA0702,2,50,41,15,94,12,31,23
PA0703,38,20,108,5,7,12,25,37
PA0704,116,141,74,37,137,19,44,127
PA0705,1574,1403,1912,2389,1828,992,1942,2161
PA0706,211,265,200,175,296,196,159,306
PA0707,102,694,1066,469,409,446,775,552
PA0708,88,53,40,71,79,34,29,169
PA0709,30,47,53,53,93,0,5,15
PA0710,2,2,31,14,18,0,2,27
PA0711,2,1,2,1,7,0,7,0
PA0712,60,26,81,65,56,4,63,50
PA0713,76,9,0,51,80,37,55,81
PA0714,172,89,24,87,201,19,179,165
PA0714.1,15,5,33,10,18,11,17,24
PA0715,153,157,253,364,256,6,312,120
PA0716,695,2118,1287,1204,1114,693,1582,906
PA0718,44,75,17,18,131,22,103,130
PA0719,103,67,54,59,75,11,47,47
PA0720,421,277,551,482,465,277,475,487
PA0721,16,10,1,29,25,5,4,24
PA0722,217,78,132,154,121,84,203,266
PA0723,298,267,294,354,290,117,660,318
PA0724,297,338,397,257,276,140,93,150
PA0725,0,0,31,0,20,11,0,99
PA0726,42,41,23,86,58,48,174,211
PA0727,266,143,80,165,162,71,235,305
PA0728,45,71,236,48,110,33,60,133
PA0729,3642,4170,8020,8660,5512,4745,6652,3852
PA0729.1,160,191,271,369,155,199,219,105
PA0730,3782,818,846,2208,1591,1983,2666,4606
PA0731,462,577,1291,424,886,212,472,861
PA0732,2192,1521,2720,2743,2115,1066,1918,2263
PA0733,58,87,156,85,189,31,82,137
PA0734,101,166,76,56,107,46,107,111
PA0735,233,365,272,123,143,71,217,390
PA0736,389,297,214,97,254,71,127,379
PA0736a,89,48,112,8,27,27,72,43
PA0737,28,87,86,140,14,10,15,131
PA0738,0,12,66,1,5,0,1,4
PA0739,34,71,352,10,180,41,88,48
PA0740,37,64,39,30,53,10,61,58
PA0741,55,40,65,34,72,29,14,63
PA0742,133,120,134,50,122,37,26,117
PA0743,296,137,267,167,445,38,219,356
PA0744,941,419,512,695,1488,300,492,744
PA0745,3270,2291,2733,3134,7934,1740,2490,1970
PA0746,2354,1236,1323,2171,4644,1311,1370,1460
PA0747,3495,1894,2226,3050,4704,1027,1844,2308
PA0749,104,315,119,28,212,53,80,289
PA0750,945,898,1212,526,1153,290,739,1141
PA0751,114,65,98,46,106,44,66,96
PA0752,9,32,36,30,70,34,64,34
PA0753,7,0,0,0,12,0,2,21
PA0754,105,209,148,98,136,30,76,87
PA0755,26,23,129,33,108,38,20,61
PA0756,10,2,3,1,0,0,8,3
PA0757,50,39,311,22,45,62,93,92
PA0758,1525,1577,1852,1393,2482,792,1806,1682
PA0759,273,227,257,133,279,87,237,348
PA0760,18,11,18,9,7,0,4,7
PA0761,2451,2149,4138,2246,3169,1741,2760,2647
PA0762,837,589,1562,1740,1380,389,803,1025
PA0763,1538,989,2888,2169,2212,865,1493,1936
PA0764,1058,1252,1801,1464,2135,773,1559,1602
PA0765,60,146,27,42,145,54,63,96
PA0766,1429,2306,1767,2024,3248,648,1268,2464
PA0767,4453,3104,4503,4260,4034,2838,4851,5342
PA0768,1882,1030,1650,2279,1599,1255,2094,1938
PA0769,172,261,430,439,210,153,272,195
PA0770,1006,826,991,1387,1155,672,1172,1271
PA0771,1080,687,995,846,1135,642,1373,1410
PA0772,43,14,178,77,81,34,123,100
PA0773,124,445,277,141,197,82,146,373
PA0774,89,41,73,30,101,35,59,79
PA0775,212,177,519,181,220,133,162,382
PA0776,84,155,105,140,217,13,111,72
PA0777,35,65,15,34,48,2,6,77
PA0778,55,44,20,18,91,17,47,120
PA0779,2946,2968,4107,3743,3959,2993,3915,4372
PA0780,372,397,709,211,223,256,403,350
PA0781,321,41,7,0,48,1063,1427,1883
PA0782,708,692,936,569,1282,403,747,683
PA0783,1043,761,1200,1407,1544,737,1067,1184
PA0784,406,515,475,219,549,158,382,571
PA0785,29,10,23,36,41,2,38,20
PA0786,0,0,0,0,0,0,0,0
PA0787,13,17,21,13,24,4,2,50
PA0788,589,497,448,283,540,288,436,869
PA0788a,56,27,30,18,44,14,26,30
PA0789,1101,724,718,1694,1326,413,685,1016
PA0790,26,1,2,3,8,5,8,4
PA0791,18,34,9,15,32,2,6,50
PA0792,1425,792,1040,1048,1418,761,1009,1252
PA0793,748,368,291,378,1000,301,441,584
PA0794,1439,339,403,1066,2506,266,511,1024
PA0795,6963,1261,1002,6412,9260,1462,3027,2875
PA0796,3130,434,556,3808,3729,649,1107,1548
PA0797,412,86,69,181,383,40,212,131
PA0798,42,38,0,8,12,8,25,45
PA0799,76,137,145,43,92,29,141,187
PA0800,14,8,1,5,14,10,28,14
PA0801,38,97,48,36,83,9,141,91
PA0802,13,0,17,30,12,12,10,39
PA0803,34,62,54,22,42,13,33,91
PA0804,103,151,91,30,64,41,70,133
PA0805,6373,9879,20363,13210,8038,4862,16623,10835
PA0806,3,6,0,3,26,10,10,7
PA0807,344,222,313,316,226,85,146,100
PA0808,86,111,77,21,98,67,87,97
PA0809,21,23,43,5,45,17,5,26
PA0810,13,40,48,0,19,6,13,50
PA0811,34,66,181,0,57,10,28,52
PA0812,32,40,138,18,38,12,76,18
PA0813,5,8,17,8,30,0,9,6
PA0814,0,3,0,0,0,0,1,0
PA0815,118,252,299,281,187,133,213,229
PA0816,11,72,45,5,36,1,8,56
PA0817,66,50,96,31,99,57,46,98
PA0818,5,4,25,4,53,3,0,24
PA0819,59,68,21,53,83,23,31,34
PA0820,1210,849,1535,2090,1446,710,1168,1109
PA0821,3123,3252,5161,4488,3017,2718,3637,3901
PA0823,115,26,180,106,203,92,84,165
PA0824,43,27,31,8,32,7,28,64
PA0825,15,2,67,27,21,22,36,9
PA0826,348,183,795,635,246,255,643,296
PA0826.2,115267,60127,84007,107022,93547,67600,101537,126842
PA0827,34277,24158,26411,20243,34778,21567,29720,40208
PA0828,11,14,8,1,4,4,1,2
PA0829,13,48,0,10,36,7,5,68
PA0830,489,927,1444,482,705,569,788,618
PA0831,209,457,304,110,400,248,268,419
PA0832,273,303,309,238,470,266,309,399
PA0833,1352,912,1278,875,1705,489,934,1294
PA0834,770,456,456,618,591,205,575,1089
PA0835,1259,2162,2148,1041,3307,599,1414,3306
PA0836,1375,2782,3096,2094,2800,1358,3130,3203
PA0836.1,917,1197,1916,1663,1399,1187,2547,1791
PA0837,3159,3693,5497,2966,4554,1795,3481,3785
PA0838,543,639,364,403,602,198,372,527
PA0839,89,133,171,10,46,9,13,125
PA0840,98,928,520,65,89,37,62,152
PA0841,225,283,270,278,494,128,98,228
PA0842,12,2,0,2,15,5,15,1
PA0843,3,83,6,10,34,0,56,26
PA0844,91,33,129,45,37,4,81,103
PA0845,103,28,134,56,49,18,149,78
PA0846,410,465,223,231,288,189,409,463
PA0847,930,669,862,703,997,456,596,899
PA0848,199,204,224,190,201,101,86,76
PA0849,50,78,54,114,145,9,35,141
PA0850,23,23,0,5,27,7,0,7
PA0851,29,81,49,1,13,7,2,23
PA0852,2485,2355,2523,411,656,865,785,2025
PA0853,39,87,60,31,59,11,25,56
PA0854,507,588,860,306,676,108,191,853
PA0855,185,142,92,33,83,50,81,274
PA0856,8213,7330,10837,6985,10859,3784,8743,11772
PA0857,4154,2584,4369,3467,4307,1908,3620,4438
PA0858,492,376,724,353,561,261,441,682
PA0859,58,143,42,43,134,36,66,184
PA0860,89,131,242,113,208,47,303,87
PA0861,1820,1388,2649,1442,1893,765,1494,1748
PA0862,320,414,354,127,407,163,216,285
PA0863,51,128,92,21,131,15,76,73
PA0864,39,99,133,27,93,39,42,85
PA0865,1265,869,1649,2886,1520,1565,1448,1237
PA0866,41,64,35,46,53,27,55,60
PA0867,1957,3290,6997,4002,4223,1854,3433,2668
PA0868,359,405,681,370,506,215,428,420
PA0869,2235,2650,5261,3290,4065,2641,3595,3330
PA0870,379,396,390,201,432,152,269,288
PA0871,627,322,638,591,526,242,706,532
PA0872,921,605,648,386,503,530,684,618
PA0873,9,82,49,49,65,72,83,12
PA0874,48,17,46,2,39,83,36,34
PA0875,67,92,10,67,20,21,46,49
PA0876,221,206,277,359,427,169,190,316
PA0877,43,45,110,2,30,4,9,122
PA0878,32,10,67,22,72,24,32,41
PA0879,67,32,4,1,31,1,7,3
PA0880,22,0,6,3,17,0,2,2
PA0881,3,4,0,0,6,6,22,4
PA0882,8,0,1,1,2,4,0,3
PA0883,0,0,0,0,0,0,0,0
PA0884,21,0,4,39,6,2,26,60
PA0885,51,0,6,65,79,8,67,70
PA0886,75,65,82,62,58,101,43,58
PA0887,7866,5113,9408,12634,15867,1972,4977,6741
PA0887.1,39,34,10,46,16,15,52,57
PA0888,10959,7310,11353,12117,8071,6120,9933,10131
PA0889,408,291,768,246,338,248,510,457
PA0890,334,255,307,209,186,163,306,292
PA0891,142,264,174,160,222,107,198,316
PA0892,162,325,811,181,529,87,300,572
PA0893,1139,860,1415,853,891,458,1139,1057
PA0894,249,248,244,197,284,79,236,405
PA0895,1024,926,1928,734,1291,814,1219,1396
PA0896,371,492,748,195,435,445,408,558
PA0897,273,941,609,178,499,227,414,481
PA0898,288,310,561,153,247,120,228,260
PA0899,550,506,455,258,340,102,539,444
PA0900,898,616,978,1025,796,689,1202,994
PA0901,2050,3766,3539,1442,2136,628,2126,3988
PA0902,66,112,70,49,101,43,142,224
PA0903,2880,2620,4707,4900,4267,2742,3531,4965
PA0904,5859,10043,18262,10626,9762,8609,12383,13215
PA0905,176,238,109,364,346,163,568,532
PA0905.1,182,157,73,309,345,122,483,449
PA0905.2,441,225,502,625,416,324,629,496
PA0905.3,435,128,383,451,235,250,496,311
PA0906,364,225,307,272,438,193,268,403
PA0907,60,8,0,29,17,6,36,81
PA0908,14,12,6,16,6,3,8,14
PA0909,1,23,27,0,11,0,1,5
PA0910,15,43,19,39,51,2,20,49
PA0911,11,3,109,123,11,1,20,5
PA0912,61,21,101,41,41,13,57,21
PA0913,909,732,590,674,1100,793,1441,1427
PA0914,8,21,1,9,8,2,27,7
PA0915,80,23,5,43,27,51,10,107
PA0916,340,363,216,421,355,237,363,665
PA0917,354,247,331,297,392,164,229,559
PA0918,1158,538,522,1577,981,365,550,895
PA0919,771,869,735,430,1028,132,519,1017
PA0920,950,875,1382,560,868,464,668,931
PA0921,91,59,49,16,112,52,65,104
PA0922,127,114,281,73,119,49,89,219
PA0922.1,4,19,12,1,2,0,5,7
PA0923,153,204,143,182,151,60,174,129
PA0924,35,127,75,122,171,54,82,108
PA0925,167,152,183,78,173,65,240,239
PA0926,300,329,316,237,442,111,234,376
PA0927,314,457,447,290,691,238,287,670
PA0928,1798,1991,3162,2047,2551,974,2102,2116
PA0929,87,61,212,191,167,96,104,128
PA0930,118,175,143,250,259,104,189,191
PA0931,308,900,1121,355,580,930,1204,1033
PA0932,1488,1466,1940,1256,1649,685,1397,1673
PA0933,179,290,245,101,371,71,96,255
PA0934,3801,2871,5125,5028,5126,2732,4397,3617
PA0935,741,686,468,867,744,584,743,808
PA0936,2131,1312,1800,1907,1897,1141,1882,2047
PA0937,469,499,970,1118,817,436,680,777
PA0938,2995,2347,4069,2942,2545,2294,3325,3018
PA0939,151,73,99,91,122,38,212,34
PA0940,54,50,46,42,115,63,78,27
PA0941,55,166,192,230,411,239,302,31
PA0942,176,60,63,44,10,58,49,47
PA0943,3464,1814,4158,4774,2555,1661,3043,2839
PA0944,524,491,437,583,531,521,441,702
PA0945,307,409,275,175,377,51,299,605
PA0946,213,330,402,251,343,124,426,586
PA0947,579,662,814,453,329,280,983,616
PA0948,177,323,293,67,139,80,274,244
PA0949,259,379,450,217,428,94,325,566
PA0950,454,460,525,545,818,227,649,772
PA0951,490,449,566,365,569,300,480,794
PA0951a,286,232,378,314,297,109,338,247
PA0952,657,697,618,475,595,331,1086,816
PA0953,16,5,5,35,76,21,35,57
PA0954,37,108,28,55,71,37,22,81
PA0955,1741,1291,1965,2051,1672,1259,1707,2493
PA0956,6642,7762,7714,7729,6184,3477,6221,8248
PA0957,198,120,513,136,315,121,307,209
PA0958,164273,119827,162600,210496,175664,110540,146827,125648
PA0959,834,365,1000,678,746,261,336,523
PA0960,112,15,34,66,85,42,21,55
PA0961,151,236,263,98,185,186,302,424
PA0962,21567,15928,25780,19479,24593,10722,19707,28710
PA0963,3964,4315,4090,4164,4540,2146,3917,5199
PA0964,3307,2825,5055,5039,4261,1694,4202,3865
PA0965,564,344,560,498,547,262,311,655
PA0966,941,1035,794,1244,1315,494,1164,1250
PA0967,752,1026,1054,944,704,321,926,779
PA0968,312,295,156,244,386,208,163,342
PA0969,2269,2795,3402,2786,3237,1589,2648,3525
PA0970,1587,1232,1011,1349,1525,1223,1635,1845
PA0971,1220,831,995,1453,1202,669,1342,1161
PA0972,8867,7262,12865,11349,10485,7639,10678,12045
PA0973,5573,9325,10571,6064,9754,2955,6914,10365
PA0974,3564,3796,6028,3993,4711,1817,4229,5943
PA0975,658,362,492,651,517,316,744,579
PA0976,1227,1720,2140,1037,1644,914,1708,1417
PA0976.1,696,1175,698,260,469,315,1030,596
PA0978,155,100,375,138,101,56,98,83
PA0979,102,125,98,127,107,82,16,76
PA0981,215,76,231,36,66,151,118,151
PA0982,314,145,301,265,304,352,405,379
PA0983,133,162,331,123,177,118,222,166
PA0984,31,53,30,7,9,93,62,31
PA0985,545,1419,2099,1113,1064,904,1207,881
PA0986,1,13,0,0,10,8,47,5
PA0987,72,11,18,37,66,4,70,66
PA0988,195,132,297,193,235,127,300,443
PA0989,183,98,258,101,132,119,375,126
PA0990,120,109,164,234,97,152,224,262
PA0992,246,528,769,612,688,350,544,147
PA0993,10,223,97,85,37,69,85,116
PA0994,427,186,285,445,372,359,277,481
PA0995,894,1068,2096,3193,1269,1076,1824,1162
PA0996,1642,2380,2135,1764,2523,947,1877,1830
PA0997,1069,888,1391,1071,1608,391,475,937
PA0998,936,578,669,759,1054,225,518,857
PA0999,757,566,825,655,1026,291,713,808
PA1000,172,152,340,73,395,39,193,286
PA1001,526,431,700,484,697,176,347,603
PA1002,530,914,558,310,903,149,478,610
PA1003,3955,3170,4605,4122,2327,2911,4007,4485
PA1004,515,779,1010,573,756,392,605,884
PA1005,2198,2487,2774,1875,3328,928,2307,3296
PA1006,6,18,28,11,29,4,47,18
PA1007,183,115,267,71,85,163,203,161
PA1008,1349,1364,1433,1843,1881,752,1441,1176
PA1009,5921,4098,5049,6229,5170,5558,5331,5671
PA1010,1469,1450,2719,1754,2079,839,1780,1991
PA1011,2183,2031,2697,1847,2504,778,2267,3071
PA1012,1383,1290,1788,1208,1636,790,1397,2203
PA1013,5310,4914,9491,7273,7519,4402,7110,6857
PA1013.1,630,749,1757,1252,749,783,732,751
PA1014,545,465,646,331,518,368,578,619
PA1015,189,473,631,473,355,357,367,576
PA1016,9,109,50,66,73,26,70,102
PA1017,98,208,76,77,128,34,74,71
PA1018,15,0,1,9,24,16,27,31
PA1019,52,66,83,26,26,88,232,140
PA1019a,3,0,0,1,0,0,5,0
PA1020,0,0,0,6,18,0,11,2
PA1021,0,1,0,0,2,0,0,7
PA1022,63,62,47,49,84,19,6,71
PA1023,152,103,188,196,192,160,53,105
PA1024,51,38,63,17,51,7,1,16
PA1025,11,14,55,30,134,6,10,17
PA1026,62,112,160,46,98,34,37,107
PA1027,107,98,202,56,258,36,39,145
PA1028,82,32,75,84,53,5,92,64
PA1030,83,132,225,68,145,14,82,143
PA1030.1,1,0,21,0,6,0,0,1
PA1031,145,154,296,256,240,99,252,136
PA1032,657,785,701,473,704,227,840,1036
PA1033,341,437,384,314,362,153,303,470
PA1034,1408,1170,1941,1395,2068,1077,1712,1473
PA1035,2206,1813,2543,1800,2947,1822,2691,2093
PA1036,41,130,135,62,96,11,32,72
PA1037,56,125,210,70,87,44,80,98
PA1038,102,142,29,76,116,32,94,92
PA1039,256,378,198,228,419,102,286,279
PA1040,980,1082,1751,1168,968,674,1041,861
PA1041,1273,540,688,611,897,152,483,654
PA1042,195,130,95,174,91,53,186,88
PA1043,58,45,49,45,81,8,44,7
PA1044,17,30,73,7,39,15,54,29
PA1045,355,728,790,252,736,248,629,950
PA1046,91,90,127,60,140,52,104,159
PA1047,170,206,462,160,237,132,278,398
PA1048,2795,2547,3539,1634,2337,1099,2483,2848
PA1049,1345,2877,2870,1302,3108,713,1745,3316
PA1050,108,21,188,209,224,112,42,198
PA1051,192,242,197,115,159,89,130,311
PA1052,21,17,16,1,20,1,21,5
PA1052a,20,89,48,38,37,31,15,38
PA1053,9584,10516,25106,8340,10583,8901,12461,10482
PA1054,280,218,534,212,440,172,379,413
PA1055,193,84,153,96,159,95,262,85
PA1056,189,250,305,81,307,44,241,479
PA1057,121,136,401,137,230,118,330,275
PA1058,112,94,231,127,216,45,166,156
PA1059,243,266,606,296,480,115,280,430
PA1060,96,150,168,38,140,43,64,141
PA1061,339,366,777,329,349,152,242,844
PA1062,43,44,17,35,30,3,50,125
PA1063,32,18,87,2,60,4,69,58
PA1064,656,830,1113,520,734,239,550,805
PA1065,113,137,189,180,223,57,97,135
PA1066,179,114,149,101,175,72,147,140
PA1067,107,79,37,69,186,100,169,118
PA1068,508,1182,533,349,745,109,434,1045
PA1069,229,308,248,171,522,115,262,217
PA1070,58,178,220,191,187,91,36,83
PA1071,1482,1113,1429,1895,3493,1352,1821,1216
PA1072,623,301,591,436,708,269,630,601
PA1073,1971,909,1383,2776,2306,1803,2474,1170
PA1074,7201,6923,8935,8928,16639,6065,11236,11090
PA1075,111,66,9,56,126,58,109,102
PA1076,3914,3605,6406,5370,4280,3595,7088,6119
PA1077,1925,1436,1456,1338,1536,445,1196,1776
PA1078,1322,1210,1264,1124,1302,833,1105,1174
PA1079,1735,1529,1728,1595,1697,735,1492,1712
PA1080,6362,5032,5124,3495,7060,3052,4426,6000
PA1081,262,231,252,198,333,87,156,298
PA1082,5110,4582,5252,5054,7817,2752,4129,6258
PA1083,4564,3121,4492,5179,6615,3587,4739,4529
PA1084,351,585,305,129,433,103,311,788
PA1085,1064,790,1292,961,1280,670,1227,1046
PA1086,3415,3425,3682,1924,4528,1844,3117,3463
PA1087,2711,1353,2126,1848,2089,1331,1902,2065
PA1088,513,350,569,715,365,384,479,456
PA1089,1760,830,2659,1134,929,349,1085,1511
PA1090,546,300,580,263,513,153,286,310
PA1091,3675,2810,3991,2623,2767,1556,2932,2719
PA1092,126871,111416,176250,85392,103428,75614,111972,143064
PA1093,2594,1636,2783,809,1537,1090,1186,2143
PA1094,34413,20863,42664,29014,26136,16732,25182,29657
PA1095,4317,3338,5157,3543,3509,2701,4128,3797
PA1096,1491,1700,1796,1467,1321,1197,2090,1899
PA1097,1849,1426,2298,1416,2376,1060,2040,2364
PA1098,617,770,547,732,619,383,404,653
PA1099,471,609,806,301,932,327,686,694
PA1100,201,68,24,36,125,33,78,145
PA1101,630,640,976,609,1061,358,1043,1515
PA1102,1697,951,1682,1088,1750,977,1514,2013
PA1103,715,571,1156,454,1017,414,1148,944
PA1104,161,347,348,47,242,64,166,411
PA1105,112,37,30,18,71,3,5,44
PA1106,420,453,575,316,674,282,511,635
PA1107,166,244,329,176,252,139,135,199
PA1108,76,47,68,48,88,52,58,69
PA1109,9,10,0,5,15,0,2,14
PA1110,43,83,30,10,68,12,46,115
PA1111,2,4,3,26,22,1,4,11
PA1112,34,117,171,82,70,42,92,153
PA1112a,69,145,60,113,52,30,71,122
PA1112.1,123,102,76,91,60,73,100,129
PA1112b,189,377,175,40,220,0,153,427
PA1113,146,44,191,85,167,68,77,109
PA1114,12,11,30,24,24,2,12,22
PA1115,1057,1266,1906,824,1450,704,1271,1201
PA1116,40,93,359,85,83,30,151,146
PA1117,101,109,307,61,104,66,113,117
PA1118,309,166,658,358,360,176,901,271
PA1119,611,677,430,526,436,201,421,566
PA1120,350,427,341,134,454,187,330,585
PA1121,85,68,42,25,66,32,42,108
PA1123,4162,3662,6957,5437,5484,1508,2595,4212
PA1124,671,733,857,605,943,366,563,1158
PA1125,12,16,8,21,30,3,11,52
PA1126,175,319,305,223,221,51,221,317
PA1127,232,293,227,76,190,27,205,383
PA1128,16,78,40,11,40,19,81,40
PA1129,10,63,76,32,36,28,31,32
PA1130,465,337,319,83,224,97,151,240
PA1131,138,185,173,61,129,37,129,233
PA1132,1225,740,2298,1156,1365,491,1686,994
PA1133,40,118,65,73,107,8,44,58
PA1134,30,115,290,24,62,32,78,43
PA1135,869,334,661,498,572,380,440,564
PA1136,147,60,103,64,186,65,35,48
PA1137,0,9,7,4,14,1,0,0
PA1138,43,2,5,16,49,7,26,11
PA1139,3,1,2,1,9,1,12,16
PA1140,358,290,330,238,515,113,365,442
PA1141,9,47,7,6,18,16,45,49
PA1142,129,261,65,31,158,42,70,137
PA1143,42,109,22,7,45,3,31,57
PA1144,18,7,18,5,11,11,7,14
PA1145,114,27,87,90,49,44,71,93
PA1146,14,1,12,5,18,1,0,2
PA1147,0,6,0,4,0,0,0,5
PA1148,52,88,18,64,87,6,54,105
PA1149,5,16,14,1,3,2,6,8
PA1150,343,414,1383,1106,526,364,967,724
PA1151,1113,1349,1597,1713,1599,749,1702,990
PA1153,11,3,5,14,11,1,2,12
PA1154,175,35,75,55,161,50,137,75
PA1155,26824,16561,21639,30147,19930,12215,16788,24139
PA1156,19715,14939,14456,18794,18188,9550,10911,19312
PA1157,11,6,57,31,34,1,19,26
PA1158,83,157,64,17,124,71,26,98
PA1159,954,1279,1801,1979,808,510,1319,954
PA1160,849,1510,2102,1800,1016,499,934,1005
PA1161,43,133,98,11,93,34,90,173
PA1162,275,383,603,182,398,220,610,729
PA1163,154,56,161,75,116,85,169,153
PA1164,63,168,103,36,147,13,46,103
PA1165,22,76,43,4,21,1,27,25
PA1166,241,411,286,59,149,62,94,293
