,covR_Ctrl1,covR_Ctrl2,covR_Ctrl3,covR_Ctrl4
CHF17_RS02920,2853,1595,1850,2910
CHF17_RS02925,3384,2325,3707,4881
CHF17_RS02930,4462,4053,6798,8936
CHF17_RS02935,15097,14091,23346,28673
CHF17_RS02940,3747,2299,2369,3733
CHF17_RS02945,16,20,12,22
CHF17_RS02950,335,313,328,359
CHF17_RS02955,2498,2201,2688,2218
CHF17_RS02960,3670,2423,2478,2818
CHF17_RS02965,1003,834,826,855
CHF17_RS02970,9644,8084,6646,7566
CHF17_RS02975,1340,1358,955,1209
CHF17_RS02980,4818,4055,4172,3395
CHF17_RS02985,1809,2013,1563,1854
CHF17_RS02990,3773,3961,3431,3056
CHF17_RS02995,7224,7218,6304,5628
CHF17_RS03000,1170,1308,1070,1031
CHF17_RS03005,4462,3196,3590,3908
CHF17_RS03010,12409,9451,10107,10705
CHF17_RS03015,5273,3867,4478,4965
CHF17_RS03020,2963,3737,3198,3512
CHF17_RS03025,3532,3891,3347,3733
CHF17_RS03030,1517,1405,1190,1661
CHF17_RS03035,309,243,230,384
CHF17_RS03040,186,155,192,250
CHF17_RS03045,26,20,26,34
CHF17_RS03050,119,103,123,151
CHF17_RS03055,240,230,258,285
CHF17_RS03060,1783,2185,1222,1423
CHF17_RS03065,504,710,446,469
CHF17_RS03070,475,404,315,381
CHF17_RS03075,9902,7173,8793,7968
CHF17_RS03080,4980,3980,5194,4755
CHF17_RS03085,126141,94270,96904,106675
CHF17_RS03090,13358,11338,10301,14640
CHF17_RS03095,5639,5727,5823,6261
CHF17_RS03100,3823,4732,4741,4867
CHF17_RS03105,4572,5709,4763,5496
CHF17_RS03110,25517,23144,26266,31357
CHF17_RS03115,19993,26812,31413,38353
CHF17_RS03120,9856,16242,15205,22909
CHF17_RS03125,10593,14604,15445,19047
CHF17_RS03130,4458,5098,5677,6382
CHF17_RS03135,22463,25844,23249,32132
CHF17_RS03140,32476,33514,27283,41324
CHF17_RS03145,67017,53050,60690,70733
CHF17_RS03150,4676,5024,3662,5240
CHF17_RS03155,2984,2081,1971,2357
CHF17_RS03160,45493,19812,41377,28844
CHF17_RS03165,3729,2429,2203,3752
CHF17_RS03170,1199,726,820,1034
CHF17_RS03175,1853,825,1373,1350
CHF17_RS03180,16814,126347,12916,10846
CHF17_RS03185,5763,5168,4473,3965
CHF17_RS03190,6276,5300,4884,4643
CHF17_RS03195,10353,10994,9548,9161
CHF17_RS03200,1143,1450,1102,1068
CHF17_RS03205,3295,4825,4170,4320
CHF17_RS03210,2118,3540,3039,3897
CHF17_RS03215,1358,2519,2013,2919
CHF17_RS03220,4385,8157,6867,10205
CHF17_RS03225,11488,10720,9790,11169
CHF17_RS03230,6568,7169,5342,6810
CHF17_RS03235,3241,3967,2707,3569
CHF17_RS03240,36164,21296,21071,31218
CHF17_RS03245,325,273,214,313
CHF17_RS03250,23653,15129,14821,17682
CHF17_RS03255,10994,12275,10735,12462
CHF17_RS03260,9581,12644,11472,12428
CHF17_RS03265,12017,14622,13984,13982
CHF17_RS03270,9926,10502,9142,8936
CHF17_RS03275,3523,6260,3340,3901
CHF17_RS03280,2225,1448,1178,1270
CHF17_RS03285,54765,73027,53333,49492
CHF17_RS03290,2492,2460,1840,3044
CHF17_RS03295,475,520,455,661
CHF17_RS03300,1909,2132,1758,2320
CHF17_RS03305,10558,10860,13451,13748
CHF17_RS03310,7599,7805,8787,9644
CHF17_RS03315,19139,18918,16507,21820
CHF17_RS03320,1994,2110,1780,2495
CHF17_RS03325,5711,4634,4657,5144
CHF17_RS03330,5561,4107,4212,4572
