,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy0565,34,22,14,33,53,39,28,61,35,35,24,45,17,24,21,18,28,23,10,20,40,28,40,32
M5005_Spy0566,37,22,26,51,41,53,43,54,41,43,52,36,26,25,18,22,30,35,25,23,43,69,56,49
M5005_Spy0567,314,303,304,387,388,428,363,462,370,340,331,385,232,213,152,241,329,272,263,245,437,448,675,526
M5005_Spy0568,172,140,164,231,148,162,188,238,213,156,144,155,100,78,72,85,107,101,91,106,193,181,279,155
M5005_Spy0569,158,144,141,206,165,210,213,241,182,170,151,156,94,101,49,90,121,94,97,86,196,216,346,196
M5005_Spy0570,12,14,10,15,7,19,13,23,12,12,9,8,12,10,5,5,15,8,13,9,17,20,34,19
M5005_Spy0571,265,206,201,225,230,332,250,451,325,245,271,278,173,148,128,195,224,228,232,199,412,461,694,500
M5005_Spy0572,64,52,67,74,76,74,94,140,94,61,63,81,52,62,27,37,79,59,68,108,155,175,261,179
M5005_Spy0573,11,14,13,15,17,15,19,24,21,14,13,20,18,22,23,17,20,20,42,38,96,60,63,58
M5005_Spy0574,6,2,1,4,3,3,4,5,8,8,6,8,3,11,4,2,9,3,8,14,29,6,12,5
M5005_Spy0575,14,22,18,19,14,29,21,38,48,41,25,42,25,27,17,18,26,13,67,75,127,32,52,46
M5005_Spy0576,683,596,652,1056,1096,1140,1113,1432,1140,1123,1055,1318,939,843,614,717,1020,1119,1008,1096,2007,1168,1393,1491
M5005_Spy0577,3772,3721,3979,6034,6418,6975,5453,9065,6419,6621,6342,8174,11183,11138,8004,8073,11426,8571,6610,8933,14272,8794,10663,12339
M5005_Spy0578,6388,5544,5761,7727,6640,9574,7185,10028,7565,8150,7070,9028,7668,7175,4863,5371,7785,6874,5993,6624,11832,6596,9099,8830
M5005_Spy0579,542,456,571,661,543,762,591,839,617,686,578,773,568,492,391,488,622,572,445,443,917,696,821,702
M5005_Spy0580,4373,4174,4021,4488,4846,5428,3656,6517,3937,4985,3643,4929,5268,4486,2959,3935,4484,4509,3178,3034,5499,9583,15459,9427
M5005_Spy0581,2288,2101,2269,2635,2398,2742,1980,3298,2057,2461,1771,2472,2580,2167,1418,1969,2251,2324,1645,1619,2918,5799,8753,4679
M5005_Spy0582,1193,1177,1219,1235,1375,1682,1218,2125,1344,1557,1182,1637,1358,1300,883,1002,1276,1301,1060,1114,1951,3024,4358,2874
M5005_Spy0583,2764,2993,2734,3424,3967,4405,3016,4796,3009,3092,2678,3260,1916,1814,1367,2734,3374,2223,1628,1650,3025,2434,2807,2506
M5005_Spy0584,1343,1613,1525,1920,2059,2524,1570,2441,1548,1552,1402,1771,885,914,625,920,1412,872,780,821,1515,871,1088,1004
M5005_Spy0585,1189,1310,1235,1643,1624,1972,1285,1816,1298,1515,1219,1603,918,863,620,626,982,686,723,746,1491,695,997,710
M5005_Spy0586,4338,3414,4868,7139,7937,8112,5602,9510,7575,7061,6621,8254,16149,14973,9582,10941,14590,11227,8697,15448,19265,8806,8599,11841
M5005_Spy0587,5140,5426,5598,14812,15373,16309,5775,11884,6674,13398,12356,16265,5954,5443,3685,4875,6961,5180,6148,6482,12815,4356,6129,5250
M5005_Spy0588,4192,4676,5021,11769,13498,14751,5608,10553,6001,11406,10594,15154,5956,5515,4430,5313,8076,6460,6660,6923,12590,7598,7942,8942
M5005_Spy0589,167,124,164,146,129,138,151,257,196,146,142,190,503,531,418,338,353,293,472,572,863,435,515,516
M5005_Spy0590,153,113,150,159,138,158,165,213,231,158,168,165,507,456,361,263,268,270,417,477,832,330,449,371
M5005_Spy0591,7,8,5,10,6,11,14,16,15,12,18,9,8,4,8,4,6,8,10,6,15,24,47,27
M5005_Spy0592,125,118,120,156,168,168,213,361,258,179,139,170,111,102,98,154,175,165,159,168,338,228,358,271
M5005_Spy0593,180,179,176,205,208,219,311,516,312,260,245,281,153,133,104,192,253,175,207,214,398,289,378,334
M5005_Spy0594,1668,1639,1365,1849,1624,2250,2161,2810,2238,1887,1762,2143,1492,1436,975,1657,2037,1705,1319,1607,2925,1236,1631,1488
M5005_Spy0595,216,277,242,237,227,368,241,406,264,296,212,347,171,188,132,201,308,167,206,313,568,149,274,212
M5005_Spy0596,175,175,141,179,167,230,195,287,203,174,168,199,87,93,60,97,125,126,112,136,207,150,153,157
M5005_Spy0597,225,203,204,199,197,266,208,309,249,213,218,218,103,127,90,151,217,188,112,181,305,192,202,210
M5005_Spy0598,291,260,220,304,314,358,335,457,308,280,258,320,152,188,115,229,279,226,183,197,341,218,272,275
M5005_Spy0599,563,541,422,628,548,709,612,893,610,565,551,585,420,349,266,526,555,581,443,484,952,537,597,605
M5005_Spy0600,381,372,289,471,466,541,421,708,432,417,385,472,235,253,161,317,338,399,282,301,539,397,404,359
M5005_Spy0601,48,47,33,56,73,75,61,83,62,49,68,70,33,42,28,55,73,53,42,47,99,48,75,75
M5005_Spy0602,408,461,450,634,612,744,606,838,603,549,531,667,360,367,276,592,783,591,498,503,906,659,703,775
M5005_Spy0603,9,2,6,4,4,3,6,18,5,4,4,10,4,7,5,3,11,13,13,5,12,21,26,11
M5005_Spy0604,35,29,34,24,36,43,49,72,62,44,38,44,71,49,39,54,59,61,88,97,165,150,221,160
M5005_Spy0605,30,22,21,21,22,40,35,66,51,38,28,24,43,24,31,24,39,36,59,65,95,92,136,102
M5005_Spy0606,1,2,3,5,6,6,3,10,8,4,5,2,7,5,7,10,5,3,15,10,27,33,37,20
M5005_Spy0607,20,20,18,36,37,32,29,67,44,37,25,25,50,33,31,39,41,31,74,59,148,101,168,121
M5005_Spy0608,424,342,335,600,539,657,550,1034,623,702,663,839,544,492,346,342,520,358,706,824,1520,296,612,521
M5005_Spy0609,691,601,601,1001,962,1077,883,1603,1085,1094,1048,1379,850,794,554,649,959,716,1201,1527,2735,766,1302,1163
M5005_Spy0610,165,136,141,245,297,311,239,442,259,290,343,457,189,245,185,174,261,217,274,356,586,137,201,277
M5005_Spy0611,11,9,11,13,13,11,15,19,33,20,10,17,22,20,25,21,42,27,47,30,55,70,111,112
M5005_Spy0612,2,7,6,2,7,9,9,18,7,12,10,5,17,11,7,15,28,20,22,20,33,51,56,46
M5005_Spy0613,670,671,622,1014,1082,1192,747,1351,737,842,862,937,677,618,418,369,532,454,496,514,1054,202,313,296
M5005_Spy0614,2275,2083,2388,3949,3094,3668,2625,4130,2487,2534,2463,3013,2189,2005,1311,1162,1863,1545,1606,1790,3663,897,1163,1376
M5005_Spy0615,6010,4816,5165,7733,6959,8029,5948,9247,6021,5531,5651,6709,5939,5498,3691,4616,5370,6194,4262,4661,8759,3448,3661,4293
M5005_Spy0616,805,584,854,1243,839,1098,890,1237,767,737,688,860,913,794,545,468,708,646,698,748,1377,659,638,778
M5005_Spy0617,2722,2362,2917,3472,3459,4106,2847,4623,3034,2945,2881,3417,2861,3031,2137,1793,2732,2760,2285,2559,5003,2287,2179,2809
M5005_Spy0618,384,431,463,565,626,815,482,945,620,609,572,679,697,736,548,474,657,658,549,696,1265,679,668,767
M5005_Spy0619,154,158,231,286,243,321,201,401,250,254,221,282,284,264,212,165,316,199,232,252,569,247,318,332
M5005_Spy0620,9,5,10,11,4,13,15,16,11,16,17,21,10,15,7,4,7,9,6,9,30,13,10,6
M5005_Spy0621,2872,2758,2612,4870,5023,5051,3763,5846,3904,4598,4006,5023,2871,2335,1661,3113,4246,2969,2361,2577,4710,2036,2296,2406
M5005_Spy0622,4884,4045,4125,8217,6744,7422,6279,9356,6843,6981,6374,8158,5440,4274,3003,6031,6955,6005,3902,4268,7951,4875,4996,5200
M5005_Spy0623,1914,2264,2276,3222,3086,4293,2134,2467,2404,3119,2695,3479,1127,1111,960,1297,1893,1300,1611,1638,3386,1746,2422,1979
M5005_Spy0624,849,910,1038,1185,1409,1147,978,2307,1179,1336,1205,1398,947,839,723,935,1327,863,1296,1428,2366,2480,3246,3081
M5005_Spy0625,775,766,985,1943,2317,2030,1071,2473,1230,1534,1511,1897,1198,1240,927,1061,1473,1413,881,1191,2123,904,954,1252
M5005_Spy0626,859,866,1042,2149,2198,2552,1251,2495,1340,1705,1576,1968,1215,1081,789,841,1381,1352,1011,1013,1941,812,876,1004
M5005_Spy0627,7130,6643,7542,11586,15592,15998,9519,16079,14642,11304,10741,15205,14725,16048,14055,8559,11810,12420,11535,13534,30690,4117,6528,8095
M5005_Spy0628,4387,4572,4925,7611,7669,8413,6450,12457,7115,8932,7418,10089,2273,2059,1466,2380,3005,2259,2045,2481,5344,2442,2799,2733
M5005_Spy0629,3,2,1,1,2,2,1,3,2,0,5,3,0,0,1,0,0,1,1,1,6,1,4,3
M5005_Spy0630,807,977,1126,1619,1506,1707,1156,2360,1370,1539,1428,1971,744,831,735,827,1164,891,668,898,1764,1278,1371,1657
M5005_Spy0631,2459,2370,2947,9174,7511,7943,3487,7065,3571,6086,6518,9274,4295,4318,3022,2127,3469,2216,3672,4552,8953,1471,2055,2475
M5005_Spy0632,2168,1923,2007,2727,3230,3575,2310,4069,2644,2633,2411,3126,3448,3279,2290,2200,3120,2577,2108,2334,4017,1720,1889,2130
M5005_Spy0633,2582,2124,2709,3795,3328,3558,2770,4983,3195,3047,2983,3780,4360,4319,2916,3014,4084,3104,2569,3096,5625,2710,2879,3003
M5005_Spy0634,280,320,376,396,345,508,308,569,349,362,358,464,189,212,169,120,221,103,169,207,445,194,371,252
M5005_Spy0635,2382,2465,2311,2973,3158,3769,2662,4467,2917,3394,2961,3627,1148,1094,753,935,1168,990,823,989,1917,684,962,799
M5005_Spy0636,3847,4189,3984,5259,5463,6194,4402,7467,4829,5266,4750,6319,2353,2218,1567,2452,3212,2577,1793,2023,3916,2410,2362,2385
M5005_Spy0637,46,46,51,62,46,47,67,91,42,57,48,63,24,15,8,19,17,18,14,8,35,19,18,18
M5005_Spy0638,254,210,295,585,385,442,366,519,255,338,376,445,268,259,203,166,191,122,234,297,629,137,189,144
M5005_Spy0639,483,486,696,975,1069,737,488,1254,686,583,790,880,228,226,197,243,248,212,170,220,471,156,165,171
M5005_Spy0640,2473,2583,2427,2483,2501,3274,2449,3599,2249,2117,1969,2492,634,628,462,753,1012,609,544,534,1189,569,837,602
M5005_Spy0641,599,623,679,780,811,1019,746,1175,824,822,775,1015,429,438,335,484,765,470,479,474,990,450,510,492
M5005_Spy0642,829,900,1018,1193,1230,1543,1070,1784,1132,1254,1248,1587,488,541,359,372,624,340,584,648,1379,290,495,392
M5005_Spy0643,204,201,262,284,317,365,330,562,366,287,347,349,187,174,153,134,159,109,207,274,596,155,316,175
M5005_Spy0644,1042,1028,1104,2106,1900,2046,1167,2297,1243,1748,1755,2092,1536,1325,920,907,1303,855,750,811,1738,733,1256,895
M5005_Spy0645,453,417,436,841,753,804,635,948,625,729,671,882,551,548,356,511,725,613,431,509,984,494,517,571
M5005_Spy0646,204,176,217,409,316,434,288,450,289,319,298,424,295,281,183,235,354,241,206,236,440,204,215,244
M5005_Spy0647,1648,1754,1965,3368,3218,3604,2246,3975,2324,3054,2781,3511,2589,2289,1662,2848,4020,3057,1595,2230,3760,2858,2871,3178
M5005_Spy0648,169,185,177,279,284,316,229,329,243,270,215,282,102,103,59,101,151,113,84,108,186,77,69,86
M5005_Spy0649,162956,185969,186758,279794,278440,321307,193508,339922,181764,218419,219412,264409,138746,139894,101871,112580,178468,122593,96276,125186,202442,77965,98808,102161
M5005_Spy0650,4429,4361,4569,8116,7989,8898,6274,9777,6520,7598,6799,8571,3063,2751,1975,4584,6000,5252,2608,3179,5863,4644,4412,4980
M5005_Spy0651,2920,2936,2912,5108,5164,5608,3905,6093,4387,4860,4574,5395,1944,1757,1273,3077,3898,3172,1920,2273,4164,2181,2277,2319
M5005_Spy0652,49,53,79,100,90,90,62,125,69,96,64,113,53,47,31,57,62,43,50,68,118,124,95,105
M5005_Spy0653,3457,3451,3651,5724,5365,6715,4389,8016,5201,6721,5578,7581,2938,2601,1812,3040,3969,3195,2951,3146,6497,3672,4399,4173
M5005_Spy0654,595,614,540,1024,1101,1134,673,1323,791,953,851,1052,350,306,202,200,302,212,322,336,727,133,251,136
M5005_Spy0655,99,74,108,124,157,142,124,205,147,115,132,144,263,279,198,292,297,222,188,237,427,355,562,557
M5005_Spy0656,94,64,110,115,131,129,85,158,115,102,125,129,761,836,611,746,944,493,548,721,1091,1519,2343,2563
M5005_Spy0657,167,115,148,234,210,261,162,323,226,165,257,213,1342,1411,956,1623,1561,1172,827,1060,1799,3241,4936,4339
M5005_Spy0658,48,27,39,41,66,57,36,82,51,44,44,44,309,319,198,423,432,270,214,285,398,554,1083,908
M5005_Spy0659,121,130,141,258,218,226,211,343,225,205,178,241,235,224,142,259,315,259,258,255,467,253,383,306
M5005_Spy0660,194,157,174,277,351,305,275,461,287,232,253,331,416,336,245,390,451,347,374,406,762,396,533,529
M5005_Spy0661,381,368,397,843,860,929,597,1004,601,812,736,882,391,357,242,283,362,346,384,385,709,213,307,310
M5005_Spy0662,2971,2662,2923,6817,5946,6871,4244,5610,4531,5838,5528,6728,3813,3447,2523,3219,4469,3670,3320,3665,7052,3790,4866,4109
M5005_Spy0663,1451,1383,1620,2823,2654,3153,2274,3143,2628,2803,2399,3226,4082,4143,2861,3036,4434,3183,3036,3866,6714,2155,2658,3068
M5005_Spy0664,1709,1216,1729,2607,2078,2711,1597,2429,2208,2186,2061,2835,26434,25588,16132,14402,16652,11599,11375,16519,25830,9910,10874,12779
M5005_Spy0665,68,54,98,110,73,119,87,99,97,97,77,120,698,729,584,491,652,420,389,546,882,821,629,730
M5005_Spy0666,4087,4033,4534,6532,7125,8328,5747,9464,6768,7431,6447,8256,7822,7670,5426,5926,7952,8099,5427,6428,11184,7671,9002,9698
M5005_Spy0667,6920,6435,7294,10997,10075,12212,9984,16014,11487,12405,10530,13420,11810,10935,7443,8337,11415,10514,8679,9964,18223,10815,12466,12924
M5005_Spy0668,2523,2546,3126,4381,4591,5533,4110,7087,4741,5089,4688,5994,4155,3877,2876,2970,4460,4105,3651,4027,7045,4266,4885,5259
M5005_Spy0669,1164,1275,1333,2734,2622,2663,1490,2308,2003,2533,2317,3179,1348,1278,931,1503,2046,1448,1259,1485,2918,2199,2337,2400
M5005_Spy0670,2579,2352,2079,4578,4045,5678,3743,2770,3797,4951,4314,5683,3265,3033,2059,4136,5058,3904,2369,2706,5022,3366,4269,3307
M5005_Spy0671,2427,2468,2548,3100,3117,4049,2283,3833,2396,2521,2464,3156,3264,2996,2231,2617,3853,2618,1883,2425,4184,2410,3243,3503
M5005_Spy0672,5259,4910,5247,7441,6033,6587,5238,9567,5101,5554,5322,6477,2789,2150,1512,1162,1747,1024,1602,1749,3925,787,1525,978
M5005_Spy0673,302,340,410,474,499,514,369,675,371,364,316,404,311,263,177,112,172,97,152,145,314,106,204,129
M5005_Spy0674,1571,1693,1507,1960,2358,2442,1713,3270,1861,1925,1693,1999,1702,1545,942,873,993,709,691,784,1499,805,1042,866
M5005_Spy0675,2269,2244,2234,3321,2712,3328,2267,3743,2117,2694,2414,2855,1786,1503,1009,886,1478,758,1081,1151,2352,532,979,692
M5005_Spy0676,25898,26316,27784,35233,32724,42924,25922,42460,27759,32770,29342,39052,17053,15543,10526,15650,22972,19469,12525,13505,25313,14241,14777,14167
M5005_Spy0677,874,859,923,1382,1447,1713,1009,1964,1095,1257,1229,1586,734,662,472,770,991,803,573,601,1204,725,731,709
M5005_Spy0678,215,181,243,285,261,303,351,523,467,404,425,514,611,530,412,501,697,495,386,501,859,1474,2115,1819
M5005_Spy0679,51,45,40,64,87,83,86,151,106,98,107,119,184,182,109,138,215,161,114,138,237,297,500,447
M5005_Spy0680,300,283,260,436,418,502,452,623,570,553,556,642,942,947,704,914,1393,809,699,822,1376,1750,2367,2361
M5005_Spy0681,594,545,529,846,961,959,818,1247,955,1075,971,1214,2012,1782,1362,1969,2919,1467,1156,1543,2636,2578,3880,3080
M5005_Spy0682,7998,8042,8352,9165,9649,11130,6732,10728,6924,7652,5975,6926,10813,10347,7533,13387,16352,11589,8444,10057,16392,18798,20466,21764
M5005_Spy0683,6341,6531,6155,7953,5886,8864,6834,8389,5486,5761,4845,6286,4240,4160,3206,4888,6684,4147,4006,4394,7415,5352,6350,5848
M5005_Spy0684,4312,3487,4530,6148,4960,6638,5463,8762,6205,6853,6177,8084,5014,4316,2919,3941,5058,4729,4169,5296,9141,4887,5288,5755
M5005_Spy0685,4150,4056,3748,5058,4448,5732,4237,7760,5192,5325,4783,5804,2710,2556,1712,2631,3099,3305,1962,2374,5055,3475,4731,3801
M5005_Spy0686,372,372,384,496,435,510,446,628,420,424,354,503,303,264,168,222,323,233,281,317,587,214,346,273
M5005_Spy0687,261,279,241,345,302,414,311,523,325,316,321,329,243,249,162,222,254,209,185,227,459,233,289,263
M5005_Spy0688,960,993,1205,1394,1392,1704,1318,1779,1209,1087,1048,1274,1745,1885,1339,1880,2299,1750,1244,1669,2628,1642,1890,2223
M5005_Spy0689,1439,1193,1424,1690,1594,1855,1618,2342,1659,1405,1533,1707,2342,2299,1546,2385,2339,2114,1338,1944,3006,1746,2127,2334
M5005_Spy0690,1084,917,1073,2393,2212,2111,1438,1974,1446,1782,1830,2153,3294,3335,2266,1644,2215,1585,1675,2239,3567,1336,1752,1977
M5005_Spy0691,5019,5354,4744,8201,9064,10142,6361,11625,7619,8911,9175,10674,4261,3761,2911,3549,5187,5476,2939,3623,6918,4365,4649,5037
M5005_Spy0692,2961,3259,3962,4694,3935,3875,2805,6370,3018,2689,3384,5068,847,973,678,458,732,453,519,938,1963,380,643,560
M5005_Spy0693,2439,2405,2943,2629,2220,3270,2599,4172,2543,2423,2293,3362,2105,1836,1544,2016,2720,2330,2008,1949,3789,3139,2913,3200
M5005_Spy0694,6238,7648,5814,10075,9667,12074,7293,10865,6263,7975,7993,9785,3935,4105,3146,4401,6401,6123,3483,3863,6722,5057,5180,5628
M5005_Spy0695,2071,2702,2281,3909,3709,4824,2683,3851,2168,2936,3111,3736,1406,1514,1157,1751,2789,2563,1169,1300,2529,2571,2326,2309
M5005_Spy0696,335,437,302,482,690,930,438,661,397,503,492,587,281,339,280,310,517,471,320,349,551,400,407,530
M5005_Spy0697,4173,5639,4225,7079,7781,9774,4744,8421,4684,6244,6516,7997,2644,2882,2329,2935,4812,4647,2372,2663,5077,4100,4029,4357
M5005_Spy0698,874,681,762,1376,1073,1109,912,1258,804,928,859,1124,2955,2463,1840,1458,1902,1403,1095,1343,2136,876,1200,1348
M5005_Spy0699,4675,3846,4542,7299,6410,6897,4856,8059,4965,5607,5486,6518,17029,15852,11156,10065,13930,8903,7184,10723,16930,6473,7951,9072
M5005_Spy0700,10612,11091,11509,21848,23876,26206,12714,22027,14001,19363,18490,22625,9789,9763,7253,9712,13490,12369,7690,8016,15865,7774,7592,8306
M5005_Spy0701,10039,10008,9442,10840,10326,12940,8729,15884,10389,11572,8788,11274,5709,5117,3287,4926,6773,4727,4682,5164,10029,3859,5616,4158
M5005_Spy0702,2257,2647,2811,4489,3569,4178,2688,4692,2563,2932,2656,3658,1242,1155,951,979,1494,1163,1140,1484,2900,1490,1565,1542
M5005_Spy0703,1729,1885,1934,3712,3823,4156,2660,3872,2968,3269,3024,3899,2107,1964,1466,1970,2424,2045,1802,2120,4264,2276,2860,2319
M5005_Spy0704,22064,24172,22298,24448,22660,29670,21321,38084,21841,25980,20760,29478,9091,9096,6404,5852,9053,6805,8696,9314,17836,8169,13053,9721
M5005_Spy0705,942,989,1065,1797,2020,1906,1068,2549,1256,1610,1452,1677,657,600,417,415,671,515,529,582,1093,465,559,533
M5005_Spy0706,1341,1409,1489,2340,2769,2620,1565,3274,1776,2013,1856,2274,1139,1083,686,857,1231,1048,976,1045,1923,892,1007,1157
M5005_Spy0707,11921,8567,9121,13023,11011,17450,14220,15932,20368,19260,17304,20284,32504,29163,21062,37815,46091,38919,35328,40870,71575,42766,51886,56634
M5005_Spy0708,6207,4033,4966,6165,5670,8934,7134,7748,10662,9820,8221,10425,15534,14268,10745,16930,23139,19105,17728,19427,32143,28102,28361,33413
M5005_Spy0709,12521,7692,11058,12094,10407,16549,13468,15137,20708,18487,16413,19992,27194,25808,20095,31096,41124,35793,31001,35888,64019,58186,61363,71311
M5005_Spy0710,9367,5570,9363,8868,8002,13118,10541,12518,16315,13800,12225,15700,17407,17499,14059,20283,31761,23122,25209,29106,49937,40938,44431,54037
M5005_Spy0711,828,1058,1184,1148,1246,1337,955,1756,934,825,903,1240,277,274,309,276,431,226,351,357,851,294,323,429
M5005_Spy0712,0,0,1,0,2,0,0,0,0,1,0,2,0,2,0,0,0,1,0,1,1,0,1,0
M5005_Spy0713,4652,4019,4522,3363,3190,4987,6615,9801,7337,5813,3651,5361,3276,2991,2103,5295,6751,5481,3987,4140,7206,6873,7336,5906
M5005_Spy0714,777,666,895,603,525,794,1049,1493,1129,748,544,739,722,686,539,1258,1736,1305,1037,861,1527,1359,1363,1130
M5005_Spy0715,528,505,498,637,619,747,560,1103,581,719,680,801,198,223,138,176,181,183,236,270,534,150,187,154
M5005_Spy0716,11693,11771,10505,9503,9785,10628,11251,16910,12630,9586,8798,10449,4972,4518,3080,5044,6040,5366,3850,4164,7239,5343,6536,5485
M5005_Spy0717,3,2,4,3,2,4,2,5,5,11,1,10,2,4,2,5,4,2,4,7,20,2,4,2
M5005_Spy0718,1,1,0,1,1,1,2,9,6,6,4,1,3,2,2,2,1,2,4,6,13,3,2,1
M5005_Spy0719,8,5,5,5,4,5,13,43,11,20,14,19,5,10,8,1,4,3,25,20,41,7,11,11
M5005_Spy0720,4,2,3,6,2,4,7,21,6,12,6,3,1,4,3,4,5,5,5,8,13,10,11,2
M5005_Spy0721,9,9,12,10,11,19,18,26,21,26,18,22,20,22,9,4,11,7,15,19,39,14,16,9
M5005_Spy0722,3901,3827,3975,5808,4877,5664,3973,8077,4312,4943,4641,5679,2398,2284,1635,1505,2213,1540,2027,2557,5206,1114,2009,1494
M5005_Spy0723,6418,6512,6529,9645,8946,11295,6927,14536,7708,8583,8143,10545,4544,4441,3159,2807,4524,3029,3609,4179,8278,2227,3364,2691
M5005_Spy0724,4134,3875,4567,5977,5975,6899,4930,10970,5848,6276,5688,7404,3855,3550,2449,2327,3261,2555,2503,3018,5647,2191,2889,2598
M5005_Spy0725,1,0,0,1,0,2,0,1,1,0,0,1,1,3,1,0,1,0,1,0,1,0,0,0
M5005_Spy0726,413,486,470,939,929,1023,534,860,553,732,852,1043,234,271,160,126,230,93,336,347,758,63,145,90
M5005_Spy0727,1466,1592,1933,2722,2832,3356,1846,3050,1993,2377,2477,3286,1398,1296,888,848,1299,949,1588,1696,3467,876,1071,1115
M5005_Spy0728,2088,2188,1988,3567,3251,4085,3267,5998,3264,3969,3434,5025,2919,2810,2006,1694,2767,1837,4237,4516,9175,1446,2293,2148
M5005_Spy0729,2540,2598,2843,4375,3750,4426,3706,7235,4063,4809,4061,5669,3490,3600,2454,2022,3147,2281,4397,4827,10397,2282,2916,2725
M5005_Spy0730,3961,4032,4448,6049,6178,7038,5500,11493,6578,7379,6427,8815,6675,6359,4803,3525,5884,4041,8382,9225,18484,4224,5260,5889
M5005_Spy0731,3338,3221,3939,4496,4192,5155,3939,6047,4491,4276,3894,5258,3043,2692,1968,3164,4340,3892,2220,2536,5207,4604,5441,5013
M5005_Spy0732,3579,3745,4163,7111,8053,8839,4310,6579,4451,5917,5633,7369,2820,2761,2155,5320,6262,5544,1702,2057,4167,2940,2558,3064
M5005_Spy0733,715,712,567,1066,1077,1339,926,1387,903,1099,980,1299,487,371,278,451,621,475,471,480,877,205,299,334
M5005_Spy0734,5190,5103,5796,9182,8627,10514,6645,11079,7146,7956,7649,10659,3418,3055,2582,3837,5298,5078,3122,3841,7777,3716,3829,4583
M5005_Spy0735,5059,4503,4818,7124,5952,6970,6186,10045,6525,7014,6263,8153,2405,2180,1663,2075,2697,1958,2646,3081,6436,2344,3669,2324
M5005_Spy0736,2397,2329,2007,2780,2285,3280,2485,3574,2388,2460,2471,3163,3056,3120,2042,2105,2833,2008,2534,3439,6017,1379,2164,2383
M5005_Spy0737,4363,4217,4036,5652,5298,6874,6799,8798,5251,5662,6607,7994,1517,1554,1160,9127,9042,3985,1903,1879,3457,2710,3313,2729
M5005_Spy0738,3651,3525,3463,5243,3989,5212,6198,6883,4180,4697,4543,6567,1259,1218,894,6725,7501,3058,1666,1796,3210,3139,3743,2998
M5005_Spy0739,1643,1904,2192,2772,2207,3023,2194,3318,2018,2225,1916,2570,1330,1372,1018,1082,1872,1092,1373,1454,2818,1411,1768,1621
M5005_Spy0740,1203,1235,1172,1781,1564,1655,1327,1932,1256,1290,1236,1700,305,299,274,194,362,149,482,566,1265,243,503,269
M5005_Spy0742,37453,42118,48744,63220,65278,66972,33255,81546,36234,41957,41597,51014,9128,9084,6800,6675,12131,5489,7634,8674,17546,2614,4419,3613
M5005_Spy0743,533,333,663,824,500,729,598,818,558,420,480,541,660,663,442,668,774,636,621,721,1327,1029,1568,1402
M5005_Spy0744,3042,2303,3894,3855,3414,4060,4017,6158,3849,2245,2869,3260,2122,2125,1544,3124,3531,2304,2160,2609,4552,1735,2326,2335
M5005_Spy0745,54,40,62,54,76,62,86,143,101,35,48,58,62,72,42,76,85,73,55,69,127,78,90,84
M5005_Spy0746,254,208,281,270,288,304,341,620,428,249,263,325,286,271,173,319,319,310,267,307,525,325,417,378
M5005_Spy0747,1124,1128,1251,1409,1460,1423,1264,2146,1290,1098,964,1390,698,650,468,754,1024,706,664,765,1365,782,990,926
M5005_Spy0748,1613,1575,2485,6118,3775,4235,2479,4116,2400,3216,3433,4477,2068,1995,1494,899,1548,807,1120,1716,3708,713,891,851
M5005_Spy0749,1535,1449,1406,1834,2014,2393,1734,3001,2059,2146,2003,2485,1095,1018,760,1142,1511,1481,1214,1333,2582,1750,1972,1820
M5005_Spy0750,1096,1144,1328,1607,1708,1916,1451,2456,1683,1489,1568,2063,1104,1054,777,1088,1623,1308,1152,1373,2693,2000,2159,2214
M5005_Spy0751,916,1041,958,1160,1317,1488,1193,2263,1218,1388,1295,1541,442,463,341,395,548,363,448,522,1197,281,362,364
M5005_Spy0752,3666,3306,3561,4551,3726,4617,4129,7514,4715,4719,4522,5585,1809,1720,1179,1603,2154,1895,1801,2171,4380,1650,1761,1875
M5005_Spy0753,2195,2214,2356,3045,3133,3383,3024,5780,3214,3490,3158,3785,1739,1503,1064,1349,2112,1999,1588,1843,3673,2016,1964,2173
M5005_Spy0754,1245,1213,1351,2818,2997,3119,1583,2870,1708,2314,2208,2626,1272,1234,879,1304,1695,1535,1120,1322,2404,1130,1424,1465
