,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSL0311,250,274,244,243,140,234,117,83,105,87,156,147
BPSL0314,1603,1288,1756,1590,713,1475,585,777,776,1072,635,838
BPSL0315,211,157,294,205,113,198,63,108,108,189,94,123
BPSL0316,126,97,263,149,67,200,38,104,83,220,125,111
BPSL0317,2471,2049,3312,2486,1491,2446,903,1306,1124,1612,1366,1311
BPSL0318,151,112,176,137,62,130,54,62,56,68,48,66
BPSL0319,844,972,795,980,1187,1340,422,494,421,415,754,768
BPSL0320,974,810,903,744,494,829,348,336,395,379,491,380
BPSL0321,2040,1683,1616,1736,1054,1730,830,661,818,665,844,796
BPSL0322,1252,937,896,788,481,955,373,313,443,337,512,482
BPSL0323,128,94,145,96,61,152,54,38,87,68,70,61
BPSL0324,9738,7698,10660,6718,2955,8026,3924,2274,5786,2907,3673,3839
BPSL0325,42,35,39,39,24,39,39,44,27,21,27,19
BPSL0326,215,196,195,151,114,182,80,79,97,95,105,93
BPSL0327,849,763,811,721,309,526,300,542,415,371,362,360
BPSL0328,3915,3809,3358,2739,1365,2005,737,583,835,1003,1920,1779
BPSL0329,2607,2205,2139,1729,852,1332,535,411,558,557,1043,982
BPSL0330,238,236,295,164,85,161,64,74,83,135,129,150
BPSL0331,205,149,237,142,74,127,58,76,59,158,94,91
BPSL0332,836,754,851,1163,407,755,403,561,407,411,415,388
BPSL0333,1598,1363,1816,2093,785,1496,744,1126,872,1054,765,695
BPSL0334,1290,1012,1703,1403,648,1368,492,798,636,839,784,655
BPSL0335,642,571,819,813,463,665,315,404,351,380,390,363
BPSL0336,96,79,93,107,63,80,48,63,42,53,53,41
BPSL0337,80,90,74,215,52,104,62,72,64,47,43,40
BPSL0339,18,20,38,46,26,37,15,24,22,27,13,14
BPSL0340,245,244,205,400,203,398,144,141,174,101,88,92
BPSL0341,772,671,846,747,350,555,279,362,329,514,354,351
BPSL0342,346,299,288,285,142,209,130,135,114,149,140,161
