,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
nuoD,6558,6002,8887,7604,4096,7094,3297,3591,4076,6955,3295,4364
nuoF,5170,4267,6780,6987,3564,5797,2422,3407,3380,5145,2548,3398
nuoH,2222,1726,3139,3756,1330,2508,1058,2131,1482,2469,1037,1466
nuoJ,1470,1066,1718,2170,797,1463,653,1227,876,1444,633,806
nuoK,553,475,663,940,347,488,307,438,345,551,239,297
nuoL,5222,4187,7150,9012,3399,6178,2666,5379,3504,5788,2417,3308
nuoM,3039,2272,4003,4571,1817,3226,1316,2869,1817,2771,1325,1724
nuoN,2769,2083,3932,4667,1708,3409,1225,3418,1770,2926,1192,1686
nusA,7088,6411,11130,6620,3765,7181,3060,3561,4222,7308,4065,4899
nusB,4507,4038,4638,4222,2066,4024,1690,1985,2041,1888,2036,2231
nusG,4859,4359,7661,5025,2627,5305,2189,1731,2918,4579,2328,3291
obgE,3716,3444,3518,3314,1834,2731,1363,1438,1528,1977,1776,2047
odhL,7129,4387,10774,14006,3975,7791,3022,10659,4851,8091,2841,5149
ohr,1217,1472,1158,1793,1070,1620,1127,831,915,479,606,466
omlA,1860,1514,3305,1753,1102,2357,788,1141,1032,2021,1299,1398
ompA,82026,94173,95590,89414,50244,64102,39993,36833,38538,47279,37141,40947
ompR,7401,6191,5984,5003,2879,4485,2606,1917,2345,2637,2529,2769
oppA,574,513,309,391,138,298,198,140,141,197,249,202
oppB,146,135,91,96,35,95,53,49,50,66,71,67
oppC,127,122,76,81,32,61,35,32,38,63,58,57
oppD,269,282,146,158,49,107,60,52,53,93,130,101
oppF,219,179,119,121,40,94,57,52,57,67,116,83
oprB,751,711,1229,3050,1078,2205,613,2003,1226,871,495,478
oprM,26,33,39,23,16,32,23,16,18,12,13,9
orn,1160,947,1657,893,422,755,345,354,447,782,528,665
osmB,39,27,21,52,25,60,50,42,62,13,12,12
otsA (BPs_C1 1213900..1215319),6977,7642,4417,6024,4392,8265,4240,2059,4433,1168,3279,2486
otsA (BPs_C1 2913646..2915056),2384,1774,2408,2117,1184,2448,1140,1189,1230,1343,1007,1076
otsB,1921,1669,1781,1643,843,1726,805,822,977,939,780,855
oxa,427,365,509,550,248,423,275,439,340,348,181,234
oxyR,2689,2732,2517,2518,1202,1794,1172,1269,1184,1314,1225,1374
paaA (BPs_C1 3634747..3636046),1395,1531,1201,1553,683,1135,611,736,514,506,620,571
paaA (BPs_C1 3838611..3839610),6894,6836,7961,12464,4766,5927,2934,6086,2988,4045,3056,3404
paaB,1516,1497,2205,2332,924,1412,527,1374,581,960,784,771
paaC,5716,5038,7069,8614,3611,4942,1928,4472,2119,3183,2573,2468
paaD,1851,1427,2618,2578,1184,2062,552,1609,677,1202,1035,936
paaE,6020,5191,7350,9594,3527,5341,1984,4812,2560,3424,2736,2738
paaF,1052,1004,869,718,1184,1598,343,458,456,551,809,794
paaG,2796,3187,2356,3422,1292,2171,1040,1502,1111,954,1257,1033
paaI,601,636,445,626,224,373,223,239,215,140,223,188
paaJ,3780,3814,4187,4690,1815,3692,1344,2744,1965,1871,1898,1535
paaZ,11849,11751,10402,14105,4819,9328,4909,6961,4975,4398,4364,4012
panB,2469,2042,2678,2704,1309,2620,1123,1385,1449,1564,1109,1230
panC,987,713,1062,887,470,884,380,368,478,566,412,494
panD,602,449,602,576,280,557,250,250,339,343,254,292
parC,2180,1582,2930,3219,1043,2253,944,2477,1498,2171,971,1357
parE,1446,1026,2290,1699,727,1686,726,1302,1035,1897,684,1074
pcaB,2957,2614,2612,1692,878,1786,856,779,1096,886,1398,1103
pcaC,769,781,646,524,288,481,281,229,312,209,411,313
pcaF,451,445,468,488,259,485,246,315,301,229,267,211
pcaG,168,141,91,63,44,86,27,30,38,23,72,63
pcaH,265,225,126,95,74,137,67,44,77,38,88,114
pcaI,1981,1732,1541,827,535,963,509,356,536,316,825,685
pcaJ,1676,1478,1178,875,453,804,576,328,499,239,617,612
pcaK (BPs_C1 3282074..3283430),1357,1739,683,630,575,1372,591,160,659,328,907,355
pcaK (BPs_C1 4121549..4122905),655,588,555,465,221,401,221,164,193,182,316,269
pchA,201,234,181,113,78,163,88,97,131,79,151,91
pchB,2,5,1,1,1,0,1,3,1,3,2,1
pchC,40,40,34,28,18,35,15,21,14,21,21,14
pchD,34,43,47,24,12,24,11,16,18,18,25,17
pchE,65,57,72,61,36,71,22,103,38,45,45,29
pchF,126,122,143,147,98,124,77,261,72,65,94,72
pchG,11,7,12,11,5,4,5,41,3,4,6,5
pchH,14,9,13,11,4,13,4,28,8,13,10,9
pchI,19,28,38,33,19,31,19,75,28,20,20,26
pchR,17,17,8,14,14,15,12,43,9,13,7,15
pckG,18696,19903,16829,12394,11806,15508,8775,6336,7359,5029,9982,8187
pcm,2395,1981,3328,2773,1388,2505,1074,1412,1438,1779,1310,1332
pdhB,3934,2830,5696,4424,2169,3334,1539,2887,2482,4467,1638,2592
pdxA,1251,950,2035,1334,610,1430,490,931,726,1470,721,870
pdxH,5889,5412,5848,4073,2465,3970,2340,2197,2207,2677,2611,2822
pdxJ,1494,1197,1638,1472,703,1307,615,794,791,1012,725,713
pdxY,1755,1609,1355,1259,729,1288,676,566,605,604,682,717
penA,1277,971,1742,4798,1781,4659,2054,4609,4131,901,524,579
pepA,6645,5895,8099,6291,3179,5687,2864,3290,3481,3946,3259,3778
pepN,10241,8796,7802,7243,4660,8903,3990,3995,4971,3453,3620,3788
petA,5547,4871,4589,4744,2475,4194,1995,1446,1914,1507,2389,2372
petB,12588,11371,8932,11458,5601,9902,5251,3065,5124,3153,4822,5045
petC,8704,8218,7773,9588,4378,7211,3655,2681,3668,3180,4022,4086
pgi,4570,3640,5262,5328,2135,4575,2334,3152,2831,2438,1868,2121
pgk,9189,7794,11160,8488,4262,8186,3716,4402,4932,5024,3974,4670
pgl,1271,1146,1066,1542,715,1370,549,841,591,531,638,487
pgm,7437,6718,8039,6309,3475,5758,3249,3813,3494,3463,3264,3492
phaP,31173,30174,29040,15667,8888,20880,9406,3387,13191,8863,10977,12815
phaZ,803,806,550,309,203,306,204,58,113,160,339,293
phbA,39796,36239,43080,25528,18897,33810,16161,12485,16722,14662,17889,17860
phbB (BPs_C1 1780217..1780958),23741,24870,25863,18935,14256,23337,11644,7977,11104,9874,12521,13172
phbB (BPs_C1 6671604..6672351),29993,37235,25787,16339,17505,17608,10089,8737,9454,5862,15299,11952
phbC,30210,26935,30532,16197,10937,19964,11728,7206,11204,9478,12831,12029
pheA,2113,1725,3111,1832,1044,2139,822,1060,1059,1911,1123,1305
pheC,559,469,661,794,296,521,274,388,326,353,271,310
pheS,1902,1404,2619,1884,899,1878,736,786,1024,1429,784,1024
pheT,3448,2362,5173,4106,1597,3826,1404,2144,2280,2951,1464,1959
phhA,492,372,482,400,210,451,183,363,205,228,215,218
phhB,1473,1491,1227,1133,650,905,546,442,525,576,541,560
phnC,5,7,14,5,2,5,3,4,5,6,3,2
phnD,15,12,15,11,6,19,10,3,10,6,6,8
phnE,49,32,53,57,27,37,12,20,32,44,21,27
phnF,174,114,160,174,80,152,67,85,75,91,74,71
phnG,33,15,17,17,8,13,6,11,8,13,6,8
phnH,27,19,20,38,19,29,13,31,20,20,13,14
phnI,46,23,50,45,14,46,13,27,20,35,26,20
phnJ,50,55,56,59,27,28,24,22,24,22,26,29
phnK,44,51,44,65,17,33,19,30,15,22,28,27
phnL,44,32,32,44,12,33,9,24,11,25,18,17
phnM,43,49,51,64,14,37,16,38,21,29,32,22
phnN,88,80,86,85,40,67,28,46,37,54,57,38
phoB,560,497,385,370,166,336,168,93,159,104,239,215
pilC,140,120,156,91,34,90,48,45,49,74,74,65
pilN,661,526,977,703,313,586,218,356,336,857,376,471
pilO,670,577,940,896,352,627,223,370,341,645,386,337
pilQ,1274,1147,1499,1873,624,1108,475,690,632,830,678,646
pilR,505,445,672,707,263,513,181,300,261,470,288,278
pilS,220,231,379,388,212,384,122,220,136,226,184,156
pilT,7909,7183,6735,6275,2737,4895,2496,2284,2705,3515,3062,3028
pilV,306,258,541,417,164,332,98,232,164,349,182,198
pip,1362,1343,1346,3303,908,1735,914,1890,1069,581,600,546
plcN,3558,3890,1668,2794,1507,2436,1425,674,1314,492,1433,1195
plcN2,946,936,835,1821,646,1267,486,688,664,379,426,433
plsC,1770,1422,2204,1767,908,1778,705,1185,982,1465,902,925
pmlI,7533,6408,6589,8481,3662,6478,3160,2647,3761,2649,3713,3539
pmlR,633,626,685,765,369,596,331,320,392,341,299,327
pnp,7444,5177,13527,8486,3727,8301,3232,5533,5552,10895,3401,5598
pntAA,6368,6101,5839,4424,2618,4435,2156,1434,2272,1817,3725,2992
pntAB,1387,1453,1137,945,557,867,426,273,485,269,631,567
pntB,8061,8059,6756,6399,3679,5728,3038,1763,2772,1950,4094,3852
pobA,617,575,479,335,220,367,173,169,191,158,277,227
polA,7218,6698,8625,6959,3484,6224,2771,2969,3503,4159,3612,3765
potF (BPs_C1 1804460..1805555),8126,6997,7800,12643,6674,11869,5067,4354,6132,4917,4159,4962
potF (BPs_C1 4711076..4712198),111,193,85,40,32,35,33,21,40,28,63,39
potG (BPs_C1 1805669..1806806),1098,829,993,1428,645,1369,546,585,762,784,452,577
potG (BPs_C1 4709732..4710887),37,67,18,15,10,19,10,14,9,15,19,8
potH (BPs_C1 1806802..1807732),543,487,626,731,357,767,352,345,439,530,230,365
potH (BPs_C1 4708755..4709736),15,32,13,10,4,7,12,10,3,6,11,10
potI (BPs_C1 1807728..1808547),593,493,687,678,277,731,281,348,435,482,227,334
potI (BPs_C1 4707829..4708759),35,40,23,12,5,16,13,8,10,8,18,3
poxB,3040,3419,1797,1270,1014,1912,1168,483,1111,329,1343,913
ppa,3016,2522,3982,4649,1962,3885,1891,3229,2570,2187,1331,1753
ppiA,5951,5006,6674,7736,3030,5514,2842,3615,3604,3374,2168,2838
ppiB,6136,5630,7234,6284,3079,4600,2629,3075,3112,2404,2025,2441
ppk,3620,3146,3069,2845,1605,2716,1506,1479,1495,1617,1565,1660
ppnK,1669,1474,1661,1409,685,1267,554,734,574,831,736,794
ppsA,29904,28598,30866,27336,15807,29175,15589,10060,19322,14293,14866,16463
prfA,1002,751,1731,908,468,768,368,512,438,1338,491,687
prfB,4140,3134,5843,2953,1412,2573,1391,1685,1725,3620,1600,2206
priA,1242,1085,1802,1266,611,1326,552,712,704,995,644,708
prmA,1804,1477,2089,1802,801,1684,647,1171,987,1292,862,1030
proA,1946,1625,2852,2292,1083,1919,931,1566,1183,1942,992,1141
proB,2728,2623,2842,2210,1349,1999,1027,1096,962,1414,1436,1408
proS,6844,6225,7511,8133,3366,6120,3206,3407,3519,3656,3066,3338
proY,1103,935,1485,1141,535,1064,457,498,547,707,566,630
prpB,7852,7447,5707,5170,2271,7218,1096,1128,3060,1321,4279,2721
prpC,9333,8289,6038,6206,2472,8234,1408,1471,3425,1539,4455,3257
prpD,2741,1980,3412,3208,1254,2536,969,1960,1445,2099,1122,1437
prpR,1119,965,1074,947,431,1036,433,291,516,418,608,525
prs,3264,2432,4834,3449,1672,3439,1564,1433,1905,3459,1555,2115
pstA,294,266,205,178,91,204,78,51,99,72,122,88
pstB,901,916,562,648,279,558,234,141,294,157,392,300
pstC,392,309,229,189,100,212,101,57,132,94,153,128
pstS,6357,8038,2836,3724,1878,3603,1580,613,1958,480,2928,1819
pth,311,230,391,381,128,316,134,177,186,279,133,159
ptsH,271,234,318,301,173,256,112,186,145,239,143,171
purA,8073,6513,8489,7395,4206,7982,3015,3604,4426,4374,3268,4042
purB,3735,3015,4921,3115,1358,2854,1380,1818,1774,2815,1372,1909
purD,3970,3227,6363,4041,1660,3619,1512,2246,2313,3706,1815,2353
purE,419,356,488,397,241,503,175,274,278,279,213,226
purF,4980,4099,6654,5873,2402,5400,2205,3411,3196,4178,2354,2925
purH,4450,3636,5615,3579,1590,3481,1538,1979,2220,3746,1856,2428
purK,974,667,1194,960,417,948,364,562,564,700,441,491
purL,7497,5609,11941,8761,3723,8016,2982,4772,4752,7515,3742,4804
purM,4785,4343,6620,4021,2135,3875,1790,2113,2206,3535,2467,2697
purN,1189,1097,1695,986,554,1172,444,556,575,914,596,624
purT,1521,1089,2351,2739,1073,2958,907,1668,1553,1355,715,891
purU,991,769,1413,1397,570,1184,505,883,717,1036,536,623
putA,16318,14815,16739,22198,13436,22521,11066,8016,11988,7305,9016,7510
pyk,918,943,756,751,417,603,348,310,352,269,575,391
pykA,6113,5364,8110,6849,3420,5669,2478,3353,3171,3656,3063,3398
pyrB (BPs_C1 3217613..3218645),2942,2437,3679,2522,1436,2559,1191,1616,1286,2278,1225,1592
pyrB (BPs_C1 5699236..5700532),1204,1041,1139,1532,724,1451,583,417,760,450,552,553
pyrC,1801,1437,2452,1828,857,1725,693,809,929,1134,797,917
pyrD,999,794,1453,827,390,793,342,293,395,816,462,519
pyrE,2116,1707,3245,1917,826,1681,888,950,1078,2420,969,1233
pyrF,1025,794,1329,1168,485,1024,455,652,660,688,424,531
pyrG,12770,10990,16303,10918,6375,11529,5491,5106,7051,9993,5421,7076
pyrH,3350,2606,4590,3632,1801,3799,1696,1413,2338,2835,1496,2012
pyrR,1854,1711,2042,1533,1038,1731,641,918,919,1068,1033,900
pyrX,4140,3474,5458,4212,2098,4084,1730,2581,2239,3570,2100,2339
qacE,182,125,240,189,102,160,64,104,74,125,69,99
qor,2281,2288,1891,3780,1129,2179,1155,1665,1320,697,1014,983
queA,678,565,975,611,309,627,242,343,345,564,352,335
queF,1937,1629,2368,1717,864,1631,825,852,835,1054,880,923
radA,1585,1201,2205,1573,831,1665,700,825,777,1340,905,917
radC,60,51,55,61,30,47,21,25,29,28,37,26
rbfA,245,250,373,289,142,209,97,192,150,261,126,168
rbsC,24,27,26,36,14,19,19,16,13,9,19,17
recA,7474,6360,9380,5408,4239,7520,3042,4116,3571,4945,3965,4803
recG,1640,1308,1921,1549,747,1415,639,887,852,1140,853,775
recO,636,614,850,431,322,733,239,286,361,572,411,383
recQ,3076,2563,3847,3232,1242,2641,1269,1746,1629,2160,1300,1491
recR,2270,1978,3385,2031,1431,2540,960,1276,1334,2039,1316,1542
recX,678,639,848,422,394,736,274,299,319,434,431,432
relA,3536,2930,5249,3859,1820,3425,1408,1876,1808,2863,1684,1920
rep,1316,1023,1936,2097,923,2197,882,1011,1287,1222,648,864
rfbF,3207,3144,2696,2209,1472,2913,1202,349,1255,819,1801,1702
rfbG,4087,3956,3243,2503,1538,3411,1351,388,1591,1078,2157,1934
rfbH,6023,5758,4387,3845,2247,4630,2006,567,2356,1640,2806,2670
rhlE1,1265,1163,1645,1176,625,1318,568,652,834,1158,640,664
rhlE2,2186,1636,3367,1991,994,2508,790,787,1329,1967,1036,1311
rho,16510,15514,15303,15445,9204,16643,8129,5662,10140,8631,6341,7219
ribA (BPs_C1 5250535..5251189),1878,1691,1805,1968,828,1582,709,576,891,690,840,778
ribA (BPs_C1 5580533..5581178),205,242,169,264,109,148,68,55,84,80,90,87
ribB (BPs_C1 3148700..3149837),4270,3565,4510,3700,1976,3592,1550,1852,2072,2312,1696,1990
ribB (BPs_C1 772597..773320),634,588,894,617,373,803,258,240,422,494,376,348
ribC,1318,920,2087,1050,536,1181,432,628,689,1370,597,766
ribD,3462,2828,4907,3336,1898,3527,1294,1895,1844,2803,1818,1943
ribE,2370,2080,3256,2726,1347,2316,966,1539,1275,1695,1215,1359
ribH,6308,5508,6244,6076,2748,4904,2378,2516,2877,2663,2508,2740
rimM,3721,2969,6547,3472,2041,4134,1610,1692,2482,4690,1892,2594
rimO,4868,4112,5381,3855,2193,4592,1882,1692,2459,2252,2190,2336
rluC,1896,1600,2108,1897,944,1792,662,854,842,1084,913,935
rmlA,3340,2983,3253,3572,1729,3389,1479,1346,2004,1689,1421,1727
rmlB,5118,4367,5094,5043,2496,4964,2196,1830,2955,2389,2259,2479
rmlC,1399,1287,1323,1423,740,1346,736,605,793,672,568,713
rmlD,1935,1672,1418,1745,932,1848,834,599,997,765,754,854
rnc,4508,4716,4995,3668,2701,4602,1832,1623,2114,2515,2497,2425
rnhA,319,269,288,327,157,246,150,132,157,202,125,168
rnhB,578,401,882,723,283,673,227,419,398,544,307,318
rnpA,880,685,1580,920,312,928,357,397,568,1202,392,528
rodA,283,203,409,457,166,395,156,298,245,346,133,170
rph,2023,1625,2223,1837,852,1547,692,905,836,1107,937,928
rpiA,1278,1069,1536,1133,556,1018,470,649,635,1028,499,625
rplA,7076,5556,14625,8636,3604,8671,2991,5866,5418,11932,3319,5440
rplB,8599,5155,17376,11113,3597,9989,3058,6803,7431,14679,3075,6250
rplC,8135,5415,17278,9273,3842,9920,3194,3951,6920,14075,3095,6358
rplD,5634,3717,11918,6183,2707,7214,2409,3429,5282,9934,2238,4453
rplE,4781,3216,10053,5286,2160,6158,2018,2778,4234,8173,2063,3894
rplF,4344,2884,9068,5661,2018,4984,1558,3533,3719,7630,1715,3460
rplI,2631,2202,5539,3274,1414,3491,1453,2097,2424,4878,1311,2175
rplJ,5325,3970,11018,7521,2399,5736,2347,5993,3661,10862,2287,4132
rplK,3163,2549,7710,4167,2100,4491,1489,2761,2348,6571,1756,3005
rplL,3540,2772,8194,6277,1935,4335,1859,5649,2688,7768,1933,2844
rplM,5452,4185,9682,6808,3565,6442,2756,3951,4149,8180,2459,4235
rplN,2512,1749,5715,2609,1366,3186,1077,1150,2078,4310,1146,2259
rplO,2018,1372,4645,3234,840,2394,859,2453,1632,3867,942,1693
rplP,3705,2214,7104,5555,1616,4089,1431,4107,2982,5819,1379,2334
rplQ,3280,2235,6202,3893,1655,3629,1423,2430,2111,4788,1426,2189
rplR,1964,1229,4492,2600,1007,2501,707,1945,1605,3527,861,1632
rplS,3337,2406,7356,4402,1702,4441,1726,3891,3345,6296,1738,2636
rplT,5206,4402,8927,6571,3003,5836,2288,4085,3514,6374,2228,3282
rplU,2742,2002,4602,2713,1509,3272,1313,1445,1914,3426,1157,2063
rplV,3067,1931,6297,4557,1493,3520,1184,3011,2883,5082,1129,2227
rplW,2661,1692,5735,3048,1206,3497,1127,1782,2592,4970,1008,2130
rplX,2074,1412,4366,2118,1123,2665,841,1082,1858,3554,929,1807
rpmA,2944,2114,4246,3206,1433,2993,1255,1549,1987,3369,1080,1938
rpmB,1033,910,1774,1177,766,1098,615,550,781,1708,478,833
rpmC,989,553,1635,1558,419,884,374,1012,790,1436,283,550
rpmD,229,101,409,293,93,250,82,197,153,301,93,162
rpmE2,1446,1068,2610,1618,889,1727,889,649,1293,2245,528,1136
rpmF,348,293,530,339,155,393,180,153,233,325,175,203
rpmG,333,313,813,293,268,591,224,233,317,690,207,369
rpmH,0,0,0,0,0,0,0,0,0,0,0,0
rpmI,984,771,1141,1287,406,820,402,437,641,854,302,476
rpmJ,0,0,0,0,0,0,0,0,0,0,0,0
rpoA,9300,7056,15792,13279,4603,9788,4117,8898,5996,11199,3861,5943
rpoB,18764,13022,28592,25912,6479,17141,6512,16304,11654,16867,6496,10266
rpoC,30134,22379,46175,51279,11036,25700,9034,32826,14644,21759,10924,14706
rpoE,2822,2767,3320,3481,2492,4617,2113,1568,2588,1789,1421,1690
rpoH,11588,13290,9853,12997,7982,10315,5441,7080,5857,4431,5703,5320
rpoN (BPs_C1 585022..586531),8075,7417,5773,4789,3822,6340,3256,2185,3028,3129,3340,3382
rpoN (BPs_C1 7065843..7067319),37,29,34,58,27,43,14,24,23,12,25,8
rpoS,10529,9997,9204,10262,5535,9101,4315,3020,4663,3977,4740,4921
rpoZ,515,540,649,402,265,513,249,226,288,417,294,311
rpsA,37700,32688,48809,31821,15747,31635,14059,18321,21527,24660,14667,19378
rpsB,5191,4184,11886,7218,3168,5676,2707,5144,4131,9732,2523,4243
rpsC,7300,4386,14800,10728,3038,8255,2860,7608,6055,11708,2776,5152
rpsD,7585,6146,11637,9839,3890,7650,3058,5905,4349,8011,3126,4567
rpsE,3987,2556,8027,5977,1868,4619,1532,3568,3420,6527,1590,3008
rpsF,2170,1710,4462,2565,1325,2724,1179,1340,1813,4040,958,1818
rpsG,3498,2563,6850,3904,1993,4598,1748,2501,2888,5429,1517,2932
rpsH,2453,1464,4546,2767,1044,2872,894,1536,2017,3798,892,1874
rpsI,3333,2482,6686,4303,2145,4586,1613,3168,2698,5505,1811,2758
rpsJ,2412,1609,4238,2967,1023,2407,962,1015,1574,2895,885,1562
rpsK,4648,3629,6712,5670,2319,4424,1774,3158,2385,4862,1802,2574
rpsL,3604,2452,5128,3612,1502,3647,1434,1795,2285,3731,1286,2103
rpsM,3803,3119,5879,5222,1932,3447,1643,2573,2325,4187,1524,2184
rpsN,2105,1375,3862,2477,1114,2616,882,1341,1943,3421,804,1721
rpsO,1554,1357,3232,1998,955,1680,815,863,1280,2461,793,1280
rpsP,2005,1737,3155,1974,975,2032,997,890,1251,2036,900,1334
rpsQ,2041,1299,4121,3397,975,2287,882,2786,1774,3646,799,1480
rpsR,1046,909,2841,1233,735,1629,571,841,997,2512,606,1070
rpsS,1472,962,2696,2114,667,1594,567,1270,1207,2274,566,1037
rpsT,1909,1593,3798,2226,1404,2526,1101,1127,1631,2949,874,1509
rpsU (BPs_C1 3936904..3937117),618,480,1220,759,351,731,352,337,456,870,319,463
rpsU (BPs_C1 5942084..5942297),90,72,94,72,39,107,30,49,75,99,41,41
rpsU (BPs_C1 6486492..6486705),907,855,1449,970,683,1022,406,333,539,733,560,673
rspA,806,608,499,573,310,574,291,221,268,166,273,255
rspB,485,355,342,378,188,424,220,166,192,133,209,188
rubA (BPs_C1 1232049..1232232),45,45,63,30,17,35,15,24,23,67,20,24
rubA (BPs_C1 3221881..3222052),274,223,174,221,94,174,142,48,131,99,88,89
rumA,1460,1126,1889,1212,707,1578,572,536,935,1030,601,719
ruvA,1189,1049,1173,621,291,603,324,279,367,326,473,462
ruvB,3447,3141,3649,2685,1444,2506,1131,1305,1270,1671,1497,1631
ruvC,1023,918,962,571,348,610,313,295,331,354,481,402
sbp (BPs_C1 2193032..2194016),174,144,177,153,83,131,82,103,83,110,67,82
sbp (BPs_C1 374547..375561),1234,1010,1378,1449,513,853,577,1059,579,749,530,620
scoA,10555,10694,10427,7812,4551,8480,5703,3059,6035,2967,4706,4191
scoB,9484,10287,9247,7090,3984,7887,5304,2766,6102,2413,4395,3760
scrK,88,57,84,81,11,116,15,21,15,31,31,28
sctC,103,88,63,73,53,71,42,24,33,37,44,39
sctD,214,185,167,156,96,160,74,81,98,75,92,85
sctJ,28,32,24,21,18,22,17,11,10,9,16,14
sctL,9,3,8,6,3,12,6,5,3,4,8,5
sctN,10,18,15,3,8,17,9,3,10,6,9,13
sctQ,177,180,126,121,78,116,57,52,54,59,67,55
sctR,217,235,175,99,79,119,72,47,95,85,86,64
sctS,18,12,16,8,10,8,8,4,7,7,10,9
sctT,12,16,16,9,8,4,4,4,6,5,6,4
sctU,48,52,52,30,24,29,26,9,15,28,30,29
sctV,71,59,78,49,27,49,20,24,19,33,29,34
sdaA,2312,1732,2380,2205,1127,2221,824,1034,1242,1238,1028,1187
sdaB,160,195,146,193,76,176,53,40,110,48,102,72
sdhA,16230,13486,19644,16080,9050,16308,6184,9001,9496,12487,7142,9002
sdhB (BPs_C1 6430594..6431296),7222,5924,6973,7745,3429,6215,2676,4108,3864,4833,2634,3407
sdhB (BPs_C1 7114863..7115571),39,44,37,38,15,38,8,17,20,16,22,17
secA,11870,10302,17710,11223,5560,10023,4506,5397,6328,9723,5697,7020
secB,3874,3249,5189,3399,1421,2749,1424,1445,1883,2998,1373,2047
secD,3119,2217,5046,3378,1315,2952,1162,2074,1825,3027,1316,1991
secE,3647,3292,5849,3434,1932,4183,1735,1070,2135,3481,1751,2643
secF,1256,931,2118,1625,520,1219,485,1170,775,1349,538,827
secG,334,183,551,407,162,443,142,217,207,511,146,253
secY,9753,6609,19642,15084,4271,11521,4006,8726,8191,18049,4321,7437
selA,908,745,1335,978,538,1088,401,699,609,800,582,514
selB,882,818,1212,1091,539,1039,413,656,616,767,520,506
selD,2138,1926,2706,1904,898,1674,702,1201,1166,1481,1244,1112
serA,550,421,595,431,235,431,176,227,217,414,232,318
serC,4179,3547,5557,3760,1909,3042,1495,1503,1848,3006,1789,2205
serS,5014,4158,6080,4479,2148,3736,1997,2378,2450,3412,2185,2661
shc,5224,4594,6064,15207,3938,10003,3504,6814,5901,3271,2709,2757
