gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
BCAM0869,78,13,48,47,49,13
BCAL0023,6,1,0,3,5,0
"BCAM0181,BCAM0182",8,1,2,1,2,1
"BCAM0235,BCAM0236",20,3,5,4,9,4
BCAM2075,7,0,1,1,4,0
BCAL1624,22,2,9,10,12,2
BCAS0660C,6,1,1,8,2,0
BCAM2715,18,0,4,8,1,1
BCAL0777,5,0,1,1,3,0
BCAL2429,90,12,48,74,61,7
BCAM0902,3,1,1,4,4,0
BCAL3276,102,5,24,38,43,5
BCAM2109,18,1,4,7,13,0
BCAS0336,7,1,4,1,7,1
BCAL1305,257,31,149,174,178,25
BCAM0786,8,1,6,8,4,1
BCAL0423a,5,0,2,5,1,0
BCAL3158,16,5,2,9,14,2
BCAS0227,32,1,4,16,5,1
BCAM2823,4,0,0,1,1,0
"BCAL1122,BCAL1123",15,5,14,21,20,2
BCAL3076,58,7,27,46,40,3
BCAM2796,4,0,0,1,1,0
BCAS0768,4,0,0,1,1,0
BCAS0213,4,0,0,1,1,0
BCAM2376,3,0,1,1,2,0
"BCAM0570,BCAM0571,BCAM0572",1,0,2,0,4,0
BCAM0737,3,0,1,1,2,0
pBCA080,14,1,1,10,4,0
BCAM0502,36,4,31,42,12,5
BCAL1497,65,2,4,22,14,2
BCAM1933,3,0,1,1,2,0
BCAS0012,10,0,2,3,5,0
BCAM0519,17,2,7,2,14,2
BCAL2650,67,6,31,30,54,4
BCAM2038,18,0,0,6,3,0
BCAL1273,72,7,23,43,37,4
BCAM1883,107,9,52,62,45,11
BCAM1451,38,2,5,14,4,3
BCAM0388,4,0,0,1,1,0
BCAM0993,38,3,9,10,18,3
BCAM1413a,131,7,17,53,35,6
BCAL0159,23,3,5,10,11,2
BCAM2018,5,0,1,2,2,0
BCAL3511,12,0,4,6,6,0
BCAL2714,193,16,58,90,89,13
BCAL1767,2,1,2,6,3,0
BCAM1753A,8,0,0,3,1,0
BCAL3047,9,2,2,7,4,1
BCAL2123,24,1,9,10,14,1
BCAM1664,6,0,2,3,3,0
"BCAL3250,BCAL3252",324,27,115,126,118,18
BCAM2509,5,1,2,2,2,1
pBCA092,41,2,22,21,11,5
BCAS0578,3,0,3,3,3,0
BCAM0712,1,0,1,1,1,0
BCAL1936,121,15,37,62,57,11
BCAM1320,1,0,1,1,1,0
BCAM0749,22,0,3,5,4,1
BCAM2276,26,0,7,9,8,1
BCAL1049,7,0,5,6,5,0
BCAM0921,2,0,2,2,2,0
BCAM1840,1,0,1,1,1,0
BCAM0941,346,62,174,220,257,40
BCAM2639,1,0,1,1,1,0
"BCAL1187,BCAL1188",190,26,82,92,128,20
"BCAM1629,BCAM1630",4,0,0,1,1,0
BCAL1800,6,0,2,3,3,0
BCAL2616,142,9,33,62,57,7
BCAL1798,66,2,13,19,11,5
BCAL0854,3,0,1,2,1,0
BCAL0662,5,0,4,0,2,1
BCAL1779,2,0,0,1,0,0
BCAS0381,2,0,0,1,0,0
BCAM0492,2,0,0,1,0,0
BCAL1735,4,0,2,4,1,0
BCAM0128,2,0,0,1,0,0
BCAL3374,3,1,2,3,0,1
BCAL3013,56,5,9,26,20,3
BCAL2651,26,3,8,10,10,3
BCAM2069,54,4,16,22,22,4
BCAL2930,19,4,1,16,8,1
BCAM0581,36,1,5,7,10,2
BCAL2415,60,3,6,11,16,4
BCAM0161,14,1,7,10,12,0
BCAL1554,18,2,1,1,6,2
"BCAM1083,BCAM1084,BCAM1085,BCAM1086",38,2,9,8,9,1
BCAL0638,4,0,0,2,0,0
BCAM1514,88,3,18,31,40,2
BCAL1417,6,0,0,3,0,0
BCAM1484,11,0,4,3,2,1
BCAM2513,5,0,1,3,1,0
BCAS0339,2,0,0,1,0,0
"BCAM2565,BCAM2566",33,3,17,25,21,1
BCAM0152,39,5,7,12,22,3
BCAM1477,68,12,17,36,54,4
BCAL0873,112,15,23,50,53,9
BCAM2251A,108,24,42,106,74,8
BCAM1338,1,0,3,4,1,0
BCAS0191,17,1,14,10,11,2
BCAL2133,6,1,0,7,1,0
BCAM1784,2,0,0,1,0,0
BCAL3267,62,5,5,17,25,3
BCAM0033,7,1,2,3,8,0
BCAL2622,272,28,113,155,126,24
BCAL2672,31,2,14,23,16,1
BCAL2021,90,8,31,26,50,8
"BCAM0622,BCAM0623",103,0,15,29,25,3
BCAM0506,26,1,9,12,6,2
BCAM1547,10,1,3,6,8,0
BCAL1704,52,13,42,69,49,5
BCAL1995,1406,151,493,731,702,109
BCAL2356,48,3,11,17,30,1
BCAM1371,7,0,1,5,0,0
BCAS0055,2,0,0,1,0,0
BCAL1627,31,5,8,23,9,3
BCAM0496,2,0,0,1,0,0
BCAL3437,888,150,364,723,523,69
BCAL2158,135,8,25,37,39,10
BCAL0553,117,21,57,94,89,9
BCAM1082,31,5,6,33,15,0
"BCAM1311,BCAM1312,BCAM1313,BCAM1314",28,1,7,14,9,2
BCAM0371,11,1,8,4,5,2
BCAL1996,671,93,279,390,382,63
BCAL0482,167,23,50,76,103,13
BCAL1275,41,7,15,23,20,5
BCAM0260,39,6,13,38,16,2
BCAS0702,5,1,2,4,6,0
BCAL0855,26,1,8,18,11,0
BCAM1331,15,1,3,7,3,1
BCAM2827,89,14,51,64,62,9
BCAL2939,19,0,2,6,6,0
BCAL0360,51,3,16,20,29,2
BCAM1795,12,0,3,3,7,0
BCAL0623,2,0,0,1,0,0
"BCAS0580,BCAS0581",238,33,93,145,109,24
BCAM1437,2,0,0,1,0,0
"BCAM1845,BCAM1846,BCAM1847,BCAM1848",14,1,7,8,4,2
BCAL1161,2,1,1,1,6,0
BCAL1169,19,1,15,15,8,2
BCAL0586,22,4,7,18,9,2
BCAL0330,434,33,162,215,174,33
BCAL2637,19,0,5,7,3,1
BCAL2187,10,1,2,3,3,1
BCAM1750,2,0,0,1,0,0
"pBCA093,pBCA094",71,3,16,30,20,3
"BCAM1062,BCAM1063,BCAM1064,BCAM1065",83,3,16,47,10,5
BCAM1012,1061,116,707,533,755,122
BCAL3439,90,3,17,30,26,4
BCAM2127,87,21,31,65,50,11
BCAL0366,51,4,20,19,21,5
BCAL1333,95,6,27,51,36,4
BCAL0687,21,1,9,9,6,2
"BCAL1580,BCAL1581",4,0,0,2,0,0
"BCAL1295,BCAL1296",414,46,126,206,180,33
BCAM2467,51,10,7,22,27,5
BCAM1119,15,0,4,7,6,0
BCAM1090,2,0,0,1,0,0
BCAM0684,63,1,13,6,15,5
BCAM0929,6,0,7,7,6,0
BCAL2982,62,7,28,35,29,6
BCAM1856,38,1,20,13,19,3
BCAS0096,9,1,1,3,1,1
BCAL2727,15,0,5,3,11,0
"BCAS0433,BCAS0434",23,0,11,7,4,0
"BCAL0551,BCAL0552",16,0,1,4,4,0
BCAL1928,6,1,0,0,1,1
BCAM1540,46,3,23,21,28,3
BCAM0348b,39,11,17,37,25,5
BCAL0943,2,0,0,1,0,0
BCAL0353,67,2,11,15,22,3
BCAL0314,78,8,38,48,48,5
BCAL3012,106,14,41,43,59,11
BCAL1859,25,2,16,16,15,2
pBCA062,96,15,29,49,55,8
"BCAL3466,BCAL3467,BCAL3468,BCAL3469,BCAL3470",1187,107,326,601,499,70
BCAL0068,106,4,22,36,25,6
"BCAM0327,BCAM0328",32,6,18,22,27,3
BCAL2395,126,13,53,63,67,10
BCAS0401,3,1,0,3,3,0
BCAL0708,2,0,0,1,0,0
BCAM2080,120,7,24,41,49,5
BCAM1719,6,0,5,7,3,0
BCAM2568,21,1,5,6,9,1
BCAL1662,37,6,16,14,9,7
BCAM0798,6,2,1,3,4,1
BCAL1377,6,2,1,3,4,1
BCAM2391,5,1,1,2,0,1
BCAL3482,10,1,4,8,7,0
BCAL2149,51,5,22,23,29,4
BCAL0776,28,0,7,3,7,2
BCAM1745,53,4,6,31,8,2
"BCAL3244,BCAL3245",236,34,86,131,118,23
BCAL1905,284,45,115,193,142,26
"BCAM1054,BCAM1055,BCAM1056,BCAM1057",20,2,5,6,3,3
BCAL2668,41,5,16,20,25,3
BCAL1209,9,0,3,1,1,1
BCAL0458,7,1,4,3,4,1
BCAS0660A,2,0,0,1,0,0
BCAL1220,1,1,0,2,3,0
BCAL2993,133,17,50,73,91,7
BCAL2604,66,6,22,22,28,6
BCAM0028,58,3,14,22,19,3
BCAS0402,18,2,6,5,8,2
BCAS0375,24,4,7,12,8,3
BCAS0262,6,2,2,1,7,1
BCAM2835,25,0,4,7,10,0
BCAM0666a,6,3,6,4,14,1
BCAL0148,30,3,11,15,15,2
BCAL0948,8,1,2,6,5,0
BCAL2396,15,2,9,2,7,3
"BCAM0862,BCAM0863,BCAM0864",13,0,6,7,3,1
BCAS0031,12,2,2,7,4,1
"BCAS0589,BCAS0590",6,2,5,4,4,1
BCAL1498,416,41,164,160,223,34
BCAM0005,165,23,73,99,92,14
BCAL1550,34,3,5,21,15,0
"BCAL1603,BCAL1604",45,3,10,19,16,2
BCAL3083,6,0,4,2,0,1
BCAL3187,73,1,17,34,21,1
BCAM2252,167,12,56,84,60,10
BCAM1696,13,3,2,2,1,3
BCAL0423,140,12,49,71,63,8
BCAM0744,9,0,5,6,5,0
BCAL2875,1,0,1,2,0,0
BCAL2729,38,4,9,18,23,1
BCAL0508,14,2,4,14,7,0
BCAM2840,190,8,47,78,40,11
BCAL0281,75,4,21,21,40,3
"BCAM0261,BCAM0262,BCAM0263,BCAM0264",68,13,37,55,37,8
BCAM2807,2,0,3,2,3,0
"BCAL0395,BCAL0396",64,10,21,23,29,7
BCAL0941,29,2,1,9,8,1
BCAS0743,14,2,7,14,11,0
BCAS0652,168,26,70,103,83,16
pBCA018,11,0,0,2,3,0
BCAM1581,1876,118,493,618,770,102
BCAL3243,148,20,66,73,102,11
"BCAL1561,BCAL1562",31,0,13,11,15,1
BCAM1404,5,0,2,3,2,0
pBCA065,1,0,1,2,0,0
BCAL3428,3105,411,1243,1630,1738,243
BCAM2021,64,12,41,43,69,4
BCAL0688,82,2,16,19,23,4
BCAS0321a,15,3,12,13,17,1
BCAL0272,58,6,19,18,22,6
BCAL0631,16,2,4,5,10,1
BCAL2455,69,4,23,20,28,5
BCAL2837,18,3,4,6,8,2
BCAM1472,146,11,52,72,56,9
BCAL3042,268,8,44,66,60,14
BCAS0010,18,3,8,5,8,3
BCAL2649,121,15,56,69,73,8
BCAM0975,8,0,5,2,2,1
"BCAL0817,BCAL0818",43,2,10,13,25,2
BCAM0928,5,1,1,4,4,0
BCAL1758,8,0,5,2,2,1
BCAL2715,57,6,35,43,30,4
BCAM0576,16,1,2,6,2,1
BCAS0752,3,0,2,1,3,0
BCAM0491,6,0,4,2,6,0
BCAL2644,82,3,15,23,34,2
BCAS0122,2,1,2,4,4,0
BCAM0731,19,0,4,8,6,0
BCAM1517,4,1,0,0,6,0
BCAL3438,57,8,19,21,33,5
BCAS0671,102,18,47,81,63,7
"BCAM1858,BCAM1859",79,4,21,62,24,4
BCAL1889,33,2,3,9,12,1
BCAM0887,22,0,4,6,3,1
BCAM2816,10,1,3,9,4,0
BCAL2958,10051,1402,4418,5828,5031,896
BCAL3278,66,1,12,21,16,2
BCAL2111,121,10,31,40,54,7
BCAL0181,986,148,473,683,557,76
BCAS0099,19,2,2,2,5,2
BCAM0346,17,3,12,13,11,2
"BCAL1035,BCAL1036",124,7,41,43,52,8
BCAM1951,7,0,0,0,3,0
BCAM0794,4,1,0,1,5,0
BCAL3192,1591,215,747,875,844,144
BCAL1277,114,16,47,57,68,9
BCAL0011,22,5,10,18,8,3
BCAL1760,1,0,2,0,3,0
"BCAS0364,BCAS0365,BCAS0366",4,1,2,2,4,0
BCAL0436,9,0,0,2,2,0
BCAM1620,6,1,0,4,3,0
BCAL1921,4,0,1,0,3,0
"BCAM0939,BCAM0940A",13,1,6,9,4,1
BCAM1868,86,12,33,52,44,6
BCAL1167,24,8,16,19,22,4
BCAM1359,65,8,24,27,30,6
BCAL1606,32,2,12,13,13,2
BCAM1242A,23,1,14,15,12,1
BCAL1252,36,7,5,20,20,2
BCAM1519,97,16,39,43,63,9
BCAL2092,357,54,87,175,141,30
BCAL0894,228,16,93,104,106,13
BCAL0846,4,0,1,0,3,0
BCAL0575,71,4,14,25,23,3
BCAM0783,0,0,3,2,2,0
BCAM1452,28,1,7,4,9,2
BCAL2126,144,13,38,56,50,10
BCAL0629,4,1,0,2,4,0
"BCAM1225,BCAM1226,BCAM1227",23,1,8,5,11,0
BCAL0858,31,1,15,11,14,2
"BCAL2404,BCAL2405,BCAL2406",102,5,32,30,39,6
BCAM2754,33,0,4,5,2,2
"BCAL0069,BCAL0070",7,0,1,2,3,0
BCAL1345,7,2,2,6,2,1
BCAL2328,134,30,45,89,75,13
BCAM2634a,150,26,56,71,102,12
BCAM0633,210,12,52,73,93,7
BCAL1293,178,20,62,99,101,7
BCAL2089,143,13,44,64,61,8
BCAL2835,7,0,0,1,2,0
"BCAL3408,BCAL3409",11,1,1,2,2,1
BCAM0155,5,1,2,3,6,0
BCAL0376,6,0,4,6,2,0
BCAL0955,183,14,42,51,54,14
BCAM1021,54,4,17,24,26,2
BCAL1837,27,2,4,8,11,1
BCAL1628,92,15,34,57,41,8
"BCAM2493,BCAM2494,BCAM2495,BCAM2496",10,0,5,7,5,0
BCAM1363,262,9,54,76,53,15
BCAL0405,24,3,5,1,3,4
BCAL1900,497,68,149,203,232,41
BCAL0702,39,3,8,11,10,3
BCAL0909,70,1,18,19,26,2
BCAL1380,4,0,1,1,2,0
BCAM1200,16,1,6,9,10,0
BCAL3212,45,6,33,24,38,4
BCAL0549,9,0,3,8,0,0
BCAL0118,21,2,6,10,9,1
BCAM0355,10,0,2,6,1,0
BCAL2970,114,11,26,56,42,5
BCAL3005,69,3,18,23,36,1
BCAL2942,157,18,68,68,56,17
BCAL0026,118,13,38,63,54,6
BCAL0791,11,0,1,3,3,0
BCAL0156,119,7,34,49,32,7
BCAS0741,22,3,3,16,4,1
BCAL3023,27,1,7,16,9,0
BCAL3454,26,0,11,10,3,2
"BCAL3328,BCAL3329",123,11,43,68,68,9
BCAM1957,1,0,2,1,2,0
BCAL0719,7,0,0,2,1,0
BCAS0005,23,5,5,16,15,1
pBCA061,2,1,0,2,3,0
BCAM0221,34,4,9,21,22,0
BCAM0963,181,9,46,62,62,8
BCAL3144,43,5,15,16,10,5
"BCAM2274a,BCAM2275",430,55,162,238,162,31
BCAM0962,138,11,42,50,58,8
BCAL2011,416,31,127,170,149,24
BCAM0408,46,3,9,17,14,2
BCAM0778,6,0,6,3,1,1
BCAL1852,12,0,3,5,4,0
BCAM2836,202,16,87,77,75,18
BCAL0072,30,1,16,4,8,4
BCAL3247,50,4,17,21,26,2
BCAL0912,11,0,1,4,2,0
BCAM1844,4,1,1,0,7,0
BCAM0385,35,0,6,5,11,1
BCAL3246,790,106,265,383,342,62
BCAL0095,4,0,1,2,1,0
BCAL1769,4,0,1,2,1,0
BCAL2323,119,25,44,71,64,12
BCAL1459,111,7,33,41,27,8
BCAL3332,52,4,12,19,16,3
BCAM2740,18,0,4,9,4,0
BCAL0967,21,0,14,5,9,2
BCAL2305,332,37,118,188,150,17
BCAL1298,192,25,63,105,97,10
BCAL1483,248,32,117,111,122,23
BCAL0563,1,0,2,2,1,0
BCAL0077,17,0,6,12,3,0
BCAM0757,22,2,2,10,10,0
BCAM1549,9,0,1,2,3,0
BCAL3135,360,56,126,197,161,29
BCAS0225,2217,189,656,880,895,120
"BCAL0283,BCAL0284",47,2,20,24,23,1
BCAL3123,201,31,100,109,133,15
"BCAM1019,BCAM1020",446,36,184,157,206,28
BCAL0005,14,1,5,7,3,1
BCAL3378,249,16,85,106,71,16
"BCAM1340,BCAM1341",0,0,1,0,4,0
BCAL2146,315,41,117,116,158,27
BCAL1289,68,3,11,12,23,3
BCAL0751,1,0,2,2,1,0
BCAL1877,82,4,24,28,21,5
BCAL2204,238,13,37,71,64,10
BCAL1973,18,2,4,3,11,1
"BCAM2627,BCAM2628",0,0,1,0,1,0
BCAL2748,14,0,5,5,7,0
BCAL1466,130,19,41,81,70,5
BCAL0474,17,0,0,3,4,0
BCAL1272,28,0,7,4,16,0
BCAL2920,72,5,9,18,24,3
"BCAL1421,BCAL1422,BCAL1423,BCAL1424",3,0,4,4,3,0
BCAS0013,5,0,0,0,2,0
BCAM0965,1496,138,484,535,611,100
BCAL2370,15,3,8,10,12,1
pBCA008,268,49,121,160,155,23
BCAM0693,5,0,0,0,2,0
"BCAL3219,BCAL3220",194,20,58,83,88,15
BCAL0174,46,8,20,29,16,5
BCAL0908,23,1,2,7,9,0
BCAL3423,30,1,2,12,7,0
BCAL2673,8,1,0,1,0,1
BCAL0380,355,41,130,125,171,28
BCAL1237,26,0,2,3,10,0
"BCAL2210,BCAL2211",536,56,174,233,262,42
BCAL2749,78,3,10,20,30,1
BCAL0430,16,2,3,5,7,1
BCAL2205,29,0,10,9,9,1
BCAM1457,89,6,21,33,41,2
BCAL1095,59,4,23,27,23,3
BCAL0734,29,1,6,7,10,1
BCAM1962A,2,0,1,0,2,0
BCAL2628,35,6,7,22,19,1
BCAS0648,74,6,30,39,28,4
BCAL3205a,148,18,79,89,92,8
BCAM2572,4,1,1,5,2,0
BCAL2465,6,1,4,1,4,1
BCAL1591,11,0,2,4,3,0
BCAL0288,467,39,81,181,153,18
BCAL1858,68,10,25,35,20,7
BCAM1070,10,2,1,4,3,1
BCAL0515,2,0,1,0,2,0
BCAL2364,2,0,1,0,2,0
BCAL1226,2,0,1,0,2,0
BCAM2546,2,0,1,0,2,0
BCAM2168,88,5,20,29,26,4
BCAL2203,35,2,13,20,6,2
BCAM0273,65,11,28,53,21,5
BCAL0190,3,0,4,0,6,0
BCAM0568,9,0,2,1,5,0
"BCAL3132,BCAL3133,BCAL3134",640,71,228,228,243,50
BCAL2916,229,17,70,65,73,17
BCAL1950,11,1,11,11,11,0
BCAL2390,27,1,13,6,12,2
BCAL3349,116,20,36,64,44,10
BCAM1520,41,5,33,29,29,3
BCAM2218,11,0,2,6,1,0
BCAM0689,15,0,6,3,4,1
BCAM1408,22,3,3,7,11,1
BCAM2277,30,8,14,10,19,5
"BCAL3461,BCAL3462,BCAL3463,BCAL3464",595,35,154,170,208,30
BCAL0546,13,0,9,3,13,0
BCAM2749,4,1,1,6,1,0
BCAL1999,17,1,6,6,12,0
BCAL3058,42,9,9,15,23,4
BCAL0030,266,31,83,112,130,14
BCAL0890,18,2,11,9,7,2
BCAS0686,109,15,57,71,46,9
BCAL3214,20,0,2,9,2,0
BCAL1778,4,0,2,1,3,0
BCAM2063,40,2,3,10,5,2
BCAM2767,36,0,6,14,8,0
BCAL2770,13,0,3,6,3,0
"BCAL3256,BCAL3257",104,3,25,29,22,6
BCAL0626,486,35,109,180,172,18
BCAL3113,281,17,78,81,67,20
BCAM0464,15,2,7,6,10,1
BCAL3103,5,0,0,1,1,0
pBCA020,131,14,35,50,37,10
BCAL2450,60,8,8,30,29,1
BCAM2003,5,0,0,1,1,0
BCAM0013,13,2,1,5,3,1
BCAM0649,17,0,3,1,3,1
BCAL0562,121,15,41,78,43,6
BCAM0076,58,6,27,27,27,4
BCAL0526,13,3,9,16,6,1
BCAM2595,69,2,10,11,11,4
BCAL3390,50,0,3,6,11,1
BCAM1305,29,3,7,9,10,2
BCAL0397,88,5,16,31,24,3
BCAL2349,219,17,67,74,78,13
BCAM0871,180,10,49,63,56,8
BCAL1186,104,22,45,65,66,8
BCAL1445,48,2,23,18,30,1
BCAL2167,227,20,74,67,76,18
BCAS0689,53,4,22,33,18,2
BCAM1539,10,1,2,3,1,1
BCAM2152,54,4,14,25,23,1
BCAL1618,5,0,0,1,1,0
BCAS0399,2,1,1,5,1,0
BCAL0344,109,11,19,17,40,8
"BCAL2234,BCAL2235",0,0,2,1,2,0
BCAL2962,261,27,99,137,96,15
BCAL3364,174,9,57,67,55,8
BCAM0475,440,59,194,235,174,36
BCAM2657,2,0,1,1,1,0
BCAM0476,25,5,18,26,25,0
BCAM0432,10,3,15,21,13,0
BCAM1761,5,0,0,1,1,0
BCAL1398,7,1,2,4,5,0
BCAM1860,23,1,1,5,9,0
BCAL1777,7,1,9,5,6,1
BCAL0793,19,0,3,5,6,0
BCAS0105,13,3,3,8,6,1
BCAS0613,8,1,2,1,2,1
BCAM2489,4,0,2,3,1,0
BCAL2983A,23,4,13,12,9,3
"pBCA059,pBCA060",66,10,32,46,14,4
BCAL1972,51,8,34,41,44,1
BCAL0343,1903,246,696,823,858,132
BCAL0745,23,1,3,4,6,1
BCAL1844,19,4,6,17,7,1
BCAM1740,23,0,6,6,10,0
"BCAL2759,BCAL2760",21,2,9,6,11,0
BCAM2285,5,0,0,2,0,0
BCAL2941,152,12,35,60,61,4
BCAS0656,278,34,125,153,138,15
BCAM1535,6,1,1,1,0,1
BCAL1140,25,7,11,11,13,4
BCAL3196,23,1,4,15,3,0
BCAL1891,174,12,64,65,73,8
BCAL2412,69,5,18,16,13,6
BCAL1484,525,69,236,243,255,39
BCAM0904,565,80,216,288,282,33
BCAM1692,5,0,0,2,0,0
BCAL2989,48,7,11,19,14,4
BCAS0098,11,0,4,5,4,0
BCAS0310,2,0,1,2,0,0
BCAM1052,223,26,88,123,93,11
BCAL2956,1134,152,470,568,510,78
BCAL0029,438,27,121,163,120,21
BCAL3263,107,16,46,53,65,6
BCAL2831,10,2,3,7,8,0
BCAM1442,60,2,7,13,7,3
BCAL2716,46,8,9,14,13,5
BCAL2800,10,0,1,2,3,0
BCAL2409,471,33,153,137,183,26
BCAM0507,27,1,5,9,5,1
QU43_RS36586,0,0,0,0,0,0
"BCAL0044,BCAL0045",0,0,0,0,0,0
BCAL0048A,0,0,0,0,0,0
BCAL0050,0,0,0,0,0,0
BCALr0080,0,0,0,0,0,0
BCAL0087,0,0,0,0,0,0
BCAL0150,0,0,0,0,0,0
BCALr0164,0,0,0,0,0,0
BCAL0187,0,0,0,0,0,0
QU43_RS37471,0,0,0,0,0,0
BCAL0206A,0,0,0,0,0,0
BCALr0217b,0,0,0,0,0,0
BCALr0217c,0,0,0,0,0,0
BCALr0218a,0,0,0,0,0,0
BCALr0218b,0,0,0,0,0,0
BCALr0218c,0,0,0,0,0,0
BCALr00219,0,0,0,0,0,0
QU43_RS37856,0,0,0,0,0,0
BCALr0296,0,0,0,0,0,0
BCAL0298,0,0,0,0,0,0
BCALr0332,0,0,0,0,0,0
"BCAL0392,BCAL0393",0,0,0,0,0,0
BCALr0409b,0,0,0,0,0,0
BCALr0409c,0,0,0,0,0,0
BCAL0410,0,0,0,0,0,0
BCALr0472,0,0,0,0,0,0
QU43_RS39311,0,0,0,0,0,0
BCAL0635,0,0,0,0,0,0
BCAL0720,0,0,0,0,0,0
BCALr0914,0,0,0,0,0,0
BCAL0945,0,0,0,0,0,0
BCAL0973,0,0,0,0,0,0
BCAL0974,0,0,0,0,0,0
BCAL0975,0,0,0,0,0,0
BCAL0976,0,0,0,0,0,0
BCAL0986,0,0,0,0,0,0
BCAL0990,0,0,0,0,0,0
BCAL0994,0,0,0,0,0,0
BCAL0997,0,0,0,0,0,0
BCAL1002,0,0,0,0,0,0
BCAL1004,0,0,0,0,0,0
BCAL1005,0,0,0,0,0,0
BCAL1009,0,0,0,0,0,0
BCAL1010,0,0,0,0,0,0
BCAL1017,0,0,0,0,0,0
BCAL1019,0,0,0,0,0,0
BCALr1019a,0,0,0,0,0,0
BCALr1019b,0,0,0,0,0,0
BCALr1019c,0,0,0,0,0,0
BCALr1019d,0,0,0,0,0,0
"BCAL1037,BCAL1038",0,0,0,0,0,0
QU43_RS41981,0,0,0,0,0,0
BCALr1117,0,0,0,0,0,0
BCAL1141,0,0,0,0,0,0
BCAL1142,0,0,0,0,0,0
"BCAL1162a,BCAL1163",0,0,0,0,0,0
BCAL1164,0,0,0,0,0,0
BCALr1290,0,0,0,0,0,0
BCAL1329,0,0,0,0,0,0
BCAL1370,0,0,0,0,0,0
BCAL1403A,0,0,0,0,0,0
BCAL1418,0,0,0,0,0,0
BCALr1480,0,0,0,0,0,0
BCALr1492,0,0,0,0,0,0
BCALr1625,0,0,0,0,0,0
BCAL1633,0,0,0,0,0,0
BCAL1667,0,0,0,0,0,0
BCALr1709,0,0,0,0,0,0
BCAL1713,0,0,0,0,0,0
BCAL1736,0,0,0,0,0,0
BCAL1741,0,0,0,0,0,0
BCAL1777a,0,0,0,0,0,0
QU43_RS63756,0,0,0,0,0,0
BCAL1900A,0,0,0,0,0,0
BCAL2002,0,0,0,0,0,0
"BCAL2003,BCAL2004",0,0,0,0,0,0
BCAL2136A,0,0,0,0,0,0
BCALr2236,0,0,0,0,0,0
BCAL2261,0,0,0,0,0,0
BCALr2281,0,0,0,0,0,0
QU43_RS48121,0,0,0,0,0,0
BCAL2310,0,0,0,0,0,0
BCAL2377a,0,0,0,0,0,0
"BCAL2421,BCAL2422",0,0,0,0,0,0
BCALr2458,0,0,0,0,0,0
BCALr2462,0,0,0,0,0,0
"BCAL2478,BCAL2479",0,0,0,0,0,0
BCAL2480b,0,0,0,0,0,0
BCAL2481,0,0,0,0,0,0
BCAL2490,0,0,0,0,0,0
BCAL2491,0,0,0,0,0,0
BCAL2492,0,0,0,0,0,0
BCAL2493,0,0,0,0,0,0
BCAL2494,0,0,0,0,0,0
BCAL2495,0,0,0,0,0,0
BCAL2506a,0,0,0,0,0,0
BCAL2507,0,0,0,0,0,0
BCAL2509,0,0,0,0,0,0
BCAL2510,0,0,0,0,0,0
"BCAL2511,BCAL2512",0,0,0,0,0,0
BCAL2513,0,0,0,0,0,0
BCAL2514,0,0,0,0,0,0
BCAL2515,0,0,0,0,0,0
BCAL2519,0,0,0,0,0,0
BCAL2520,0,0,0,0,0,0
BCAL2521,0,0,0,0,0,0
BCAL2522,0,0,0,0,0,0
BCAL2524,0,0,0,0,0,0
BCAL2526,0,0,0,0,0,0
BCAL2527,0,0,0,0,0,0
BCAL2528,0,0,0,0,0,0
BCAL2530,0,0,0,0,0,0
BCAL2531,0,0,0,0,0,0
BCAL2532,0,0,0,0,0,0
BCAL2534,0,0,0,0,0,0
BCAL2537,0,0,0,0,0,0
BCAL2541,0,0,0,0,0,0
"BCAL2542,BCAL2543",0,0,0,0,0,0
BCAL2544,0,0,0,0,0,0
BCAL2545,0,0,0,0,0,0
BCAL2546a,0,0,0,0,0,0
BCAL2547a,0,0,0,0,0,0
BCAL2548,0,0,0,0,0,0
"BCAL2550,BCAL2551",0,0,0,0,0,0
BCAL2552,0,0,0,0,0,0
BCAL2556,0,0,0,0,0,0
BCAL2561,0,0,0,0,0,0
BCAL2565,0,0,0,0,0,0
BCAL2566,0,0,0,0,0,0
BCAL2567,0,0,0,0,0,0
BCAL2569,0,0,0,0,0,0
BCAL2570,0,0,0,0,0,0
"BCAL2571,BCAL2572,BCAL2573",0,0,0,0,0,0
BCAL2576,0,0,0,0,0,0
BCAL2579,0,0,0,0,0,0
BCAL2584,0,0,0,0,0,0
BCAL2585,0,0,0,0,0,0
BCAL2587,0,0,0,0,0,0
BCAL2588,0,0,0,0,0,0
BCAL2592,0,0,0,0,0,0
BCAL2595,0,0,0,0,0,0
QU43_RS49841,0,0,0,0,0,0
BCALr2687,0,0,0,0,0,0
"BCAL2703a,BCAL2704",0,0,0,0,0,0
BCAL2746,0,0,0,0,0,0
BCAL2846,0,0,0,0,0,0
BCAL2849,0,0,0,0,0,0
BCAL2850,0,0,0,0,0,0
BCAL2857,0,0,0,0,0,0
"BCAL2882,BCAL2883",0,0,0,0,0,0
BCAL2890,0,0,0,0,0,0
BCAL2891,0,0,0,0,0,0
"BCAL2892,BCAL2893",0,0,0,0,0,0
BCALr2899a,0,0,0,0,0,0
BCALr2899b,0,0,0,0,0,0
BCAL2900,0,0,0,0,0,0
