gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
BCAM2739,648,70,224,125,119,22
BCAL1870,106,10,27,12,23,3
BCAM1321,179,26,50,56,43,2
BCAM2477,675,67,168,132,109,17
BCAL3216,653,90,257,137,146,24
BCAL0321,238,29,66,62,37,6
BCAM0999,101,16,32,19,16,5
BCAL0012,137,8,22,27,20,1
"BCAM0909,BCAM0910",250,26,59,56,52,1
pBCA088,453,63,211,107,99,18
BCAL1267,4452,444,1221,803,748,124
BCAL2097,92,13,40,13,25,4
"BCAL1091,BCAL1092",90,9,23,20,20,1
BCAL0485,274,39,93,69,62,7
BCAL2303,446,33,102,77,61,10
BCAL0576,981,72,216,144,152,22
BCAL0895,105,15,30,14,18,5
BCAL0257,804,92,243,161,130,26
BCAL3352,514,57,169,103,115,12
"BCAL2776,BCAL2777",275,24,60,38,40,9
BCAL1981,120,14,39,22,16,5
BCAL0401,89,9,36,27,20,1
BCAL2448,190,19,112,43,45,7
BCAM0818,340,23,109,43,46,12
BCAL0750,1075,101,408,188,224,30
BCAL1925,218,25,57,49,42,4
BCAL3453,1294,116,365,246,215,29
BCAL0577,375,50,186,92,111,9
BCAM2563,185,17,78,35,34,6
BCAL0219,4154,475,1347,846,691,128
BCAL0127,281,44,125,72,69,9
BCAL0324,111,20,52,30,35,3
BCAL2302,331,30,80,61,51,7
BCAL2919,173,16,68,35,36,4
BCAL1635,134,16,25,28,19,3
BCAM0883,88,5,35,17,20,1
BCAL2944,229,33,87,49,52,7
BCAL2344,281,39,126,66,50,11
BCAM1829,571,29,100,115,67,4
BCAL0869,210,9,57,36,28,3
BCAL0849,122,27,57,29,50,3
"BCAM1003,BCAM1004",157,9,39,21,16,4
BCAL0677,573,62,240,139,114,13
BCAM0900,171,12,30,23,12,5
BCAL2904,276,19,94,47,45,6
BCAL0903,133,20,44,29,26,4
"BCAM1243,BCAM1244,BCAM1245,BCAM1246",598,40,134,79,95,13
BCAM0042,211,18,34,29,18,6
BCAL1479,76,9,26,11,18,2
BCAM0972,4671,658,2337,1179,931,164
"BCAL0132,BCAL0133,BCAL0134",645,48,199,96,101,13
BCAL2061,418,64,152,81,105,11
BCAL2090,338,30,123,63,57,8
BCAL2739,1653,221,526,301,279,53
