,WT air-1,WT air-2,WT CO2-1,WT CO2-2,sfl2 air-1,sfl2 air-2,sfl2 CO2-1,sfl2 CO2-2
orf19.3477,597.319,648.884,700.406,684.451,664.875,839.455,581.607,588.542
NIP7,1172.01,1251.62,1062.87,1059.09,1071.12,1076.7,1070.4,1103.28
SKN2,927.888,845.523,453.178,461.835,377.343,412.202,349.542,318.512
orf19.3480,1189.28,1190.89,1476.21,1316.43,1567.96,1694.78,1775.54,1651.8
orf19.3481,76.9215,142.284,38.6228,172.153,413.048,281.408,262.366,218.329
orf19.3482,860.991,910.76,775.09,724.709,1119.97,1032.8,1027.14,1029.34
orf19.3483,2.04E-82,1.20E-133,2.05E-184,2.49E-214,3.82E-26,5.84E-95,1.21E-135,7.32E-212
orf19.3487,532.699,567.946,675.079,696.875,661.643,746.255,742.123,761.322
orf19.349,882.051,1082.17,864.684,887.588,1009.69,1117.85,1072.85,1178.88
FGR6-4,28.4932,47.3288,42.7133,43.297,18.9533,25.2838,25.096,27.1901
CTF5,53.2699,47.3288,93.7609,81.4396,68.9212,68.9558,86.0433,67.9751
CHC1,9920.86,9219.95,10834.7,11007.4,9813.17,8911.47,10053.5,9527.44
orf19.3498,212.407,223.996,287.029,262.905,262.442,310.48,264.997,270.596
orf19.3499,26.0155,17.9082,10.4179,2.06176,26.7069,26.8161,24.1997,18.4504
orf19.35,1684.82,1739.65,1888.76,1984.45,2653.46,2923.72,3475.79,3396.82
orf19.35.1,235.087,421.824,257.296,177.423,1543.83,1857.21,1444.81,1706.18
PRE9,5630.51,5560.49,4393.22,4391.55,6388.13,4966.35,5318.55,5807.02
orf19.3501,932.843,832.731,1104.3,1206.13,689.212,660.443,663.25,700.144
orf19.3503,80.5243,53.7246,90.6356,78.3469,142.15,160.131,138.028,151.487
RPL23A,13583.8,13816.2,13151.5,14620,8132.7,7258.74,6830.58,7323.84
orf19.3505,2340.16,2352.37,2377.36,2443.19,1526.6,1664.9,1589.11,1556.63
DBR1,270.532,257.621,268.361,271.96,348.912,263.267,335.87,245.814
MCR1,9166.92,9362.92,6969.98,6931.84,11218.6,9972.07,10758.3,10881.7
orf19.3508,1066.64,1142.29,1074.08,986.553,1136.34,1143.13,1376.69,1349.79
orf19.351,118.928,120.241,144.809,138.138,154.211,207.633,241.997,233.058
CSP1,89.1962,89.541,141.683,170.095,134.396,108.797,109.347,113.616
orf19.3515,1258.66,1110.31,1075.13,1083.46,1483.53,1557.6,1382.07,1538.18
orf19.3516,719.763,663.882,655.285,619.559,675.427,712.578,645.325,603.037
orf19.3517,234.14,240.481,167.728,164.941,181.78,204.569,201.664,176.735
orf19.3518,1875.6,1866.29,1582.48,1564.88,2649.16,2526.08,2967.6,2899.63
SUA72,203.534,239.202,292.742,279.369,255.87,256.669,322.388,291.322
orf19.352,854.796,899.247,1123.05,1042.22,1059.66,1076.48,1048.65,993.408
ARH2,844.886,796.915,768.84,721.617,706.442,606.045,564.659,591.384
